RecordID,Neighborhood,CrimeType,PopulationDensity,OfficerCount,CrimeRateIndex
660001,District E,Vandalism,7932.7,35.0,61.8
660002,District H,Assault,3845.0,20.0,80.0
660003,District D,Assault,2719.8,18.0,85.8
660004,District K,Assault,1747.0,16.0,78.5
660005,District K,Theft,4956.2,29.0,28.4
660006,District F,Theft,6146.4,22.0,67.1
660007,District D,Vandalism,1371.7,22.0,11.0
660008,District K,Theft,2474.9,19.0,34.0
660009,District A,Vandalism,4303.7,15.0,53.3
660010,District H,Vandalism,4579.7,21.0,50.1
660011,District L,Theft,1466.5,8.0,40.2
660012,District L,Burglary,7303.3,41.0,87.4
660013,District G,Assault,7947.0,38.0,86.9
660014,District K,Burglary,2653.2,22.0,74.8
660015,District K,Burglary,1922.6,18.0,73.1
660016,District A,Vandalism,3500.6,20.0,53.4
660017,District C,Assault,4288.3,33.0,62.1
660018,District C,Assault,2634.7,12.0,75.8
660019,District C,Theft,3351.0,19.0,47.4
660020,District G,Theft,4350.2,27.0,43.0
660021,District A,Theft,5810.3,28.0,65.4
660022,District L,Theft,4996.2,36.0,47.5
660023,District I,Assault,6755.0,25.0,107.1
660024,District I,Burglary,4338.7,34.0,64.7
660025,District J,Theft,7303.1,29.0,79.4
660026,District K,Vandalism,1662.3,14.0,19.5
660027,District J,Burglary,4623.6,31.0,75.7
660028,District I,Vandalism,5517.2,19.0,56.4
660029,District C,Theft,4729.6,31.0,43.2
660030,District H,Theft,6998.4,33.0,48.3
660031,District C,Burglary,1671.8,16.0,79.7
660032,District D,Assault,7242.8,28.0,95.5
660033,District A,Assault,6574.5,26.0,86.7
660034,District J,Burglary,7112.8,22.0,107.8
660035,District K,Theft,1613.3,20.0,31.1
660036,District H,Assault,2802.3,27.0,46.9
660037,District K,Burglary,883.1,7.0,75.0
660038,District A,Vandalism,1728.8,11.0,46.9
660039,District G,Theft,4324.6,17.0,52.0
660040,District D,Vandalism,807.9,15.0,39.3
660041,District A,Vandalism,6012.0,31.0,73.0
660042,District A,Burglary,6813.7,33.0,90.1
660043,District K,Burglary,4723.4,34.0,74.3
660044,District H,Vandalism,7744.3,40.0,52.6
660045,District F,Assault,2399.0,16.0,74.9
660046,District B,Burglary,5156.7,21.0,101.7
660047,District G,Vandalism,4241.8,34.0,38.3
