StudentID,EyeGazeOutRatio_Percent,NodCount,QuizGrade,LectureDurationMinutes,ClassPassed
1800001,31.8,88.4,109.5,55.5,1
1800002,47.1,109.2,84.5,63.0,1
1800003,29.1,131.0,83.9,34.2,1
1800004,56.8,104.7,110.1,38.0,0
1800005,44.8,94.7,114.5,46.7,0
1800006,56.6,94.3,87.5,27.5,1
1800007,36.3,119.2,99.7,42.9,0
1800008,42.8,104.5,64.8,40.0,0
1800009,53.4,112.9,94.1,29.0,0
1800010,64.1,90.2,101.8,69.0,0
1800011,59.8,91.0,90.5,51.0,1
1800012,38.9,121.8,81.2,51.2,0
1800013,58.5,116.7,97.7,32.3,1
1800014,29.4,113.4,92.9,33.6,1
1800015,54.5,111.3,48.2,41.5,0
1800016,29.8,67.2,119.0,49.4,1
1800017,23.0,127.2,147.3,41.9,0
1800018,37.0,56.3,107.8,40.7,0
1800019,66.1,56.3,92.9,34.2,0
1800020,39.6,120.3,111.2,49.9,0
1800021,23.3,129.0,90.9,56.7,1
1800022,47.5,74.9,87.4,57.5,0
1800023,39.7,133.4,88.2,48.1,0
1800024,33.7,129.4,130.0,54.2,1
1800025,54.5,139.7,100.0,26.0,1
1800026,37.7,99.5,128.7,38.1,0
1800027,54.6,70.6,82.8,38.1,1
1800028,38.4,92.1,139.7,30.4,0
1800029,17.1,62.4,80.6,53.0,1
1800030,46.1,120.1,109.0,40.9,0
1800031,23.4,109.5,31.0,31.5,1
1800032,70.7,114.4,70.2,53.2,0
1800033,41.9,93.8,119.9,43.0,1
1800034,83.0,80.4,109.6,59.9,1
1800035,38.1,79.7,59.4,52.9,1
1800036,53.2,110.0,41.4,47.4,0
1800037,35.0,61.0,112.4,38.3,0
1800038,,89.3,73.9,6.8,0
1800039,66.4,73.3,115.4,45.7,1
1800040,38.4,99.3,125.5,74.2,1
1800041,47.8,95.2,89.3,65.1,1
1800042,50.9,66.5,140.5,80.8,1
1800043,46.7,93.3,132.0,37.2,0
1800044,42.2,84.1,112.0,65.3,1
1800045,48.4,126.3,107.7,53.4,1
1800046,17.1,72.7,133.3,56.3,0
1800047,32.0,101.8,130.6,44.0,1
1800048,22.9,128.5,112.5,60.9,0
1800049,35.8,64.8,100.7,18.4,0
1800050,33.6,102.4,76.0,40.4,1
1800051,12.7,96.8,68.5,24.4,0
1800052,35.7,100.0,94.3,50.8,1
1800053,33.1,117.1,118.7,42.6,0
1800054,43.2,102.4,106.2,24.9,1
1800055,32.8,105.0,136.0,57.6,1
1800056,50.3,77.7,48.8,50.1,1
1800057,53.4,137.2,83.8,61.2,1
1800058,38.2,100.8,136.3,35.1,0
1800059,77.5,73.3,132.0,48.0,0
1800060,,104.4,98.8,55.7,1
1800061,61.8,143.6,118.6,34.6,0
1800062,46.7,86.9,113.2,14.4,0
1800063,58.9,98.5,105.6,63.4,1
1800064,66.0,74.6,102.8,62.9,0
1800065,46.5,50.2,71.9,53.5,0
1800066,34.3,89.0,86.3,29.9,1
1800067,77.7,101.8,151.9,41.9,1
1800068,47.6,74.8,78.6,42.5,0
1800069,54.9,104.6,38.4,31.6,0
1800070,52.7,116.6,80.9,46.7,1
1800071,54.3,122.0,110.0,54.6,1
1800072,53.9,111.0,75.5,44.1,0
1800073,42.2,84.6,133.6,44.6,1
1800074,38.0,142.9,110.4,63.3,0
1800075,42.9,142.9,52.2,47.2,0
1800076,34.0,116.7,69.8,51.3,1
1800077,47.3,22.3,119.3,42.9,0
1800078,51.0,123.9,98.6,28.1,0
1800079,26.5,116.6,105.0,51.3,0
1800080,43.8,90.7,88.4,39.6,1
1800081,53.2,73.7,149.0,69.1,1
1800082,35.6,97.4,93.4,31.3,0
1800083,50.0,122.8,113.4,34.3,0
1800084,61.6,108.7,129.2,30.9,1
1800085,47.2,81.5,53.8,54.6,0
1800086,40.6,95.7,47.9,57.3,1
1800087,40.9,135.7,100.5,34.9,0
1800088,42.9,109.2,96.4,47.3,0
1800089,24.2,65.8,82.0,69.7,0
1800090,36.8,108.4,115.9,26.5,0
1800091,49.0,85.9,106.0,45.7,0
1800092,59.7,104.3,80.6,45.7,1
1800093,25.3,115.3,52.8,29.0,1
1800094,27.7,43.3,84.6,23.2,0
1800095,34.2,106.3,55.1,58.4,1
1800096,75.2,135.1,118.9,43.0,1
1800097,72.5,39.5,100.3,34.7,0
1800098,30.0,93.6,81.4,51.0,1
1800099,47.2,81.5,150.3,43.7,1
1800100,36.4,115.7,127.0,28.4,0
1800101,31.6,124.8,62.4,44.8,1
1800102,46.7,102.9,87.1,24.2,0
1800103,59.5,103.6,106.5,33.4,0
1800104,69.5,62.4,121.8,49.4,1
1800105,68.3,131.5,95.2,37.4,0
1800106,33.0,84.1,103.6,40.5,0
1800107,55.3,124.9,92.8,17.3,0
1800108,41.7,72.4,117.9,43.8,1
1800109,4.4,108.6,57.6,51.1,1
1800110,44.0,103.8,111.2,58.3,1
1800111,52.7,75.8,100.7,61.6,1
1800112,45.8,127.4,90.7,56.7,1
1800113,66.5,108.9,158.2,46.6,0
1800114,22.8,85.6,69.9,36.2,1
1800115,67.2,59.8,83.0,75.4,1
1800116,54.0,131.2,119.0,54.3,0
1800117,37.3,97.8,68.9,24.8,0
1800118,67.3,111.5,121.9,48.9,0
1800119,51.8,174.2,74.8,43.8,0
1800120,31.4,139.4,88.7,34.0,0
1800121,47.9,68.9,98.6,61.2,1
1800122,31.9,106.9,108.5,41.7,1
1800123,52.1,86.0,58.1,59.3,1
1800124,27.7,80.7,77.0,42.6,0
1800125,60.9,84.8,78.9,48.6,1
1800126,55.7,101.4,106.5,59.3,0
1800127,50.7,99.2,97.0,59.1,0
1800128,48.4,118.2,142.9,51.5,0
1800129,45.6,123.0,136.3,58.9,1
1800130,58.6,117.8,80.7,15.9,1
1800131,66.3,75.8,79.4,34.6,0
1800132,45.0,89.1,76.2,58.3,1
1800133,59.3,82.5,104.1,33.5,0
1800134,28.3,106.7,121.7,45.8,0
1800135,41.3,138.8,116.9,51.9,0
1800136,74.2,114.1,81.0,26.1,0
1800137,34.9,105.4,135.6,15.7,0
1800138,56.6,94.3,106.6,44.1,0
