ToolID,SpindleCurrent,VibrationRMS,ToolAgeHours,WearDepth_microns,MaintenanceRequired
1810001,3.29,32.1,47.0,118.4,1
1810002,4.58,57.6,51.0,83.1,0
1810003,2.19,56.3,42.0,107.6,1
1810004,6.23,60.5,59.0,72.9,1
1810005,4.05,39.1,43.0,78.6,0
1810006,4.08,27.9,25.0,104.1,0
1810007,3.13,32.1,52.0,69.0,0
1810008,3.02,26.4,43.0,144.4,1
1810009,5.7,37.2,59.0,134.5,1
1810010,5.77,52.1,38.0,128.2,0
1810011,5.77,67.4,30.0,117.8,1
1810012,4.02,43.5,71.0,133.3,1
1810013,4.44,48.3,22.0,142.0,1
1810014,5.8,52.2,58.0,124.1,1
1810015,4.39,67.8,38.0,91.5,0
1810016,5.07,47.6,52.0,76.3,0
1810017,3.33,46.9,28.0,135.6,1
1810018,2.99,49.9,37.0,127.7,1
1810019,3.79,36.2,30.0,125.9,0
1810020,4.71,62.7,39.0,71.4,0
1810021,4.45,41.1,42.0,116.7,0
1810022,4.24,79.6,50.0,124.6,1
1810023,7.17,22.9,37.0,138.1,1
1810024,4.31,55.8,34.0,95.0,0
1810025,3.92,35.9,37.0,90.9,0
1810026,2.48,77.7,59.0,82.9,1
1810027,3.85,70.5,44.0,149.6,0
1810028,5.29,31.2,43.0,132.6,1
1810029,4.49,50.4,30.0,115.7,1
1810030,3.67,50.6,44.0,138.0,1
1810031,5.86,54.8,47.0,102.2,0
1810032,6.27,88.2,46.0,106.4,1
1810033,5.52,38.1,38.0,95.8,1
1810034,3.85,67.9,67.0,105.5,0
1810035,4.76,50.4,56.0,92.7,1
1810036,5.24,60.8,58.0,71.9,1
1810037,4.02,29.6,55.0,77.1,0
1810038,5.19,41.4,57.0,135.9,1
1810039,3.45,51.9,65.0,74.6,0
1810040,2.0,58.3,38.0,131.1,1
1810041,3.58,42.5,41.0,90.0,0
1810042,4.15,45.3,44.0,86.7,0
1810043,3.45,20.2,52.0,123.0,1
1810044,4.52,62.1,32.0,109.9,0
1810045,4.7,45.2,33.0,79.1,1
1810046,5.04,28.1,34.0,119.9,1
1810047,4.14,35.6,41.0,103.6,1
1810048,4.84,46.8,18.0,80.7,1
1810049,5.22,29.3,56.0,75.8,0
1810050,3.6,53.9,29.0,101.3,0
1810051,4.41,69.7,53.0,130.0,1
1810052,4.75,63.5,36.0,109.5,0
1810053,5.44,16.2,42.0,97.2,0
1810054,4.91,35.6,53.0,117.6,1
1810055,6.68,37.9,24.0,118.2,0
1810056,4.48,51.3,35.0,103.9,0
1810057,4.94,51.1,32.0,94.1,1
1810058,4.61,51.9,15.0,133.6,0
1810059,6.2,26.4,53.0,64.7,0
1810060,6.79,60.1,36.0,84.2,0
1810061,4.48,42.2,39.0,100.2,1
1810062,3.01,41.3,29.0,117.8,0
1810063,2.83,43.9,27.0,77.3,1
1810064,2.79,51.7,54.0,41.2,0
1810065,4.21,38.4,34.0,76.5,0
1810066,4.84,21.1,53.0,120.8,1
1810067,3.62,22.3,40.0,136.5,0
1810068,4.06,34.3,57.0,129.7,1
1810069,2.53,44.9,44.0,129.9,1
1810070,4.06,50.6,46.0,123.5,1
1810071,2.88,48.5,64.0,126.5,1
1810072,3.87,21.9,34.0,50.5,0
1810073,3.19,43.9,47.0,79.9,0
1810074,5.91,30.4,41.0,128.1,0
1810075,4.56,47.1,43.0,106.0,1
1810076,3.86,63.4,65.0,131.7,1
1810077,4.41,60.9,63.0,90.4,0
1810078,3.4,41.2,59.0,85.9,1
1810079,5.09,17.0,72.0,101.1,1
1810080,6.42,29.1,30.0,99.5,0
1810081,5.46,53.0,35.0,112.6,1
1810082,6.1,40.5,31.0,160.5,1
1810083,6.16,66.8,31.0,112.3,1
1810084,4.34,39.9,43.0,91.4,1
1810085,5.16,49.6,50.0,83.5,1
1810086,5.78,41.0,55.0,97.9,0
1810087,3.49,51.9,43.0,49.0,0
1810088,4.24,44.9,70.0,143.7,1
1810089,5.81,43.7,56.0,106.9,1
1810090,3.92,50.1,33.0,90.0,1
1810091,5.26,27.8,58.0,118.8,1
1810092,5.28,47.4,54.0,148.1,0
1810093,5.37,66.2,35.0,117.3,1
1810094,3.04,48.4,46.0,101.9,0
1810095,4.84,31.6,44.0,90.8,1
1810096,3.2,45.4,76.0,97.8,1
1810097,3.77,56.3,45.0,67.6,0
1810098,4.8,46.0,39.0,109.3,1
1810099,4.17,86.3,33.0,126.1,1
1810100,3.79,65.9,42.0,73.1,0
1810101,2.69,51.8,46.0,88.3,0
1810102,5.75,52.7,53.0,133.5,1
1810103,6.25,,54.0,129.8,1
1810104,4.68,53.8,55.0,60.9,0
1810105,3.72,29.9,37.0,96.5,0
1810106,5.13,41.2,36.0,85.1,0
1810107,4.4,58.6,36.0,72.0,0
1810108,4.95,27.0,43.0,142.6,1
1810109,6.95,71.8,23.0,126.3,1
1810110,4.08,37.4,49.0,91.9,0
1810111,3.96,47.9,29.0,107.1,0
1810112,3.11,54.2,39.0,132.5,1
1810113,3.51,15.0,22.0,97.0,0
1810114,3.75,30.8,60.0,92.4,0
1810115,1.7,31.4,46.0,97.2,1
1810116,4.51,37.2,45.0,96.0,0
1810117,2.55,29.4,63.0,122.2,1
1810118,2.23,23.7,43.0,108.7,1
1810119,2.64,39.6,33.0,94.1,1
1810120,6.01,56.9,24.0,75.4,1
1810121,5.46,33.4,23.0,146.1,1
1810122,1.6,57.8,45.0,72.9,0
1810123,4.11,27.5,43.0,100.0,1
1810124,4.82,37.4,34.0,109.4,0
1810125,3.07,41.3,17.0,129.3,1
1810126,3.8,44.2,27.0,97.7,1
1810127,3.13,62.8,28.0,70.3,1
1810128,4.85,69.7,40.0,72.0,0
1810129,1.68,41.3,66.0,108.3,0
1810130,3.91,45.3,21.0,106.3,0
1810131,2.49,35.1,45.0,106.1,0
1810132,5.04,33.6,27.0,113.0,1
1810133,5.1,32.2,50.0,74.8,0
1810134,3.51,41.5,52.0,101.4,0
1810135,2.27,48.0,41.0,115.8,1
1810136,3.61,30.2,43.0,48.9,0
1810137,5.3,63.4,39.0,124.3,0
1810138,5.25,45.6,47.0,103.6,1
1810139,4.48,31.7,59.0,100.4,1
1810140,7.08,23.7,57.0,87.5,0
1810141,4.23,46.8,45.0,92.7,0
1810142,2.47,19.1,20.0,85.5,0
1810143,5.73,35.1,48.0,73.8,0
1810144,5.61,52.1,26.0,95.3,1
1810145,6.09,51.7,5.0,87.2,0
1810146,4.23,80.1,46.0,144.0,1
1810147,4.93,48.2,36.0,129.5,0
1810148,4.96,59.0,14.0,71.9,0
1810149,4.97,32.4,51.0,76.6,0
1810150,2.35,56.6,47.0,118.2,1
1810151,2.16,31.9,27.0,104.2,1
1810152,5.7,50.5,41.0,118.4,1
1810153,4.26,15.3,45.0,57.6,0
1810154,3.44,65.8,54.0,79.7,1
1810155,3.32,64.3,24.0,116.4,1
1810156,5.3,48.1,38.0,136.2,1
1810157,4.35,,46.0,99.2,0
1810158,3.85,38.1,40.0,154.9,1
1810159,4.29,40.6,52.0,75.2,0
1810160,4.34,40.2,47.0,103.3,1
1810161,4.6,41.7,36.0,95.7,1
1810162,7.2,50.8,53.0,106.4,1
1810163,3.61,46.2,25.0,79.7,0
1810164,5.74,36.9,36.0,115.7,1
1810165,3.18,37.1,31.0,90.1,0
1810166,4.77,59.1,35.0,129.4,0
1810167,3.25,49.4,48.0,124.6,0
1810168,3.85,41.9,46.0,93.4,0
1810169,1.75,63.1,43.0,79.8,0
1810170,4.31,61.0,53.0,91.7,0
1810171,6.61,30.4,35.0,125.9,1
1810172,6.13,63.2,41.0,87.1,0
1810173,5.54,49.2,60.0,120.3,1
1810174,2.26,56.9,44.0,126.1,1
1810175,5.39,62.8,29.0,143.0,1
1810176,3.74,34.6,45.0,83.3,0
1810177,3.61,9.4,50.0,66.0,0
1810178,3.7,24.9,29.0,136.7,1
1810179,5.73,41.5,56.0,114.9,1
1810180,6.43,64.1,55.0,88.8,0
1810181,1.08,32.7,29.0,79.5,1
1810182,2.34,22.6,64.0,80.9,0
1810183,3.57,61.5,40.0,87.6,0
1810184,4.39,45.6,44.0,81.5,0
1810185,2.74,62.5,30.0,85.1,0
1810186,5.37,32.9,62.0,85.4,1
1810187,4.58,53.6,29.0,59.3,0
1810188,5.1,37.5,48.0,102.7,0
1810189,5.41,34.6,52.0,115.2,0
1810190,3.43,55.7,44.0,112.2,1
1810191,3.88,38.3,37.0,94.8,1
1810192,5.79,,18.0,67.2,0
1810193,3.41,48.1,36.0,88.7,0
1810194,4.57,,40.0,88.3,1
1810195,3.94,48.0,34.0,112.6,0
1810196,4.41,46.3,36.0,119.6,0
1810197,5.27,42.6,32.0,105.3,0
1810198,7.04,28.8,28.0,62.0,0
1810199,6.69,51.5,73.0,75.3,0
1810200,4.15,58.2,34.0,112.2,1
1810201,3.67,41.1,48.0,87.5,0
1810202,4.36,31.2,49.0,161.8,1
1810203,6.06,50.6,20.0,74.9,0
1810204,3.19,48.8,51.0,84.7,0
1810205,5.64,77.6,52.0,80.5,0
1810206,5.41,74.5,58.0,134.9,1
1810207,3.71,43.8,51.0,90.9,1
1810208,3.15,38.8,21.0,100.4,0
1810209,2.99,55.1,31.0,125.7,1
1810210,1.87,58.5,75.0,115.9,1
1810211,4.74,30.4,42.0,107.7,1
1810212,5.07,51.3,44.0,121.0,1
1810213,4.45,59.3,66.0,71.2,0
1810214,2.87,20.2,30.0,100.7,0
1810215,4.47,24.0,7.0,133.9,1
1810216,5.91,38.0,52.0,101.8,1
1810217,4.75,44.3,52.0,112.3,1
1810218,3.54,39.1,47.0,80.6,0
1810219,4.8,35.1,59.0,85.2,1
1810220,5.29,30.7,28.0,136.4,1
