TransactionID,Amount,Distance_From_Home,Use_Chip,Online_Order,Is_Fraud
1520001,474.9,57.1,0,1,0
1520002,374.4,102.4,1,1,0
1520003,28.8,327.4,1,0,0
1520004,169.4,460.6,0,0,0
1520005,167.3,180.6,0,0,0
1520006,208.7,136.0,1,1,0
1520007,45.5,56.4,1,0,0
1520008,171.6,351.3,1,0,0
1520009,390.4,407.8,1,0,0
1520010,94.7,255.7,1,0,0
1520011,268.4,197.0,1,1,0
1520012,131.4,244.4,0,0,0
1520013,39.6,316.6,1,0,0
1520014,105.1,24.8,1,0,1
1520015,223.8,428.1,1,1,0
1520016,329.1,342.0,0,0,0
1520017,208.4,373.9,1,1,0
1520018,457.2,182.6,0,1,0
1520019,331.9,88.5,0,0,1
1520020,355.4,31.1,1,0,0
1520021,273.3,181.5,1,1,0
1520022,216.3,432.6,0,1,0
1520023,59.8,257.3,0,1,0
1520024,196.5,372.8,0,1,0
1520025,160.3,21.3,1,0,0
1520026,496.1,358.0,1,1,0
1520027,459.6,270.1,1,0,0
1520028,158.5,381.3,0,0,0
1520029,109.4,283.7,1,0,0
1520030,145.5,240.5,0,0,0
1520031,37.2,42.4,0,0,0
1520032,338.4,325.6,0,0,1
1520033,152.3,176.5,0,0,0
1520034,410.9,,1,1,0
1520035,418.0,163.0,1,1,0
1520036,179.8,207.3,0,0,0
1520037,271.8,92.6,1,1,1
1520038,239.7,365.9,1,1,0
1520039,154.3,31.3,1,1,0
1520040,291.4,368.8,1,0,0
1520041,184.1,476.1,1,0,0
1520042,184.9,12.5,1,1,0
1520043,48.4,483.3,1,0,0
1520044,69.9,176.8,0,1,0
1520045,363.0,331.9,1,1,1
1520046,35.1,325.7,1,0,0
1520047,128.3,216.5,0,0,0
1520048,85.5,73.3,0,0,0
1520049,118.2,477.9,0,1,1
1520050,389.3,54.5,1,0,0
1520051,72.9,82.2,1,0,1
1520052,333.1,296.8,0,1,0
1520053,21.9,213.8,1,0,0
1520054,88.3,35.7,0,0,0
1520055,268.4,459.2,1,0,0
1520056,171.0,368.0,0,0,1
1520057,343.0,194.9,1,1,1
1520058,496.9,55.8,0,0,0
1520059,402.1,143.7,1,0,0
1520060,22.0,173.4,0,1,1
1520061,489.5,75.4,1,1,0
1520062,202.3,14.5,0,0,0
1520063,248.7,122.7,0,0,1
1520064,114.7,179.5,1,1,0
1520065,492.1,453.0,0,0,0
1520066,228.9,109.2,1,0,0
1520067,450.2,90.3,0,1,0
1520068,310.6,177.3,1,1,0
1520069,323.3,463.6,1,0,0
1520070,435.7,187.6,0,1,0
1520071,472.0,387.0,1,0,0
1520072,196.1,87.8,0,1,1
1520073,403.7,421.6,0,0,0
1520074,480.8,293.3,0,0,0
1520075,192.1,131.0,1,1,1
1520076,215.1,170.8,1,0,0
1520077,199.9,248.2,0,1,0
1520078,274.3,337.3,1,1,0
1520079,122.6,100.8,0,0,0
1520080,387.6,300.2,1,0,0
1520081,166.5,50.0,1,0,0
1520082,411.9,152.3,0,1,1
1520083,66.3,165.1,0,1,0
1520084,292.9,185.0,1,1,0
1520085,228.7,74.6,1,0,1
1520086,277.4,341.5,0,1,0
1520087,252.1,55.0,1,1,0
1520088,353.8,485.5,0,1,0
1520089,212.5,34.9,0,1,0
1520090,156.8,380.0,1,0,0
1520091,194.5,96.4,1,0,0
1520092,177.8,441.6,1,1,0
1520093,454.7,158.1,1,1,0
1520094,454.0,451.7,1,1,0
1520095,300.3,311.4,1,0,0
1520096,133.5,423.4,0,1,0
1520097,417.5,161.0,1,1,0
1520098,78.0,,0,0,0
1520099,414.8,85.7,0,0,0
1520100,62.5,476.8,0,0,1
1520101,488.7,283.8,1,1,0
1520102,363.1,381.7,1,1,0
1520103,50.4,381.7,1,0,0
1520104,174.4,236.6,0,1,0
1520105,459.7,328.6,0,1,0
1520106,301.9,312.3,0,0,0
1520107,384.1,212.9,0,0,0
1520108,447.4,25.9,0,0,0
1520109,88.0,10.5,1,0,0
1520110,385.3,293.3,0,0,0
1520111,268.3,219.7,1,0,0
1520112,318.6,397.4,0,0,0
1520113,400.9,490.2,0,1,0
1520114,413.7,92.5,1,0,1
1520115,448.7,282.6,1,0,0
1520116,222.2,153.5,1,1,1
1520117,293.8,281.1,0,1,1
1520118,184.2,142.3,0,1,0
1520119,109.3,407.7,1,0,0
1520120,459.6,379.5,1,1,0
1520121,391.6,112.8,1,0,1
1520122,26.3,238.9,1,1,0
1520123,20.4,492.4,1,0,1
1520124,175.5,319.1,1,1,0
1520125,468.0,230.1,1,0,0
1520126,275.4,79.6,0,0,0
1520127,70.7,263.3,1,0,0
1520128,330.5,395.2,1,0,0
1520129,208.7,26.2,1,0,1
1520130,234.1,391.4,1,1,1
1520131,437.2,244.8,0,1,0
1520132,301.6,26.9,1,1,1
1520133,100.0,315.5,1,1,0
1520134,272.4,,0,1,0
1520135,396.8,220.0,1,0,0
1520136,88.0,498.3,1,1,0
1520137,205.0,211.4,0,1,0
1520138,337.8,166.5,1,0,0
1520139,132.1,443.0,1,0,0
1520140,36.5,59.1,0,1,0
1520141,298.6,199.2,0,0,0
1520142,115.0,414.5,1,0,0
1520143,290.5,419.2,0,0,0
1520144,412.9,278.0,0,0,1
1520145,51.6,435.0,1,1,0
1520146,352.0,288.6,0,0,0
1520147,433.2,451.1,1,1,0
1520148,314.1,323.1,1,0,0
1520149,21.6,295.9,1,0,0
1520150,283.1,359.5,0,0,0
1520151,102.4,450.3,0,0,1
1520152,81.7,106.3,1,0,0
1520153,61.7,365.7,0,1,0
1520154,289.2,165.5,0,0,0
1520155,446.2,359.5,0,0,0
1520156,28.5,73.6,1,1,1
1520157,285.4,237.8,1,1,0
1520158,476.8,432.3,1,0,1
1520159,152.7,308.6,0,1,0
1520160,213.2,203.4,0,0,0
1520161,401.9,404.8,1,0,0
1520162,107.4,11.9,1,1,0
1520163,403.9,113.7,0,1,0
1520164,232.4,189.3,0,0,0
1520165,490.5,74.1,1,1,0
1520166,333.0,333.1,0,1,0
1520167,465.4,428.2,1,0,0
1520168,221.1,32.5,0,1,0
1520169,497.7,293.2,1,0,1
1520170,14.1,15.5,1,1,0
1520171,13.5,20.7,0,0,1
1520172,336.8,367.7,1,1,0
1520173,187.3,480.3,1,1,0
1520174,22.5,128.3,1,0,0
1520175,414.5,349.0,1,0,1
1520176,27.8,337.5,0,1,0
1520177,316.8,51.3,1,0,0
1520178,332.5,130.7,0,0,0
1520179,174.9,116.4,0,1,0
1520180,420.4,359.8,0,1,1
1520181,56.9,15.9,1,1,0
1520182,421.4,152.6,1,1,0
1520183,235.3,431.6,0,0,0
1520184,94.8,85.6,1,0,0
1520185,182.3,299.6,1,0,0
1520186,127.7,369.3,1,1,0
1520187,294.4,178.9,1,0,0
1520188,189.6,258.7,1,0,0
1520189,230.3,492.7,0,1,0
1520190,200.8,42.8,1,1,0
1520191,166.4,333.0,0,0,1
1520192,355.2,491.4,1,1,0
1520193,283.0,150.9,1,1,1
1520194,481.3,,1,1,0
