ReviewID,ComplaintScore,TopicCategory,RatingScore,RefundRequested,ReviewLength
1170001,4.5,Type_B,6.2,65.2,60.6
1170002,6.5,Type_C,7.4,123.9,105.9
1170003,7.8,Type_A,6.4,110.5,106.6
1170004,6.8,Type_B,4.2,62.2,129.3
1170005,7.4,Type_B,6.2,111.0,98.0
1170006,7.3,Type_A,6.7,112.9,98.2
1170007,8.5,Type_A,8.1,86.9,83.2
1170008,8.6,Type_A,8.8,94.9,71.2
1170009,7.9,Type_B,5.5,100.1,70.3
1170010,6.1,Type_A,4.2,138.9,107.2
1170011,8.1,Type_A,5.9,128.4,108.1
1170012,4.8,Type_A,3.9,91.1,93.6
1170013,7.2,Type_C,6.8,94.1,130.7
1170014,6.6,Type_B,6.0,82.7,93.3
1170015,8.2,Type_A,9.8,103.3,113.8
1170016,8.5,Type_C,7.5,80.0,74.5
1170017,7.2,Type_B,7.3,88.9,115.6
1170018,7.7,Type_B,7.7,80.6,73.8
1170019,7.5,Type_C,6.4,126.3,99.0
1170020,8.4,Type_B,9.5,98.7,95.1
1170021,9.6,Type_B,6.9,146.6,89.3
1170022,7.6,Type_C,9.3,150.4,83.7
1170023,6.1,Type_B,10.0,110.1,70.5
1170024,9.2,Type_C,9.1,105.8,93.6
1170025,6.9,Type_A,8.5,100.2,94.7
1170026,6.6,Type_A,7.2,102.1,94.8
1170027,8.4,Type_C,5.9,95.6,144.4
1170028,7.9,Type_B,8.6,120.7,56.5
1170029,7.0,Type_A,5.6,94.0,67.5
1170030,6.1,Type_A,4.6,95.8,96.1
1170031,8.6,Type_A,7.5,93.9,115.6
1170032,8.1,Type_B,7.0,81.9,65.6
1170033,6.8,Type_C,5.5,93.0,94.7
1170034,7.7,Type_C,6.4,139.8,87.4
1170035,7.2,Type_B,7.5,67.8,117.2
1170036,10.0,Type_A,8.0,97.3,103.6
1170037,8.6,Type_B,5.7,112.2,106.4
1170038,8.7,Type_B,5.9,128.2,59.5
1170039,7.8,Type_A,4.9,70.9,62.7
1170040,5.4,Type_A,7.8,61.0,77.9
1170041,6.1,Type_C,5.0,108.5,108.3
1170042,8.2,Type_A,7.1,122.0,93.8
1170043,4.1,Type_C,7.0,73.9,96.8
1170044,9.7,Type_C,9.1,79.7,101.0
1170045,7.5,Type_B,7.4,69.1,78.5
1170046,6.5,Type_A,7.8,110.5,77.1
1170047,8.3,Type_B,7.6,128.3,131.3
1170048,8.2,Type_A,8.4,101.9,110.5
1170049,7.1,Type_C,6.1,80.3,90.2
1170050,9.7,Type_B,6.1,110.9,88.6
1170051,6.6,Type_C,9.6,126.2,71.1
1170052,9.3,Type_A,8.4,104.3,46.1
1170053,9.6,Type_A,5.9,89.6,139.1
1170054,8.8,Type_A,6.2,68.3,64.3
1170055,6.2,Type_C,5.8,101.5,118.5
1170056,,Type_B,8.6,102.4,87.4
1170057,7.1,Type_A,7.8,110.0,74.6
1170058,9.1,Type_B,6.3,61.8,59.8
1170059,7.1,Type_B,9.1,106.7,135.7
1170060,7.7,Type_C,6.4,83.4,70.4
1170061,7.5,Type_A,7.4,112.7,68.1
1170062,7.9,Type_A,8.6,83.8,90.7
1170063,7.1,Type_C,7.6,64.9,105.1
1170064,6.3,Type_B,7.2,90.9,100.7
1170065,,Type_B,8.1,65.2,78.5
1170066,7.6,Type_B,8.6,47.1,77.0
1170067,7.9,Type_B,7.2,80.4,60.7
1170068,10.0,Type_C,7.7,115.5,154.6
1170069,9.6,Type_B,6.3,116.4,145.4
1170070,8.0,Type_C,5.2,150.2,81.2
1170071,10.0,Type_B,6.1,84.3,140.4
1170072,5.6,Type_A,8.5,103.0,71.2
1170073,10.0,Type_A,5.6,121.6,84.1
1170074,7.1,Type_B,6.5,47.5,12.9
1170075,8.4,Type_A,5.4,121.4,106.8
1170076,,Type_C,8.8,81.5,96.0
1170077,7.9,Type_A,6.6,99.6,98.4
1170078,6.2,Type_A,8.4,142.6,25.5
1170079,6.0,Type_B,7.8,108.7,137.1
1170080,5.7,Type_B,8.6,88.5,160.4
1170081,5.6,Type_A,6.4,86.7,105.6
1170082,5.0,Type_C,6.8,135.8,66.0
1170083,6.3,Type_A,7.2,98.5,108.2
1170084,3.2,Type_C,5.1,134.3,100.5
1170085,7.9,Type_B,4.7,49.9,137.0
1170086,5.7,Type_C,8.1,90.8,100.3
1170087,5.0,Type_A,8.1,140.2,144.4
1170088,7.0,Type_B,7.7,116.5,128.6
1170089,3.6,Type_B,7.4,94.9,127.7
1170090,4.5,Type_B,9.1,102.3,125.1
1170091,7.9,Type_A,6.3,148.5,96.3
1170092,8.0,Type_A,7.1,139.1,122.0
1170093,7.4,Type_A,5.6,124.5,119.6
1170094,6.5,Type_B,8.6,58.9,107.5
1170095,7.9,Type_A,6.0,118.2,83.1
1170096,6.2,Type_A,6.7,97.7,59.1
1170097,6.6,Type_B,9.5,103.7,87.7
1170098,7.6,Type_A,7.2,109.0,103.2
1170099,10.0,Type_A,8.1,105.6,101.0
1170100,9.1,Type_C,8.0,107.2,93.9
1170101,7.0,Type_C,6.6,74.0,89.0
1170102,6.3,Type_C,7.4,95.5,122.1
1170103,8.6,Type_A,7.6,103.5,63.4
1170104,7.8,Type_A,8.7,90.9,94.5
1170105,8.5,Type_A,8.7,108.6,162.5
1170106,7.8,Type_A,10.0,94.1,106.4
1170107,7.3,Type_B,7.0,81.8,106.3
1170108,10.0,Type_B,7.0,138.8,77.0
1170109,9.2,Type_B,9.7,116.9,130.3
1170110,,Type_B,5.5,102.7,134.7
1170111,6.2,Type_B,8.6,80.9,99.4
1170112,6.8,Type_B,8.1,113.2,106.1
1170113,5.2,Type_A,7.2,113.1,125.3
1170114,8.4,Type_A,8.4,116.9,66.3
1170115,8.5,Type_C,3.3,89.7,85.9
1170116,8.4,Type_C,4.4,122.0,117.4
1170117,6.6,Type_B,4.5,115.3,117.6
1170118,6.6,Type_B,10.0,100.8,105.9
1170119,4.7,Type_C,4.6,84.8,96.6
1170120,3.9,Type_B,8.0,74.2,97.5
1170121,6.7,Type_A,9.2,88.5,98.1
1170122,5.2,Type_B,10.0,106.7,96.2
1170123,6.6,Type_B,5.4,112.9,85.5
1170124,6.3,Type_A,10.0,85.8,81.1
1170125,7.9,Type_A,7.8,103.3,118.1
1170126,9.7,Type_B,6.9,90.9,84.7
1170127,10.0,Type_A,5.6,108.9,108.4
1170128,9.4,Type_B,8.1,100.0,121.5
1170129,7.9,Type_A,7.1,127.0,78.8
1170130,6.5,Type_A,5.4,71.3,158.0
1170131,7.5,Type_C,8.2,104.1,124.9
1170132,5.9,Type_B,7.8,82.1,81.3
1170133,8.3,Type_C,6.2,108.2,109.9
1170134,7.5,Type_A,8.5,97.7,88.3
1170135,7.2,Type_B,9.1,105.9,35.5
1170136,8.2,Type_A,7.3,107.6,105.1
1170137,6.0,Type_C,8.0,79.6,72.1
1170138,7.0,Type_C,6.6,100.9,97.1
1170139,7.0,Type_A,6.5,106.7,157.4
1170140,6.3,Type_A,6.7,77.0,107.6
1170141,6.9,Type_B,8.0,49.4,64.8
1170142,5.8,Type_B,9.5,88.8,131.8
1170143,8.3,Type_B,7.3,82.7,93.5
1170144,9.2,Type_B,6.5,109.0,96.5
1170145,6.5,Type_B,9.9,58.0,126.9
1170146,4.2,Type_B,8.2,80.7,130.3
1170147,5.1,Type_A,4.2,130.7,88.8
1170148,6.5,Type_A,6.7,36.7,101.9
1170149,8.0,Type_A,6.9,75.6,107.2
1170150,6.7,Type_B,7.3,70.9,92.9
