ProjectID,TeamSize,DeployCount_Weekly,SuccessRate_Percent,RollbackTime_Mins,PerformanceScore
1440001,55.7,163.4,220.0,483.2,357.3
1440002,446.6,50.9,443.1,85.7,475.0
1440003,243.6,59.2,376.9,339.4,431.8
1440004,95.0,264.7,165.7,497.2,61.7
1440005,358.4,272.4,329.8,394.1,376.9
1440006,258.9,441.7,425.6,164.8,240.6
1440007,234.9,161.6,25.5,181.0,488.9
1440008,405.6,385.0,267.4,479.0,166.8
1440009,343.2,139.9,131.0,313.8,112.8
1440010,154.6,52.9,25.0,128.0,113.9
1440011,299.8,27.3,101.3,141.7,54.2
1440012,55.9,232.5,214.0,227.5,482.8
1440013,401.3,213.8,256.6,75.0,163.4
1440014,140.6,495.0,342.3,32.7,185.3
1440015,312.6,397.6,220.2,89.6,110.3
1440016,155.4,346.9,352.2,429.3,391.6
1440017,494.9,67.1,147.9,380.1,157.5
1440018,201.8,413.7,361.7,236.8,276.0
1440019,212.5,276.0,87.8,321.4,25.7
1440020,278.3,126.6,316.8,43.6,409.2
1440021,493.1,207.8,435.5,355.0,54.8
1440022,276.7,12.2,366.0,147.2,499.5
1440023,358.8,184.5,213.6,495.0,48.1
1440024,451.3,352.4,14.4,286.1,398.6
1440025,107.0,102.2,334.2,453.3,144.6
1440026,38.0,284.7,454.7,143.0,162.9
1440027,468.3,232.1,175.6,126.2,76.1
1440028,59.0,106.1,489.7,481.7,357.9
1440029,408.0,129.7,317.8,94.3,436.4
1440030,332.2,282.1,155.4,285.1,285.7
1440031,242.3,492.0,275.3,431.7,77.3
1440032,141.2,238.3,330.0,131.6,107.8
1440033,81.7,22.7,257.9,430.6,326.9
1440034,224.6,409.0,318.4,203.7,447.2
1440035,231.2,114.2,178.8,143.1,371.5
1440036,299.9,423.7,254.6,65.8,115.4
1440037,96.7,342.7,317.3,160.3,301.8
1440038,366.9,87.2,311.1,204.8,278.9
1440039,245.3,407.7,245.7,60.0,183.7
1440040,463.4,252.4,406.9,323.6,329.3
1440041,462.0,29.4,278.2,192.9,192.8
1440042,321.2,344.9,359.2,174.1,335.5
1440043,318.5,45.1,105.1,167.7,276.3
