FlightID,Airline,ScheduledTime_Hour,Delay_Minutes,Weather_Severity,IsWeekend
FL00001,Tway,14,46.0,2.5,No
FL00002,Korean Air,11,27.0,1.4,Yes
FL00003,Jin Air,8,78.0,4.1,No
FL00004,Korean Air,9,58.0,3.6,No
FL00005,Asiana,19,77.0,4.2,No
FL00006,Korean Air,17,49.0,3.4,No
FL00007,Korean Air,19,37.0,1.8,Yes
FL00008,Asiana,15,86.0,3.4,Yes
FL00009,Korean Air,7,62.0,3.2,No
FL00010,Jeju Air,8,11.0,1.4,No
FL00011,Jeju Air,20,49.0,3.1,No
FL00012,Asiana,19,33.0,1.2,Yes
FL00013,Asiana,11,36.0,2.4,No
FL00014,Asiana,7,37.0,2.5,No
FL00015,Korean Air,22,89.0,3.7,No
FL00016,Korean Air,21,49.0,2.1,No
FL00017,Korean Air,9,39.0,2.5,No
FL00018,Asiana,15,75.0,3.6,No
FL00019,Korean Air,21,39.0,2.2,Yes
FL00020,Korean Air,14,25.0,2.5,No
FL00021,Jin Air,6,5.0,1.7,No
FL00022,Korean Air,18,79.0,4.3,No
FL00023,Korean Air,11,74.0,3.1,No
FL00024,Jin Air,16,62.0,3.0,No
FL00025,Korean Air,14,85.0,4.7,No
FL00026,Tway,10,90.0,5.0,No
FL00027,Jin Air,21,38.0,1.7,No
FL00028,Korean Air,21,84.0,4.3,No
FL00029,Asiana,7,21.0,2.1,No
FL00030,Korean Air,21,25.0,1.2,No
FL00031,Asiana,8,83.0,4.8,No
FL00032,Jeju Air,18,75.0,4.5,No
FL00033,Tway,9,82.0,4.5,Yes
FL00034,Asiana,10,57.0,1.9,Yes
FL00035,Asiana,18,60.0,3.7,Yes
FL00036,Jeju Air,20,48.0,2.9,No
FL00037,Tway,8,68.0,3.6,Yes
FL00038,Asiana,7,46.0,2.8,No
FL00039,Asiana,14,65.0,3.9,No
FL00040,Asiana,11,89.0,4.9,No
FL00041,Korean Air,10,32.0,1.5,Yes
FL00042,Tway,17,78.0,3.9,No
FL00043,Jeju Air,20,79.0,3.7,No
FL00044,Tway,21,58.0,2.5,No
FL00045,Asiana,14,42.0,2.4,Yes
FL00046,Asiana,13,18.0,1.0,Yes
FL00047,Jeju Air,10,64.0,3.8,No
FL00048,Jeju Air,19,123.0,4.7,No
FL00049,Jin Air,7,7.0,1.1,No
FL00050,Korean Air,10,11.0,1.4,Yes
FL00051,Korean Air,16,78.0,3.7,No
FL00052,Korean Air,15,26.0,1.1,Yes
FL00053,Korean Air,15,18.0,1.4,No
FL00054,Jeju Air,14,25.0,1.8,Yes
FL00055,Tway,18,50.0,2.8,No
FL00056,Korean Air,16,61.0,2.2,Yes
FL00057,Jeju Air,15,36.0,3.3,No
FL00058,Jeju Air,17,42.0,1.3,Yes
FL00059,Korean Air,17,45.0,2.0,No
FL00060,Jeju Air,11,95.0,4.9,No
FL00061,Korean Air,10,63.0,2.5,No
FL00062,Jin Air,19,22.0,1.9,No
FL00063,Korean Air,18,31.0,2.9,No
FL00064,Asiana,6,31.0,1.5,No
FL00065,Tway,12,49.0,3.0,No
FL00066,Asiana,23,83.0,3.9,No
FL00067,Tway,19,96.0,4.5,No
FL00068,Asiana,18,84.0,4.1,No
FL00069,Asiana,6,73.0,4.7,No
FL00070,Tway,8,23.0,1.7,Yes
FL00071,Korean Air,11,63.0,3.6,No
FL00072,Jin Air,23,49.0,2.9,No
FL00073,Korean Air,17,73.0,3.4,No
FL00074,Jeju Air,10,54.0,3.1,No
FL00075,Asiana,6,38.0,2.0,No
FL00076,Jeju Air,21,67.0,2.7,No
FL00077,Korean Air,9,61.0,4.4,No
FL00078,Tway,12,43.0,1.9,Yes
FL00079,Jin Air,19,61.0,3.1,No
FL00080,Tway,22,47.0,2.4,No
FL00081,Korean Air,12,42.0,2.6,No
FL00082,Jeju Air,6,30.0,1.6,Yes
FL00083,Asiana,14,66.0,4.3,No
FL00084,Korean Air,12,46.0,2.8,No
FL00085,Asiana,6,16.0,1.5,No
FL00086,Jin Air,18,45.0,1.7,No
FL00087,Asiana,15,28.0,1.2,Yes
FL00088,Tway,23,13.0,1.0,No
FL00089,Jeju Air,13,74.0,3.8,No
FL00090,Tway,18,91.0,4.4,No
FL00091,Jeju Air,14,80.0,3.9,Yes
FL00092,Asiana,8,88.0,4.2,Yes
FL00093,Korean Air,12,21.0,1.3,Yes
FL00094,Jeju Air,18,74.0,3.8,No
FL00095,Asiana,11,61.0,3.9,Yes
FL00096,Asiana,8,67.0,3.4,No
FL00097,Korean Air,7,44.0,2.9,No
FL00098,Jin Air,22,44.0,2.5,No
FL00099,Jeju Air,22,37.0,2.7,No
FL00100,Jin Air,20,12.0,1.5,No
FL00101,Korean Air,20,29.0,1.7,No
FL00102,Asiana,13,87.0,4.4,Yes
FL00103,Asiana,6,62.0,3.4,Yes
FL00104,Asiana,10,47.0,2.9,No
FL00105,Korean Air,9,81.0,4.6,No
FL00106,Jin Air,15,89.0,4.5,Yes
FL00107,Tway,10,24.0,1.1,No
FL00108,Korean Air,6,84.0,4.6,No
FL00109,Korean Air,10,91.0,4.7,No
FL00110,Korean Air,17,40.0,2.6,No
FL00111,Korean Air,20,82.0,5.0,No
FL00112,Korean Air,15,30.0,1.8,Yes
FL00113,Korean Air,9,70.0,3.6,Yes
FL00114,Korean Air,13,20.0,1.6,Yes
FL00115,Asiana,12,81.0,3.9,Yes
FL00116,Korean Air,10,0.0,1.3,No
FL00117,Asiana,8,58.0,3.5,Yes
FL00118,Korean Air,15,26.0,1.4,No
FL00119,Jeju Air,15,75.0,3.9,No
FL00120,Jin Air,18,71.0,4.0,Yes
FL00121,Tway,13,18.0,1.9,No
FL00122,Jeju Air,21,90.0,4.2,Yes
FL00123,Tway,15,75.0,4.6,Yes
FL00124,Jin Air,10,56.0,3.0,Yes
FL00125,Jin Air,17,99.0,3.9,No
FL00126,Korean Air,13,51.0,2.1,Yes
FL00127,Asiana,7,39.0,2.2,Yes
FL00128,Jeju Air,21,90.0,4.5,No
FL00129,Asiana,8,8.0,1.1,No
FL00130,Tway,17,77.0,3.3,No
FL00131,Jeju Air,14,,1.1,No
FL00132,Korean Air,12,62.0,4.1,No
FL00133,Jin Air,17,58.0,3.1,No
FL00134,Asiana,22,41.0,3.0,No
FL00135,Tway,6,34.0,3.9,No
FL00136,Jeju Air,21,91.0,4.8,No
FL00137,Jeju Air,13,84.0,4.7,No
FL00138,Korean Air,19,102.0,4.3,Yes
FL00139,Asiana,23,34.0,1.3,No
FL00140,Asiana,7,24.0,2.2,No
FL00141,Asiana,20,86.0,3.9,Yes
FL00142,Korean Air,15,93.0,4.3,Yes
FL00143,Asiana,17,33.0,2.0,No
FL00144,Jin Air,15,61.0,2.3,No
FL00145,Jeju Air,13,76.0,4.4,No
FL00146,Korean Air,21,116.0,5.0,Yes
FL00147,Asiana,12,73.0,4.0,No
FL00148,Asiana,8,74.0,4.9,No
FL00149,Korean Air,15,83.0,4.2,Yes
FL00150,Asiana,6,15.0,1.5,Yes
FL00151,Tway,13,72.0,3.5,No
FL00152,Korean Air,19,54.0,3.7,No
FL00153,Jeju Air,20,23.0,1.4,No
FL00154,Jeju Air,23,93.0,4.3,No
FL00155,Tway,16,57.0,2.8,Yes
FL00156,Asiana,22,45.0,1.5,No
FL00157,Asiana,15,32.0,1.4,No
FL00158,Asiana,12,46.0,2.7,No
FL00159,Korean Air,7,36.0,3.8,No
FL00160,Asiana,8,0.0,1.2,No
FL00161,Tway,18,33.0,1.6,No
FL00162,Asiana,11,25.0,1.7,No
FL00163,Korean Air,10,51.0,2.6,Yes
FL00164,Korean Air,22,56.0,2.6,No
FL00165,Tway,7,69.0,4.3,No
FL00166,Korean Air,12,14.0,1.4,No
FL00167,Jeju Air,9,37.0,2.0,No
FL00168,Jin Air,12,55.0,3.6,No
FL00169,Asiana,13,73.0,3.7,No
FL00170,Jeju Air,8,44.0,2.3,No
FL00171,Korean Air,14,75.0,3.8,No
FL00172,Korean Air,7,27.0,2.7,No
FL00173,Korean Air,20,115.0,4.6,Yes
FL00174,Tway,18,72.0,4.8,No
FL00175,Korean Air,13,31.0,1.0,No
