TransactionID,ItemCount,FreshProduce_Percent,CouponUsed,PaymentMethod,TotalSpend
1290001,289.6,58.2,0,484.5,111.5
1290002,141.4,461.6,0,78.6,300.0
1290003,306.6,440.8,1,172.8,318.8
1290004,51.6,150.5,0,67.3,473.0
1290005,487.1,297.5,0,23.6,486.3
1290006,263.0,301.9,1,78.6,48.3
1290007,445.6,37.6,1,293.1,16.2
1290008,57.7,458.7,1,167.5,41.3
1290009,53.7,384.3,0,221.6,482.2
1290010,19.0,88.6,1,268.1,478.0
1290011,394.3,65.6,0,130.0,258.0
1290012,20.9,108.8,1,432.0,348.5
1290013,89.4,42.2,0,11.0,86.2
1290014,218.0,66.7,0,336.1,74.4
1290015,122.0,96.6,1,373.0,199.1
1290016,97.1,403.0,1,35.7,391.1
1290017,435.6,294.7,1,169.3,453.4
1290018,173.7,267.0,1,172.1,357.2
1290019,404.1,214.3,0,406.6,289.4
1290020,236.6,186.4,0,402.9,384.2
1290021,194.0,205.6,1,408.0,243.6
1290022,328.3,205.8,1,230.5,464.0
1290023,226.3,197.9,0,461.5,420.2
1290024,91.5,374.2,0,57.2,317.4
1290025,251.1,69.6,0,191.1,302.3
1290026,398.8,380.8,0,469.3,466.7
1290027,58.4,472.7,0,51.9,333.9
1290028,147.7,136.6,1,225.7,188.7
1290029,204.3,244.2,0,119.0,135.3
1290030,406.9,106.4,1,66.8,330.2
1290031,84.6,66.9,0,130.2,28.3
1290032,193.2,274.8,1,221.1,292.4
1290033,473.2,143.3,0,35.9,61.2
1290034,301.9,13.7,1,313.8,15.4
1290035,366.7,224.3,0,330.9,262.5
1290036,114.1,34.8,1,181.8,60.1
1290037,171.6,149.2,1,450.3,491.3
1290038,68.6,282.7,0,163.6,345.0
1290039,99.0,350.3,0,431.5,213.6
1290040,116.0,52.1,0,198.2,280.0
1290041,71.4,287.2,0,222.1,247.3
1290042,480.6,23.6,0,36.9,464.2
1290043,361.2,272.0,0,58.1,409.7
1290044,104.5,93.6,1,28.2,410.9
1290045,55.8,184.7,0,466.9,360.0
1290046,38.2,101.2,1,170.4,202.8
1290047,47.2,17.8,1,417.2,449.8
1290048,339.3,41.6,0,183.3,229.5
1290049,158.2,22.2,0,450.8,204.0
1290050,238.0,11.1,1,143.1,490.1
1290051,124.3,380.9,0,169.7,287.9
1290052,247.3,291.6,0,374.2,416.5
1290053,415.9,498.1,1,266.8,408.4
1290054,80.9,400.1,1,87.1,326.6
1290055,239.0,175.9,1,105.2,29.2
1290056,18.0,10.6,1,104.6,166.3
1290057,180.3,365.5,1,85.0,67.1
1290058,212.5,283.1,0,367.7,19.2
1290059,138.4,30.6,1,429.9,71.8
1290060,194.6,383.4,1,296.8,456.9
1290061,144.1,55.2,0,401.7,214.6
1290062,453.6,375.2,1,277.0,171.9
1290063,37.7,79.2,1,293.2,460.9
1290064,320.0,202.9,1,155.0,473.4
1290065,435.8,268.6,1,201.5,167.3
1290066,194.7,348.9,0,67.1,109.8
1290067,392.5,462.2,0,142.4,175.9
1290068,235.5,,1,464.3,118.6
1290069,214.2,250.1,1,170.0,477.7
1290070,433.4,77.4,0,321.6,274.2
1290071,185.1,371.8,0,255.6,220.0
1290072,316.9,,0,252.2,135.2
1290073,137.7,433.0,0,45.5,307.6
1290074,479.2,269.6,0,133.8,384.6
1290075,119.9,494.9,1,191.3,70.4
1290076,348.3,368.0,1,479.8,217.5
1290077,263.7,194.2,1,74.3,26.7
1290078,139.8,410.9,0,357.9,244.2
1290079,99.1,116.3,0,285.0,295.7
1290080,247.2,308.5,1,280.2,199.0
1290081,170.6,316.8,1,289.7,223.1
1290082,121.5,416.7,0,473.6,421.7
1290083,495.7,284.9,0,136.3,497.7
1290084,13.1,69.7,1,419.0,348.3
1290085,279.1,125.8,1,210.4,147.9
1290086,50.9,84.1,1,30.2,42.5
1290087,257.6,,1,470.4,195.8
1290088,233.9,66.4,1,299.3,32.6
1290089,122.3,291.4,1,61.8,496.3
1290090,331.8,262.2,0,353.5,437.0
1290091,445.9,483.0,0,51.5,230.5
1290092,458.6,269.9,1,192.4,126.7
1290093,12.3,408.6,0,378.6,159.6
1290094,424.5,131.2,1,411.5,357.3
1290095,308.4,212.2,1,396.1,430.8
1290096,32.5,376.4,0,242.2,471.0
1290097,99.8,11.2,1,18.4,96.0
1290098,451.3,468.2,1,432.2,25.4
1290099,90.0,124.8,1,125.4,242.5
1290100,76.7,290.0,0,252.8,238.2
1290101,52.8,430.9,1,185.0,80.9
1290102,84.0,75.6,1,361.2,282.5
1290103,312.6,212.4,1,144.9,65.8
1290104,300.3,263.7,0,350.4,119.9
1290105,52.7,70.0,1,389.4,328.9
1290106,288.0,169.0,0,34.4,65.5
1290107,370.6,33.6,0,226.5,409.1
1290108,434.8,219.7,1,143.7,411.5
1290109,130.6,418.4,0,246.3,354.9
1290110,108.5,160.3,1,378.1,124.4
1290111,374.7,121.8,0,295.6,302.4
1290112,307.6,131.9,1,77.2,500.0
