Date,Steps,ActiveMinutes,HeartRate_Avg,SleepHours,SleepQuality
2023-01-01,5817,70,68,6.6,9
2023-01-02,14067,147,74,6.0,5
2023-01-03,5262,62,70,6.7,7
2023-01-04,16670,179,68,8.5,9
2023-01-05,7490,86,65,5.6,5
2023-01-06,6555,71,62,6.1,5
2023-01-07,5586,73,66,7.9,8
2023-01-08,5557,63,83,8.8,9
2023-01-09,10156,113,78,7.3,8
2023-01-10,11666,129,61,7.1,8
2023-01-11,4597,47,64,8.8,9
2023-01-12,8686,90,71,6.2,6
2023-01-13,10316,114,75,6.5,6
2023-01-14,9115,105,60,7.9,9
2023-01-15,10101,104,84,7.1,7
2023-01-16,2794,35,81,7.0,7
2023-01-17,6952,86,73,5.4,6
2023-01-18,5195,62,68,5.3,4
2023-01-19,10410,113,71,5.5,6
2023-01-20,8393,91,79,5.6,5
2023-01-21,3336,43,71,6.4,5
2023-01-22,9506,100,83,8.2,9
2023-01-23,9076,95,65,7.3,8
2023-01-24,5618,66,78,6.4,7
2023-01-25,17632,188,67,7.5,9
2023-01-26,11791,128,81,6.6,7
2023-01-27,9516,108,79,6.8,6
2023-01-28,9880,109,63,6.1,7
2023-01-29,3010,38,63,7.0,7
2023-01-30,5567,67,60,7.4,10
2023-01-31,10076,106,71,6.0,5
2023-02-01,9623,104,71,7.4,7
2023-02-02,13887,145,62,5.5,6
2023-02-03,2221,30,68,5.8,6
2023-02-04,8727,96,70,5.9,6
2023-02-05,9598,107,72,6.9,8
2023-02-06,12325,131,69,6.5,6
2023-02-07,8402,93,68,6.4,6
2023-02-08,12691,139,61,6.0,5
2023-02-09,2737,45,66,8.4,8
2023-02-10,17869,189,69,8.3,8
2023-02-11,14692,160,75,7.6,9
2023-02-12,8231,90,69,4.4,4
2023-02-13,13321,138,73,7.9,9
2023-02-14,14497,158,68,7.3,8
2023-02-15,9364,107,74,7.1,9
2023-02-16,10612,119,84,5.7,7
2023-02-17,10706,116,66,5.0,6
2023-02-18,10523,114,83,6.6,6
2023-02-19,8082,89,77,5.4,4
2023-02-20,7495,87,78,8.6,9
2023-02-21,2923,37,67,6.4,8
2023-02-22,12538,136,81,5.1,5
2023-02-23,11779,128,81,7.1,7
2023-02-24,10748,113,63,7.5,7
2023-02-25,16557,173,84,6.1,7
2023-02-26,12285,135,84,6.2,7
2023-02-27,8624,103,81,6.8,8
2023-02-28,11405,124,77,5.7,6
2023-03-01,6684,76,66,5.0,6
2023-03-02,14780,157,67,7.3,8
2023-03-03,8357,102,65,5.4,5
2023-03-04,5860,67,74,7.0,8
2023-03-05,6737,88,73,7.4,9
2023-03-06,11736,120,65,5.2,5
2023-03-07,6722,74,77,6.7,7
2023-03-08,12976,134,63,6.5,7
2023-03-09,19726,210,70,5.9,4
2023-03-10,5110,56,62,6.6,7
2023-03-11,14283,157,69,7.0,8
2023-03-12,8430,101,78,8.4,9
2023-03-13,8271,91,80,5.6,7
2023-03-14,3803,53,81,7.3,7
2023-03-15,5018,64,63,6.8,7
2023-03-16,9948,110,76,4.8,5
2023-03-17,9058,99,83,8.1,7
2023-03-18,10372,111,84,6.5,7
2023-03-19,10833,121,71,6.3,6
2023-03-20,10388,108,72,7.0,8
2023-03-21,5357,60,74,7.9,8
2023-03-22,6131,82,84,6.4,7
2023-03-23,10381,114,64,7.6,8
2023-03-24,10584,118,66,7.7,8
2023-03-25,10433,113,84,7.9,7
2023-03-26,8424,90,64,6.1,6
2023-03-27,7860,90,82,8.0,7
2023-03-28,9299,95,81,6.3,6
2023-03-29,7883,92,63,7.0,7
2023-03-30,10385,120,82,8.5,10
2023-03-31,6621,72,72,7.6,8
2023-04-01,5490,70,77,8.6,8
2023-04-02,9443,102,70,7.3,7
2023-04-03,6209,71,60,6.9,7
2023-04-04,23998,257,67,7.2,8
2023-04-05,7875,90,74,6.6,6
2023-04-06,10707,118,65,6.9,7
2023-04-07,2728,41,69,6.7,5
2023-04-08,7032,81,62,5.9,5
2023-04-09,7390,82,61,5.8,5
2023-04-10,3955,41,66,6.6,8
2023-04-11,10228,113,81,6.6,7
2023-04-12,7672,83,71,8.3,9
2023-04-13,16363,170,84,7.4,7
2023-04-14,9023,101,65,6.0,5
2023-04-15,6802,77,83,4.8,5
2023-04-16,13944,140,61,5.9,7
2023-04-17,8416,92,71,5.6,6
2023-04-18,9270,102,69,5.7,6
2023-04-19,4375,50,60,7.6,7
2023-04-20,11432,127,76,7.6,8
2023-04-21,7729,90,63,8.8,10
2023-04-22,7051,82,71,7.8,7
2023-04-23,7212,79,64,7.6,10
2023-04-24,11733,124,79,8.1,9
2023-04-25,7284,86,68,7.1,7
2023-04-26,7028,82,77,6.7,8
2023-04-27,3376,48,71,6.7,6
2023-04-28,7526,81,61,7.3,8
2023-04-29,12484,133,72,6.8,8
2023-04-30,5354,70,63,7.0,7
2023-05-01,7585,89,67,7.9,8
2023-05-02,3863,47,81,8.8,9
2023-05-03,13462,143,65,6.8,7
2023-05-04,16955,177,63,4.2,4
2023-05-05,9474,105,62,6.0,6
2023-05-06,9853,102,63,6.6,7
2023-05-07,6425,76,79,6.4,6
2023-05-08,11582,130,60,7.9,7
2023-05-09,5281,69,82,5.1,6
2023-05-10,17004,192,79,6.9,7
2023-05-11,4447,55,61,8.4,8
2023-05-12,7297,85,78,7.7,8
2023-05-13,7520,90,84,6.7,7
2023-05-14,18177,195,77,6.3,7
2023-05-15,8759,102,83,7.6,7
2023-05-16,11108,106,82,6.9,8
2023-05-17,10404,118,65,5.0,6
2023-05-18,3568,46,73,6.3,7
2023-05-19,9796,114,60,7.4,8
2023-05-20,14341,147,83,7.0,8
2023-05-21,13336,141,61,7.3,8
2023-05-22,16626,176,83,8.0,10
2023-05-23,3828,47,78,6.6,9
2023-05-24,4665,52,65,6.7,7
2023-05-25,10395,117,63,8.3,9
