SensorID,TrainSpeedKmh,VibrationDecibel,DistanceToTrack_Meters,FrequencyHz,StructureSafetyLevel
1600001,9.5,52.4,2.7,72.1,64.2
1600002,16.7,20.4,12.7,81.1,133.1
1600003,4.5,21.0,2.3,101.8,83.4
1600004,7.3,52.8,2.2,60.3,122.5
1600005,20.8,30.5,13.4,66.3,117.3
1600006,15.0,60.5,5.8,125.0,52.8
1600007,10.0,36.0,11.7,95.1,89.7
1600008,6.1,49.3,1.3,73.9,92.9
1600009,17.4,32.4,21.4,73.0,118.8
1600010,7.5,49.6,13.0,157.6,86.9
1600011,9.0,46.6,1.7,78.8,79.8
1600012,11.3,44.9,11.4,78.3,116.1
1600013,2.0,64.1,13.3,85.7,51.2
1600014,23.4,70.8,14.7,87.5,67.2
1600015,11.2,56.1,5.5,161.4,75.7
1600016,3.9,14.3,1.1,62.4,90.7
1600017,12.1,,13.8,72.6,86.0
1600018,14.4,17.8,7.1,117.1,105.5
1600019,13.6,64.5,0.5,77.9,84.2
1600020,18.9,33.0,1.1,132.3,164.6
1600021,5.4,31.3,3.1,59.1,98.7
1600022,20.2,53.3,5.6,82.2,67.9
1600023,21.5,55.6,5.5,112.5,107.5
1600024,16.6,57.1,15.5,114.1,106.9
1600025,11.1,40.6,6.5,100.5,133.1
1600026,5.6,61.0,1.0,116.6,128.4
1600027,11.3,49.3,32.3,84.8,128.7
1600028,17.6,78.2,10.2,81.7,76.7
1600029,6.4,48.2,1.5,99.0,109.6
1600030,14.3,37.8,0.1,85.7,110.3
1600031,10.4,45.7,1.1,109.9,81.3
1600032,3.3,38.5,5.9,61.1,120.8
1600033,16.2,30.3,11.6,95.2,111.6
1600034,16.6,37.7,5.0,84.8,123.6
1600035,8.5,47.4,14.7,106.9,83.1
1600036,12.7,13.3,14.3,65.6,75.8
1600037,8.2,27.5,4.0,119.9,71.0
1600038,18.0,30.3,15.1,74.0,110.0
1600039,6.7,51.7,2.6,102.0,139.9
1600040,6.6,43.4,11.4,84.7,91.9
1600041,12.1,31.5,2.4,108.5,120.0
1600042,13.7,59.6,13.1,91.7,93.2
1600043,19.6,36.0,5.8,91.3,39.8
1600044,10.5,45.9,3.6,98.0,133.4
1600045,16.1,49.3,6.2,81.4,92.7
1600046,11.5,44.2,2.6,124.9,97.4
1600047,12.4,50.1,0.9,122.9,84.4
1600048,14.5,61.5,6.2,101.5,106.2
1600049,6.8,45.6,1.8,83.0,94.4
1600050,14.2,17.0,3.2,138.9,86.1
1600051,10.0,42.4,9.1,95.5,133.6
1600052,9.4,53.4,7.3,109.9,125.3
1600053,14.1,61.3,20.1,113.4,65.4
1600054,7.0,20.4,3.9,78.5,66.5
1600055,7.2,46.7,2.4,156.9,127.8
1600056,10.4,23.4,2.3,116.7,137.1
1600057,19.8,47.0,8.6,119.1,74.3
1600058,3.9,44.5,6.8,103.7,82.6
1600059,21.7,63.2,4.5,84.6,91.8
1600060,16.4,52.2,0.2,79.0,119.0
1600061,12.6,32.2,7.7,139.0,124.9
1600062,14.3,64.0,1.6,107.8,80.1
1600063,14.4,39.3,8.7,110.0,74.7
1600064,19.9,49.9,4.8,112.8,85.4
1600065,16.1,40.0,0.1,73.4,133.6
1600066,14.3,22.6,5.9,72.8,79.5
1600067,8.3,59.7,14.9,67.6,74.9
1600068,7.3,53.7,1.2,88.0,76.1
1600069,15.3,65.3,1.7,83.9,79.5
1600070,7.6,30.2,4.4,131.8,65.3
1600071,8.6,57.8,3.2,102.5,128.4
1600072,17.5,47.4,7.5,70.0,127.6
1600073,12.0,52.8,1.6,111.8,105.2
1600074,8.8,17.3,7.1,77.6,131.0
1600075,6.1,54.6,8.9,112.3,140.0
1600076,16.2,55.2,5.4,141.9,91.7
1600077,14.5,60.9,3.1,55.8,73.9
1600078,15.7,51.6,5.9,98.2,101.2
1600079,20.1,51.3,5.4,124.4,86.2
1600080,11.6,37.1,6.1,114.8,29.7
1600081,7.0,40.0,11.4,128.5,99.6
1600082,15.1,43.1,6.1,87.8,147.7
1600083,10.9,43.7,14.6,90.3,134.3
1600084,1.0,41.1,1.8,106.3,112.7
1600085,19.5,30.8,5.9,106.9,71.8
1600086,20.9,9.9,17.9,72.1,103.2
1600087,12.3,68.9,2.9,104.6,103.1
1600088,20.1,48.2,13.9,107.9,97.8
1600089,11.6,35.2,6.7,85.5,98.6
1600090,6.3,38.1,2.7,76.8,111.2
1600091,1.0,50.5,2.6,83.6,101.6
1600092,15.2,16.4,7.1,71.7,106.7
1600093,11.2,40.1,8.4,105.4,78.3
1600094,13.9,33.0,7.1,70.6,107.0
1600095,16.2,59.6,1.9,84.1,97.6
1600096,19.1,59.1,0.4,112.0,113.7
1600097,17.2,73.4,2.1,71.9,115.7
1600098,13.3,50.9,35.5,131.4,94.1
1600099,11.2,48.9,11.0,125.7,106.7
1600100,9.6,33.1,5.8,102.3,102.8
1600101,11.0,40.5,1.8,129.7,98.4
1600102,11.2,71.9,1.6,85.6,111.0
1600103,17.3,36.5,27.3,83.7,82.0
1600104,1.2,66.8,7.7,105.1,83.4
1600105,8.7,31.1,5.1,69.2,44.3
1600106,11.4,48.6,3.8,90.6,122.5
1600107,9.2,40.7,1.5,68.9,109.0
1600108,7.0,60.4,10.6,132.6,66.4
1600109,12.8,44.2,4.2,105.5,96.2
1600110,8.3,37.1,6.6,110.1,87.6
1600111,14.6,41.0,7.1,126.1,98.3
1600112,18.1,48.2,3.1,130.2,98.6
1600113,14.9,35.7,4.1,138.8,96.1
1600114,10.1,49.5,25.8,129.2,135.5
1600115,8.7,25.8,4.9,93.7,78.5
1600116,9.6,41.1,3.8,93.4,78.3
1600117,12.5,47.1,4.4,153.3,112.7
1600118,19.8,37.4,12.9,134.5,88.0
1600119,6.7,39.1,2.4,96.9,150.2
1600120,10.7,62.4,2.6,132.7,124.2
1600121,9.0,20.6,14.9,67.5,89.8
1600122,9.0,53.0,7.5,107.0,102.5
1600123,18.6,61.3,7.4,101.9,100.3
1600124,8.6,59.9,6.1,66.3,142.2
1600125,14.6,48.0,2.8,69.3,83.1
1600126,15.1,14.9,0.1,49.9,115.0
1600127,10.3,36.1,12.1,114.5,123.0
1600128,16.8,39.7,1.0,120.8,98.9
1600129,15.5,65.2,12.6,99.9,81.5
1600130,7.9,36.0,11.9,115.6,82.5
1600131,17.6,56.6,7.0,22.0,110.7
1600132,8.9,64.6,4.3,113.6,140.3
1600133,9.0,54.8,0.2,122.0,121.4
1600134,18.3,42.5,5.2,109.3,102.6
1600135,9.8,36.7,29.1,112.0,87.7
1600136,7.1,51.3,1.8,119.1,58.9
1600137,19.1,38.4,5.5,75.4,68.0
1600138,7.6,39.2,20.7,111.3,135.7
1600139,9.7,43.1,13.9,71.4,88.3
1600140,18.7,47.2,8.8,81.7,112.2
1600141,4.4,37.5,2.0,79.4,92.4
1600142,4.9,21.2,1.9,70.8,89.4
1600143,15.6,37.2,2.4,120.1,46.4
1600144,13.8,51.8,26.5,93.6,79.9
1600145,13.3,34.4,13.7,126.5,121.0
1600146,5.3,27.3,0.4,95.0,104.1
1600147,1.3,27.7,5.7,122.2,109.6
