UserID,HRV_ms,AveragePulse,ActivitySteps,StressScore,SleepQualityScore
1230001,28.7,32.0,55.6,6.5,6.5
1230002,60.0,50.0,70.0,8.1,8.8
1230003,49.2,52.0,127.4,9.0,6.6
1230004,22.4,28.0,121.5,8.5,6.7
1230005,36.3,49.0,62.0,10.0,6.2
1230006,69.8,16.0,88.8,7.4,7.4
1230007,10.0,39.0,111.6,9.1,7.2
1230008,38.6,26.0,109.8,5.5,7.4
1230009,64.0,31.0,59.3,8.5,7.4
1230010,32.0,24.0,106.5,6.9,4.9
1230011,34.8,50.0,84.8,7.0,8.2
1230012,43.6,50.0,130.0,9.3,5.1
1230013,67.4,32.0,95.0,8.7,6.7
1230014,35.4,47.0,109.0,6.9,9.1
1230015,38.3,46.0,97.3,10.0,8.1
1230016,38.5,40.0,116.7,9.1,9.5
1230017,78.1,72.0,80.8,6.5,6.5
1230018,77.8,30.0,116.7,3.6,6.4
1230019,60.1,42.0,130.2,7.6,9.0
1230020,50.8,37.0,145.9,6.6,7.4
1230021,56.1,37.0,139.6,6.3,10.0
1230022,67.4,44.0,86.6,6.5,5.8
1230023,31.0,38.0,114.4,7.4,8.3
1230024,62.6,30.0,120.2,9.2,8.2
1230025,26.2,44.0,114.8,5.7,9.0
1230026,35.4,59.0,118.8,7.1,8.1
1230027,58.6,55.0,110.6,6.9,8.3
1230028,23.6,45.0,86.4,6.0,7.5
1230029,42.9,32.0,105.2,7.6,8.7
1230030,32.1,45.0,121.2,9.9,6.5
1230031,41.2,57.0,111.5,8.1,8.6
1230032,10.0,59.0,72.6,7.3,10.0
1230033,18.4,47.0,78.1,6.5,6.2
1230034,34.5,37.0,89.8,7.3,8.3
1230035,58.9,39.0,94.9,4.6,7.9
1230036,42.4,53.0,103.9,7.1,5.8
1230037,45.0,52.0,75.6,6.9,7.4
1230038,55.3,17.0,119.9,7.9,8.6
1230039,31.8,51.0,53.6,8.6,8.4
1230040,49.3,52.0,113.2,8.3,5.9
1230041,32.9,30.0,112.7,7.0,7.6
1230042,19.1,31.0,116.1,6.4,7.9
1230043,39.1,31.0,23.3,6.3,8.6
1230044,53.6,32.0,66.3,6.0,7.3
1230045,50.1,22.0,91.2,6.3,6.4
1230046,44.8,46.0,104.2,7.0,8.9
1230047,80.9,31.0,98.0,5.4,5.6
1230048,51.2,41.0,79.7,7.9,6.2
1230049,59.7,35.0,132.1,7.0,8.4
1230050,78.6,46.0,108.1,5.9,7.7
1230051,25.6,28.0,90.1,6.2,7.4
1230052,29.4,45.0,75.3,8.5,6.0
1230053,71.2,47.0,101.7,8.6,8.6
1230054,33.0,54.0,131.5,10.0,8.1
1230055,45.4,70.0,100.9,8.1,10.0
1230056,61.0,13.0,99.2,6.2,8.3
1230057,58.4,46.0,101.7,6.1,5.1
1230058,71.3,32.0,103.0,7.8,7.4
1230059,67.4,15.0,94.2,8.4,7.1
1230060,61.0,54.0,75.7,9.3,7.0
1230061,33.4,61.0,138.2,5.9,6.9
1230062,56.9,37.0,115.9,7.4,7.4
1230063,49.7,45.0,152.9,5.5,6.1
1230064,25.1,41.0,112.4,7.8,4.8
1230065,66.3,48.0,94.2,5.7,7.8
1230066,57.1,54.0,76.4,9.4,8.8
1230067,45.7,47.0,91.8,6.0,7.9
1230068,41.5,47.0,71.2,8.1,7.6
1230069,27.0,60.0,152.4,7.4,6.0
1230070,48.0,40.0,99.6,7.3,8.5
1230071,52.0,55.0,119.7,4.5,4.2
1230072,32.5,30.0,124.0,7.1,10.0
1230073,62.4,64.0,127.0,5.7,6.4
1230074,28.5,52.0,163.7,6.3,8.3
1230075,13.2,36.0,97.6,7.9,6.5
1230076,60.6,12.0,95.5,10.0,7.4
1230077,38.9,42.0,104.1,10.0,6.7
1230078,43.1,25.0,118.7,8.0,4.2
1230079,32.4,46.0,104.5,7.8,8.1
1230080,,62.0,93.3,6.7,5.6
1230081,63.8,44.0,82.1,5.7,5.5
1230082,34.7,40.0,80.6,7.9,6.5
1230083,69.9,47.0,106.7,6.5,6.8
1230084,57.1,46.0,75.0,9.8,7.7
1230085,40.3,9.0,54.6,10.0,6.4
1230086,28.7,45.0,102.9,10.0,10.0
1230087,34.0,51.0,129.1,6.2,4.9
1230088,26.8,38.0,116.5,6.4,6.7
1230089,76.3,56.0,99.6,5.4,7.9
1230090,47.5,40.0,110.1,8.2,8.8
1230091,62.3,53.0,58.8,5.9,8.1
1230092,26.0,74.0,82.8,6.3,8.5
1230093,47.7,41.0,142.0,5.9,6.2
1230094,62.7,15.0,129.6,6.4,8.1
1230095,40.0,37.0,82.2,9.7,9.2
1230096,60.5,18.0,143.9,3.5,7.9
1230097,28.7,51.0,82.1,8.0,10.0
1230098,24.5,60.0,79.4,6.0,7.1
1230099,50.7,52.0,138.4,10.0,6.7
1230100,39.3,46.0,132.7,8.4,4.6
1230101,54.6,33.0,85.3,5.7,6.5
1230102,15.3,64.0,98.8,6.3,8.0
1230103,55.7,53.0,91.5,6.3,8.5
1230104,84.0,46.0,112.6,8.9,9.3
1230105,44.6,45.0,139.2,9.7,7.5
1230106,45.5,44.0,113.3,7.4,6.3
1230107,47.7,48.0,97.2,7.0,5.2
1230108,17.1,33.0,66.3,8.8,6.9
1230109,51.4,63.0,119.4,7.2,5.7
1230110,20.9,44.0,69.4,7.9,6.9
1230111,38.6,50.0,95.3,7.5,5.1
1230112,63.6,36.0,124.0,6.0,6.7
1230113,34.0,47.0,120.3,9.2,6.3
1230114,52.5,10.0,121.0,6.3,8.7
1230115,60.2,26.0,117.5,10.0,5.4
1230116,49.2,42.0,103.6,9.0,4.7
1230117,24.4,23.0,107.6,7.5,8.4
1230118,40.0,76.0,102.3,5.3,9.5
1230119,74.4,19.0,112.1,9.7,8.4
1230120,14.6,47.0,113.4,7.7,7.0
1230121,,65.0,103.3,8.5,5.9
1230122,36.7,49.0,112.8,9.4,6.9
1230123,46.8,38.0,82.9,5.5,6.6
1230124,56.2,34.0,92.3,7.7,5.4
1230125,69.1,51.0,105.8,6.6,7.2
1230126,40.9,31.0,148.1,7.7,9.1
1230127,57.2,40.0,113.2,7.9,8.5
1230128,52.5,52.0,96.6,4.7,7.7
1230129,52.1,38.0,94.5,6.9,7.1
1230130,36.5,43.0,118.6,7.3,5.7
1230131,30.0,38.0,97.6,5.3,8.8
1230132,28.5,28.0,115.9,6.1,5.0
1230133,33.7,59.0,112.8,7.4,4.0
1230134,49.8,62.0,68.8,8.2,7.1
1230135,56.4,38.0,111.8,7.0,6.6
1230136,49.9,38.0,111.6,6.2,6.7
1230137,36.8,40.0,119.9,5.7,8.3
1230138,72.1,50.0,79.1,6.7,8.0
1230139,67.8,29.0,127.4,6.0,8.2
1230140,39.7,41.0,95.8,8.1,8.8
1230141,32.6,46.0,149.7,7.6,5.3
1230142,47.0,51.0,143.8,6.2,9.8
1230143,64.0,3.0,84.8,7.5,5.9
1230144,50.0,48.0,65.8,10.0,7.7
1230145,53.3,47.0,117.4,8.3,10.0
1230146,41.8,56.0,79.5,7.6,9.6
1230147,51.8,35.0,128.7,8.3,9.3
1230148,68.2,35.0,113.2,9.1,7.2
1230149,41.4,59.0,63.7,4.9,5.0
1230150,47.1,20.0,119.6,6.6,5.6
1230151,48.8,65.0,103.4,6.3,6.7
1230152,49.3,78.0,110.3,6.2,6.2
1230153,23.8,49.0,138.1,10.0,6.1
1230154,16.8,53.0,96.8,8.0,6.8
1230155,29.7,21.0,119.0,8.9,6.2
1230156,47.5,32.0,85.0,7.6,6.4
1230157,53.3,57.0,85.7,10.0,7.3
1230158,37.0,47.0,94.5,4.2,5.7
1230159,65.7,39.0,84.5,6.5,8.3
1230160,42.9,45.0,114.2,6.5,8.6
1230161,45.3,49.0,66.9,6.7,6.5
1230162,42.1,38.0,120.7,8.6,7.2
1230163,47.0,42.0,81.0,7.3,9.5
1230164,55.6,41.0,109.4,8.2,8.4
1230165,55.0,27.0,70.3,8.8,9.6
1230166,31.5,47.0,111.9,7.5,8.4
1230167,67.9,67.0,127.1,8.3,8.7
1230168,28.6,66.0,100.2,6.5,6.4
1230169,46.2,21.0,138.7,6.2,7.2
1230170,40.9,50.0,96.5,5.9,6.1
1230171,29.3,51.0,110.3,7.3,7.3
1230172,43.9,36.0,76.9,5.8,8.0
1230173,33.9,29.0,111.0,5.6,7.6
1230174,46.1,24.0,85.8,8.2,5.0
1230175,51.0,36.0,82.0,5.8,6.0
1230176,67.1,47.0,139.5,8.1,5.4
1230177,49.6,40.0,68.2,6.7,7.7
1230178,35.8,33.0,97.1,6.3,6.6
1230179,39.1,25.0,117.8,8.6,7.6
1230180,47.1,47.0,105.9,8.7,4.1
1230181,46.4,57.0,53.8,7.5,7.3
1230182,66.9,29.0,115.1,9.3,5.7
1230183,65.9,48.0,65.5,4.7,8.3
1230184,39.6,16.0,88.9,8.8,8.4
1230185,36.8,33.0,93.9,6.0,8.0
1230186,10.0,52.0,27.0,6.9,8.6
1230187,36.8,26.0,97.4,7.7,8.4
1230188,30.3,34.0,116.6,6.2,6.4
1230189,39.7,62.0,95.7,7.1,5.0
1230190,50.9,32.0,104.6,6.6,8.3
1230191,47.7,30.0,156.5,6.9,7.7
1230192,44.6,50.0,128.1,10.0,3.8
1230193,48.0,69.0,101.5,4.4,4.6
1230194,,39.0,164.7,6.9,5.3
1230195,48.0,53.0,84.1,7.8,7.1
1230196,,61.0,113.0,5.5,5.1
1230197,41.0,47.0,60.6,6.9,8.2
1230198,43.3,38.0,110.0,7.7,6.4
1230199,39.9,30.0,97.2,7.7,9.5
1230200,41.7,22.0,101.5,8.4,7.8
1230201,55.5,58.0,109.3,8.8,7.0
1230202,36.0,45.0,107.0,6.7,7.8
1230203,78.0,61.0,73.2,7.3,5.8
1230204,55.3,56.0,90.4,5.1,9.4
1230205,44.9,33.0,100.2,7.1,8.8
1230206,41.9,25.0,64.3,5.0,7.6
1230207,43.7,48.0,120.1,7.2,10.0
1230208,31.3,33.0,147.1,8.4,5.0
1230209,43.6,47.0,107.6,7.8,8.4
1230210,49.2,32.0,86.8,7.3,9.0
1230211,53.7,30.0,42.5,8.4,7.9
1230212,53.7,40.0,62.0,8.8,7.0
1230213,40.9,55.0,108.5,6.0,4.1
1230214,23.8,46.0,131.6,9.0,8.8
1230215,35.0,58.0,94.5,6.1,6.6
1230216,69.2,25.0,62.8,6.5,7.1
1230217,58.4,27.0,78.2,8.3,8.7
1230218,50.5,41.0,85.7,7.5,8.7
1230219,33.6,72.0,51.7,7.2,5.5
1230220,45.1,51.0,92.2,7.5,5.7
1230221,26.2,27.0,122.3,9.2,6.1
1230222,36.7,41.0,58.0,7.3,8.2
1230223,41.3,45.0,86.0,8.3,8.8
1230224,39.6,34.0,49.4,8.3,8.0
1230225,59.3,51.0,79.5,10.0,6.5
1230226,23.7,40.0,96.3,9.3,7.0
1230227,32.0,38.0,125.5,8.3,9.3
1230228,24.4,60.0,111.4,8.3,5.5
1230229,26.4,18.0,70.4,7.5,8.4
1230230,46.9,29.0,102.3,7.0,7.0
1230231,21.0,31.0,91.7,7.2,7.9
1230232,56.3,30.0,99.7,7.2,7.2
1230233,41.3,32.0,95.0,6.5,8.7
1230234,46.0,49.0,107.8,6.6,8.0
1230235,49.8,57.0,104.5,7.1,7.3
1230236,38.5,55.0,121.7,6.7,10.0
1230237,60.5,28.0,102.9,6.9,9.1
1230238,42.1,40.0,142.2,6.9,7.6
1230239,53.9,48.0,113.0,8.6,8.4
1230240,42.0,45.0,137.0,8.4,7.4
1230241,49.4,60.0,118.0,8.7,6.2
1230242,49.2,33.0,83.2,9.1,4.6
1230243,48.7,44.0,131.1,6.1,10.0
1230244,30.4,36.0,129.6,7.2,6.5
1230245,51.5,46.0,28.2,7.7,8.1
1230246,40.2,27.0,86.3,7.9,9.1
1230247,54.5,29.0,136.1,8.0,6.5
1230248,12.7,32.0,126.4,9.3,6.8
1230249,23.0,34.0,63.5,6.4,8.0
1230250,50.5,64.0,121.5,7.5,8.0
1230251,72.9,58.0,143.2,5.4,7.2
1230252,57.5,39.0,115.2,7.8,5.6
1230253,34.8,44.0,63.1,4.8,9.1
1230254,19.6,20.0,80.4,7.7,8.3
1230255,56.1,39.0,110.0,9.1,7.5
1230256,43.8,44.0,94.6,8.1,8.4
1230257,53.9,58.0,131.9,5.6,2.3
1230258,46.7,47.0,118.3,6.0,7.3
1230259,45.4,48.0,149.1,8.1,6.6
1230260,89.4,46.0,125.5,7.0,4.3
1230261,44.9,46.0,113.8,3.9,8.0
1230262,42.6,22.0,92.1,9.3,5.7
1230263,43.2,36.0,135.1,7.5,9.3
1230264,36.2,62.0,100.1,5.1,7.0
1230265,59.9,54.0,74.4,7.6,8.2
1230266,39.7,49.0,101.2,10.0,6.3
1230267,54.5,43.0,97.7,7.0,8.4
1230268,49.3,51.0,75.2,7.0,9.3
1230269,63.3,29.0,120.7,6.2,4.8
1230270,51.3,20.0,96.5,8.2,8.1
1230271,26.8,37.0,109.9,7.6,4.7
1230272,25.1,50.0,80.5,8.4,7.0
1230273,66.1,44.0,95.9,6.1,7.6
1230274,35.9,56.0,119.4,8.3,5.6
1230275,25.2,47.0,93.8,5.4,6.7
1230276,35.0,43.0,90.9,7.9,9.4
1230277,64.0,61.0,154.6,6.0,8.5
1230278,23.7,58.0,107.9,7.3,8.8
1230279,32.0,41.0,118.3,4.9,9.6
1230280,35.0,27.0,118.7,7.3,6.7
1230281,26.2,29.0,102.4,7.2,8.7
1230282,27.2,40.0,113.2,4.9,6.3
1230283,22.2,37.0,75.7,9.8,9.1
1230284,38.1,65.0,136.2,8.1,5.5
1230285,39.7,18.0,131.2,5.6,6.0
1230286,34.8,41.0,104.8,5.7,9.8
1230287,20.2,27.0,100.2,6.8,8.1
1230288,63.8,44.0,69.0,6.3,7.7
1230289,25.1,47.0,125.7,7.1,6.9
1230290,49.2,36.0,93.6,3.9,6.6
1230291,28.9,49.0,115.2,9.7,7.1
1230292,55.0,39.0,64.0,6.1,7.1
1230293,59.3,39.0,115.8,9.0,8.2
1230294,31.8,36.0,95.6,6.9,9.8
1230295,16.1,51.0,100.3,10.0,5.9
1230296,55.4,44.0,64.6,8.5,7.5
1230297,73.1,64.0,117.0,8.8,8.4
1230298,51.2,60.0,84.7,9.0,6.8
1230299,47.4,50.0,98.8,7.3,8.4
1230300,57.3,12.0,120.1,7.4,5.1
1230301,56.5,21.0,97.9,7.0,10.0
1230302,32.6,56.0,149.7,7.7,7.7
1230303,35.1,35.0,77.5,7.3,7.1
1230304,54.2,45.0,106.0,7.7,6.1
1230305,42.8,33.0,110.3,6.0,6.8
1230306,64.7,49.0,74.5,6.6,8.3
1230307,34.4,55.0,102.2,8.0,10.0
1230308,56.3,25.0,95.1,7.2,5.3
1230309,50.1,31.0,105.6,7.9,7.1
1230310,43.1,19.0,111.3,8.2,5.5
1230311,62.6,45.0,135.0,8.5,5.4
1230312,55.2,19.0,107.2,7.9,7.3
1230313,29.9,37.0,113.7,6.9,6.4
1230314,54.6,49.0,137.5,5.9,7.7
1230315,65.6,71.0,60.4,8.9,8.2
1230316,43.0,47.0,93.5,6.2,5.3
1230317,41.3,60.0,101.0,7.2,6.4
1230318,35.0,46.0,61.1,9.6,6.8
1230319,44.8,46.0,101.9,6.0,3.9
1230320,55.3,39.0,41.1,6.8,6.8
1230321,32.7,37.0,117.6,7.4,5.3
1230322,24.8,58.0,63.0,4.5,6.9
1230323,39.4,47.0,68.7,5.6,7.1
1230324,24.3,47.0,113.1,9.1,4.4
1230325,52.8,33.0,58.3,7.9,5.5
1230326,38.6,37.0,151.3,8.4,7.8
1230327,18.7,71.0,102.9,7.6,8.5
1230328,39.8,41.0,97.6,4.3,10.0
1230329,42.1,61.0,130.1,5.7,7.7
1230330,51.7,35.0,98.0,3.9,6.2
1230331,42.8,53.0,106.0,8.2,5.8
1230332,73.0,46.0,96.1,10.0,5.3
1230333,37.2,36.0,87.5,4.8,8.7
1230334,44.1,51.0,109.3,8.8,5.2
1230335,43.5,20.0,113.1,8.8,6.0
1230336,40.8,50.0,68.2,7.5,7.0
1230337,47.1,53.0,78.0,5.1,9.1
1230338,53.1,46.0,83.5,5.9,8.1
1230339,65.1,60.0,99.3,4.2,7.0
1230340,21.5,41.0,108.6,7.0,8.1
1230341,37.3,40.0,153.9,7.5,10.0
1230342,38.3,47.0,106.9,8.4,6.7
1230343,59.1,54.0,95.6,6.9,8.9
1230344,39.7,50.0,82.1,5.9,8.1
1230345,16.6,39.0,124.6,6.2,9.1
1230346,46.3,28.0,99.7,7.0,7.4
1230347,,51.0,108.5,7.7,6.2
1230348,47.7,31.0,100.0,9.3,5.6
1230349,29.4,31.0,113.8,10.0,6.9
1230350,70.8,33.0,112.0,7.2,5.7
1230351,40.1,43.0,109.3,5.6,5.1
1230352,42.2,31.0,100.1,9.0,10.0
1230353,31.5,26.0,102.3,10.0,5.8
1230354,31.0,33.0,109.6,6.1,6.5
1230355,26.7,39.0,51.9,6.5,7.4
1230356,39.1,48.0,99.1,7.0,9.9
1230357,30.6,43.0,124.5,7.2,8.2
1230358,75.8,27.0,88.0,6.2,9.3
1230359,16.7,45.0,47.7,5.1,7.5
1230360,28.1,47.0,65.4,8.1,7.2
1230361,39.0,36.0,101.9,7.0,7.5
1230362,55.1,31.0,82.0,8.9,9.0
1230363,38.8,31.0,103.3,8.0,5.9
1230364,55.1,35.0,99.5,8.7,6.3
1230365,30.2,73.0,88.3,7.3,8.6
1230366,45.9,30.0,77.1,8.3,9.3
1230367,71.2,46.0,104.9,6.1,5.0
1230368,30.5,32.0,101.7,8.0,6.5
1230369,51.3,35.0,96.9,8.7,7.9
1230370,48.1,32.0,121.8,9.2,8.1
1230371,11.2,53.0,105.0,6.8,9.0
1230372,36.2,47.0,85.1,8.1,9.4
1230373,62.0,40.0,91.0,9.2,6.6
1230374,,49.0,98.5,4.9,8.9
1230375,26.8,52.0,103.1,6.7,5.9
1230376,55.4,30.0,133.4,8.1,8.8
1230377,37.8,50.0,142.2,6.8,6.9
1230378,50.4,32.0,88.3,6.2,7.9
1230379,50.7,54.0,74.5,7.9,8.4
1230380,28.2,52.0,86.4,6.5,8.5
1230381,56.8,48.0,110.5,7.3,7.8
1230382,29.9,39.0,120.8,4.9,7.7
1230383,25.4,35.0,89.8,6.5,5.3
1230384,31.8,38.0,77.1,7.6,7.9
1230385,39.8,53.0,109.6,7.1,6.2
1230386,46.6,32.0,115.6,7.1,6.5
1230387,33.4,43.0,125.9,7.7,7.8
1230388,56.2,18.0,84.1,8.9,9.6
1230389,48.8,46.0,108.2,6.9,8.7
1230390,34.6,28.0,59.2,7.2,7.1
1230391,58.3,24.0,97.4,7.3,6.9
1230392,62.4,49.0,118.0,6.5,6.1
1230393,43.5,45.0,137.1,6.0,7.3
1230394,41.8,36.0,107.6,8.5,3.7
1230395,18.4,38.0,94.0,5.5,7.0
1230396,38.9,74.0,64.9,8.1,6.2
1230397,40.6,39.0,105.7,6.9,6.9
1230398,48.7,39.0,115.8,6.7,4.9
1230399,42.5,51.0,125.3,7.7,6.6
1230400,48.7,43.0,106.1,7.9,9.4
1230401,,56.0,76.1,5.7,7.5
1230402,37.1,46.0,113.8,7.2,5.5
1230403,37.6,53.0,142.2,6.6,6.5
1230404,25.4,48.0,93.4,6.1,7.4
1230405,44.9,51.0,79.9,4.1,3.8
1230406,59.7,41.0,91.8,8.5,10.0
1230407,18.7,45.0,99.7,8.5,7.6
1230408,,38.0,86.9,5.5,7.6
1230409,45.5,50.0,117.7,7.1,8.4
1230410,57.8,23.0,110.8,5.4,8.0
1230411,50.7,52.0,91.6,6.7,9.4
1230412,49.9,56.0,99.5,6.3,9.8
1230413,41.6,52.0,61.5,9.2,6.0
1230414,52.2,41.0,108.0,5.2,4.3
1230415,60.2,49.0,65.2,4.5,4.7
1230416,19.4,31.0,93.1,6.7,10.0
1230417,55.9,54.0,88.5,6.8,5.6
1230418,43.5,27.0,111.7,10.0,9.5
1230419,37.1,50.0,88.9,6.1,5.6
1230420,10.0,49.0,98.8,9.4,9.1
1230421,24.3,48.0,137.4,8.0,9.1
1230422,70.5,36.0,60.8,9.7,7.6
1230423,34.7,53.0,102.8,7.6,6.2
1230424,28.7,16.0,121.6,4.8,8.9
1230425,38.2,53.0,84.3,5.8,6.4
1230426,33.8,45.0,100.5,8.0,9.5
1230427,46.9,57.0,66.0,5.9,6.3
1230428,67.8,45.0,59.8,10.0,9.3
1230429,36.2,68.0,118.1,4.5,6.2
1230430,47.3,29.0,91.8,6.3,6.1
1230431,27.8,51.0,67.2,7.9,8.3
1230432,67.8,30.0,88.2,7.2,7.2
1230433,47.8,40.0,115.1,6.5,8.2
1230434,28.8,52.0,113.8,9.4,10.0
1230435,58.6,51.0,126.2,7.3,5.8
1230436,63.0,71.0,87.4,8.8,6.7
1230437,47.4,37.0,84.3,6.6,7.4
1230438,20.4,60.0,108.3,8.8,5.6
1230439,71.8,38.0,125.0,7.6,4.7
1230440,49.7,32.0,90.6,4.8,5.8
1230441,62.6,19.0,124.0,5.4,8.3
1230442,36.7,44.0,91.7,8.9,6.1
1230443,39.0,35.0,150.9,7.2,6.1
1230444,46.7,54.0,57.0,8.9,7.9
1230445,61.7,35.0,138.4,8.3,5.7
1230446,47.1,35.0,62.6,5.5,8.6
1230447,26.1,47.0,130.6,5.4,10.0
1230448,48.9,66.0,102.1,7.0,7.6
1230449,69.4,27.0,88.7,7.5,7.9
1230450,46.0,56.0,77.3,6.2,6.1
1230451,46.9,54.0,76.8,8.0,7.6
1230452,26.1,39.0,117.0,6.9,7.9
1230453,24.0,51.0,111.5,6.1,5.3
