EmployeeID,JobRotationCount,PerformanceEvaluation,YearsSinceLastPromotion,MentorshipHours,Promoted
1430001,79.2,127.2,7.8,23.6,1
1430002,130.9,123.6,10.1,26.9,1
1430003,38.1,87.8,9.6,33.0,0
1430004,74.0,133.1,10.2,12.9,1
1430005,124.9,95.3,11.2,29.0,0
1430006,104.5,157.8,13.0,36.1,1
1430007,87.8,94.9,15.0,40.8,1
1430008,88.9,120.6,4.6,16.4,0
1430009,93.7,94.1,1.8,44.0,1
1430010,88.3,61.0,2.8,20.2,1
1430011,83.2,63.7,10.1,27.9,1
1430012,104.3,81.0,2.1,28.1,0
1430013,53.9,113.6,3.5,18.5,1
1430014,119.9,96.9,9.1,23.0,1
1430015,89.6,108.6,2.5,6.3,1
1430016,93.9,58.5,9.5,35.5,1
1430017,83.7,136.0,7.9,35.5,1
1430018,106.4,62.1,4.8,9.1,1
1430019,110.1,78.9,5.0,41.6,1
1430020,72.1,98.4,7.0,41.5,0
1430021,111.5,142.5,8.8,23.6,1
1430022,97.5,65.0,9.1,44.4,1
1430023,93.0,100.3,4.7,17.8,1
1430024,111.3,116.0,5.9,35.5,1
1430025,109.6,139.6,2.2,21.0,0
1430026,109.5,117.4,9.6,38.5,0
1430027,98.8,115.9,10.7,5.5,1
1430028,132.1,116.9,10.9,40.2,1
1430029,95.5,83.6,2.5,16.5,1
1430030,64.3,46.6,6.1,18.9,0
1430031,81.3,98.8,11.6,17.7,0
1430032,113.0,106.7,10.3,39.6,1
1430033,123.6,92.8,9.9,19.5,0
1430034,84.1,145.2,2.5,5.7,1
1430035,115.4,75.2,10.2,38.1,1
1430036,128.9,68.9,12.9,25.7,1
1430037,88.5,109.2,2.8,31.0,1
1430038,64.8,74.0,8.3,32.7,0
1430039,53.4,98.8,7.1,25.6,1
1430040,115.5,103.0,1.6,10.3,0
1430041,120.5,137.7,5.6,18.7,1
1430042,61.0,104.8,3.3,42.6,1
1430043,100.2,33.9,3.2,20.4,1
1430044,70.2,111.3,6.3,38.5,0
1430045,102.0,102.7,2.9,24.1,0
1430046,107.6,92.7,12.8,24.3,1
1430047,75.9,160.0,13.3,24.2,0
1430048,87.6,91.7,6.0,40.4,0
1430049,93.4,117.7,14.1,5.0,1
1430050,71.4,98.0,3.0,20.5,0
1430051,72.1,106.6,5.0,35.8,0
1430052,76.3,100.7,13.0,35.9,0
1430053,127.1,76.0,10.0,20.2,1
1430054,106.9,103.4,2.0,32.2,1
1430055,136.6,90.1,11.0,20.9,0
1430056,78.5,106.2,2.4,18.1,1
1430057,66.3,70.5,6.3,19.6,1
1430058,120.1,92.0,3.8,42.3,1
1430059,104.9,74.9,2.7,37.5,0
1430060,71.3,115.5,7.8,28.4,0
1430061,150.3,126.5,4.5,34.1,0
1430062,174.4,70.7,,27.9,1
1430063,85.9,90.1,9.7,20.9,1
1430064,93.4,135.7,4.0,29.5,1
1430065,158.5,116.3,8.9,14.1,1
1430066,111.3,145.5,2.3,41.3,1
1430067,108.7,99.1,12.1,34.8,1
1430068,138.2,104.1,14.0,21.0,1
1430069,78.6,107.6,12.6,20.7,0
1430070,54.6,81.7,4.9,41.4,0
1430071,97.1,67.0,11.1,41.6,1
1430072,117.7,118.1,9.1,18.5,0
1430073,144.3,107.4,5.5,15.9,1
1430074,93.5,82.2,8.2,8.6,1
1430075,97.6,142.8,4.5,42.4,1
1430076,67.7,116.1,10.4,24.8,0
1430077,130.6,170.2,7.4,34.0,0
1430078,109.4,85.8,5.9,33.5,1
1430079,92.0,93.4,14.0,31.1,1
1430080,95.6,68.1,3.9,7.0,1
1430081,117.7,28.3,7.0,8.3,0
1430082,77.1,74.0,10.7,42.5,0
1430083,74.6,165.7,9.1,7.9,1
1430084,86.6,119.5,6.7,18.7,0
1430085,103.8,88.3,14.7,33.3,1
1430086,73.8,123.3,11.6,42.7,0
1430087,122.4,75.9,10.7,7.4,1
1430088,110.0,57.1,5.3,38.7,1
1430089,69.0,114.3,13.7,7.3,1
1430090,98.9,73.3,8.9,13.3,0
1430091,69.4,117.2,4.2,36.8,0
1430092,87.8,80.9,12.6,17.7,0
1430093,96.3,86.5,4.8,19.7,0
1430094,114.3,105.6,9.6,8.2,1
1430095,122.9,98.0,14.4,20.6,1
1430096,110.2,126.9,8.1,23.9,1
1430097,111.7,166.8,13.6,38.7,0
1430098,90.5,102.5,11.7,39.6,0
1430099,100.2,119.8,5.4,32.4,0
1430100,106.0,68.1,9.0,13.8,1
1430101,119.0,64.0,4.4,38.7,1
1430102,134.4,85.7,13.8,19.2,1
1430103,76.8,102.0,2.9,25.3,1
1430104,109.3,93.4,1.3,11.6,1
1430105,97.7,158.0,,34.6,0
1430106,163.0,64.1,11.1,20.1,1
1430107,54.4,85.4,,43.3,0
1430108,108.3,82.2,13.7,30.5,0
1430109,172.4,40.1,3.8,5.7,1
1430110,102.7,92.4,8.4,9.5,1
1430111,139.4,113.7,3.3,12.1,1
1430112,103.8,96.1,8.9,13.8,1
1430113,101.1,83.8,8.4,38.7,1
1430114,126.8,96.0,4.0,16.1,0
1430115,101.4,115.7,3.2,41.5,0
1430116,109.3,123.6,8.0,19.0,1
1430117,105.4,122.3,2.7,24.2,1
1430118,80.9,92.4,6.0,32.2,1
1430119,106.6,137.1,5.1,26.1,0
1430120,132.0,106.3,10.3,12.5,0
1430121,80.5,120.1,11.3,20.8,1
1430122,64.4,164.7,11.1,7.4,1
1430123,110.5,100.9,3.6,43.9,1
1430124,95.0,100.7,13.9,9.2,0
1430125,56.6,100.2,5.3,38.2,1
1430126,92.3,27.0,3.6,43.5,0
1430127,88.3,105.7,5.5,40.8,0
1430128,92.8,140.7,1.4,14.9,0
1430129,98.7,89.0,2.4,29.1,0
1430130,81.7,63.8,4.1,29.8,1
1430131,102.4,99.7,11.5,23.0,0
1430132,123.6,65.8,8.7,23.8,1
1430133,58.1,83.8,6.9,38.3,1
1430134,113.7,98.6,11.4,20.9,1
1430135,105.6,111.3,3.3,11.0,0
1430136,53.7,130.9,2.0,5.0,1
1430137,50.7,110.3,3.1,43.2,1
1430138,117.8,123.5,3.8,31.4,1
1430139,87.9,104.4,14.7,6.1,0
1430140,106.6,88.8,3.5,5.6,1
1430141,116.5,97.8,14.0,7.8,0
1430142,115.1,119.6,9.8,10.4,0
1430143,83.0,124.8,8.0,36.6,1
1430144,131.4,130.4,6.5,30.8,1
1430145,95.3,150.8,,36.7,0
1430146,99.4,85.2,1.8,30.4,0
1430147,98.6,135.7,12.1,34.9,1
1430148,128.6,91.2,3.1,26.4,1
1430149,107.7,76.6,12.5,7.3,1
1430150,75.3,131.7,7.5,14.5,0
1430151,104.3,132.2,6.5,10.3,1
1430152,131.4,131.3,1.2,8.8,0
1430153,86.1,120.8,9.1,42.5,1
1430154,126.6,147.4,9.7,29.5,0
1430155,106.4,123.7,13.8,44.7,0
1430156,135.2,112.9,4.7,9.6,0
1430157,112.1,137.0,5.2,9.4,1
1430158,123.2,155.1,4.9,16.4,0
1430159,86.7,102.8,10.1,19.0,1
1430160,116.8,124.7,6.1,26.0,1
1430161,84.1,114.8,5.6,21.6,1
1430162,75.6,122.3,14.4,15.4,1
1430163,106.5,103.3,2.1,40.0,0
1430164,113.1,97.7,11.5,44.3,0
1430165,130.9,104.9,10.3,22.8,1
1430166,99.0,116.5,13.5,21.8,1
1430167,69.8,112.3,,7.7,0
1430168,96.0,93.0,11.3,18.0,1
1430169,132.2,85.7,2.8,12.6,0
1430170,106.0,71.0,9.4,24.9,1
1430171,119.3,56.3,12.8,41.9,1
1430172,130.4,105.9,6.6,7.0,0
1430173,96.8,105.4,6.1,5.6,0
1430174,117.4,102.4,11.1,14.1,0
1430175,80.0,103.3,14.2,17.8,0
1430176,80.8,115.0,9.0,23.1,0
1430177,101.8,82.9,1.3,19.7,1
1430178,54.0,107.2,12.5,40.8,1
1430179,114.8,135.8,1.3,23.6,0
1430180,117.2,63.9,4.1,33.1,0
1430181,84.6,110.1,2.2,21.5,1
1430182,93.2,62.0,6.8,33.2,0
1430183,135.1,48.9,2.0,24.3,1
1430184,110.5,126.3,1.6,27.1,1
1430185,139.0,78.5,9.8,25.6,0
1430186,119.5,89.9,15.0,6.8,0
1430187,99.5,116.2,10.4,19.7,0
1430188,40.2,66.1,13.1,5.2,0
1430189,99.0,118.8,10.0,12.3,0
1430190,77.0,136.1,14.4,6.9,1
1430191,128.5,65.3,10.4,32.9,0
1430192,65.5,140.7,4.3,18.9,0
1430193,147.5,122.2,3.7,10.4,1
1430194,69.3,104.8,1.8,24.5,1
1430195,142.0,151.1,7.0,22.0,0
1430196,106.4,97.1,14.4,40.9,1
1430197,120.8,137.6,6.4,12.2,0
1430198,68.2,89.2,3.9,25.1,0
1430199,147.3,104.7,8.0,38.5,0
1430200,85.4,106.8,14.2,9.8,0
1430201,116.7,124.1,11.9,26.3,0
1430202,65.6,76.8,10.6,8.0,1
1430203,113.6,120.0,13.6,28.6,0
1430204,62.4,121.1,12.0,15.6,0
1430205,90.5,80.0,14.4,15.7,0
1430206,99.6,165.7,13.9,28.5,1
1430207,97.2,147.0,1.6,31.2,1
1430208,115.2,91.4,1.6,15.9,1
1430209,111.4,139.7,9.1,26.4,0
1430210,158.8,100.4,6.9,18.2,0
1430211,65.5,84.8,7.9,37.9,0
1430212,94.2,114.6,3.3,18.4,0
1430213,123.7,113.9,11.2,22.4,0
1430214,113.0,83.9,1.3,44.9,1
1430215,89.0,60.8,10.5,30.5,1
1430216,96.4,77.3,13.6,22.9,0
1430217,74.9,76.0,8.6,31.0,1
1430218,72.7,102.1,12.7,8.1,1
1430219,120.1,99.9,5.4,39.3,1
1430220,108.2,65.6,14.8,8.5,1
1430221,118.0,105.1,5.6,30.1,0
1430222,65.7,89.3,5.4,5.5,0
1430223,116.5,121.6,10.8,30.3,1
1430224,63.7,87.1,4.7,43.0,0
1430225,111.1,84.4,3.4,13.5,0
1430226,99.6,124.9,13.9,16.7,0
1430227,119.1,114.0,2.6,14.8,0
1430228,122.1,74.7,2.3,34.3,0
1430229,97.7,104.2,12.9,25.9,0
1430230,110.3,125.3,4.1,30.7,0
1430231,112.8,91.1,9.2,14.5,1
1430232,36.4,122.1,13.3,44.7,0
1430233,110.0,112.9,14.0,42.6,1
1430234,95.7,122.4,11.5,24.4,0
1430235,93.3,41.0,13.3,37.0,0
1430236,119.9,144.1,8.1,29.9,0
1430237,86.6,122.0,11.7,39.0,0
1430238,119.2,85.5,7.8,16.8,1
1430239,113.0,81.4,13.9,30.6,0
1430240,109.0,82.2,7.8,41.2,1
1430241,91.8,102.8,12.8,32.8,1
1430242,105.9,107.1,11.7,17.0,0
1430243,44.5,96.5,13.1,10.8,1
1430244,90.0,69.6,3.2,5.3,1
1430245,143.9,86.5,12.2,12.9,1
1430246,100.5,128.2,8.9,31.1,1
1430247,88.0,84.1,6.7,31.5,1
1430248,116.4,139.7,9.4,36.7,1
1430249,87.5,97.8,4.3,14.2,1
1430250,46.3,137.0,10.4,42.7,0
1430251,105.1,99.8,,20.7,1
1430252,97.1,123.4,10.9,29.4,1
1430253,114.1,98.5,9.4,35.6,0
1430254,84.9,79.7,1.9,13.5,0
1430255,95.5,68.2,9.0,12.2,1
1430256,111.7,83.3,2.7,16.6,1
1430257,115.1,70.0,14.3,9.0,0
1430258,97.3,125.4,8.7,18.8,1
1430259,94.7,71.4,9.5,7.3,0
1430260,89.5,146.2,7.2,20.9,1
1430261,71.1,127.8,4.3,32.9,1
1430262,150.8,123.9,,39.2,0
1430263,98.8,58.0,2.7,35.0,0
1430264,88.2,53.7,6.7,14.2,1
1430265,119.7,105.0,1.9,17.2,1
1430266,90.6,95.2,4.7,17.9,0
1430267,108.8,39.8,13.5,8.5,1
1430268,146.1,108.3,13.0,17.1,1
1430269,110.7,89.6,10.9,6.9,1
1430270,101.7,125.8,2.4,23.4,1
1430271,112.1,144.2,3.0,41.3,0
1430272,112.5,124.2,5.7,23.8,1
1430273,79.7,89.0,8.3,8.9,1
1430274,79.4,172.4,9.3,39.8,0
1430275,109.5,124.7,10.9,10.0,0
1430276,66.6,102.5,7.6,32.0,1
1430277,135.4,108.2,9.1,34.3,1
1430278,94.3,87.2,9.8,18.5,0
1430279,68.5,104.0,11.1,17.5,1
1430280,100.2,103.7,1.8,30.6,1
1430281,78.2,112.8,7.5,22.1,1
1430282,96.1,71.3,11.9,23.4,0
1430283,143.4,143.3,4.8,9.8,1
1430284,128.8,53.6,11.9,7.6,0
1430285,145.9,122.3,5.7,40.7,1
1430286,92.5,66.6,5.8,42.9,0
1430287,103.5,111.6,3.1,11.5,0
1430288,107.2,143.3,1.2,32.1,0
1430289,168.4,127.8,7.3,36.6,0
1430290,144.1,95.0,9.2,42.0,1
1430291,106.0,134.2,10.7,36.7,1
1430292,86.6,109.1,10.7,8.2,1
1430293,88.1,53.0,10.7,5.5,0
1430294,103.5,132.7,1.8,24.9,1
1430295,105.5,109.6,7.7,30.6,0
1430296,96.4,124.9,9.4,28.6,0
1430297,142.3,142.3,5.9,10.9,0
1430298,141.2,113.2,12.5,14.1,0
1430299,98.2,94.8,2.7,10.1,0
1430300,111.3,122.9,8.6,32.6,1
1430301,90.1,77.7,7.9,43.2,1
1430302,86.7,111.5,2.3,12.3,1
1430303,93.3,105.0,3.2,9.9,1
1430304,92.4,83.7,1.2,7.6,1
1430305,138.2,116.8,11.6,8.5,0
1430306,124.5,100.9,13.3,35.5,0
1430307,67.2,79.8,2.6,16.5,0
1430308,78.4,62.5,12.0,37.1,0
1430309,43.7,75.8,6.1,15.3,1
1430310,69.2,97.8,10.1,6.2,0
1430311,99.8,110.8,9.5,34.2,1
1430312,75.6,76.9,1.5,19.9,1
1430313,82.1,86.5,13.9,19.1,1
1430314,125.3,101.9,6.7,14.0,1
1430315,75.9,47.9,6.5,24.5,0
1430316,136.4,91.1,12.9,16.9,1
1430317,124.5,87.7,5.9,38.2,0
1430318,125.2,54.5,7.2,38.4,0
1430319,155.2,106.6,1.3,32.6,0
1430320,113.7,69.7,13.5,38.8,0
1430321,96.6,123.1,12.6,29.1,1
1430322,96.7,105.9,10.7,7.6,1
1430323,76.3,127.6,,31.2,1
1430324,144.0,129.9,1.1,44.4,1
1430325,127.9,146.8,13.6,21.6,0
1430326,92.7,118.0,14.1,28.8,0
1430327,118.6,69.1,4.6,7.8,1
1430328,124.6,117.3,4.0,34.1,1
1430329,85.8,114.4,6.2,14.9,1
1430330,135.8,58.2,12.8,28.9,1
1430331,68.5,138.0,1.1,27.4,0
1430332,98.4,74.5,1.7,40.4,0
1430333,65.3,112.8,3.4,25.9,1
1430334,66.7,147.0,4.8,25.2,0
1430335,94.3,106.4,8.3,19.2,1
1430336,102.3,117.5,10.1,13.5,1
1430337,125.7,136.7,11.9,43.4,1
1430338,99.4,101.2,5.8,10.5,1
1430339,111.9,85.0,7.1,12.6,0
1430340,102.7,98.3,2.2,14.9,0
1430341,107.0,151.6,14.9,30.4,1
1430342,82.6,80.9,2.9,19.2,0
1430343,101.0,106.1,14.6,42.5,1
1430344,107.0,96.1,1.3,42.5,1
1430345,107.0,71.0,2.3,38.2,1
1430346,96.0,132.6,9.2,16.4,1
1430347,110.6,90.9,,9.6,0
1430348,128.7,98.1,1.6,43.3,1
1430349,84.0,64.8,10.0,14.8,1
1430350,102.0,83.6,14.4,22.9,0
1430351,96.3,121.9,2.2,14.5,1
1430352,56.8,96.9,11.6,16.8,0
1430353,142.9,110.4,6.6,35.9,1
1430354,132.1,132.7,9.7,33.2,0
1430355,124.6,146.8,13.9,29.4,1
1430356,65.6,75.1,5.4,21.4,1
1430357,98.6,105.0,6.0,25.9,1
1430358,92.3,122.0,3.5,36.2,1
1430359,102.2,98.5,13.6,15.8,1
1430360,116.3,84.6,,19.3,1
1430361,118.0,98.5,5.3,30.8,1
1430362,109.0,49.3,3.7,20.7,1
1430363,118.1,83.9,11.8,9.1,1
1430364,145.1,79.7,9.4,21.0,0
1430365,90.4,93.4,,21.4,1
1430366,135.8,105.5,14.3,9.2,1
1430367,89.2,135.1,8.7,18.0,1
1430368,127.0,70.7,12.8,44.5,0
1430369,113.1,97.6,6.6,40.7,1
1430370,138.4,134.0,14.4,14.0,0
1430371,78.6,130.6,7.3,11.0,1
1430372,96.3,77.5,12.6,27.8,0
1430373,84.2,104.1,7.6,10.0,1
1430374,74.2,107.6,1.3,20.1,1
1430375,63.2,125.1,12.7,27.0,0
1430376,96.5,88.4,11.5,37.3,1
1430377,119.3,80.1,2.3,13.5,0
1430378,80.4,108.1,10.7,10.1,1
1430379,76.2,86.2,7.1,12.5,1
1430380,66.5,86.7,7.1,7.9,1
1430381,110.8,156.7,13.9,22.9,0
1430382,93.9,99.9,3.4,11.3,1
1430383,59.5,85.2,3.5,13.9,1
1430384,106.9,72.8,2.2,12.9,1
1430385,102.7,116.2,,19.7,0
1430386,140.5,141.4,8.9,31.2,1
1430387,124.3,71.1,2.5,18.0,1
1430388,84.8,86.6,7.4,25.9,1
1430389,87.6,124.2,4.1,18.1,1
