ItemID,StockLevel,UnitCost,LeadTime_Days,MonthlySales,TurnoverRate
1150001,106.1,97.0,430.5,101.2,138.1
1150002,354.4,224.0,270.8,18.3,114.8
1150003,212.7,130.4,339.3,166.7,252.2
1150004,292.6,292.1,402.1,201.4,142.6
1150005,366.7,447.0,302.8,436.0,255.9
1150006,103.4,417.8,288.1,97.2,133.2
1150007,290.8,98.7,203.6,76.4,460.1
1150008,,26.7,201.2,368.8,223.0
1150009,276.6,53.9,72.1,393.2,90.4
1150010,398.4,163.7,26.4,43.6,301.6
1150011,276.3,269.0,27.8,394.6,156.6
1150012,207.1,444.2,280.1,409.9,99.6
1150013,50.0,240.6,234.3,499.4,60.7
1150014,360.7,359.5,206.0,348.9,198.3
1150015,497.9,115.7,267.9,214.3,64.5
1150016,79.8,289.7,186.6,132.2,45.4
1150017,85.0,55.7,26.3,114.6,469.5
1150018,111.0,134.3,369.0,456.1,298.1
1150019,468.8,151.8,437.7,45.4,470.4
1150020,403.0,347.2,409.3,126.0,389.5
1150021,455.4,46.7,321.3,205.2,340.1
1150022,483.8,268.9,314.2,199.2,432.0
1150023,391.3,296.3,485.1,137.2,103.8
1150024,447.5,100.4,362.5,158.1,483.8
1150025,162.9,182.7,394.9,264.2,402.2
1150026,248.0,463.8,452.9,443.5,171.2
1150027,357.0,181.7,28.8,127.4,124.6
1150028,449.1,208.6,82.9,234.0,398.4
1150029,390.3,289.5,414.1,165.6,383.3
1150030,136.5,427.9,352.7,45.7,174.3
1150031,140.8,228.5,308.5,363.3,175.6
1150032,43.7,27.7,317.0,13.3,187.9
1150033,117.2,357.3,354.8,436.8,330.9
1150034,243.2,419.0,177.7,248.6,307.1
1150035,62.0,28.6,32.9,60.3,26.6
1150036,486.1,271.0,22.7,184.1,431.1
1150037,,287.6,332.4,318.1,408.0
1150038,196.7,154.7,486.5,192.3,444.6
1150039,298.4,10.4,26.2,69.6,161.0
1150040,199.4,305.1,392.1,229.1,296.3
1150041,236.3,269.3,190.4,337.6,273.9
1150042,57.5,362.2,241.6,461.9,210.6
1150043,331.0,56.2,288.3,439.2,23.9
1150044,355.2,262.5,189.9,325.8,459.7
1150045,405.4,88.2,465.3,166.5,382.4
1150046,51.6,15.6,319.6,160.4,11.6
1150047,183.6,182.0,493.6,339.1,159.7
1150048,451.9,252.9,48.4,37.6,409.3
1150049,10.2,295.2,281.4,147.9,347.9
1150050,143.9,470.6,41.9,78.3,66.4
1150051,103.2,484.4,214.5,154.5,478.1
1150052,188.5,119.1,146.4,195.3,58.6
1150053,322.1,154.0,330.2,284.6,230.0
1150054,431.5,236.7,385.1,296.0,415.1
1150055,418.7,410.8,412.6,207.6,179.3
1150056,115.3,78.0,437.3,413.6,208.7
1150057,102.2,55.7,309.9,495.6,325.7
1150058,432.1,26.9,289.3,375.7,154.7
1150059,148.3,352.3,429.9,342.4,169.9
1150060,93.5,189.2,216.0,17.1,63.3
1150061,342.7,434.7,261.8,341.6,387.4
1150062,137.2,117.0,371.5,337.1,21.0
1150063,53.5,204.6,323.6,427.0,390.1
1150064,367.6,405.0,31.8,16.5,182.1
1150065,285.9,100.6,293.1,168.4,378.8
1150066,204.4,59.2,71.5,445.5,278.7
1150067,91.4,345.7,19.2,261.5,214.7
1150068,499.9,271.0,183.4,69.8,333.5
1150069,276.9,89.7,465.9,296.5,102.8
1150070,426.8,176.2,41.3,51.5,420.5
1150071,204.9,188.1,463.6,246.8,327.3
1150072,281.3,320.2,413.6,220.2,276.5
1150073,120.9,414.1,193.2,437.7,488.3
1150074,390.6,492.6,42.5,172.9,59.9
1150075,346.3,342.9,133.7,459.7,229.3
1150076,326.5,84.3,182.4,237.4,107.6
1150077,415.9,285.4,334.3,466.1,29.9
1150078,258.4,53.2,290.5,343.3,87.2
1150079,372.3,129.2,483.5,209.6,288.2
1150080,300.9,311.9,341.8,332.0,221.2
1150081,17.6,499.6,108.2,326.0,467.4
1150082,131.7,79.9,408.1,201.2,153.3
1150083,52.0,317.6,342.0,37.0,145.9
1150084,236.3,97.7,49.0,15.0,64.0
1150085,61.4,48.5,215.8,352.5,98.8
1150086,398.0,20.4,356.2,332.9,425.4
1150087,233.2,143.3,491.2,64.1,446.5
1150088,140.9,113.9,287.8,326.8,31.0
1150089,264.5,232.1,344.6,470.4,106.5
1150090,362.1,71.6,116.1,396.2,266.8
1150091,488.9,383.7,471.7,293.7,194.9
1150092,375.1,52.5,369.1,418.1,171.9
1150093,18.1,381.5,155.0,26.8,65.7
1150094,151.5,445.4,177.0,89.8,107.2
1150095,419.3,431.5,183.2,35.7,320.6
1150096,53.4,219.9,416.0,243.7,143.6
1150097,355.2,286.6,299.4,188.2,466.8
1150098,31.0,63.6,378.7,452.9,116.5
1150099,359.0,80.7,174.5,271.3,60.4
1150100,76.8,458.8,75.8,226.1,100.6
1150101,399.7,203.4,360.6,207.3,140.4
1150102,50.1,259.5,324.1,46.2,390.3
1150103,,79.9,256.4,363.9,98.0
1150104,165.6,58.0,279.4,260.4,236.5
1150105,327.1,26.2,481.0,140.7,368.5
1150106,311.1,41.6,33.3,423.9,102.6
1150107,303.5,144.5,404.8,354.2,43.6
1150108,179.3,419.1,26.9,489.6,223.7
1150109,309.2,146.9,70.0,386.7,453.4
1150110,252.6,459.0,492.7,58.2,136.5
1150111,382.3,178.9,58.5,57.9,223.8
1150112,496.6,111.3,219.7,120.8,469.7
1150113,325.6,298.7,145.0,489.6,163.7
1150114,150.0,168.3,266.1,311.8,106.9
1150115,417.4,201.1,171.9,386.7,239.1
1150116,141.8,148.7,424.3,371.1,79.5
1150117,29.2,225.9,252.1,347.0,454.4
1150118,357.2,426.0,475.2,366.4,227.9
1150119,341.0,195.3,381.5,124.8,307.9
1150120,181.0,216.1,183.4,31.9,183.3
1150121,52.7,245.7,482.7,15.5,154.0
1150122,132.3,373.9,311.3,391.4,430.0
1150123,136.5,327.4,467.2,464.6,209.7
1150124,42.5,412.8,319.6,345.9,91.3
1150125,185.0,304.4,271.4,384.0,371.8
1150126,349.7,265.3,435.9,462.4,16.6
1150127,293.8,287.2,281.8,347.5,471.2
1150128,186.1,212.9,106.9,380.2,117.4
1150129,133.8,140.5,353.5,340.6,281.0
1150130,127.4,410.4,62.9,449.6,475.2
1150131,481.6,90.2,472.2,65.4,462.3
1150132,447.0,270.3,370.9,102.5,336.0
1150133,455.5,54.7,261.8,389.6,200.4
1150134,100.2,403.0,218.2,30.7,228.7
1150135,227.4,102.9,29.9,496.6,59.9
1150136,154.4,217.1,157.4,29.6,75.4
1150137,14.0,223.9,272.8,202.7,460.7
1150138,161.4,406.9,306.0,308.3,487.8
1150139,73.0,151.1,452.6,394.6,404.4
1150140,469.1,429.9,18.9,457.3,454.5
1150141,408.4,107.9,46.1,189.6,253.5
1150142,327.6,168.4,282.8,321.3,261.5
1150143,75.1,407.8,212.4,367.2,301.6
1150144,111.8,127.7,130.7,328.4,164.4
1150145,30.4,457.5,456.1,135.9,245.8
1150146,278.7,18.0,185.7,353.5,347.6
1150147,281.6,209.2,489.6,486.3,10.1
1150148,478.3,202.1,146.1,29.6,211.5
1150149,324.3,494.3,343.5,33.2,388.0
