StreamID,ConcurrentViewers,ChatRatePerMinute,ToxicityRatio_Percent,NetworkLatency_ms,ServerLoadLevel
1690001,5.28,64.4,51.6,111.0,1
1690002,4.83,47.9,64.5,73.4,1
1690003,3.81,55.4,54.0,123.7,1
1690004,4.78,37.7,30.1,91.0,1
1690005,5.39,31.6,33.3,133.5,1
1690006,4.45,71.3,44.1,45.7,0
1690007,6.35,42.7,54.7,82.5,0
1690008,3.61,54.2,17.0,70.9,1
1690009,3.33,74.4,47.5,119.1,1
1690010,1.47,31.3,36.0,46.5,1
1690011,4.91,49.9,55.4,76.5,0
1690012,3.07,67.1,40.0,88.1,1
1690013,3.64,41.2,57.8,90.8,1
1690014,3.57,54.8,38.1,98.8,0
1690015,2.91,65.6,39.3,120.2,0
1690016,4.17,30.3,71.7,119.6,0
1690017,5.05,52.9,37.7,64.2,1
1690018,4.09,16.1,52.0,59.8,0
1690019,4.3,50.0,58.7,121.6,0
1690020,5.28,37.0,43.5,120.2,0
1690021,3.74,23.1,82.8,111.0,0
1690022,5.33,53.1,47.2,119.6,1
1690023,4.22,55.1,31.4,117.5,1
1690024,5.24,27.1,45.2,128.1,1
1690025,4.45,45.5,70.6,78.0,1
1690026,4.27,43.5,61.2,87.9,1
1690027,3.0,10.6,52.3,137.0,0
1690028,4.15,10.6,67.0,117.0,1
1690029,5.3,26.8,45.7,76.6,1
1690030,4.17,9.3,42.6,111.4,1
1690031,3.54,24.5,46.1,81.4,0
1690032,5.03,33.8,63.7,100.5,0
1690033,4.02,29.2,41.0,98.3,1
1690034,4.77,44.1,30.9,106.5,1
1690035,3.36,36.0,46.9,46.6,1
1690036,4.24,56.1,19.4,104.3,1
1690037,1.91,24.8,54.6,83.4,1
1690038,4.6,37.3,28.0,172.0,0
1690039,2.13,51.1,67.3,80.4,0
1690040,4.61,36.2,74.6,114.9,1
1690041,5.64,48.7,38.0,100.7,0
1690042,7.68,54.5,44.5,85.1,1
1690043,5.39,53.3,54.0,111.8,1
1690044,2.36,40.1,33.3,111.6,0
1690045,6.02,44.9,49.9,142.8,1
1690046,3.76,56.3,49.5,111.6,1
1690047,4.94,41.0,60.4,82.8,1
1690048,4.21,23.1,66.5,151.7,1
1690049,4.77,56.1,35.3,133.1,0
1690050,6.69,45.5,44.0,164.7,0
1690051,3.24,41.4,34.1,96.1,0
1690052,3.85,50.3,56.4,65.3,0
1690053,7.06,61.0,25.2,68.8,0
1690054,4.71,47.0,60.9,84.2,1
1690055,4.72,62.7,85.1,120.9,1
1690056,3.93,39.3,58.5,102.7,1
1690057,4.64,67.7,66.2,76.7,0
1690058,5.06,55.6,45.9,98.5,1
1690059,4.14,29.1,31.2,93.8,1
1690060,4.61,65.1,30.5,99.5,0
1690061,2.82,26.4,50.9,63.9,0
1690062,1.83,41.3,61.4,108.9,0
1690063,4.03,68.4,44.5,97.3,0
1690064,4.93,59.2,32.6,118.9,1
1690065,4.11,41.9,74.1,97.4,0
1690066,6.05,56.9,39.7,152.0,0
1690067,4.0,33.3,12.8,124.4,0
1690068,7.39,35.7,59.1,135.9,1
1690069,3.61,61.9,45.7,116.6,0
1690070,3.43,68.5,74.7,87.0,0
1690071,6.39,48.6,56.8,79.9,0
1690072,3.83,34.1,54.3,154.8,0
1690073,4.66,38.3,17.6,90.2,0
1690074,4.56,16.4,35.3,112.0,1
1690075,4.43,47.8,38.0,108.9,1
1690076,3.3,39.1,29.0,80.9,1
1690077,4.89,60.9,71.5,104.4,0
1690078,4.93,48.3,29.6,123.0,0
1690079,1.33,43.5,34.8,128.5,0
1690080,6.56,28.6,60.8,75.9,0
1690081,5.52,45.6,39.8,88.9,0
1690082,2.87,60.2,53.9,123.4,0
1690083,4.45,31.7,54.5,99.7,0
1690084,4.32,43.6,51.2,98.8,1
1690085,2.8,30.0,16.0,98.1,1
1690086,3.82,41.4,10.6,68.5,0
1690087,4.27,36.0,27.5,79.9,0
1690088,2.63,52.7,48.1,106.6,0
1690089,4.35,36.1,22.2,34.4,0
1690090,5.88,51.0,37.5,100.8,0
1690091,3.71,39.4,63.9,69.9,1
1690092,4.88,17.3,45.9,133.8,1
1690093,5.69,35.8,22.7,77.7,1
1690094,4.53,39.6,39.2,110.9,1
1690095,3.13,39.1,31.5,117.1,1
1690096,2.89,46.2,24.3,91.3,0
1690097,3.13,66.0,66.7,76.3,1
1690098,3.94,51.4,65.0,54.8,0
1690099,5.67,26.3,65.7,58.8,0
1690100,4.68,66.6,31.4,74.9,1
1690101,5.01,54.5,20.0,107.1,0
1690102,6.31,62.0,50.2,70.5,1
1690103,4.15,58.7,42.9,96.2,0
1690104,5.67,35.7,48.1,74.7,1
1690105,3.92,23.0,27.0,79.7,1
1690106,5.65,6.0,41.9,96.4,0
1690107,5.16,72.0,36.1,100.2,1
1690108,3.92,57.8,52.9,79.3,0
1690109,4.41,43.0,46.2,103.4,0
1690110,4.95,35.6,45.9,117.6,1
1690111,6.19,63.1,47.4,96.5,0
1690112,6.32,15.7,60.5,112.4,1
1690113,2.54,67.6,30.2,92.5,0
1690114,2.43,50.2,65.7,100.3,1
1690115,2.63,49.7,31.3,91.9,1
1690116,5.68,19.5,41.8,103.7,0
1690117,6.43,68.8,37.5,112.4,1
1690118,3.34,48.4,77.9,113.4,1
1690119,4.44,55.9,31.5,172.9,1
1690120,5.59,65.0,86.5,80.5,1
1690121,5.79,43.3,52.6,103.0,1
1690122,4.32,17.1,17.2,106.2,0
1690123,3.88,28.8,63.9,92.1,0
1690124,4.18,53.6,45.1,106.5,0
1690125,6.53,,28.2,102.9,1
1690126,5.63,49.3,70.1,117.3,0
1690127,5.88,58.7,67.4,115.3,1
1690128,6.84,,33.0,60.2,0
1690129,4.37,13.4,61.5,100.5,0
1690130,6.11,33.9,48.0,70.3,0
1690131,4.88,62.2,57.2,78.5,0
1690132,4.56,38.8,54.4,83.8,0
1690133,4.27,30.5,23.0,95.7,1
1690134,5.81,53.8,67.0,99.4,0
1690135,5.5,23.4,37.0,62.6,0
1690136,5.28,34.7,27.3,82.2,0
1690137,4.06,71.7,28.4,150.9,1
1690138,1.59,44.4,41.7,115.6,0
1690139,2.89,64.7,47.0,120.2,1
1690140,3.22,35.5,18.5,99.8,0
1690141,4.53,40.7,59.0,93.6,0
1690142,3.68,55.9,38.0,112.8,1
1690143,3.98,42.9,56.6,100.9,0
1690144,4.0,36.3,34.5,89.2,1
1690145,4.18,48.6,63.9,113.0,1
1690146,3.84,15.1,42.1,80.3,0
1690147,4.91,50.8,44.8,123.5,0
1690148,3.98,55.6,47.6,115.9,0
1690149,3.62,48.7,22.3,82.5,1
1690150,5.71,50.9,53.2,99.7,0
1690151,4.1,47.0,52.4,105.4,0
1690152,4.05,29.7,50.4,85.4,1
1690153,3.57,50.5,41.1,123.7,0
1690154,5.94,38.5,44.7,72.2,1
1690155,4.3,34.9,40.8,106.2,1
1690156,4.64,64.9,40.2,108.3,0
1690157,3.67,45.0,73.4,76.1,1
1690158,5.55,44.1,67.3,133.1,1
1690159,6.02,33.2,22.5,117.5,0
1690160,4.76,51.5,18.2,91.2,0
1690161,4.23,45.5,59.5,149.2,1
1690162,2.12,50.1,62.5,68.6,0
1690163,5.72,21.4,40.2,144.7,1
1690164,5.97,56.9,35.9,122.7,0
1690165,4.82,30.2,63.8,121.4,1
1690166,4.12,32.9,34.1,139.8,0
1690167,4.9,56.2,34.0,88.2,1
1690168,2.92,54.8,45.0,100.3,0
1690169,6.61,49.9,28.8,74.1,0
1690170,3.98,15.7,57.2,87.8,0
1690171,4.25,45.5,31.6,115.8,0
1690172,3.94,57.3,33.9,109.5,1
1690173,6.29,52.4,60.5,53.4,1
1690174,6.34,49.8,29.4,143.8,0
1690175,3.2,29.2,50.8,100.1,0
1690176,6.01,32.6,48.7,125.5,1
1690177,3.09,68.9,76.7,128.6,0
1690178,2.99,30.9,36.7,88.7,0
1690179,5.39,38.8,32.0,113.0,1
1690180,4.72,27.3,45.2,110.6,0
1690181,5.16,48.0,29.7,108.8,0
1690182,3.87,19.3,64.4,99.0,1
1690183,4.46,35.2,43.2,86.6,0
1690184,3.28,38.2,46.7,78.0,0
1690185,3.73,31.5,69.9,70.8,0
1690186,4.86,56.9,45.8,101.1,1
1690187,5.46,45.3,28.1,84.8,1
1690188,2.27,31.4,47.4,141.5,1
1690189,6.04,39.9,25.0,93.8,1
1690190,3.02,32.3,47.8,90.2,0
1690191,6.18,45.0,70.5,111.2,0
1690192,4.55,56.6,21.9,48.5,1
1690193,2.82,38.1,61.7,93.9,1
1690194,3.69,,69.8,81.3,1
1690195,3.45,56.0,47.4,90.5,1
1690196,3.61,55.4,41.5,108.3,1
1690197,4.19,21.6,45.6,119.2,0
1690198,4.64,17.5,49.8,63.9,0
1690199,5.17,36.6,48.3,120.4,0
1690200,3.73,26.4,49.0,72.8,0
1690201,3.75,83.7,48.1,100.5,1
1690202,3.57,36.2,35.2,92.4,0
1690203,1.96,55.1,50.3,122.0,0
1690204,3.63,54.8,41.8,93.4,0
1690205,5.3,64.5,33.2,85.1,0
1690206,5.29,35.6,52.7,122.0,1
1690207,1.77,52.2,31.5,113.1,0
1690208,5.24,54.5,46.5,102.0,1
1690209,3.35,76.3,42.8,124.0,0
1690210,6.18,57.8,35.9,119.5,0
1690211,5.07,65.6,56.0,77.9,1
1690212,3.33,27.1,34.7,103.6,1
1690213,4.46,21.8,42.1,90.1,0
1690214,5.15,48.1,43.5,112.3,0
1690215,5.02,41.3,21.2,95.5,0
1690216,4.05,51.7,3.3,117.0,0
1690217,6.55,44.2,47.3,96.9,0
1690218,8.51,37.4,25.7,115.4,0
1690219,5.88,42.7,58.4,93.0,0
1690220,3.55,42.3,56.9,99.1,1
1690221,4.68,43.9,50.4,119.0,0
1690222,3.34,46.3,49.0,101.9,0
1690223,5.62,,19.7,121.7,0
1690224,6.28,33.9,37.3,107.6,0
1690225,2.77,36.6,34.2,151.4,1
1690226,5.55,62.9,44.9,90.2,0
1690227,5.79,57.0,27.7,140.1,0
1690228,5.39,23.0,48.5,105.8,0
1690229,3.72,51.9,56.4,114.2,0
1690230,4.05,41.0,39.9,112.2,1
1690231,4.27,34.0,26.9,116.7,1
1690232,4.66,,65.5,94.3,1
1690233,3.4,73.1,32.1,80.4,0
1690234,4.38,62.6,31.7,87.0,1
1690235,5.63,37.2,57.1,102.5,0
1690236,4.69,34.2,36.0,100.8,1
1690237,2.87,43.1,41.0,169.0,1
1690238,7.52,63.2,36.9,116.3,0
1690239,2.54,55.5,32.2,111.2,0
1690240,4.21,56.7,34.0,105.8,0
1690241,4.16,48.3,57.5,48.8,1
1690242,5.29,56.6,58.1,110.4,0
1690243,4.55,30.9,21.8,97.3,0
1690244,4.15,20.6,46.8,106.0,1
1690245,5.25,24.2,50.4,75.6,1
1690246,6.38,33.5,52.8,94.7,1
1690247,3.0,25.9,33.1,115.9,0
1690248,3.58,52.7,56.1,119.9,0
1690249,3.38,13.9,43.7,77.2,0
1690250,3.68,23.1,47.9,58.8,0
1690251,4.39,45.1,65.2,81.7,1
1690252,5.33,53.1,35.0,152.4,0
1690253,2.57,15.5,70.2,85.7,1
1690254,4.34,10.2,55.9,94.2,1
1690255,4.21,65.8,55.5,82.3,1
1690256,4.01,39.9,52.0,108.8,0
1690257,5.8,32.9,41.1,72.0,1
1690258,4.27,24.0,17.2,122.3,0
1690259,2.28,37.8,79.5,106.4,0
1690260,5.39,46.8,43.3,76.2,1
1690261,3.79,68.0,48.4,125.1,0
1690262,2.23,33.0,43.3,108.2,0
1690263,1.96,42.6,17.8,68.8,1
1690264,3.65,46.4,55.7,77.0,0
1690265,4.14,48.7,21.9,117.2,0
1690266,5.18,66.5,40.7,138.5,0
1690267,5.53,23.5,44.7,97.1,0
1690268,4.17,41.6,25.2,112.2,0
1690269,5.79,31.7,39.6,92.9,0
1690270,4.39,45.1,47.9,98.4,0
1690271,4.2,17.0,41.1,127.8,0
1690272,4.53,52.7,54.5,108.9,1
1690273,7.46,51.9,19.9,83.9,0
1690274,5.69,60.8,29.7,116.3,1
1690275,4.43,26.2,46.1,129.1,1
1690276,3.24,28.1,79.7,69.3,1
1690277,5.68,48.4,39.4,111.5,0
1690278,4.54,35.2,50.4,76.5,0
1690279,4.29,38.1,42.7,127.7,1
1690280,5.35,42.8,58.1,119.6,0
1690281,3.64,52.0,42.8,36.9,0
1690282,3.63,61.1,63.6,136.7,0
1690283,4.54,33.8,44.4,96.6,1
1690284,2.91,58.8,64.3,133.6,1
1690285,2.75,59.4,58.2,101.6,1
1690286,6.58,41.5,80.4,137.2,1
1690287,6.76,42.8,74.6,133.9,0
1690288,4.1,42.9,53.0,123.2,0
1690289,4.94,37.2,49.5,104.8,0
1690290,6.55,69.1,44.9,86.1,1
1690291,4.73,32.2,63.7,83.8,1
1690292,5.43,32.9,45.0,149.8,0
1690293,4.11,32.3,44.2,91.5,1
1690294,1.57,9.3,58.0,55.8,1
1690295,3.73,29.4,45.4,81.1,1
1690296,2.4,64.2,42.6,92.1,0
1690297,4.85,44.7,31.5,90.4,0
1690298,3.75,27.9,22.8,86.8,0
1690299,4.59,49.8,38.2,60.4,0
1690300,3.91,26.6,27.6,120.1,1
1690301,3.41,28.9,12.0,121.4,1
1690302,3.13,56.3,24.6,98.5,0
1690303,4.46,38.6,47.4,125.3,1
1690304,4.39,23.8,58.1,111.4,1
1690305,4.74,43.3,55.1,117.2,1
1690306,4.19,38.4,23.9,86.8,1
1690307,3.26,53.6,78.3,94.3,0
1690308,5.52,45.1,23.5,83.6,1
1690309,3.59,68.1,32.1,105.6,1
1690310,4.34,52.3,38.3,120.6,1
1690311,3.86,56.9,45.6,124.3,0
1690312,2.45,52.8,54.3,111.0,1
1690313,4.38,33.2,26.4,108.1,0
1690314,3.11,36.5,50.4,136.0,1
1690315,4.38,58.1,27.7,99.7,1
1690316,4.73,41.3,37.6,69.5,1
1690317,3.33,39.1,19.4,126.3,0
1690318,5.25,79.9,51.7,99.5,1
1690319,4.29,76.7,59.7,86.2,1
1690320,4.53,44.1,2.8,121.3,1
1690321,1.59,55.7,49.3,101.9,1
1690322,2.01,52.8,41.1,105.3,0
1690323,3.81,43.1,23.0,112.1,1
1690324,3.69,57.0,61.7,109.2,0
1690325,3.9,38.8,59.0,69.5,1
1690326,5.64,34.8,57.2,138.8,0
1690327,3.27,28.1,56.1,77.7,1
1690328,5.5,44.1,41.6,137.5,0
1690329,4.47,46.7,48.7,64.7,0
1690330,4.52,28.6,33.7,89.4,0
1690331,2.87,38.2,58.1,125.7,0
1690332,3.26,36.9,41.9,99.6,0
1690333,2.59,36.5,50.2,108.5,1
1690334,4.13,51.1,43.3,97.6,0
1690335,3.12,46.3,46.0,83.3,0
1690336,6.0,50.0,39.7,65.9,0
1690337,4.48,28.8,56.5,105.8,0
1690338,2.52,55.6,28.2,101.4,0
1690339,4.86,20.9,32.0,120.7,1
1690340,5.88,25.3,39.7,94.0,0
1690341,3.59,56.6,28.5,127.2,1
1690342,4.81,57.7,19.3,107.2,1
1690343,5.73,25.4,51.7,89.3,0
1690344,4.63,41.4,21.6,108.1,1
1690345,4.82,63.2,49.6,137.3,1
1690346,4.71,25.7,58.0,121.2,1
1690347,2.26,62.1,56.9,137.0,1
1690348,4.23,37.4,70.6,62.6,1
1690349,6.06,57.6,53.0,103.6,1
1690350,5.46,42.2,37.8,149.2,1
1690351,6.28,47.4,31.1,84.1,1
1690352,5.49,59.6,31.9,158.0,0
1690353,3.63,46.3,41.8,81.7,1
1690354,4.28,23.9,79.5,63.8,1
1690355,4.21,52.9,55.3,113.9,0
1690356,4.98,68.7,57.1,106.9,0
1690357,7.01,47.7,27.7,121.5,0
1690358,3.37,50.3,63.7,119.5,1
1690359,5.08,42.6,59.3,110.9,0
1690360,5.51,44.1,42.5,98.6,1
1690361,2.05,40.1,50.0,100.0,1
1690362,4.02,26.5,47.8,99.4,1
1690363,4.96,48.4,57.7,121.1,0
1690364,3.6,70.2,55.7,87.7,0
1690365,4.39,43.7,41.9,122.7,0
1690366,3.37,49.9,30.2,98.6,1
1690367,6.94,64.4,66.4,82.8,0
1690368,5.06,61.2,24.1,101.5,1
1690369,6.34,36.5,44.3,80.6,0
1690370,5.25,22.8,33.3,107.4,1
1690371,4.97,65.8,62.8,94.9,1
1690372,4.76,59.1,50.9,141.9,1
1690373,6.17,36.5,28.6,88.1,1
1690374,5.88,60.2,35.1,62.2,1
1690375,5.84,55.8,42.6,90.2,0
1690376,5.84,34.3,43.1,90.4,1
1690377,4.24,44.4,29.9,98.3,1
1690378,3.89,46.7,48.8,63.1,0
1690379,2.8,42.4,48.5,77.3,1
1690380,4.63,68.7,26.1,109.2,0
1690381,2.12,38.8,66.4,132.9,0
1690382,4.74,31.3,53.8,84.5,1
1690383,4.77,41.6,8.7,64.8,1
1690384,3.27,36.8,35.3,130.1,0
