CampaignID,AdSpend_K,SocialMediaImpressions,SearchClicks,DirectVisits,ConversionRevenue
1140001,74.6,131.0,103.6,86.9,60062.0
1140002,91.0,116.0,89.5,94.9,67338.0
1140003,61.8,92.8,64.2,122.4,79283.0
1140004,100.4,134.4,124.3,101.6,78929.0
1140005,76.3,67.4,131.4,113.9,69391.0
1140006,52.8,84.2,69.5,121.6,15000.0
1140007,57.1,101.0,122.5,102.8,56974.0
1140008,88.6,93.7,157.8,40.5,55390.0
1140009,48.9,97.9,91.4,102.8,60933.0
1140010,50.0,97.1,139.6,91.4,43500.0
1140011,61.2,152.0,107.5,62.2,33757.0
1140012,78.7,54.8,114.9,89.2,82847.0
1140013,79.9,98.5,107.6,78.5,46215.0
1140014,63.0,109.3,37.9,107.5,57883.0
1140015,47.3,146.5,99.5,92.4,61299.0
1140016,68.8,109.0,83.4,148.9,87451.0
1140017,,89.7,100.8,103.4,98954.0
1140018,80.7,105.5,90.8,141.0,66127.0
1140019,75.7,123.9,81.4,81.8,42373.0
1140020,72.5,125.9,70.2,105.3,49555.0
1140021,70.7,102.9,131.2,117.9,24282.0
1140022,99.4,99.8,85.5,92.4,85550.0
1140023,66.9,73.4,104.3,89.5,56132.0
1140024,75.2,81.4,88.6,104.2,62781.0
1140025,68.6,88.3,115.3,115.6,85585.0
1140026,97.9,78.8,145.0,110.8,76975.0
1140027,40.0,93.8,115.5,107.1,57198.0
1140028,57.6,104.4,64.3,77.1,91210.0
1140029,110.9,93.7,86.1,96.7,68451.0
1140030,68.4,89.2,81.1,118.9,53389.0
1140031,88.3,108.4,126.4,128.9,81995.0
1140032,91.6,79.1,86.2,77.4,103640.0
1140033,72.9,62.4,94.6,51.7,61897.0
1140034,71.9,111.3,110.8,95.2,71467.0
1140035,95.9,125.8,90.8,121.3,54037.0
1140036,67.5,65.2,106.4,61.6,62340.0
1140037,94.5,75.8,130.1,76.3,42426.0
1140038,47.9,113.0,116.9,87.3,57603.0
1140039,61.0,106.8,131.7,143.8,66943.0
1140040,92.5,83.5,97.3,108.5,99119.0
1140041,60.0,102.4,63.1,131.1,93504.0
1140042,98.2,34.3,84.4,105.6,55733.0
1140043,101.8,121.2,119.3,98.2,101780.0
1140044,75.4,104.0,106.9,81.8,48399.0
1140045,30.5,113.2,82.9,147.2,99586.0
1140046,76.2,87.7,101.1,113.3,78372.0
1140047,116.1,100.4,108.3,124.4,60338.0
1140048,77.6,84.7,91.0,134.4,67920.0
1140049,119.3,127.7,68.3,134.8,71539.0
1140050,37.4,93.0,74.4,116.8,57477.0
1140051,71.5,125.6,88.9,82.8,62968.0
1140052,79.0,97.7,72.9,81.0,93353.0
1140053,51.6,119.2,119.3,180.6,40445.0
1140054,72.8,58.6,73.9,75.6,92604.0
1140055,57.7,43.9,109.1,67.2,74217.0
1140056,125.9,115.9,90.1,119.8,45742.0
1140057,69.7,89.4,160.4,97.3,49926.0
1140058,75.2,63.0,84.7,61.6,46266.0
1140059,46.7,136.5,70.5,68.7,57133.0
1140060,42.4,98.6,104.4,79.2,60927.0
1140061,30.3,125.1,85.6,87.4,74702.0
1140062,52.3,85.0,129.9,102.6,74104.0
1140063,88.7,83.3,100.0,114.8,49766.0
1140064,90.7,127.0,90.0,97.4,81838.0
1140065,63.3,96.6,139.6,84.0,43027.0
1140066,74.2,95.7,73.0,98.8,73045.0
1140067,55.7,139.1,138.1,91.5,63743.0
1140068,92.9,64.0,91.4,100.5,68986.0
1140069,61.6,109.2,98.4,104.0,71378.0
1140070,83.1,102.2,70.2,119.2,79152.0
1140071,100.4,88.0,95.6,80.1,64415.0
1140072,54.4,159.4,160.9,92.7,25438.0
1140073,73.7,122.2,111.4,49.3,70128.0
1140074,35.3,36.7,65.7,140.0,59210.0
1140075,53.7,84.7,55.5,97.3,44166.0
1140076,88.6,111.7,90.1,87.5,75715.0
1140077,44.4,78.7,113.4,130.7,75678.0
1140078,59.5,64.7,112.3,96.3,54042.0
1140079,65.8,53.2,106.5,100.7,94235.0
1140080,71.9,111.7,118.1,80.1,58471.0
1140081,90.8,117.7,99.6,55.1,89537.0
1140082,112.8,140.7,146.5,124.0,60683.0
1140083,101.9,87.8,84.1,76.9,59824.0
1140084,92.0,72.1,104.6,139.7,59354.0
1140085,51.1,129.7,68.4,103.8,54422.0
1140086,43.7,151.9,59.5,62.1,65350.0
1140087,98.6,92.1,76.6,99.3,54185.0
1140088,74.9,103.3,122.7,143.9,81737.0
1140089,97.0,89.1,121.2,96.9,52522.0
1140090,89.7,114.8,120.1,122.6,68481.0
1140091,96.5,109.4,95.8,65.6,87357.0
1140092,119.5,142.3,74.2,90.0,58116.0
1140093,73.6,112.9,101.4,114.8,57361.0
1140094,79.4,97.5,89.9,118.0,45448.0
1140095,63.0,110.0,131.3,89.0,53291.0
1140096,46.2,131.6,62.5,93.5,47100.0
1140097,67.8,128.3,107.3,121.2,68839.0
1140098,88.4,143.8,76.9,65.9,91695.0
1140099,91.7,108.1,58.6,81.5,72516.0
1140100,68.0,111.4,129.8,95.5,53289.0
1140101,75.7,65.2,66.0,104.1,75619.0
1140102,103.9,96.7,88.8,75.8,67018.0
1140103,60.8,84.0,145.5,122.3,58454.0
1140104,75.3,100.7,94.5,140.5,59889.0
1140105,100.9,101.9,94.3,95.0,30230.0
1140106,66.8,93.5,70.5,93.2,70963.0
1140107,59.9,84.2,64.0,110.9,54880.0
1140108,94.9,95.8,98.0,102.4,48251.0
1140109,69.3,76.2,93.3,129.1,41433.0
1140110,61.9,137.4,85.2,105.2,73975.0
1140111,75.9,99.0,131.8,110.0,66676.0
1140112,60.4,101.3,67.8,140.7,75183.0
1140113,71.9,104.1,133.4,85.4,38701.0
1140114,105.9,101.8,81.7,122.6,60922.0
1140115,49.6,38.0,76.5,121.5,21713.0
1140116,64.3,51.9,84.7,146.9,75244.0
1140117,54.5,109.2,113.8,89.8,59958.0
1140118,20.4,90.5,97.3,114.4,76969.0
1140119,99.2,115.2,145.5,80.5,53547.0
1140120,71.2,108.4,153.1,125.2,100044.0
1140121,63.8,112.8,99.5,115.7,42212.0
1140122,56.0,68.8,121.2,72.5,85954.0
1140123,52.7,91.6,97.1,68.4,16306.0
1140124,46.4,113.7,109.7,85.2,60272.0
1140125,51.2,48.8,58.3,138.0,48577.0
1140126,32.2,68.3,128.0,75.0,70369.0
1140127,92.0,95.8,89.7,77.4,108643.0
1140128,98.5,108.4,93.7,70.3,80020.0
1140129,118.8,103.8,87.7,69.3,70952.0
1140130,93.7,106.6,75.7,104.7,81649.0
1140131,84.9,115.7,56.8,107.3,82008.0
1140132,67.6,109.7,125.8,129.6,58463.0
1140133,30.9,131.1,120.8,67.0,49379.0
1140134,78.9,106.7,84.3,121.8,67317.0
1140135,68.5,77.5,64.2,66.5,68440.0
1140136,21.9,91.7,59.4,99.7,21808.0
1140137,56.7,53.3,77.4,139.1,51591.0
1140138,87.3,108.2,137.6,112.4,68023.0
1140139,78.9,80.2,94.7,101.7,68826.0
1140140,42.2,98.8,109.6,92.7,63072.0
1140141,82.5,74.4,97.8,104.0,67760.0
1140142,106.1,68.7,87.9,120.9,57828.0
1140143,51.1,122.7,68.3,156.2,37520.0
1140144,89.0,47.7,75.2,89.6,59434.0
1140145,73.2,125.9,76.7,92.2,90672.0
1140146,85.3,96.5,81.6,81.1,48622.0
1140147,103.4,156.1,130.2,121.0,41017.0
1140148,57.1,117.5,96.1,143.4,50003.0
1140149,98.9,96.6,109.5,23.8,64425.0
1140150,,115.1,102.3,58.0,65595.0
1140151,77.2,111.0,97.8,62.8,106155.0
1140152,79.1,92.5,41.9,55.6,59824.0
1140153,95.6,113.0,97.9,79.3,60527.0
1140154,111.8,121.0,98.0,139.0,96257.0
1140155,89.5,83.9,91.8,125.8,67234.0
1140156,68.4,81.4,96.4,103.5,62880.0
1140157,91.1,71.1,80.1,71.0,78165.0
1140158,,102.0,80.1,50.5,45099.0
1140159,61.0,108.0,66.3,126.5,62525.0
1140160,58.6,77.7,101.7,89.1,48526.0
1140161,82.2,103.1,69.6,92.9,87432.0
1140162,109.6,102.6,125.5,112.2,74030.0
1140163,91.5,132.3,123.3,85.4,55381.0
1140164,94.3,151.3,115.2,85.6,42518.0
1140165,117.5,96.9,122.4,39.7,58892.0
1140166,65.9,85.9,78.5,76.5,47575.0
1140167,70.5,112.0,103.7,103.7,43150.0
1140168,112.5,125.3,114.3,112.1,77533.0
1140169,44.9,85.6,93.3,138.3,77779.0
1140170,78.9,85.0,126.1,107.8,48176.0
1140171,79.1,84.5,102.0,94.1,83845.0
1140172,73.4,106.8,107.8,109.6,65828.0
1140173,80.7,103.2,115.7,134.4,48576.0
1140174,69.9,75.6,60.4,76.9,53733.0
1140175,58.1,166.8,95.0,110.4,68493.0
1140176,61.0,115.4,102.6,114.8,68331.0
1140177,95.1,101.8,77.6,90.9,54690.0
1140178,83.0,133.6,49.7,106.5,73826.0
1140179,63.8,108.8,92.1,107.2,15000.0
1140180,53.4,102.6,133.1,53.9,70523.0
1140181,60.3,145.3,95.9,119.5,80531.0
1140182,49.8,131.4,69.9,85.3,60247.0
1140183,75.0,69.1,88.3,115.1,100707.0
1140184,48.3,87.6,136.2,76.9,52306.0
1140185,66.1,95.9,99.7,102.2,83169.0
1140186,,97.7,65.6,104.9,72377.0
1140187,,129.6,96.5,87.2,71532.0
1140188,28.9,91.1,104.1,108.7,42229.0
1140189,111.0,99.0,130.1,61.3,23338.0
1140190,70.3,91.9,120.7,119.8,77447.0
1140191,91.6,140.8,129.4,123.7,63694.0
1140192,122.0,82.6,63.8,118.6,67609.0
1140193,79.5,127.2,105.1,111.6,33619.0
1140194,74.1,103.0,63.4,92.8,77500.0
1140195,67.6,111.2,114.1,101.3,55658.0
1140196,100.7,134.6,97.7,112.1,75362.0
1140197,70.3,85.9,145.1,85.2,69681.0
1140198,87.5,98.3,88.2,76.1,86139.0
1140199,69.5,101.7,133.0,121.5,48491.0
1140200,98.9,140.4,91.5,100.9,46100.0
1140201,73.2,81.3,107.6,106.7,82622.0
1140202,30.6,109.5,87.0,113.3,60756.0
1140203,74.1,72.2,82.6,174.0,92657.0
1140204,79.2,170.0,124.0,92.2,58088.0
1140205,92.3,93.1,109.4,113.1,30262.0
1140206,68.0,91.9,49.4,110.4,50554.0
1140207,45.2,59.0,97.4,116.1,60731.0
1140208,76.4,88.2,76.8,116.6,49247.0
1140209,58.9,122.7,75.8,75.2,60304.0
1140210,44.7,126.7,75.3,61.6,45364.0
1140211,41.2,131.5,152.4,87.1,83197.0
1140212,91.1,117.3,138.7,104.8,44121.0
1140213,64.5,85.9,82.8,82.9,53859.0
1140214,81.0,124.6,111.7,91.6,59455.0
1140215,86.9,83.9,61.2,111.7,49322.0
1140216,33.4,94.5,115.3,120.3,45258.0
1140217,79.1,89.2,116.2,57.7,73383.0
1140218,83.4,124.7,119.5,57.1,56523.0
1140219,82.0,83.4,68.6,122.8,81208.0
1140220,56.5,117.5,161.4,94.2,84315.0
1140221,55.7,84.6,99.9,85.5,39910.0
1140222,67.8,108.5,104.2,87.0,62506.0
1140223,90.8,76.4,112.4,105.6,47521.0
1140224,91.9,152.0,71.9,117.9,112176.0
1140225,41.3,77.1,134.3,160.8,72637.0
