RecommendID,MatchingScore,PriceScore,UserAge,ItemCategory,RecommendClicked
1130001,7.0,7.2,18.0,Type_B,1
1130002,8.6,7.0,69.0,Type_C,1
1130003,7.5,8.1,31.0,Type_B,1
1130004,5.7,7.7,43.0,Type_B,1
1130005,6.9,5.1,18.0,Type_A,0
1130006,9.0,8.7,21.0,Type_B,0
1130007,8.8,5.9,39.0,Type_C,0
1130008,8.9,8.6,27.0,Type_B,0
1130009,8.7,8.2,33.0,Type_A,0
1130010,8.3,7.8,51.0,Type_B,0
1130011,7.7,5.9,25.0,Type_A,0
1130012,7.4,6.8,33.0,Type_B,0
1130013,7.4,10.0,48.0,Type_C,1
1130014,6.9,8.7,36.0,Type_A,1
1130015,6.4,3.4,45.0,Type_B,1
1130016,8.3,8.1,51.0,Type_A,1
1130017,7.4,7.1,21.0,Type_C,0
1130018,9.1,6.9,39.0,Type_B,1
1130019,5.8,7.8,59.0,Type_A,0
1130020,7.3,9.1,60.0,Type_C,0
1130021,7.6,9.3,51.0,Type_B,0
1130022,8.1,6.5,50.0,Type_C,0
1130023,6.4,5.4,19.0,Type_C,0
1130024,6.3,8.2,59.0,Type_A,0
1130025,3.5,8.7,46.0,Type_C,0
1130026,5.3,8.1,31.0,Type_C,1
1130027,6.8,2.7,56.0,Type_C,1
1130028,7.7,7.7,36.0,Type_B,1
1130029,4.8,8.9,40.0,Type_B,0
1130030,8.2,6.9,27.0,Type_A,1
1130031,4.7,7.9,32.0,Type_C,1
1130032,7.5,6.0,49.0,Type_A,0
1130033,4.3,5.4,18.0,Type_A,1
1130034,7.6,8.9,27.0,Type_C,1
1130035,4.8,6.6,35.0,Type_B,0
1130036,7.6,7.9,57.0,Type_B,1
1130037,5.6,6.9,24.0,Type_A,0
1130038,5.8,5.5,67.0,Type_C,0
1130039,7.9,6.8,47.0,Type_C,1
1130040,9.2,7.2,35.0,Type_A,0
1130041,8.6,6.5,35.0,Type_B,1
1130042,7.6,9.1,56.0,Type_A,1
1130043,8.6,6.4,46.0,Type_A,1
1130044,8.4,7.7,36.0,Type_B,0
1130045,7.2,9.1,24.0,Type_A,0
1130046,7.8,4.0,33.0,Type_C,1
1130047,5.9,6.0,46.0,Type_B,0
1130048,7.3,8.3,47.0,Type_C,0
1130049,7.2,6.7,38.0,Type_B,1
1130050,4.2,5.5,30.0,Type_B,1
1130051,8.1,6.0,24.0,Type_B,0
1130052,5.7,5.7,42.0,Type_A,1
1130053,7.9,5.5,39.0,Type_C,0
1130054,8.1,7.2,61.0,Type_A,0
1130055,5.9,5.8,33.0,Type_B,1
1130056,6.6,8.5,57.0,Type_C,1
1130057,,6.1,35.0,Type_B,0
1130058,6.2,3.5,29.0,Type_C,0
1130059,7.5,8.1,36.0,Type_B,0
1130060,6.8,8.7,37.0,Type_A,0
1130061,8.8,7.9,56.0,Type_C,0
1130062,8.9,8.9,30.0,Type_A,0
1130063,7.9,4.7,55.0,Type_A,0
1130064,7.5,4.5,24.0,Type_A,1
1130065,6.5,8.4,50.0,Type_C,0
1130066,8.4,6.3,39.0,Type_A,0
1130067,6.3,8.6,37.0,Type_C,0
1130068,9.5,7.8,26.0,Type_B,0
1130069,5.6,4.3,35.0,Type_C,0
1130070,8.7,8.8,39.0,Type_B,1
1130071,6.4,8.6,43.0,Type_B,0
1130072,7.6,7.5,38.0,Type_A,1
1130073,6.2,5.9,26.0,Type_C,1
1130074,6.8,6.8,42.0,Type_B,0
1130075,4.7,8.5,36.0,Type_A,1
1130076,7.1,9.1,30.0,Type_B,0
1130077,8.7,4.3,19.0,Type_B,0
1130078,8.0,6.9,27.0,Type_B,0
1130079,8.5,9.5,24.0,Type_A,0
1130080,8.9,7.1,44.0,Type_A,0
1130081,6.3,9.3,31.0,Type_A,1
1130082,8.1,8.7,29.0,Type_A,0
1130083,7.1,9.0,30.0,Type_C,0
1130084,7.7,8.0,36.0,Type_C,0
1130085,5.1,8.2,28.0,Type_B,0
1130086,9.0,9.1,51.0,Type_A,0
1130087,8.8,6.0,24.0,Type_A,1
1130088,7.6,5.8,28.0,Type_A,1
1130089,7.1,6.8,27.0,Type_A,0
1130090,6.5,3.7,38.0,Type_C,1
1130091,8.8,6.8,32.0,Type_A,0
1130092,10.0,9.7,36.0,Type_A,1
1130093,7.1,6.5,35.0,Type_C,1
1130094,7.2,6.1,50.0,Type_B,1
1130095,6.0,3.9,58.0,Type_C,1
1130096,6.1,7.3,47.0,Type_A,1
1130097,8.3,8.5,34.0,Type_C,0
1130098,4.3,3.5,37.0,Type_A,0
1130099,7.6,7.9,33.0,Type_C,0
1130100,10.0,7.7,20.0,Type_B,0
1130101,6.2,7.9,44.0,Type_C,0
1130102,5.8,8.8,40.0,Type_A,0
1130103,7.9,7.3,34.0,Type_C,1
1130104,3.4,8.6,18.0,Type_A,1
1130105,5.9,9.2,32.0,Type_B,1
1130106,7.0,7.2,56.0,Type_B,0
1130107,7.8,7.3,34.0,Type_B,1
1130108,7.9,5.2,40.0,Type_A,0
1130109,8.8,10.0,18.0,Type_B,1
1130110,9.1,7.0,53.0,Type_C,0
1130111,7.0,9.1,26.0,Type_B,1
1130112,7.4,6.5,51.0,Type_A,0
