ReitID,VacancyRate_Percent,AverageRent_K,DividendYield_Percent,AssetValue_M,RiskRating
1100001,49.9,53.0,54.3,6.9,85.0
1100002,33.1,30.0,38.7,2.8,66.0
1100003,66.0,43.0,42.3,8.4,102.2
1100004,21.8,45.0,61.6,12.9,129.1
1100005,62.5,36.0,77.2,6.9,149.2
1100006,62.2,50.0,27.2,6.8,97.4
1100007,47.0,40.0,18.7,5.9,143.9
1100008,51.5,28.0,39.6,4.1,115.9
1100009,32.0,45.0,45.1,6.2,82.8
1100010,45.4,30.0,45.8,1.7,165.9
1100011,22.2,48.0,60.0,6.1,100.5
1100012,32.8,35.0,40.9,9.1,98.4
1100013,41.6,58.0,42.9,6.6,106.8
1100014,5.5,41.0,22.4,8.5,114.7
1100015,45.7,34.0,41.0,5.4,63.4
1100016,39.3,60.0,25.4,11.4,116.3
1100017,42.6,47.0,86.7,5.0,76.3
1100018,33.8,20.0,52.4,14.4,122.4
1100019,61.0,29.0,37.9,8.1,135.7
1100020,34.0,29.0,59.6,10.7,96.6
1100021,23.0,19.0,70.8,5.2,108.3
1100022,71.9,39.0,39.5,6.8,99.9
1100023,20.1,49.0,34.5,6.0,90.7
1100024,44.1,61.0,22.1,10.1,46.3
1100025,48.6,35.0,44.1,2.7,110.0
1100026,68.7,33.0,55.2,5.7,141.7
1100027,68.5,34.0,34.6,9.0,103.5
1100028,26.3,59.0,52.7,9.0,47.7
1100029,53.1,59.0,38.5,4.7,115.0
1100030,32.3,21.0,35.8,9.2,104.4
1100031,46.6,28.0,31.7,4.4,93.4
1100032,37.8,35.0,37.6,5.0,96.8
1100033,35.3,61.0,41.9,14.6,123.6
1100034,33.5,24.0,29.8,10.2,131.1
1100035,68.5,40.0,49.7,8.8,102.8
1100036,33.9,28.0,62.1,8.8,110.2
1100037,48.2,33.0,52.5,9.7,86.0
1100038,47.4,45.0,46.1,9.3,85.7
1100039,34.7,34.0,43.9,10.2,47.5
1100040,53.4,43.0,60.2,7.6,96.3
1100041,38.5,56.0,29.8,7.0,128.3
1100042,56.1,56.0,45.2,13.5,101.6
1100043,44.5,32.0,74.3,10.5,81.5
1100044,59.7,35.0,53.1,4.7,61.1
1100045,58.7,51.0,41.7,10.1,108.8
1100046,44.7,35.0,50.2,3.5,141.6
1100047,55.3,41.0,20.4,9.2,104.8
1100048,62.4,35.0,66.7,5.4,114.7
1100049,62.0,48.0,30.1,12.3,105.2
1100050,40.0,21.0,89.0,8.9,110.1
1100051,34.9,48.0,46.3,5.9,145.4
1100052,42.8,18.0,43.9,5.7,154.9
1100053,28.8,38.0,26.0,9.3,145.9
1100054,51.6,43.0,33.3,8.1,114.9
1100055,40.5,28.0,75.8,8.6,107.3
