CustomerID,TotalPurchases,AvgOrderValue,Tenure_Months,ChurnRisk,CustomerLifetimeValue
1910001,275.4,119.9,103.5,234.6,36.0
1910002,135.2,136.5,210.1,75.7,64.5
1910003,78.2,30.9,491.2,213.8,124.4
1910004,116.4,246.4,366.3,212.0,476.1
1910005,163.8,106.6,152.2,417.0,159.3
1910006,411.1,247.0,279.0,332.8,187.6
1910007,124.5,185.2,239.3,40.4,361.1
1910008,477.8,378.3,123.0,434.5,224.8
1910009,451.3,193.4,109.9,159.5,218.8
1910010,69.4,248.3,466.6,36.6,90.8
1910011,104.3,489.1,487.1,286.9,16.6
1910012,347.6,393.5,345.7,423.7,203.2
1910013,184.2,332.1,338.2,277.9,292.5
1910014,62.1,274.2,486.7,182.3,383.7
1910015,326.4,228.9,498.0,266.6,106.5
1910016,461.0,447.6,284.2,17.7,414.9
1910017,116.8,52.0,316.0,361.1,336.2
1910018,489.7,104.8,99.9,481.7,123.7
1910019,91.1,375.1,103.9,197.2,498.0
1910020,38.2,53.1,143.0,12.4,52.8
1910021,464.5,119.6,224.7,393.4,452.0
1910022,226.7,249.9,14.7,225.3,267.2
1910023,38.4,18.5,494.0,201.4,396.1
1910024,86.9,104.5,408.0,468.3,405.4
1910025,29.0,414.1,374.1,385.9,96.5
1910026,118.9,449.3,269.9,438.4,295.8
1910027,308.6,419.0,223.1,315.9,323.0
1910028,128.4,349.5,226.9,366.5,282.0
1910029,370.8,114.8,418.9,442.1,306.4
1910030,105.3,205.4,194.2,395.4,310.6
1910031,208.3,58.4,233.5,56.3,429.1
1910032,147.8,284.8,357.2,380.5,37.5
1910033,463.4,168.3,31.5,58.1,309.6
1910034,385.8,257.1,187.8,411.1,39.9
1910035,81.3,168.1,112.0,240.9,398.2
1910036,60.4,274.3,367.1,485.0,405.7
1910037,323.5,468.7,96.3,280.8,343.0
1910038,228.8,445.5,287.4,94.8,187.1
1910039,340.6,152.1,353.8,304.4,27.4
1910040,428.6,411.4,220.5,31.3,271.2
1910041,425.2,205.7,149.3,173.5,442.1
1910042,162.3,222.0,310.5,74.5,283.4
1910043,165.6,416.4,145.3,210.1,81.1
1910044,402.5,476.4,144.9,51.1,494.8
1910045,23.5,431.6,170.7,74.5,24.8
1910046,273.8,258.5,456.8,350.0,391.4
1910047,359.6,390.8,14.0,14.5,163.4
1910048,425.6,198.0,302.3,177.3,466.2
1910049,57.8,372.2,471.4,31.9,317.7
1910050,462.8,179.8,336.6,207.5,356.4
1910051,462.3,246.8,81.2,242.2,220.4
