EmployeeID,ExpYears,Department,Gender,EducationLevel,Salary
1780001,267.1,Engineering,F,306.1,373.5
1780002,28.8,HR,F,166.5,44.4
1780003,376.3,Sales,F,425.2,30.6
1780004,368.3,Support,F,466.5,90.8
1780005,439.5,HR,F,409.9,297.6
1780006,479.3,Support,F,387.2,
1780007,282.2,Engineering,M,280.5,371.6
1780008,438.0,Support,M,246.9,391.1
1780009,441.5,HR,M,453.6,100.3
1780010,32.7,Sales,M,238.8,112.5
1780011,46.8,Sales,M,181.9,413.2
1780012,31.7,Sales,M,404.1,67.8
1780013,181.6,Sales,M,69.9,369.4
1780014,169.2,HR,F,455.2,378.6
1780015,409.8,Engineering,M,63.6,159.0
1780016,171.0,Engineering,M,314.5,210.1
1780017,393.8,Engineering,F,81.6,253.6
1780018,76.6,Sales,M,136.2,77.7
1780019,422.4,Support,M,86.1,261.1
1780020,204.9,Engineering,F,28.1,75.6
1780021,467.3,Sales,F,319.4,195.2
1780022,473.2,HR,M,152.1,433.2
1780023,358.5,Support,M,397.1,116.6
1780024,158.1,Engineering,F,440.0,164.5
1780025,61.5,Engineering,F,331.1,85.7
1780026,136.3,Engineering,F,293.1,247.1
1780027,83.4,Sales,M,476.9,151.2
1780028,355.1,HR,M,370.9,301.5
1780029,36.6,HR,F,422.9,357.1
1780030,95.9,Engineering,M,334.7,486.0
1780031,46.5,HR,F,257.5,18.6
1780032,50.5,Sales,M,368.0,68.4
1780033,296.3,HR,F,488.8,434.8
1780034,261.2,Engineering,F,473.0,152.5
1780035,276.0,HR,F,242.4,45.3
1780036,423.6,HR,M,207.7,168.1
1780037,158.2,Engineering,F,236.4,300.3
1780038,382.1,Engineering,F,334.3,37.9
1780039,407.0,Sales,M,401.8,115.6
1780040,412.4,Sales,M,359.8,329.9
1780041,488.9,Sales,F,150.1,36.4
1780042,108.0,HR,F,154.3,366.5
1780043,470.6,Engineering,F,132.5,428.5
1780044,282.4,Engineering,M,439.7,212.1
1780045,81.9,Engineering,F,84.5,423.4
1780046,149.8,HR,M,493.8,42.6
1780047,343.1,Support,M,129.6,470.5
1780048,11.3,Support,M,488.8,443.4
1780049,474.0,Support,M,261.8,174.8
1780050,240.7,Engineering,M,100.0,461.0
1780051,365.9,HR,F,30.6,113.3
1780052,102.2,Support,F,494.4,431.6
1780053,44.7,Support,M,293.1,37.8
1780054,260.9,HR,F,447.5,84.5
1780055,290.6,Engineering,F,64.8,447.0
1780056,146.3,Support,M,291.2,125.9
1780057,408.6,Engineering,M,402.8,20.5
1780058,340.0,Support,M,346.5,71.9
1780059,205.8,Engineering,F,173.4,214.7
1780060,88.4,Engineering,M,290.3,255.5
1780061,325.0,Support,F,297.4,185.8
1780062,86.3,Sales,F,320.1,405.6
1780063,15.7,Sales,M,471.0,235.1
1780064,271.4,HR,F,485.8,449.0
1780065,313.9,Engineering,F,88.6,391.3
1780066,227.8,Sales,M,342.6,491.9
1780067,126.2,Engineering,F,103.7,427.0
1780068,77.5,HR,F,475.0,453.9
1780069,156.6,Engineering,M,286.7,396.4
1780070,181.6,HR,F,293.9,110.9
1780071,489.7,HR,F,385.8,146.7
1780072,473.0,Sales,F,473.1,236.0
1780073,294.1,Sales,F,257.4,139.1
1780074,22.1,HR,M,136.9,424.8
1780075,307.0,HR,M,89.7,378.8
1780076,324.5,Support,M,330.6,59.0
1780077,132.2,Sales,M,228.4,112.5
1780078,65.0,Sales,M,223.2,419.9
1780079,289.8,Support,F,326.3,293.2
1780080,162.2,Support,F,443.1,312.4
1780081,56.1,Sales,M,54.7,342.1
1780082,37.8,HR,M,410.5,186.6
1780083,125.7,Support,F,299.6,154.2
1780084,112.6,Support,F,207.5,260.0
1780085,440.9,Sales,M,222.5,483.2
1780086,25.6,HR,M,100.7,133.2
1780087,451.7,HR,F,421.4,309.2
1780088,80.0,Support,M,340.8,212.8
1780089,77.6,Sales,M,251.3,387.7
1780090,481.7,Support,F,237.7,111.0
1780091,230.9,Support,M,78.5,264.7
1780092,190.0,Engineering,M,495.4,224.9
1780093,391.6,Support,F,434.7,377.6
1780094,254.0,Sales,M,365.7,277.0
1780095,277.4,Sales,M,489.2,40.9
1780096,372.2,Sales,F,235.0,430.3
1780097,320.8,Support,M,196.6,45.2
1780098,103.4,Sales,M,239.8,273.2
1780099,153.0,Sales,M,58.6,417.0
1780100,297.5,Sales,M,396.1,228.0
1780101,499.5,Support,M,175.5,71.7
1780102,495.7,Engineering,F,345.4,315.5
1780103,310.2,Support,M,339.2,422.1
1780104,499.6,Support,F,255.0,49.7
1780105,371.4,Engineering,F,122.8,46.8
1780106,291.9,Support,F,449.7,106.0
1780107,435.0,Support,M,40.1,162.9
1780108,20.5,Engineering,M,189.6,23.6
1780109,492.4,Support,M,367.0,360.4
1780110,137.5,Sales,F,22.8,62.9
1780111,411.3,Sales,M,187.9,98.8
1780112,379.5,HR,M,90.0,400.6
1780113,72.1,Support,M,438.6,127.0
