ReefSectorID,SeaTempAnomaly,OceanAcidity_pH,CoralBleachingRatio_Percent,DepthMeters,SevereBleaching
1580001,161.9,75.8,57.3,7.7,1
1580002,185.1,104.6,28.9,23.9,0
1580003,142.1,86.9,59.5,25.9,0
1580004,136.8,81.3,46.0,25.6,0
1580005,157.0,80.3,27.1,9.7,1
1580006,148.5,132.7,46.5,20.4,1
1580007,104.2,99.3,44.3,6.5,0
1580008,139.5,136.5,45.8,2.7,0
1580009,130.8,87.6,51.4,0.6,1
1580010,114.1,111.3,45.2,23.2,0
1580011,146.2,119.2,62.0,1.7,1
1580012,103.0,71.7,29.0,40.6,0
1580013,108.4,115.4,9.3,5.7,1
1580014,136.2,93.1,49.8,19.7,1
1580015,126.4,63.4,47.0,22.7,0
1580016,117.3,89.3,45.5,2.0,0
1580017,109.3,123.2,51.8,2.7,0
1580018,99.0,95.8,37.3,11.4,0
1580019,125.0,95.9,39.2,9.9,1
1580020,135.8,104.1,33.2,15.9,0
1580021,157.1,142.8,67.4,3.7,1
1580022,130.3,108.7,55.3,14.2,1
1580023,143.6,110.4,27.4,24.8,1
1580024,128.4,129.1,45.2,0.6,1
1580025,109.4,101.4,70.5,6.8,0
1580026,72.7,91.0,24.6,2.6,1
1580027,81.7,60.9,39.5,2.5,0
1580028,142.4,72.1,65.7,5.0,0
1580029,96.8,97.3,65.0,7.4,0
1580030,161.6,127.0,14.7,3.1,1
1580031,128.6,77.2,36.5,13.2,1
1580032,171.8,111.7,45.4,1.2,1
1580033,158.4,83.7,60.8,12.0,1
1580034,,122.1,52.4,4.4,0
1580035,102.3,118.7,13.6,5.3,0
1580036,91.9,96.8,22.8,0.3,0
1580037,80.7,89.5,36.3,36.1,0
1580038,132.7,96.8,54.0,8.0,1
1580039,81.5,97.4,23.7,7.7,0
1580040,161.7,97.5,45.6,13.1,1
1580041,97.7,100.5,69.2,6.6,0
1580042,148.1,97.0,46.9,12.3,1
1580043,86.7,90.3,28.9,2.8,0
1580044,111.2,114.3,40.5,15.5,1
1580045,71.4,49.0,66.3,8.1,0
1580046,114.8,109.3,25.1,8.5,1
1580047,133.9,88.5,73.8,2.6,1
1580048,80.4,45.3,55.9,25.0,1
1580049,115.8,92.4,49.2,6.0,1
1580050,136.5,67.3,22.9,7.1,1
1580051,193.6,54.1,66.3,3.4,1
1580052,81.7,99.7,54.3,0.1,0
1580053,111.2,140.1,60.4,3.2,0
1580054,109.8,70.6,11.1,9.8,1
1580055,119.7,121.6,27.6,6.9,1
1580056,149.2,83.0,21.3,11.7,1
1580057,170.7,73.6,50.1,14.4,1
1580058,20.0,126.6,33.0,0.8,0
1580059,140.4,51.5,51.0,0.5,1
1580060,139.9,105.2,34.9,9.4,1
1580061,106.0,77.8,37.6,2.9,1
1580062,96.9,112.8,70.9,1.8,0
1580063,111.5,124.2,87.6,15.3,0
1580064,151.3,117.4,42.0,3.2,1
1580065,105.9,127.7,28.2,7.4,0
1580066,68.5,81.9,36.9,5.8,1
1580067,159.1,166.6,62.1,0.4,1
1580068,169.5,97.8,46.1,1.5,1
1580069,119.2,126.2,48.2,11.0,0
1580070,138.2,147.2,54.2,8.1,0
1580071,90.6,115.0,57.4,5.5,1
1580072,138.3,99.5,44.5,10.6,1
1580073,160.2,133.1,44.8,15.7,1
1580074,86.1,109.0,42.7,18.8,0
1580075,154.7,115.8,46.4,2.5,0
1580076,131.4,145.7,37.3,4.4,0
1580077,137.0,107.2,50.6,11.2,0
1580078,134.4,73.1,49.6,7.2,0
1580079,114.3,108.1,44.8,10.8,0
1580080,88.8,150.5,54.0,3.3,0
1580081,94.6,78.6,30.7,1.5,0
1580082,108.0,119.8,41.4,0.6,1
1580083,58.0,71.1,64.6,0.3,0
1580084,119.4,104.3,26.6,4.1,0
1580085,72.6,64.7,43.2,5.2,0
1580086,161.3,83.9,52.2,3.6,1
1580087,119.7,75.4,60.2,28.8,1
1580088,148.2,102.7,54.7,12.8,1
1580089,135.4,121.3,51.2,3.5,1
1580090,167.8,156.0,42.6,15.7,1
1580091,73.8,140.0,50.8,5.3,0
1580092,84.9,49.9,43.9,2.8,0
1580093,172.3,83.8,38.0,3.7,1
1580094,103.5,137.3,50.7,4.5,0
1580095,154.5,109.4,29.7,53.9,0
1580096,165.1,149.7,59.6,1.1,1
1580097,94.9,107.8,40.3,13.5,0
1580098,118.0,110.4,54.9,20.0,1
1580099,139.9,127.7,71.2,2.9,1
1580100,112.5,125.7,69.2,8.8,0
1580101,126.2,85.4,22.5,6.0,0
1580102,109.2,102.7,37.0,36.7,1
1580103,92.8,57.5,51.7,4.7,1
1580104,153.7,102.9,34.2,0.8,1
1580105,89.3,48.8,59.3,3.6,1
1580106,109.0,98.6,41.4,0.2,0
1580107,148.3,78.3,43.7,1.1,1
1580108,170.3,109.2,53.9,3.1,1
1580109,112.0,82.3,46.0,6.6,0
1580110,136.5,128.5,62.4,9.0,1
1580111,148.1,56.9,44.3,3.4,0
1580112,,101.0,66.0,15.2,0
1580113,120.5,138.0,17.6,14.3,1
1580114,126.9,110.7,51.5,8.9,1
1580115,81.0,109.5,39.1,16.6,0
1580116,100.0,90.5,31.6,1.0,0
1580117,119.8,95.2,13.8,8.6,1
1580118,107.6,107.8,70.7,0.1,1
1580119,133.7,156.9,42.6,3.0,1
1580120,105.5,113.2,50.9,2.0,0
1580121,71.5,116.1,42.5,3.4,0
1580122,133.6,94.5,30.3,2.1,1
1580123,94.6,87.2,33.4,5.2,1
1580124,160.7,121.7,53.1,1.2,1
1580125,115.7,87.6,46.6,70.9,0
1580126,95.1,91.0,36.3,10.1,0
1580127,160.3,103.2,36.2,0.1,1
1580128,69.0,101.0,43.1,20.3,0
1580129,121.0,79.0,64.4,24.9,0
1580130,95.3,109.6,39.2,8.8,0
1580131,126.1,67.5,48.8,15.5,1
1580132,91.1,98.2,58.5,10.7,0
1580133,145.1,93.3,50.9,2.4,1
1580134,104.4,78.4,59.7,11.8,0
1580135,156.6,112.3,50.9,14.1,0
1580136,143.1,68.7,54.0,8.0,1
1580137,144.1,124.2,35.6,3.0,1
1580138,129.0,146.9,65.2,7.3,1
1580139,103.5,118.1,35.5,4.7,1
1580140,120.3,73.4,32.5,4.0,0
1580141,108.2,93.9,50.1,0.3,1
1580142,98.8,71.8,14.2,4.3,0
1580143,134.7,123.2,19.5,2.6,0
1580144,103.5,100.8,31.7,4.9,0
1580145,107.8,100.3,36.2,4.6,0
