StartupID,FounderExpYears,PatentsCount,FundingRound,FundingAmount_M,ExitSuccess
1090001,9.6,38.9,100.1,6.5,0
1090002,7.9,120.8,95.2,7.0,0
1090003,10.8,86.4,77.1,13.4,1
1090004,3.7,111.1,124.0,8.0,0
1090005,11.8,115.5,116.2,5.3,1
1090006,10.9,95.1,101.6,7.2,1
1090007,6.1,92.6,124.0,11.4,0
1090008,14.6,104.2,148.3,10.1,1
1090009,2.3,98.3,148.5,4.8,0
1090010,6.8,86.7,77.5,6.9,0
1090011,1.9,86.0,107.7,4.9,1
1090012,5.2,48.2,128.8,5.9,1
1090013,14.9,83.5,120.6,5.0,1
1090014,13.9,110.6,66.8,7.8,0
1090015,7.3,85.8,93.1,9.6,0
1090016,13.9,134.2,63.4,2.2,1
1090017,5.1,105.7,92.6,3.7,1
1090018,8.8,114.8,125.9,6.6,1
1090019,7.4,105.9,101.8,4.5,1
1090020,1.3,121.5,110.7,5.9,1
1090021,14.3,115.9,101.5,15.1,1
1090022,5.4,105.4,131.0,7.4,1
1090023,12.8,78.5,67.7,4.6,1
1090024,1.3,103.1,140.3,10.2,1
1090025,9.1,77.1,94.3,5.4,0
1090026,9.5,123.5,85.0,11.6,0
1090027,12.9,140.3,88.0,8.9,1
1090028,5.4,122.1,101.3,5.6,0
1090029,14.2,146.4,101.9,6.5,0
1090030,11.4,78.9,109.8,10.2,1
1090031,13.6,124.6,104.9,7.7,1
1090032,13.1,101.5,68.4,9.6,0
1090033,13.6,122.0,62.9,6.7,0
1090034,11.1,60.9,108.7,10.0,1
1090035,8.4,93.0,86.7,4.4,1
1090036,11.7,121.3,144.1,9.2,1
1090037,4.1,92.9,107.3,12.2,0
1090038,11.5,108.4,108.0,10.2,0
1090039,11.8,141.3,87.5,12.9,0
1090040,6.3,79.9,117.5,10.1,0
1090041,6.1,89.4,105.5,10.0,0
1090042,12.4,128.3,112.2,8.0,0
1090043,2.9,97.3,110.1,15.6,0
1090044,9.8,23.4,127.6,5.0,1
1090045,13.9,135.4,82.5,4.9,0
1090046,5.0,91.2,116.6,7.6,1
1090047,14.8,136.0,127.1,10.8,1
1090048,2.3,88.4,109.5,9.9,1
1090049,11.1,96.4,95.7,9.0,1
1090050,14.3,89.2,113.5,7.4,1
1090051,10.3,92.2,111.4,12.5,0
1090052,2.3,99.0,71.4,4.1,0
1090053,14.8,127.8,78.5,15.0,0
1090054,8.1,138.3,74.6,5.6,1
1090055,3.1,99.4,102.2,6.2,0
1090056,8.1,98.6,103.3,12.6,0
1090057,8.6,149.0,100.2,11.6,0
1090058,1.1,67.3,102.3,8.0,0
1090059,5.4,89.6,78.8,7.3,1
1090060,2.0,158.6,159.6,8.3,1
1090061,6.4,63.6,78.2,5.2,0
1090062,9.4,123.1,108.3,5.7,1
1090063,12.0,131.2,86.4,6.3,1
1090064,9.7,90.3,91.8,8.0,1
1090065,6.5,78.5,79.3,6.0,0
1090066,13.2,87.5,114.3,1.8,0
1090067,13.8,130.4,109.0,12.4,0
1090068,5.0,108.6,87.0,6.5,0
1090069,12.6,90.9,89.5,12.4,0
1090070,3.2,80.0,121.4,3.7,0
1090071,12.2,111.3,45.0,7.5,0
1090072,11.6,153.2,121.7,11.1,1
1090073,7.1,113.4,73.3,10.6,1
1090074,12.2,73.8,151.8,10.7,0
1090075,14.9,94.5,128.4,9.7,1
1090076,5.4,80.9,91.1,12.5,0
1090077,1.5,99.1,132.2,6.5,0
1090078,10.8,132.2,100.5,9.7,0
1090079,3.2,99.3,87.9,9.1,0
1090080,13.0,78.6,137.8,3.7,0
1090081,8.5,94.7,170.8,5.5,0
1090082,2.6,90.2,67.0,6.5,1
1090083,12.6,44.9,76.8,7.9,1
1090084,12.9,106.3,99.2,8.8,1
1090085,3.7,70.0,116.9,4.4,0
1090086,13.9,56.2,130.3,10.7,0
1090087,7.6,74.6,102.8,12.9,1
1090088,3.4,140.7,135.4,12.2,0
1090089,4.6,130.8,94.5,5.4,1
1090090,3.2,82.0,78.4,10.1,0
1090091,9.0,68.7,105.5,14.2,1
1090092,13.1,70.9,57.2,10.7,0
1090093,11.4,129.2,123.0,8.1,0
1090094,8.9,110.4,105.0,11.9,1
1090095,10.9,68.9,77.4,8.0,0
1090096,8.3,90.5,104.4,9.1,1
1090097,7.5,149.1,145.2,4.8,1
1090098,5.0,71.1,100.8,7.1,1
1090099,10.4,69.7,58.4,6.6,1
1090100,4.5,117.8,118.2,7.6,0
1090101,6.0,118.8,107.7,4.7,1
1090102,13.0,65.5,91.8,9.8,1
1090103,6.2,114.0,108.8,4.6,0
1090104,10.0,58.8,99.5,9.8,0
1090105,3.8,112.9,105.6,7.2,1
1090106,2.9,79.0,127.2,6.0,1
1090107,2.3,151.6,107.7,9.2,1
1090108,1.9,66.1,132.9,5.5,0
1090109,5.9,85.9,126.5,11.4,1
1090110,4.4,71.9,71.7,5.6,1
1090111,3.3,42.6,108.8,3.3,0
1090112,14.0,122.5,83.8,4.5,1
1090113,8.6,98.0,102.8,6.5,0
1090114,4.8,144.7,122.9,8.5,0
1090115,2.8,85.4,135.5,12.9,1
1090116,12.2,112.1,110.3,8.8,1
1090117,11.8,57.0,120.7,5.9,1
1090118,8.7,79.7,71.3,1.6,1
1090119,1.4,56.5,70.6,8.4,0
1090120,4.2,102.8,98.6,5.7,1
1090121,9.1,130.0,107.8,8.2,1
1090122,9.9,92.0,57.0,7.5,1
1090123,11.9,103.5,142.9,8.5,0
1090124,10.4,127.7,104.9,9.1,0
1090125,5.6,63.3,86.1,12.8,0
1090126,2.1,66.4,101.7,12.3,1
1090127,4.2,136.0,61.8,5.8,0
1090128,14.8,49.1,82.5,4.5,1
1090129,7.6,125.8,115.2,9.1,0
1090130,11.1,130.2,82.0,9.6,0
1090131,10.7,71.8,70.5,3.4,1
1090132,5.2,167.9,94.1,8.9,1
1090133,12.5,170.0,82.4,11.8,0
1090134,10.5,92.3,81.3,8.2,0
1090135,4.1,114.2,60.2,9.2,0
1090136,11.3,100.9,88.0,11.1,1
1090137,8.7,100.6,106.8,6.8,1
1090138,3.6,84.3,113.4,6.6,0
1090139,13.7,89.6,90.3,12.0,0
1090140,7.4,92.2,105.9,8.3,0
1090141,4.4,93.3,124.1,9.3,0
1090142,13.8,110.6,123.5,6.1,1
1090143,2.0,129.9,122.8,10.5,1
1090144,11.1,83.7,78.4,10.9,0
1090145,5.6,62.8,81.6,10.3,0
1090146,2.0,88.4,99.7,4.8,0
1090147,15.0,105.5,143.0,9.5,0
1090148,9.6,115.4,112.1,0.6,0
1090149,6.6,90.4,84.5,7.4,0
1090150,3.7,62.1,100.5,7.9,0
1090151,12.2,41.9,101.5,11.6,1
1090152,7.7,118.4,114.1,10.2,0
1090153,6.5,105.3,86.6,0.5,0
1090154,14.9,98.2,129.0,8.5,1
1090155,8.0,63.8,106.5,9.4,0
1090156,2.1,86.1,101.1,11.7,1
1090157,14.7,95.8,135.2,6.9,0
1090158,14.6,114.8,92.4,,0
1090159,8.8,53.3,142.8,10.5,0
1090160,1.8,128.3,162.8,11.9,0
1090161,8.0,46.9,81.5,13.5,1
1090162,13.8,90.2,99.1,11.0,0
1090163,9.9,142.1,119.7,11.3,1
1090164,8.2,90.2,109.0,10.2,0
1090165,4.3,105.9,46.1,10.9,1
1090166,6.8,59.3,72.6,8.4,1
1090167,1.3,98.7,96.7,2.4,1
1090168,4.3,130.5,102.6,10.2,0
1090169,13.4,87.7,122.7,6.0,1
1090170,12.6,99.2,81.0,11.7,1
1090171,9.2,60.4,38.7,3.1,1
1090172,5.7,114.1,81.8,5.8,1
1090173,2.5,101.8,101.4,0.5,1
1090174,9.5,117.6,92.4,10.1,0
1090175,12.4,147.5,88.5,7.9,0
1090176,6.1,76.0,95.5,9.1,0
1090177,9.7,88.1,76.7,5.8,1
1090178,10.0,88.1,94.3,11.9,0
1090179,7.1,117.2,103.3,12.3,0
1090180,10.3,101.8,69.7,8.6,0
1090181,12.0,107.8,89.6,7.6,0
1090182,10.8,133.7,110.6,6.8,1
1090183,14.4,118.5,93.8,8.5,0
1090184,10.0,120.1,69.5,3.2,0
1090185,11.9,82.4,55.5,4.9,0
1090186,10.6,95.8,80.2,6.8,1
1090187,4.5,104.7,92.2,10.0,0
1090188,11.4,44.2,106.4,12.4,1
1090189,12.9,73.7,75.8,8.3,0
1090190,11.6,106.7,147.7,9.0,0
1090191,6.1,42.5,90.8,10.8,1
1090192,3.6,117.3,123.1,11.2,1
1090193,14.1,135.2,109.7,11.7,1
1090194,4.6,165.1,136.9,6.1,1
1090195,7.0,85.2,101.3,5.5,1
1090196,8.8,99.2,86.1,3.3,0
1090197,12.3,68.0,116.6,7.0,1
1090198,11.4,150.6,104.2,5.1,1
1090199,2.3,79.3,58.3,3.6,0
1090200,8.6,104.9,65.9,6.0,0
1090201,8.2,132.7,105.2,9.8,1
1090202,14.3,84.2,103.4,,0
1090203,3.8,99.9,106.6,9.0,1
1090204,8.4,124.4,139.4,9.8,1
1090205,4.9,49.5,67.9,11.0,1
1090206,3.1,76.7,128.7,9.7,0
1090207,11.7,116.3,75.4,9.6,0
1090208,10.0,119.1,108.3,3.7,0
1090209,12.5,96.3,95.9,12.2,0
1090210,6.4,66.6,92.9,11.7,1
1090211,3.7,117.7,109.1,8.0,0
1090212,7.4,44.1,116.1,6.5,1
1090213,7.9,91.0,101.5,3.5,1
1090214,14.1,118.5,81.2,7.9,1
1090215,8.4,131.4,68.0,8.5,1
1090216,8.1,123.1,99.5,12.1,1
1090217,8.7,132.7,116.6,7.4,1
1090218,2.7,59.9,110.5,1.9,1
1090219,4.7,112.3,108.4,7.2,0
1090220,3.5,130.9,113.8,8.9,0
1090221,8.5,137.9,81.9,9.0,1
1090222,11.8,117.6,104.9,6.8,1
1090223,1.3,95.9,103.5,14.7,0
1090224,4.2,136.1,73.2,8.2,1
1090225,13.2,101.7,75.9,6.2,1
1090226,11.5,119.1,67.4,3.4,0
1090227,5.8,143.3,94.3,10.6,0
1090228,10.9,95.5,90.5,8.3,0
1090229,1.0,105.1,95.9,9.3,1
1090230,3.0,94.4,71.0,3.5,0
1090231,10.5,90.6,51.2,2.8,1
1090232,9.5,101.6,67.8,7.2,0
1090233,8.8,68.2,166.8,10.3,0
1090234,10.0,153.1,103.3,6.8,0
1090235,4.9,82.1,84.2,5.2,0
1090236,10.7,95.8,112.1,8.4,0
1090237,4.7,75.4,92.1,10.9,0
1090238,3.7,89.3,156.6,6.4,0
1090239,8.4,97.9,83.0,6.2,0
1090240,8.1,120.0,95.3,9.5,1
1090241,7.0,99.8,102.1,,0
1090242,6.7,92.9,91.1,6.5,0
1090243,9.6,112.4,107.6,3.9,1
1090244,14.4,87.1,127.4,11.4,1
1090245,1.9,114.5,98.2,7.6,0
1090246,14.9,89.9,91.2,11.0,1
1090247,3.8,84.0,107.2,3.4,0
1090248,5.2,108.3,107.8,10.2,0
1090249,9.4,97.3,110.9,9.2,1
1090250,11.0,120.8,114.4,7.0,1
1090251,12.9,100.9,109.5,9.9,0
1090252,14.1,91.9,100.8,10.3,1
1090253,13.1,123.4,134.1,9.0,1
1090254,2.4,133.2,96.4,8.8,0
1090255,4.8,107.7,86.1,5.8,0
1090256,11.8,100.4,124.6,13.0,0
1090257,12.3,103.6,53.8,5.8,1
1090258,10.1,123.0,92.1,12.9,0
1090259,10.0,158.0,104.3,4.9,0
1090260,13.1,151.8,136.6,2.4,1
1090261,6.7,133.9,149.0,10.8,0
1090262,8.1,40.8,76.3,1.6,0
1090263,12.8,89.8,114.5,15.4,1
1090264,9.8,103.4,100.1,13.2,0
1090265,3.6,119.1,81.7,9.3,0
1090266,4.8,96.2,96.2,10.4,0
1090267,14.7,107.2,106.2,6.4,0
1090268,1.8,107.9,139.8,7.1,1
1090269,5.8,110.8,116.6,8.1,1
1090270,7.3,106.9,104.5,7.8,1
1090271,3.3,99.8,99.1,3.4,1
1090272,11.8,110.3,111.8,6.0,0
1090273,6.3,105.4,114.3,14.0,0
1090274,5.0,119.2,114.7,8.1,1
1090275,4.1,66.9,44.7,3.6,0
1090276,5.8,163.9,105.3,7.9,0
1090277,3.8,155.6,118.5,0.5,0
1090278,12.8,101.5,80.1,13.9,1
1090279,4.9,127.6,91.2,5.1,1
1090280,2.1,137.3,92.2,6.0,1
1090281,12.2,72.3,124.8,4.4,1
1090282,2.9,85.2,92.2,0.5,0
1090283,4.7,91.0,81.1,8.2,1
1090284,7.5,69.1,121.2,12.6,1
1090285,14.3,98.3,83.7,9.6,0
1090286,10.7,84.7,100.6,7.0,1
1090287,5.1,103.8,59.9,12.1,0
1090288,9.6,64.9,92.6,11.9,0
1090289,1.7,90.3,109.7,3.3,1
1090290,10.6,109.4,85.5,7.1,0
1090291,14.7,77.6,68.0,8.2,0
1090292,3.4,143.8,85.5,7.4,1
1090293,12.6,84.6,117.5,8.0,0
1090294,12.7,98.3,99.7,6.1,1
1090295,7.2,122.6,89.8,6.7,0
1090296,11.2,102.0,76.5,12.7,1
1090297,12.5,108.8,73.5,9.0,0
1090298,10.2,113.9,79.7,2.0,1
1090299,12.1,103.4,80.3,2.2,1
1090300,1.5,119.3,146.2,4.9,0
1090301,1.6,128.3,100.4,6.8,0
1090302,1.9,82.3,72.2,7.8,1
1090303,1.1,146.4,129.6,7.4,1
1090304,4.8,117.1,102.1,4.2,1
1090305,9.9,85.5,108.8,4.9,0
1090306,3.4,81.2,112.2,6.1,1
1090307,14.6,59.5,89.8,5.3,1
1090308,9.5,88.7,83.7,6.3,0
1090309,6.9,82.1,128.2,14.0,1
1090310,11.5,134.4,121.6,9.4,1
1090311,12.0,82.5,111.2,2.8,1
1090312,10.5,66.2,93.2,9.3,1
1090313,2.2,120.8,55.0,8.5,1
1090314,4.2,121.8,78.1,1.0,0
1090315,6.5,95.9,114.7,9.9,0
1090316,11.6,111.2,101.1,8.4,1
1090317,13.7,51.1,120.2,9.0,1
1090318,13.6,48.7,109.8,10.3,0
1090319,14.2,84.4,102.5,11.1,0
1090320,8.7,67.6,94.8,7.7,1
1090321,10.2,106.1,119.2,8.8,1
1090322,7.8,141.4,98.1,6.9,0
1090323,14.2,129.3,93.9,10.2,1
1090324,2.5,112.9,92.4,9.3,1
1090325,2.7,119.9,130.1,7.0,1
1090326,3.6,149.7,108.8,3.9,0
1090327,13.6,78.0,131.8,7.4,0
1090328,7.0,97.3,67.5,4.5,1
1090329,10.9,92.3,134.2,6.3,0
1090330,9.1,94.4,110.0,4.1,1
1090331,7.5,143.5,98.6,13.3,1
1090332,7.7,132.8,106.3,8.9,1
1090333,13.0,104.6,108.9,5.5,1
1090334,11.8,115.7,98.4,11.4,1
1090335,13.8,115.6,112.9,8.7,1
1090336,2.9,66.2,93.5,11.9,0
1090337,7.5,121.8,88.5,11.3,1
1090338,2.1,157.8,99.7,9.8,1
1090339,11.6,82.5,135.4,,1
1090340,13.7,152.6,139.5,9.1,0
1090341,9.4,120.0,52.6,6.7,0
1090342,1.5,160.3,124.9,9.0,0
1090343,5.7,63.4,100.9,4.4,0
1090344,6.1,73.8,70.9,9.3,1
1090345,1.8,95.8,138.5,4.9,0
1090346,13.6,108.9,129.5,2.1,1
1090347,2.8,98.1,103.4,8.3,1
1090348,12.6,40.7,93.1,4.0,0
1090349,4.9,79.5,83.7,10.0,0
1090350,9.4,88.5,127.7,8.3,1
1090351,13.8,121.6,88.5,6.8,1
1090352,7.4,100.6,56.4,7.7,1
1090353,6.5,87.8,152.3,12.4,0
1090354,6.5,129.9,75.2,7.6,0
1090355,7.6,123.4,83.0,13.7,1
1090356,7.3,129.7,91.9,12.2,1
1090357,5.5,110.8,94.2,5.2,0
1090358,5.9,116.2,147.2,5.9,0
1090359,5.8,46.3,84.6,12.4,0
1090360,10.1,134.8,89.8,8.6,0
1090361,4.7,85.9,109.6,7.9,0
1090362,2.9,130.5,36.4,12.0,1
1090363,14.9,115.1,146.0,6.2,1
