DayID,TradingVolume,DailyRange_Percent,VIX_Index,InstitutionalBuy_Percent,PriceVolatility
1700001,35.8,115.8,280.0,162.3,204.8
1700002,121.2,257.4,379.9,172.0,32.2
1700003,142.6,32.5,52.4,183.4,246.6
1700004,257.2,480.0,368.0,121.4,405.6
1700005,302.5,244.2,110.2,18.7,26.1
1700006,267.4,251.6,468.3,93.8,395.9
1700007,373.3,137.6,314.9,52.9,369.4
1700008,18.4,83.0,364.2,448.1,412.4
1700009,473.8,205.3,230.7,66.7,311.1
1700010,239.9,420.6,169.3,409.2,468.5
1700011,337.1,498.6,250.5,474.7,74.9
1700012,178.8,277.1,376.1,201.5,252.8
1700013,186.5,276.5,426.7,98.9,73.0
1700014,442.2,425.1,190.5,170.9,262.0
1700015,365.3,18.4,460.2,239.8,183.0
1700016,282.2,388.0,15.7,324.8,245.8
1700017,23.7,195.4,58.9,380.3,38.2
1700018,144.0,209.8,320.3,399.3,288.4
1700019,362.8,233.6,50.6,383.2,433.6
1700020,453.0,458.5,153.8,42.6,203.0
1700021,288.4,89.4,213.9,170.4,242.2
1700022,97.2,206.3,256.3,237.1,132.0
1700023,69.0,13.0,328.7,439.0,14.3
1700024,365.0,29.3,229.7,89.0,424.3
1700025,132.2,392.8,65.2,61.0,350.7
1700026,345.6,98.0,358.0,269.6,118.3
1700027,386.5,155.1,204.7,270.1,252.2
1700028,305.4,302.7,413.1,470.5,225.8
1700029,452.5,249.5,190.0,225.9,21.9
1700030,94.5,471.6,52.3,227.6,387.7
1700031,73.8,218.5,347.8,26.4,63.6
1700032,401.5,61.9,140.5,99.3,315.0
1700033,100.5,400.5,284.6,421.3,176.0
1700034,359.3,142.5,311.6,499.0,493.9
1700035,478.3,471.5,307.5,27.4,368.3
1700036,417.5,392.0,46.6,291.8,183.1
1700037,243.0,266.7,469.3,385.0,355.1
1700038,492.1,487.6,365.7,377.5,463.7
1700039,485.5,106.4,,312.9,239.2
1700040,129.4,445.5,483.5,44.4,193.2
1700041,104.3,467.6,379.9,470.6,224.5
1700042,268.8,257.1,122.0,402.3,429.5
1700043,52.7,323.6,431.5,351.3,133.9
1700044,231.4,406.6,298.7,363.8,218.6
1700045,40.6,292.7,69.9,278.1,374.8
1700046,136.8,412.2,223.7,486.3,252.1
1700047,284.1,203.1,193.0,404.2,52.3
1700048,211.5,36.0,399.6,362.8,49.5
1700049,383.6,262.0,386.7,399.7,336.5
1700050,97.3,122.5,188.2,209.2,208.3
1700051,430.8,495.6,196.2,357.8,490.9
1700052,474.0,308.5,317.8,199.1,66.2
1700053,276.9,300.8,135.9,449.5,25.6
1700054,211.0,184.7,103.6,88.3,254.4
1700055,223.1,173.4,468.5,205.7,338.5
1700056,479.2,397.3,330.7,115.5,189.3
1700057,442.6,17.8,454.2,484.5,285.8
1700058,261.7,95.1,123.5,210.5,326.9
1700059,30.1,343.5,166.0,31.2,327.0
1700060,454.8,193.0,251.4,409.6,57.8
1700061,413.2,316.8,389.3,90.3,486.9
1700062,383.3,98.6,468.3,222.7,328.6
1700063,349.7,30.0,440.8,36.3,230.9
1700064,58.1,163.0,265.9,299.0,46.0
1700065,314.0,350.4,377.9,230.8,118.2
1700066,474.9,438.8,463.7,13.3,140.1
1700067,230.4,166.0,28.1,491.4,423.1
1700068,166.7,420.8,452.3,379.7,183.7
1700069,281.2,139.6,379.3,128.7,381.9
1700070,146.9,414.4,176.6,63.6,279.7
1700071,277.6,353.6,170.1,263.2,232.5
1700072,187.7,253.8,25.7,62.0,176.0
1700073,205.9,317.1,222.2,492.6,117.4
1700074,288.6,17.4,394.8,440.6,188.6
1700075,34.6,358.6,369.5,81.4,446.6
1700076,355.5,325.5,175.9,173.2,272.8
1700077,367.3,375.8,68.0,252.3,493.2
1700078,20.8,68.7,213.2,432.1,413.4
1700079,275.4,344.7,457.7,479.6,95.6
1700080,415.3,236.6,353.0,456.5,307.9
1700081,333.4,204.1,257.8,36.0,46.3
1700082,226.1,408.9,416.6,423.0,34.1
1700083,135.7,16.4,145.9,137.5,435.0
1700084,265.5,382.9,161.1,132.9,143.5
1700085,210.3,434.8,409.2,130.2,94.3
1700086,483.8,451.4,468.9,462.9,66.1
1700087,496.3,212.2,214.0,26.5,186.0
1700088,425.5,370.5,158.7,231.0,249.0
1700089,184.9,261.8,267.8,467.7,248.0
1700090,266.4,32.9,226.8,402.4,350.8
1700091,203.7,299.2,77.5,476.4,415.3
1700092,48.1,313.6,104.1,32.2,215.4
1700093,491.3,141.9,11.4,451.3,128.9
1700094,182.8,333.7,293.0,143.2,245.2
1700095,123.9,190.8,477.5,493.0,160.6
1700096,315.4,125.8,231.2,354.6,408.0
1700097,341.5,210.2,178.1,380.4,414.3
1700098,390.0,125.6,373.1,125.3,472.4
1700099,323.4,149.2,290.8,455.7,322.4
1700100,79.9,437.2,292.2,219.1,203.5
1700101,80.7,369.6,94.4,134.8,413.6
1700102,47.9,433.2,123.1,161.0,142.0
1700103,181.5,207.2,390.4,45.8,74.1
1700104,163.9,382.5,428.3,370.9,312.2
1700105,400.5,60.7,199.1,327.0,202.2
1700106,54.9,160.1,136.5,128.1,187.4
1700107,168.9,104.4,326.1,187.2,47.4
1700108,471.9,309.3,253.2,115.1,408.3
1700109,355.2,168.3,426.0,449.0,24.5
1700110,202.4,38.3,215.2,145.3,349.9
1700111,64.4,98.9,206.5,138.6,26.6
1700112,301.3,208.0,105.4,122.3,67.0
