UserID,Age,HoursWatched_Weekly,MonthlyCost,PlanType,Churned
750001,71,32.4,13.0,Standard,No
750002,63,27.2,8.0,Basic,Yes
750003,34,9.1,18.0,Premium,Yes
750004,32,36.2,8.0,Basic,No
750005,23,9.8,18.0,Premium,Yes
750006,15,13.9,8.0,Basic,Yes
750007,41,18.6,8.0,Basic,Yes
750008,21,3.3,18.0,Premium,Yes
750009,49,5.3,13.0,Standard,Yes
750010,32,16.6,13.0,Standard,No
750011,47,33.9,8.0,Basic,No
750012,22,21.0,8.0,Basic,No
750013,70,25.6,8.0,Basic,No
750014,21,21.9,13.0,Standard,Yes
750015,66,31.1,13.0,Standard,Yes
750016,58,6.0,13.0,Standard,Yes
750017,40,26.9,8.0,Basic,Yes
750018,60,18.6,18.0,Premium,Yes
750019,53,30.5,8.0,Basic,No
750020,57,14.9,8.0,Basic,Yes
750021,67,23.8,13.0,Standard,Yes
750022,51,30.0,8.0,Basic,Yes
750023,63,2.8,8.0,Basic,Yes
750024,45,26.0,13.0,Standard,Yes
750025,15,8.0,13.0,Standard,Yes
750026,31,36.3,18.0,Premium,No
750027,35,16.1,13.0,Standard,Yes
750028,15,8.2,8.0,Basic,Yes
750029,59,29.1,13.0,Standard,Yes
750030,43,13.8,13.0,Standard,No
750031,25,12.5,18.0,Premium,Yes
750032,64,19.7,8.0,Basic,No
750033,34,25.6,8.0,Basic,No
750034,72,5.3,8.0,Basic,No
750035,73,30.4,13.0,Standard,Yes
750036,29,33.2,8.0,Basic,Yes
750037,53,31.5,13.0,Standard,No
750038,50,18.9,13.0,Standard,Yes
750039,25,10.2,8.0,Basic,Yes
750040,25,18.9,18.0,Premium,Yes
750041,40,26.9,8.0,Basic,No
750042,21,26.5,8.0,Basic,No
750043,58,19.4,8.0,Basic,Yes
750044,60,11.7,13.0,Standard,Yes
750045,31,28.8,8.0,Basic,No
750046,58,23.3,8.0,Basic,Yes
750047,72,9.4,8.0,Basic,Yes
750048,16,12.6,18.0,Premium,No
750049,62,27.9,8.0,Basic,No
750050,57,14.7,18.0,Premium,Yes
750051,71,2.2,13.0,Standard,Yes
750052,31,1.7,13.0,Standard,Yes
750053,38,31.2,8.0,Basic,Yes
750054,55,23.0,18.0,Premium,No
750055,48,30.3,13.0,Standard,Yes
750056,53,27.5,13.0,Standard,Yes
750057,16,38.4,13.0,Standard,No
750058,56,17.9,13.0,Standard,No
750059,38,31.1,8.0,Basic,No
750060,63,11.2,13.0,Standard,Yes
750061,27,25.3,13.0,Standard,Yes
750062,54,11.1,8.0,Basic,No
750063,59,32.6,18.0,Premium,No
750064,20,34.1,8.0,Basic,Yes
750065,42,34.0,8.0,Basic,No
750066,29,14.4,8.0,Basic,No
750067,15,38.4,18.0,Premium,No
750068,56,36.6,13.0,Standard,No
750069,19,1.9,13.0,Standard,Yes
750070,73,1.9,8.0,Basic,Yes
750071,24,12.2,18.0,Premium,No
750072,18,5.4,8.0,Basic,Yes
750073,53,1.1,13.0,Standard,Yes
750074,27,27.2,8.0,Basic,No
750075,70,13.6,13.0,Standard,Yes
750076,16,27.2,13.0,Standard,No
750077,45,20.2,13.0,Standard,Yes
750078,61,28.3,18.0,Premium,Yes
750079,26,26.6,13.0,Standard,Yes
750080,61,35.1,13.0,Standard,No
