TeacherID,WeeklyOvertimeHours,ClassSize,AdminWorkSatisfaction,BurnoutIndex,TurnoverRisk
1770001,10.5,85.9,104.9,142.8,0
1770002,23.1,100.3,96.8,104.0,1
1770003,8.8,89.2,,139.5,1
1770004,3.1,120.8,103.5,75.6,0
1770005,5.0,53.5,112.5,137.7,0
1770006,14.8,60.7,80.3,90.9,1
1770007,12.0,109.5,73.5,86.5,0
1770008,4.7,66.6,130.8,58.3,0
1770009,17.8,112.8,120.2,89.7,0
1770010,7.8,105.0,111.0,84.5,0
1770011,20.6,56.4,158.6,97.6,0
1770012,11.8,75.7,101.7,104.7,0
1770013,18.9,103.3,135.4,75.3,0
1770014,18.0,111.2,75.4,111.7,0
1770015,2.1,91.1,119.7,93.5,0
1770016,8.6,128.6,109.7,116.1,0
1770017,12.6,70.3,90.3,108.4,1
1770018,13.4,119.9,111.0,91.5,0
1770019,2.7,103.9,140.8,78.9,1
1770020,18.3,130.7,105.1,112.8,1
1770021,14.8,62.0,137.1,102.5,0
1770022,34.2,116.7,79.9,78.3,1
1770023,34.7,62.9,87.1,67.2,1
1770024,11.8,121.1,68.2,155.6,1
1770025,26.9,94.8,140.9,122.9,0
1770026,31.8,81.0,118.7,107.9,0
1770027,4.1,118.9,74.2,120.0,1
1770028,12.9,112.5,80.9,124.3,1
1770029,8.2,113.2,96.5,55.4,1
1770030,22.3,126.1,56.2,116.6,1
1770031,34.5,81.5,51.3,120.5,1
1770032,27.1,94.4,,104.8,1
1770033,17.4,82.3,115.9,80.6,0
1770034,18.3,85.6,88.5,53.8,1
1770035,4.4,72.4,53.8,126.8,1
1770036,1.0,127.3,91.4,99.6,0
1770037,12.6,116.5,92.5,85.3,0
1770038,1.3,86.1,132.8,110.5,0
1770039,32.2,116.5,112.4,77.1,1
1770040,12.7,87.5,86.4,119.9,1
1770041,1.0,123.1,123.1,69.8,0
1770042,1.0,114.5,129.2,87.0,0
1770043,12.9,80.2,105.3,65.7,0
1770044,28.3,136.6,96.6,72.6,1
1770045,34.7,119.0,136.2,103.1,0
1770046,11.2,98.3,122.7,110.8,0
1770047,50.5,137.6,113.2,124.1,0
1770048,13.1,70.8,108.9,73.2,0
1770049,24.4,113.6,129.2,108.3,0
1770050,37.3,94.6,96.4,115.6,0
1770051,22.6,70.2,113.8,82.4,0
1770052,9.7,85.8,78.1,64.8,1
1770053,6.7,102.5,89.7,98.8,0
1770054,2.5,94.9,93.9,87.2,1
1770055,15.4,75.3,98.7,65.2,0
