TowerID,TrafficLoad_Percent,PacketLoss,SignalStrength_dBm,Latency_ms
910001,63.4,0.0,-75,41.1
910002,85.4,1.1,-80,59.6
910003,93.2,3.93,-58,83.0
910004,11.3,0.0,-102,30.9
910005,12.9,0.0,-109,32.3
910006,31.2,0.0,-74,33.3
910007,82.0,1.67,-94,67.7
910008,10.8,0.0,-81,31.7
910009,80.5,3.8,-67,79.7
910010,29.4,0.0,-69,30.3
910011,22.7,0.0,-91,37.1
910012,31.8,0.0,-96,36.7
910013,28.1,0.0,-84,33.8
910014,26.0,0.0,-78,34.7
910015,24.5,0.0,-69,32.7
910016,50.2,0.0,-63,41.2
910017,12.2,0.0,-102,23.5
910018,78.8,0.0,-87,53.6
910019,11.6,0.0,-90,29.6
910020,65.7,0.0,-76,50.1
910021,33.8,0.0,-108,38.9
910022,61.2,0.0,-75,46.2
910023,18.4,0.0,-61,31.5
910024,93.5,2.46,-55,73.3
910025,59.2,0.0,-53,41.1
910026,55.5,0.0,-65,40.8
910027,37.9,0.0,-104,39.6
910028,14.1,0.0,-99,29.3
910029,41.9,0.0,-91,39.0
910030,26.6,0.0,-104,34.6
910031,31.8,0.0,-85,40.1
910032,48.5,0.0,-58,29.6
910033,51.5,0.0,-71,41.9
910034,72.7,0.0,-51,49.1
910035,41.4,0.0,-96,41.8
910036,43.5,0.0,-80,41.4
910037,9.5,0.0,-80,20.9
910038,13.3,0.0,-80,25.1
910039,75.9,0.0,-73,48.4
910040,29.9,0.0,-99,33.8
910041,97.1,,-53,85.8
910042,70.5,0.0,-65,48.2
910043,81.9,0.4,-100,57.6
910044,9.5,0.0,-76,28.0
910045,68.7,0.0,-62,47.6
910046,38.3,0.0,-95,37.5
910047,82.3,2.41,-104,74.8
910048,71.8,0.0,-91,48.9
910049,34.2,0.0,-100,38.9
910050,13.8,0.0,-73,25.1
910051,43.9,0.0,-67,39.9
910052,76.2,0.0,-96,50.9
910053,24.8,0.0,-99,29.4
910054,88.0,2.1,-103,78.0
910055,42.1,0.0,-101,43.4
910056,17.2,0.0,-97,33.0
910057,36.5,0.0,-99,33.8
910058,79.5,0.0,-97,58.3
910059,54.1,0.0,-62,43.2
910060,79.9,0.0,-63,49.8
910061,46.3,0.0,-53,39.6
910062,72.9,0.0,-62,46.0
910063,55.4,0.0,-82,41.7
910064,22.3,0.0,-56,32.0
910065,7.6,0.0,-92,29.1
910066,22.6,0.0,-107,36.6
910067,55.5,0.0,-97,42.7
910068,85.5,4.06,-77,82.9
910069,73.2,0.0,-84,51.7
910070,21.9,0.0,-57,31.4
910071,68.3,0.0,-79,47.4
910072,41.3,0.0,-104,40.4
910073,38.6,0.0,-80,36.5
910074,45.0,0.0,-97,42.8
910075,14.8,0.0,-99,31.0
910076,29.0,0.0,-65,33.5
910077,73.2,0.0,-88,49.7
910078,19.4,0.0,-83,32.2
910079,75.4,0.0,-75,51.8
910080,71.6,0.0,-53,44.5
910081,96.5,3.98,-55,93.2
910082,61.5,0.0,-65,43.9
910083,21.2,0.0,-79,30.9
910084,90.8,0.42,-61,59.1
910085,95.5,2.08,-97,72.2
910086,82.8,1.24,-71,58.1
910087,62.2,,-58,42.6
910088,69.8,0.0,-106,50.6
910089,41.9,0.0,-68,38.6
910090,64.8,0.0,-51,37.2
910091,53.7,0.0,-72,43.8
910092,18.7,0.0,-63,23.9
910093,65.4,0.0,-75,39.6
910094,37.4,0.0,-93,37.1
910095,93.9,0.21,-96,53.6
910096,45.8,,-68,39.1
910097,32.8,0.0,-107,36.8
910098,18.1,0.0,-87,36.4
910099,74.1,0.0,-110,49.2
910100,63.9,0.0,-58,42.5
910101,32.8,0.0,-106,37.5
910102,83.7,2.52,-80,76.0
910103,81.2,4.32,-71,85.5
