MatchID,TutorExpYears,ClassFeeHourly,StudentSatisfactionScore,LessonsCompleted,RenewedSubscription
1790001,14.3,94.0,6.3,114.0,115.9
1790002,5.1,138.4,7.1,102.6,79.1
1790003,13.2,127.7,7.9,87.4,106.7
1790004,12.0,63.9,4.9,82.2,100.6
1790005,6.2,156.9,5.5,106.8,73.0
1790006,6.5,135.8,6.1,115.5,126.4
1790007,12.4,96.3,10.0,109.2,47.9
1790008,10.3,61.5,7.5,57.2,99.9
1790009,13.0,135.1,8.0,90.0,87.9
1790010,11.4,133.8,7.1,129.2,60.9
1790011,10.3,101.7,5.8,114.1,101.0
1790012,10.7,114.0,7.9,90.4,119.1
1790013,4.3,172.7,7.5,96.7,73.3
1790014,14.1,190.1,8.9,78.4,63.0
1790015,10.7,102.8,8.0,110.3,106.2
1790016,9.3,49.7,8.5,101.9,72.1
1790017,9.3,140.1,9.4,84.3,109.0
1790018,13.2,163.1,7.4,99.7,33.5
1790019,13.7,156.2,6.4,69.9,75.1
1790020,8.5,94.1,6.8,63.9,65.4
1790021,1.7,154.5,6.5,45.4,138.6
1790022,10.3,38.7,6.2,110.7,115.0
1790023,11.9,121.4,6.2,157.3,38.8
1790024,14.8,147.6,8.1,80.4,79.4
1790025,1.5,113.0,7.4,128.3,123.7
1790026,3.3,119.8,6.3,97.7,112.1
1790027,13.0,35.6,9.6,165.0,93.2
1790028,6.2,94.6,9.4,84.0,77.4
1790029,13.9,113.8,6.4,90.6,111.3
1790030,12.4,129.1,8.3,93.8,122.8
1790031,9.1,118.2,8.0,95.5,103.7
1790032,9.0,114.3,5.2,69.0,42.0
1790033,14.6,124.7,7.0,101.0,127.6
1790034,11.2,104.3,8.7,116.2,123.6
1790035,4.0,54.2,8.0,78.7,84.4
1790036,3.9,173.7,9.1,92.4,118.8
1790037,11.0,111.8,6.0,122.0,104.2
1790038,2.6,94.4,5.2,97.9,112.0
1790039,2.9,86.3,8.0,96.9,100.9
1790040,2.8,145.7,9.3,91.1,111.4
1790041,10.6,113.7,9.6,75.0,109.5
1790042,4.6,88.6,6.5,91.0,136.7
1790043,5.9,125.4,9.5,145.0,107.5
1790044,2.3,107.6,6.0,96.4,109.6
1790045,9.9,150.1,6.4,78.7,74.8
1790046,7.2,141.4,7.5,112.6,72.1
