LocationID,TrafficVolumeHourly,NoiseDecibel,ResidentComplaintsCount,DistanceToHighway_Meters,ZoneType
1510001,84.1,120.4,100.3,2.5,Type_B
1510002,113.3,126.4,120.8,0.4,Type_B
1510003,124.8,114.7,113.0,1.0,Type_A
1510004,84.4,70.6,115.7,18.5,Type_B
1510005,136.7,51.2,138.6,0.8,Type_B
1510006,110.1,120.7,110.3,2.1,Type_C
1510007,132.5,123.8,83.3,27.1,Type_C
1510008,34.7,135.6,113.0,8.9,Type_A
1510009,133.9,104.9,124.8,11.2,Type_C
1510010,146.8,91.7,99.4,3.4,Type_C
1510011,97.6,140.9,66.8,1.9,Type_A
1510012,114.1,104.4,103.4,8.1,Type_C
1510013,104.3,117.5,108.0,0.3,Type_A
1510014,119.6,89.4,120.2,1.2,Type_B
1510015,121.7,45.7,97.8,6.3,Type_B
1510016,98.5,103.1,56.1,4.9,Type_C
1510017,82.8,114.4,114.1,5.0,Type_A
1510018,104.3,92.7,138.9,2.8,Type_C
1510019,67.7,132.6,121.0,2.0,Type_A
1510020,113.2,77.4,77.0,12.7,Type_A
1510021,103.5,84.8,91.5,17.4,Type_C
1510022,118.3,136.9,82.7,19.8,Type_A
1510023,100.5,149.8,57.1,4.6,Type_B
1510024,109.3,122.0,94.1,13.3,Type_C
1510025,63.7,131.7,85.8,3.0,Type_A
1510026,139.3,99.0,91.1,1.1,Type_C
1510027,98.2,121.7,135.7,3.5,Type_C
1510028,110.1,91.4,116.2,3.4,Type_C
1510029,122.9,161.6,52.8,3.4,Type_C
1510030,107.4,63.2,77.0,3.5,Type_B
1510031,101.6,82.3,54.7,11.2,Type_B
1510032,88.9,123.8,121.2,0.5,Type_C
1510033,104.9,104.7,110.6,5.1,Type_A
1510034,114.8,78.3,117.1,25.1,Type_C
1510035,102.8,106.7,139.3,1.7,Type_A
1510036,109.4,135.0,120.5,2.1,Type_B
1510037,97.1,93.4,114.5,4.7,Type_C
1510038,94.8,103.1,88.8,3.1,Type_B
1510039,95.3,148.7,119.2,3.6,Type_C
1510040,95.2,67.8,114.0,10.1,Type_C
1510041,71.7,100.4,83.4,6.6,Type_B
1510042,94.8,71.9,92.3,4.3,Type_A
1510043,110.5,94.3,92.1,1.8,Type_C
1510044,110.0,94.6,83.5,0.6,Type_B
1510045,124.7,86.9,120.0,8.6,Type_A
1510046,65.4,114.2,99.4,19.1,Type_C
1510047,114.6,110.7,81.4,1.2,Type_B
1510048,71.2,122.2,88.9,12.1,Type_B
1510049,99.6,102.8,98.1,15.3,Type_A
1510050,102.9,146.7,97.2,5.7,Type_A
1510051,75.0,133.3,112.7,3.3,Type_B
1510052,95.1,97.2,46.6,0.2,Type_C
1510053,57.7,110.7,131.4,10.1,Type_B
1510054,131.2,109.2,84.8,4.6,Type_B
1510055,121.7,74.8,94.9,16.7,Type_C
1510056,117.5,95.5,125.0,2.2,Type_B
1510057,105.3,105.4,80.8,8.4,Type_B
1510058,121.3,113.9,153.1,13.3,Type_A
1510059,129.5,49.8,97.0,9.9,Type_A
1510060,94.7,86.8,114.0,1.5,Type_B
1510061,90.9,66.4,97.6,11.7,Type_A
1510062,109.6,100.8,74.6,37.8,Type_B
1510063,111.0,64.4,80.5,18.6,Type_B
1510064,109.3,108.3,117.5,1.4,Type_B
1510065,143.7,69.2,102.4,3.3,Type_C
1510066,159.0,129.9,83.2,5.6,Type_B
1510067,98.7,54.5,113.5,10.1,Type_A
1510068,75.0,101.3,99.0,0.4,Type_C
1510069,126.7,88.0,74.3,6.7,Type_C
1510070,110.8,95.7,102.5,1.4,Type_B
1510071,57.3,89.9,105.1,21.8,Type_C
1510072,111.2,44.1,89.3,25.9,Type_A
1510073,121.0,80.3,128.5,10.7,Type_C
1510074,98.8,86.0,88.1,0.5,Type_C
1510075,128.3,87.5,134.9,1.2,Type_B
1510076,115.7,120.8,152.9,13.7,Type_C
1510077,113.6,105.2,91.0,4.8,Type_C
1510078,145.1,89.8,47.6,0.5,Type_A
