State,Population,MedianIncome,PovertyRate,Under18_Percent,CollegeDegree_Percent
California,28650599,57507,12.8,22.0,34.6
Texas,6564926,62046,13.5,21.9,32.8
Florida,17015628,65567,12.3,22.8,
New York,27540690,79625,11.2,22.1,40.5
Pennsylvania,14947454,63385,13.9,25.1,33.0
Illinois,38226823,96938,8.0,19.0,44.8
Ohio,10518455,62759,10.7,19.7,37.2
Georgia,18579053,67916,10.4,25.1,
North Carolina,25649778,82720,11.1,18.0,46.8
Michigan,22072852,72366,11.5,20.8,45.7
New Jersey,11102018,64460,11.7,18.1,39.6
Virginia,12636389,63563,14.8,23.5,38.2
Washington,27636094,86340,9.7,22.3,43.5
Arizona,13744099,63290,11.3,19.1,33.9
Massachusetts,19358679,67441,12.7,23.2,41.2
