Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Global_Sales
Video Game 1,PS4,2006,Action,0.4,0.27,0.04,0.88
Video Game 2,PS3,1998,Sports,1.03,0.77,0.1,2.04
Video Game 3,PC,1995,Misc,0.37,0.28,0.04,0.84
Video Game 4,PS4,2016,Sports,0.23,0.17,0.02,0.61
Video Game 5,PC,1998,Sports,0.31,0.19,0.03,0.6
Video Game 6,PC,1999,Misc,1.45,1.25,0.14,3.0
Video Game 7,PS3,2020,Misc,1.41,0.78,0.14,2.4
Video Game 8,Switch,2019,Role-Playing,0.11,0.07,0.13,0.41
Video Game 9,XOne,2010,Shooter,0.32,0.19,0.03,0.63
Video Game 10,XOne,1996,Misc,0.94,0.41,0.09,1.54
Video Game 11,Wii,2009,Sports,0.08,0.06,0.01,0.31
Video Game 12,PS3,2016,Sports,0.08,0.05,0.01,0.24
Video Game 13,Wii,2020,Misc,0.17,0.08,0.02,0.35
Video Game 14,PS3,2017,Role-Playing,0.41,0.21,0.45,1.25
Video Game 15,XOne,2003,Action,0.47,0.41,0.05,1.05
Video Game 16,PC,2018,Action,0.84,0.5,0.08,1.53
Video Game 17,PS3,2009,Platform,1.73,1.11,0.17,3.09
Video Game 18,PS4,2003,Role-Playing,0.89,0.74,1.18,2.88
Video Game 19,Wii,2016,Action,0.81,0.64,0.08,1.59
Video Game 20,PS4,2007,Action,0.62,0.51,0.06,1.26
Video Game 21,PS3,1997,Sports,0.41,0.17,0.04,0.77
Video Game 22,PC,2019,Misc,0.44,0.24,0.04,0.78
Video Game 23,PS3,2007,Misc,0.56,0.39,0.06,1.16
Video Game 24,PC,2012,Sports,3.7,2.28,0.37,6.44
Video Game 25,Wii,2001,Sports,0.57,0.34,0.06,1.12
Video Game 26,PC,1999,Misc,1.37,1.22,0.14,2.88
Video Game 27,Switch,2009,Platform,0.36,0.15,0.04,0.73
Video Game 28,PS3,2019,Platform,1.11,0.84,0.11,2.12
Video Game 29,XOne,2009,Misc,0.86,0.56,0.09,1.57
Video Game 30,PS3,2005,Misc,0.62,0.43,0.06,1.17
Video Game 31,PC,1999,Sports,0.31,0.24,0.03,0.74
Video Game 32,XOne,2017,Role-Playing,2.09,0.86,2.72,5.85
Video Game 33,PC,1999,Action,0.01,0.01,0.0,0.22
Video Game 34,PS4,2020,Role-Playing,0.22,0.14,0.24,0.72
Video Game 35,XOne,2010,Misc,0.1,0.04,0.01,0.22
Video Game 36,Wii,2012,Platform,0.89,0.76,0.09,1.83
Video Game 37,PC,2001,Role-Playing,0.91,0.65,1.16,2.84
Video Game 38,Switch,2007,Misc,0.69,0.47,0.07,1.29
Video Game 39,Switch,2005,Misc,0.58,0.33,0.06,1.15
Video Game 40,PS4,2006,Shooter,0.08,0.04,0.01,0.28
Video Game 41,PS4,2003,Shooter,2.07,1.77,0.21,4.2
Video Game 42,PS3,2003,Action,0.41,0.19,0.04,0.84
Video Game 43,Wii,2012,Action,0.14,0.11,0.01,0.4
Video Game 44,Switch,2008,Shooter,0.38,0.29,0.04,0.88
Video Game 45,PC,2006,Action,0.48,0.23,0.05,0.91
Video Game 46,PS3,2005,Action,0.82,0.35,0.08,1.37
Video Game 47,Switch,2017,Platform,0.52,0.42,0.05,1.16
Video Game 48,PS4,2011,Action,0.75,0.51,0.08,1.48
Video Game 49,PC,2015,Sports,0.22,0.11,0.02,0.45
Video Game 50,Switch,2020,Platform,0.51,0.42,0.05,1.09
Video Game 51,PS3,2019,Sports,2.54,1.76,0.25,4.69
Video Game 52,Wii,2010,Shooter,0.07,0.06,0.01,0.3
Video Game 53,PS3,2011,Action,0.53,0.38,0.05,1.05
Video Game 54,XOne,2004,Shooter,0.51,0.4,0.05,1.12
Video Game 55,XOne,1997,Role-Playing,0.06,0.03,0.07,0.29
Video Game 56,PC,2017,Platform,0.41,0.21,0.04,0.82
Video Game 57,XOne,2002,Sports,0.21,0.18,0.02,0.52
Video Game 58,Switch,1995,Role-Playing,0.48,0.31,0.43,1.3
Video Game 59,PS4,2011,Role-Playing,0.39,0.24,0.34,1.13
Video Game 60,PC,2006,Role-Playing,0.08,0.07,0.12,0.4
Video Game 61,PS4,2013,Shooter,0.08,0.05,0.01,0.21
Video Game 62,Switch,2004,Shooter,1.09,0.62,0.11,1.99
Video Game 63,PC,2013,Action,1.8,1.53,0.18,3.59
Video Game 64,XOne,2017,Platform,0.22,0.18,0.02,0.54
Video Game 65,Wii,1995,Role-Playing,1.15,1.01,1.03,3.3
Video Game 66,Switch,2020,Role-Playing,0.15,0.08,0.13,0.53
Video Game 67,PS3,2001,Misc,0.1,0.08,0.01,0.36
Video Game 68,Wii,1995,Role-Playing,0.3,0.18,0.44,1.01
Video Game 69,PC,2003,Platform,0.13,0.08,0.01,0.41
Video Game 70,Wii,2019,Misc,0.75,0.48,0.08,1.49
Video Game 71,PS4,2011,Sports,0.25,0.16,0.02,0.64
Video Game 72,XOne,2001,Shooter,0.38,0.21,0.04,0.77
Video Game 73,XOne,2018,Platform,1.87,1.12,0.19,3.35
Video Game 74,PS3,2019,Role-Playing,0.65,0.32,0.64,1.67
Video Game 75,PC,2000,Sports,0.42,0.25,0.04,0.82
Video Game 76,PC,2012,Shooter,0.33,0.28,0.03,0.81
Video Game 77,PC,2010,Role-Playing,3.73,1.77,2.99,8.65
Video Game 78,XOne,1998,Sports,0.24,0.11,0.02,0.47
Video Game 79,Wii,2018,Misc,0.04,0.03,0.0,0.27
Video Game 80,Wii,2016,Action,1.2,0.93,0.12,2.3
Video Game 81,Wii,2020,Action,0.54,0.39,0.05,1.06
Video Game 82,XOne,2014,Role-Playing,1.52,0.66,1.97,4.32
Video Game 83,XOne,2009,Shooter,0.02,0.01,0.0,0.21
Video Game 84,XOne,2013,Sports,0.11,0.05,0.01,0.24
Video Game 85,Switch,2018,Action,1.1,0.54,0.11,1.82
Video Game 86,PS4,2018,Action,0.09,0.07,0.01,0.33
Video Game 87,Switch,2015,Role-Playing,1.34,0.66,1.11,3.3
Video Game 88,PC,2004,Sports,0.08,0.05,0.01,0.26
Video Game 89,XOne,2004,Role-Playing,0.85,0.75,1.09,2.76
Video Game 90,Switch,2004,Sports,0.16,0.07,0.02,0.38
Video Game 91,XOne,2020,Role-Playing,0.49,0.33,0.47,1.46
Video Game 92,Wii,2018,Platform,0.39,0.34,0.04,0.91
Video Game 93,PS4,2005,Platform,0.04,0.04,0.0,0.16
Video Game 94,PS4,2013,Misc,0.21,0.14,0.02,0.54
Video Game 95,XOne,2002,Platform,0.25,0.18,0.03,0.64
Video Game 96,PS3,2020,Platform,2.32,1.42,0.23,4.08
Video Game 97,PS3,2009,Misc,0.11,0.06,0.01,0.36
Video Game 98,Switch,1999,Platform,0.34,0.28,0.03,0.77
Video Game 99,Switch,2000,Platform,1.13,0.61,0.11,2.05
Video Game 100,PS3,2018,Misc,0.27,0.19,0.03,0.66
Video Game 101,PC,2006,Shooter,1.44,1.1,0.14,2.89
Video Game 102,PS4,2007,Role-Playing,0.6,0.48,0.8,2.02
Video Game 103,PC,2004,Platform,0.61,0.45,0.06,1.29
Video Game 104,PS3,2002,Platform,0.36,0.3,0.04,0.82
Video Game 105,PC,2001,Misc,0.55,0.28,0.06,1.06
Video Game 106,PC,1997,Misc,0.59,0.28,0.06,1.0
Video Game 107,Wii,2002,Sports,2.4,1.37,0.24,4.14
Video Game 108,PS3,2002,Sports,0.03,0.02,0.0,0.16
Video Game 109,Wii,2001,Misc,0.76,0.41,0.08,1.39
Video Game 110,Wii,2010,Action,0.69,0.52,0.07,1.37
Video Game 111,Wii,2017,Shooter,0.54,0.31,0.05,1.03
Video Game 112,PC,2014,Misc,0.55,0.43,0.05,1.1
Video Game 113,XOne,2001,Sports,0.67,0.44,0.07,1.29
Video Game 114,XOne,2011,Platform,0.89,0.36,0.09,1.46
Video Game 115,PS3,2009,Shooter,1.02,0.78,0.1,2.03
Video Game 116,XOne,2018,Role-Playing,0.32,0.25,0.42,1.09
Video Game 117,XOne,2015,Shooter,0.21,0.18,0.02,0.49
Video Game 118,PC,2004,Misc,0.57,0.47,0.06,1.17
Video Game 119,Wii,2014,Shooter,0.7,0.39,0.07,1.26
Video Game 120,PS4,2008,Role-Playing,0.12,0.08,0.12,0.51
Video Game 121,Switch,2000,Platform,0.96,0.44,0.1,1.63
Video Game 122,PS4,2005,Sports,1.26,1.06,0.13,2.62
Video Game 123,Wii,2002,Platform,0.1,0.06,0.01,0.36
Video Game 124,Wii,2014,Sports,1.39,1.14,0.14,2.81
Video Game 125,XOne,2016,Sports,0.12,0.06,0.01,0.31
Video Game 126,PS4,2016,Sports,0.17,0.1,0.02,0.42
Video Game 127,XOne,2018,Platform,0.38,0.23,0.04,0.76
Video Game 128,XOne,2009,Role-Playing,0.04,0.04,0.06,0.31
Video Game 129,Switch,1996,Platform,0.56,0.42,0.06,1.16
Video Game 130,PS4,2011,Shooter,0.24,0.11,0.02,0.46
Video Game 131,PC,2013,Sports,2.3,1.13,0.23,3.71
Video Game 132,Switch,2006,Misc,0.08,0.07,0.01,0.21
Video Game 133,Switch,1996,Role-Playing,0.24,0.14,0.35,0.86
Video Game 134,Switch,2006,Action,0.39,0.22,0.04,0.74
Video Game 135,PS4,2004,Role-Playing,0.38,0.21,0.5,1.25
Video Game 136,XOne,2007,Action,1.8,1.32,0.18,3.41
Video Game 137,Wii,2013,Shooter,0.57,0.26,0.06,1.07
Video Game 138,Switch,2008,Shooter,2.7,1.79,0.27,4.83
Video Game 139,PS3,2014,Action,0.19,0.11,0.02,0.46
Video Game 140,XOne,2020,Misc,0.36,0.2,0.04,0.67
Video Game 141,Switch,2017,Role-Playing,0.14,0.07,0.18,0.53
Video Game 142,Wii,2014,Role-Playing,0.56,0.42,0.81,1.92
Video Game 143,PS4,2009,Action,0.12,0.08,0.01,0.29
Video Game 144,PS4,2017,Action,1.06,0.75,0.11,2.03
Video Game 145,XOne,2012,Sports,0.17,0.1,0.02,0.48
Video Game 146,PS3,2020,Misc,0.38,0.23,0.04,0.82
Video Game 147,PS4,2012,Action,0.61,0.24,0.06,1.1
Video Game 148,Switch,2002,Sports,0.1,0.05,0.01,0.31
Video Game 149,Switch,2015,Sports,1.79,1.05,0.18,3.12
Video Game 150,PS4,2011,Role-Playing,0.95,0.49,1.13,2.75
Video Game 151,Wii,2005,Role-Playing,0.23,0.18,0.27,0.79
Video Game 152,PC,1997,Sports,0.14,0.09,0.01,0.34
Video Game 153,Wii,2012,Shooter,0.55,0.24,0.05,0.92
Video Game 154,Switch,2012,Platform,0.07,0.05,0.01,0.31
Video Game 155,PS4,1999,Action,1.11,0.62,0.11,1.94
Video Game 156,Wii,1997,Shooter,0.61,0.48,0.06,1.26
Video Game 157,Wii,2006,Platform,2.27,1.54,0.23,4.15
Video Game 158,Wii,2013,Misc,0.23,0.2,0.02,0.63
Video Game 159,Switch,1997,Platform,0.25,0.13,0.02,0.5
Video Game 160,Switch,2000,Platform,0.59,0.32,0.06,1.05
Video Game 161,Wii,2006,Misc,0.15,0.09,0.01,0.44
Video Game 162,Wii,2014,Sports,1.21,0.83,0.12,2.34
Video Game 163,PC,2010,Action,0.0,0.0,0.0,0.13
Video Game 164,PS4,2017,Sports,0.07,0.04,0.01,0.32
Video Game 165,Switch,2018,Misc,0.65,0.47,0.06,1.27
Video Game 166,PS4,2016,Action,0.06,0.03,0.01,0.24
Video Game 167,PS4,2001,Shooter,0.2,0.15,0.02,0.56
Video Game 168,Wii,2016,Platform,0.48,0.23,0.05,0.89
Video Game 169,Switch,2007,Shooter,0.47,0.24,0.05,0.83
Video Game 170,Wii,2013,Action,0.34,0.25,0.03,0.7
Video Game 171,PS3,2009,Action,1.7,1.28,0.17,3.31
Video Game 172,PS3,2009,Misc,0.35,0.2,0.03,0.71
Video Game 173,Wii,2019,Shooter,0.4,0.2,0.04,0.76
Video Game 174,PS4,2010,Platform,1.77,0.97,0.18,3.01
Video Game 175,PC,2002,Misc,2.69,1.17,0.27,4.25
Video Game 176,PS3,2012,Platform,0.36,0.27,0.04,0.75
Video Game 177,Wii,1997,Misc,0.35,0.23,0.03,0.78
Video Game 178,PC,2007,Sports,0.48,0.39,0.05,1.01
Video Game 179,Switch,2002,Shooter,0.31,0.15,0.03,0.59
Video Game 180,XOne,2004,Shooter,0.24,0.22,0.02,0.54
Video Game 181,PS3,2001,Role-Playing,0.54,0.35,0.73,1.72
Video Game 182,PS4,1999,Misc,0.32,0.17,0.03,0.71
Video Game 183,Wii,2006,Action,0.04,0.02,0.0,0.27
Video Game 184,Wii,2008,Role-Playing,0.11,0.06,0.16,0.49
Video Game 185,XOne,2016,Role-Playing,0.13,0.08,0.2,0.51
Video Game 186,Switch,1999,Role-Playing,0.03,0.02,0.04,0.28
Video Game 187,PS3,2000,Misc,0.05,0.02,0.01,0.15
Video Game 188,XOne,1999,Action,0.28,0.15,0.03,0.54
Video Game 189,PC,1996,Action,0.08,0.04,0.01,0.19
Video Game 190,PS3,1998,Sports,0.09,0.04,0.01,0.19
Video Game 191,XOne,2002,Role-Playing,0.21,0.11,0.25,0.63
Video Game 192,PS4,2011,Action,1.84,0.84,0.18,3.05
Video Game 193,Wii,2016,Role-Playing,0.55,0.43,0.52,1.56
Video Game 194,Wii,2006,Platform,0.42,0.36,0.04,0.97
Video Game 195,Wii,2010,Action,0.1,0.07,0.01,0.27
Video Game 196,Wii,1995,Platform,0.07,0.04,0.01,0.27
Video Game 197,PS3,2017,Action,3.23,1.77,0.32,5.39
Video Game 198,Wii,2016,Platform,0.06,0.04,0.01,0.19
