RobotID,ObstacleDensity_Percent,PathLength_Meters,PowerConsumption_Wh,CollisionAlerts,MissionCompleted
1340001,41.6,5.7,270.1,140.4,0
1340002,65.1,4.6,252.1,94.3,1
1340003,58.2,2.7,188.8,67.8,1
1340004,49.4,8.1,298.4,141.6,0
1340005,56.7,2.6,227.5,74.2,0
1340006,50.0,4.7,179.0,102.5,1
1340007,59.6,3.1,272.6,119.8,1
1340008,63.6,12.2,181.0,100.9,0
1340009,34.9,8.2,320.8,114.5,0
1340010,32.3,4.8,212.5,119.0,0
1340011,59.0,10.0,333.9,122.0,1
1340012,35.8,3.2,242.8,139.8,1
1340013,38.3,1.3,237.6,34.0,1
1340014,21.6,24.0,464.2,93.5,0
1340015,50.5,4.4,294.7,97.9,0
1340016,50.3,7.5,127.3,96.4,0
1340017,31.3,1.5,144.9,157.6,1
1340018,64.8,0.8,183.2,82.5,0
1340019,37.2,5.1,200.2,97.6,1
1340020,26.7,38.8,406.2,104.7,0
1340021,45.4,7.6,328.5,66.3,1
1340022,64.3,1.4,271.8,73.6,0
1340023,54.1,2.2,200.5,102.9,0
1340024,57.8,10.5,322.3,110.6,1
1340025,59.3,7.2,192.7,87.3,1
1340026,43.6,11.9,185.9,96.4,1
1340027,48.3,3.9,208.7,109.6,0
1340028,33.4,11.5,302.4,96.7,1
1340029,37.0,10.0,353.3,115.4,0
1340030,52.1,9.5,304.3,105.3,1
1340031,46.2,4.8,259.0,106.6,0
1340032,48.0,4.4,383.0,98.0,0
1340033,40.2,2.1,175.4,121.3,0
1340034,32.0,4.2,284.9,93.8,0
1340035,60.3,5.3,238.4,111.6,1
1340036,50.8,6.6,249.7,124.1,1
1340037,31.3,11.2,317.0,112.9,0
1340038,63.3,27.6,222.0,92.7,0
1340039,36.5,20.9,69.7,64.4,0
1340040,26.2,0.3,275.3,87.0,1
1340041,43.9,6.3,281.9,82.0,0
1340042,24.7,0.2,230.9,47.3,0
1340043,13.5,4.6,54.9,112.8,1
1340044,38.0,22.4,133.6,77.2,1
1340045,50.7,1.3,339.8,137.0,1
1340046,34.4,6.3,196.2,137.0,0
1340047,20.3,27.5,244.0,140.2,1
1340048,36.2,8.3,329.3,41.8,1
1340049,39.0,0.2,217.8,69.1,0
1340050,42.7,5.1,224.2,113.1,0
1340051,51.7,0.9,293.7,119.6,1
1340052,71.8,3.5,300.6,94.5,0
1340053,43.2,1.1,340.6,138.9,1
1340054,63.4,29.5,190.2,69.9,1
1340055,56.0,45.5,173.7,55.9,1
1340056,59.4,8.9,139.7,98.4,1
1340057,74.2,12.2,310.1,58.5,0
1340058,36.0,5.5,202.1,133.2,0
1340059,48.5,4.1,279.8,48.5,0
1340060,,17.0,128.6,94.3,0
1340061,59.9,16.2,250.9,109.1,1
1340062,58.3,14.3,373.5,100.7,0
1340063,43.5,1.9,261.4,120.7,1
1340064,30.2,5.8,418.6,43.7,0
1340065,36.4,13.2,202.5,152.1,0
1340066,68.9,24.1,240.7,108.7,0
1340067,31.8,8.9,95.9,127.0,1
1340068,39.3,7.7,316.3,45.8,1
1340069,42.6,0.1,228.6,118.0,1
1340070,28.1,9.1,190.7,97.9,1
1340071,73.1,4.4,191.8,91.0,0
1340072,26.9,1.9,331.8,126.3,1
1340073,45.0,3.0,173.3,57.0,1
1340074,38.4,12.2,207.6,108.7,0
1340075,36.0,2.3,333.3,112.5,0
1340076,15.5,2.1,191.1,59.2,0
1340077,35.7,6.4,210.6,97.5,0
1340078,52.1,8.5,215.0,100.5,1
1340079,37.8,9.5,188.8,89.2,0
1340080,86.9,12.8,216.6,97.3,1
1340081,52.6,7.9,355.0,88.6,1
1340082,14.9,4.6,151.3,84.6,0
1340083,44.7,4.1,352.5,106.8,1
1340084,46.3,4.1,332.5,85.3,1
1340085,51.6,0.9,338.2,111.6,1
1340086,28.7,11.5,269.5,103.4,1
1340087,27.6,3.8,352.9,85.6,1
1340088,46.4,6.3,66.6,81.1,1
1340089,45.4,3.4,252.6,66.6,0
1340090,45.8,1.8,82.7,120.1,1
1340091,29.5,6.7,212.5,119.9,0
1340092,37.0,3.2,388.9,91.4,0
1340093,18.9,8.3,251.2,122.9,0
1340094,15.5,1.4,222.1,94.9,1
1340095,66.3,0.3,259.2,73.7,1
1340096,46.7,6.8,208.8,100.1,1
1340097,,2.2,276.6,80.4,0
1340098,27.4,1.8,78.7,99.5,1
1340099,75.0,6.7,96.2,64.3,0
1340100,32.7,2.7,341.2,118.9,1
1340101,55.8,3.4,182.5,120.4,0
1340102,43.9,14.8,214.3,146.1,1
1340103,29.0,10.8,264.5,132.7,1
1340104,65.8,14.3,104.9,78.7,1
1340105,82.6,2.0,228.3,86.9,0
1340106,63.9,9.1,515.8,107.9,1
1340107,33.9,6.2,197.0,108.1,0
1340108,40.7,3.4,293.1,90.5,0
1340109,52.9,9.5,348.4,138.1,0
1340110,15.3,7.0,265.9,120.8,1
1340111,59.4,1.6,284.3,87.7,0
1340112,66.2,10.5,227.0,135.2,0
1340113,49.8,5.9,410.9,120.8,0
1340114,51.1,6.1,136.0,133.0,1
1340115,53.2,1.6,243.5,107.9,1
1340116,49.6,10.4,239.8,119.0,0
1340117,41.7,1.2,298.7,50.0,0
1340118,23.8,0.2,253.6,85.1,1
1340119,58.2,10.5,234.7,37.5,0
1340120,55.4,5.3,196.2,100.3,1
1340121,84.2,12.0,185.9,79.4,1
1340122,41.7,4.3,159.7,89.9,0
1340123,43.4,7.9,288.6,99.1,0
1340124,60.8,7.5,291.8,82.1,1
1340125,21.8,4.7,250.9,176.4,1
1340126,44.8,19.1,351.4,123.5,0
1340127,37.3,4.8,202.3,65.1,1
1340128,38.2,2.8,58.0,133.8,0
