TurbineID,WindSpeed_mps,WindDirectionDeviation,GearboxTemp,DailyOutput_MWh,MaintenanceRequired
1530001,12.5,6.6,155.3,331.7,1
1530002,6.1,1.8,148.7,271.0,1
1530003,8.6,1.0,112.3,75.6,0
1530004,12.0,5.4,126.6,127.4,1
1530005,19.0,27.0,159.0,310.9,0
1530006,11.9,24.6,160.4,117.1,1
1530007,11.9,11.6,138.4,286.4,1
1530008,4.4,16.7,115.2,319.5,0
1530009,3.0,13.5,67.3,177.2,1
1530010,12.9,11.1,135.6,263.1,1
1530011,15.2,10.9,136.7,352.8,1
1530012,18.5,16.8,53.3,251.9,0
1530013,9.7,9.6,137.9,161.9,0
1530014,19.0,10.0,110.9,97.7,1
1530015,14.9,11.3,110.1,182.0,1
1530016,21.5,14.2,61.5,163.9,0
1530017,9.8,13.5,188.7,173.7,1
1530018,10.0,1.0,119.7,346.9,1
1530019,5.8,14.1,138.9,267.7,1
1530020,13.5,20.1,66.6,211.0,0
1530021,19.5,10.5,90.4,261.2,0
1530022,14.5,8.3,105.1,201.9,1
1530023,6.2,9.0,133.1,287.6,0
1530024,26.2,13.7,133.9,156.9,1
1530025,11.9,14.9,121.7,304.3,0
1530026,8.0,11.7,99.4,153.5,1
1530027,8.5,32.9,89.3,320.9,1
1530028,6.4,16.8,127.8,192.6,0
1530029,8.6,7.8,175.6,321.1,1
1530030,8.7,1.0,104.4,171.5,0
1530031,12.0,19.3,93.3,41.9,0
1530032,15.9,10.1,146.3,180.7,1
1530033,7.3,13.3,125.3,328.5,1
1530034,13.9,14.2,110.3,176.6,0
1530035,12.1,6.9,110.0,170.2,0
1530036,7.5,8.0,173.3,325.0,1
1530037,11.8,13.6,107.4,184.4,1
1530038,8.1,15.8,137.0,337.1,1
1530039,12.2,7.4,87.9,292.7,0
1530040,17.5,7.1,105.8,194.9,0
1530041,7.3,14.0,142.9,260.8,1
1530042,19.9,11.7,104.9,211.9,1
1530043,24.6,14.2,95.0,264.6,0
1530044,13.8,6.7,158.2,230.8,0
1530045,13.2,14.0,120.4,225.8,0
1530046,14.7,12.0,148.0,177.3,1
1530047,10.3,15.2,144.0,372.7,1
1530048,14.9,20.2,70.0,224.5,0
1530049,8.1,12.1,104.1,184.3,1
1530050,22.9,4.0,124.9,288.0,1
1530051,14.7,8.7,102.5,313.3,0
1530052,6.1,2.9,185.2,288.0,1
1530053,11.9,18.7,105.9,175.6,1
1530054,10.0,6.7,121.3,152.4,1
1530055,12.5,9.7,130.1,228.0,1
1530056,8.8,12.5,114.0,265.7,0
1530057,14.7,15.9,159.7,262.2,0
1530058,13.5,13.2,167.8,254.0,1
1530059,6.0,6.5,121.7,266.6,0
1530060,1.0,8.9,78.7,343.9,1
1530061,9.5,12.0,182.7,108.7,1
1530062,14.6,9.9,92.0,326.9,1
1530063,12.2,19.5,110.1,359.6,0
1530064,15.5,11.0,81.3,309.3,0
1530065,6.5,12.4,78.3,190.9,0
1530066,5.6,13.8,99.3,237.5,0
1530067,11.1,15.4,150.0,417.6,0
1530068,12.8,8.9,123.6,370.0,1
1530069,15.6,20.2,113.5,295.7,1
1530070,6.9,11.4,103.4,149.1,0
1530071,7.3,11.1,130.7,168.8,1
1530072,10.8,7.9,155.3,328.2,1
1530073,8.8,14.4,149.0,279.7,1
1530074,14.5,12.8,92.5,251.7,1
1530075,10.9,12.2,98.9,255.3,1
1530076,9.4,10.8,127.0,230.1,1
1530077,14.9,13.4,125.8,90.3,1
1530078,13.0,4.1,127.6,131.1,1
1530079,15.5,13.5,156.5,242.8,1
1530080,14.5,9.7,81.0,248.5,1
1530081,17.4,19.2,101.8,189.0,0
1530082,12.5,12.8,132.3,302.2,1
1530083,12.8,13.2,97.3,321.1,1
1530084,7.3,12.1,105.2,303.5,0
1530085,16.1,6.2,126.6,291.0,1
1530086,10.4,22.4,123.6,151.7,1
1530087,15.4,9.2,176.0,423.5,1
1530088,9.0,9.3,139.3,448.8,0
1530089,7.9,6.9,95.2,161.2,0
1530090,13.2,1.2,227.1,93.6,1
1530091,2.2,9.9,130.2,497.5,0
1530092,17.5,10.8,151.1,444.9,1
1530093,16.3,7.2,86.5,132.4,0
1530094,17.5,6.8,172.1,274.2,1
1530095,6.0,20.2,164.6,157.3,1
1530096,8.4,11.0,162.0,312.7,0
