BarrelID,EthanolSensorySens,AmbientTempCelsius,Humidity_Percent,AceticAcid_ppm,BarrelQualityGrade
1930001,142.1,16.3,67.6,99.6,Type_B
1930002,74.7,14.0,48.6,93.2,Type_A
1930003,79.9,21.0,32.3,127.0,Type_A
1930004,95.0,15.8,33.0,109.0,Type_A
1930005,102.1,29.0,61.3,106.3,Type_C
1930006,129.1,29.8,53.9,130.2,Type_A
1930007,63.1,37.7,50.9,93.3,Type_B
1930008,115.5,8.6,37.2,130.1,Type_C
1930009,75.4,20.3,33.0,94.9,Type_A
1930010,75.1,4.2,48.4,84.9,Type_C
1930011,113.9,21.3,36.4,90.1,Type_B
1930012,105.1,20.2,51.0,111.1,Type_C
1930013,141.8,22.0,65.1,71.1,Type_A
1930014,99.1,26.8,35.6,83.5,Type_B
1930015,85.4,18.5,52.1,53.1,Type_A
1930016,121.7,24.7,49.9,79.5,Type_C
1930017,114.7,17.9,33.0,136.1,Type_C
1930018,90.6,15.3,39.5,75.5,Type_A
1930019,109.6,1.5,42.2,95.5,Type_B
1930020,96.3,6.2,61.6,102.3,Type_C
1930021,148.5,17.9,50.6,100.3,Type_A
1930022,56.7,9.1,44.0,55.7,Type_C
1930023,73.0,18.7,41.8,80.5,Type_A
1930024,104.8,14.5,31.6,35.6,Type_C
1930025,119.9,22.5,37.7,116.8,Type_A
1930026,92.4,17.5,43.5,125.6,Type_B
1930027,109.3,16.6,13.8,90.3,Type_B
1930028,106.9,12.3,45.9,75.2,Type_C
1930029,65.2,25.7,66.9,116.4,Type_C
1930030,124.7,29.2,55.0,111.0,Type_C
1930031,77.9,16.9,58.5,104.1,Type_B
1930032,104.6,6.8,47.0,122.0,Type_A
1930033,118.4,17.6,58.8,68.6,Type_C
1930034,113.4,18.7,52.0,147.1,Type_A
1930035,117.5,25.6,40.0,114.1,Type_B
1930036,102.9,28.0,31.1,,Type_B
1930037,81.5,24.1,59.7,79.8,Type_C
1930038,97.7,16.6,75.2,78.2,Type_A
1930039,104.6,23.0,50.0,160.7,Type_C
1930040,88.4,9.8,31.9,119.8,Type_A
1930041,113.8,16.5,39.7,103.1,Type_B
1930042,89.8,19.9,44.3,64.4,Type_C
1930043,112.1,17.4,60.9,101.0,Type_B
1930044,91.0,28.6,51.0,94.8,Type_C
1930045,106.9,24.0,41.2,123.9,Type_C
1930046,91.3,19.1,39.5,105.8,Type_B
1930047,84.9,16.4,41.3,81.6,Type_A
1930048,109.7,23.9,44.2,123.8,Type_A
1930049,92.5,12.0,72.1,139.7,Type_C
1930050,86.6,18.0,58.9,86.0,Type_B
1930051,130.2,13.2,55.8,123.0,Type_A
1930052,56.2,29.1,67.8,117.0,Type_B
1930053,154.7,34.5,24.5,92.1,Type_A
1930054,133.9,18.1,91.6,70.3,Type_B
1930055,84.1,9.9,68.0,106.2,Type_A
1930056,85.9,11.1,45.8,53.0,Type_A
1930057,48.7,16.3,47.7,101.6,Type_C
1930058,97.9,7.7,70.7,103.3,Type_C
1930059,79.4,18.7,40.3,141.0,Type_A
1930060,59.4,6.7,53.3,92.1,Type_A
1930061,135.5,20.2,46.1,128.8,Type_C
1930062,107.8,20.6,32.1,79.9,Type_B
1930063,121.2,24.6,35.9,120.0,Type_B
1930064,73.4,17.5,53.1,68.6,Type_C
1930065,95.6,22.2,38.9,99.4,Type_C
1930066,119.7,27.3,57.0,100.8,Type_A
1930067,67.1,23.4,48.7,100.9,Type_A
1930068,93.3,13.4,38.8,100.2,Type_B
1930069,51.1,22.4,34.8,103.3,Type_B
1930070,77.9,9.7,55.9,89.0,Type_B
1930071,95.9,21.3,23.3,111.8,Type_A
1930072,132.2,14.8,48.2,73.0,Type_B
1930073,77.0,10.5,47.5,99.3,Type_C
1930074,89.9,25.7,40.6,128.4,Type_A
1930075,97.2,9.8,40.9,100.9,Type_B
1930076,90.1,17.4,44.9,99.5,Type_B
1930077,100.7,18.5,29.2,109.8,Type_C
1930078,88.5,32.0,53.0,,Type_C
1930079,112.0,16.9,33.2,108.8,Type_A
1930080,106.2,17.4,40.0,84.8,Type_B
1930081,137.0,26.4,57.9,74.3,Type_A
1930082,78.8,15.1,58.6,78.6,Type_A
1930083,76.4,21.5,20.7,88.5,Type_B
1930084,74.7,2.0,39.7,68.4,Type_C
1930085,95.3,18.8,51.0,87.7,Type_B
1930086,126.1,9.1,27.0,97.0,Type_C
1930087,94.2,30.4,46.8,54.6,Type_A
1930088,114.4,21.8,26.5,135.8,Type_A
1930089,96.1,5.8,40.6,79.9,Type_A
1930090,93.9,21.4,35.4,92.8,Type_A
1930091,95.2,28.4,44.1,130.3,Type_C
1930092,87.6,-1.2,55.8,72.6,Type_C
1930093,129.9,24.2,31.6,120.9,Type_A
1930094,105.1,12.6,51.7,109.7,Type_C
1930095,79.5,29.8,49.1,106.6,Type_A
1930096,121.9,16.0,14.8,121.4,Type_B
1930097,119.9,24.0,27.0,119.2,Type_C
1930098,119.2,19.6,27.6,126.2,Type_C
1930099,88.5,14.2,80.3,45.5,Type_C
1930100,110.7,8.4,42.0,89.1,Type_C
1930101,81.2,16.1,51.5,86.8,Type_A
1930102,117.5,5.2,34.8,132.6,Type_C
1930103,113.5,16.7,56.8,,Type_B
1930104,77.4,40.0,45.9,102.9,Type_B
1930105,131.9,8.0,43.8,79.8,Type_B
1930106,85.0,18.9,27.6,130.0,Type_A
1930107,73.3,30.1,51.4,98.6,Type_C
1930108,94.0,15.2,65.2,108.6,Type_B
1930109,88.0,13.5,22.5,91.8,Type_B
1930110,106.5,27.6,52.7,121.6,Type_B
1930111,91.8,23.4,43.7,77.5,Type_B
1930112,57.8,6.0,38.0,130.8,Type_B
1930113,129.4,26.6,33.9,103.0,Type_B
1930114,136.5,33.6,46.5,111.1,Type_A
1930115,140.8,24.2,57.9,100.8,Type_B
1930116,78.3,26.4,33.4,64.3,Type_C
1930117,56.1,28.3,36.9,49.8,Type_B
1930118,114.2,23.9,37.2,70.5,Type_C
1930119,102.4,27.0,51.3,103.7,Type_A
1930120,108.0,14.1,20.5,76.9,Type_C
1930121,84.1,21.7,47.5,88.0,Type_B
1930122,104.4,25.4,74.3,103.5,Type_C
1930123,59.5,7.2,44.0,96.9,Type_B
1930124,102.8,18.9,43.8,98.8,Type_B
1930125,111.8,14.5,52.4,70.7,Type_A
1930126,107.2,21.7,18.9,82.9,Type_A
1930127,88.5,30.5,40.6,107.8,Type_A
1930128,97.4,32.0,44.5,110.6,Type_B
1930129,95.8,9.0,37.3,48.3,Type_C
1930130,97.4,22.7,33.9,82.5,Type_A
1930131,112.7,36.8,55.4,108.1,Type_A
