ArticleID,PolarityScore,Volume_K,PriceGap_Percent,Institutional_Ratio,MarketImpactScore
1030001,5.3,77.7,72.4,68.7,7.5
1030002,6.8,111.0,25.7,77.1,6.6
1030003,7.8,69.1,47.0,23.3,8.4
1030004,6.6,103.2,60.7,42.8,7.5
1030005,5.6,97.3,47.8,38.8,7.5
1030006,10.0,56.5,46.9,22.9,8.6
1030007,7.8,103.2,56.8,15.0,7.1
1030008,7.8,144.5,28.1,26.8,5.8
1030009,5.7,106.7,46.6,41.9,5.4
1030010,6.3,98.2,49.9,25.1,5.6
1030011,8.1,61.2,50.5,17.1,8.5
1030012,7.0,149.6,14.4,37.6,7.2
1030013,8.7,49.5,56.1,60.5,9.7
1030014,9.6,125.4,46.8,74.6,4.9
1030015,5.4,138.4,47.7,37.9,6.4
1030016,5.1,148.8,39.5,40.0,7.5
1030017,8.8,100.6,17.0,27.3,6.3
1030018,7.1,69.4,31.6,54.2,8.4
1030019,8.2,121.5,54.8,29.1,10.0
1030020,9.2,95.3,16.8,49.6,4.4
1030021,9.1,107.0,51.7,50.1,5.9
1030022,4.6,,53.1,38.9,5.9
1030023,8.1,58.6,25.2,50.0,9.0
1030024,9.5,112.8,28.5,36.9,9.8
1030025,6.9,131.5,40.6,26.5,7.6
1030026,6.0,110.9,50.5,44.7,5.6
1030027,5.8,77.1,31.6,58.5,8.7
1030028,7.5,90.0,22.1,98.4,8.8
1030029,6.3,95.0,45.5,36.2,9.4
1030030,7.0,126.5,44.4,55.0,6.2
1030031,5.4,93.8,38.4,47.9,8.8
1030032,7.6,143.1,59.8,70.2,7.1
1030033,5.8,79.7,59.2,51.1,4.3
1030034,4.4,111.4,42.9,72.8,7.0
1030035,8.4,74.6,43.9,43.1,7.1
1030036,6.1,108.1,56.5,62.0,8.6
1030037,6.5,123.2,70.0,25.8,4.9
1030038,7.3,69.3,37.4,41.2,8.4
1030039,6.8,142.2,48.4,45.5,3.3
1030040,7.5,82.5,50.0,36.0,5.6
1030041,8.2,82.2,27.6,25.8,7.7
1030042,9.7,88.3,33.1,53.1,10.0
1030043,8.8,110.1,32.0,64.3,7.9
1030044,7.6,103.4,59.1,44.4,5.7
1030045,6.0,95.2,43.1,74.4,6.1
1030046,7.4,113.3,46.6,52.9,8.8
1030047,7.6,131.6,58.1,29.3,4.8
1030048,9.8,110.4,33.2,50.9,6.5
1030049,6.6,94.7,67.3,71.5,7.0
1030050,4.1,111.6,40.6,36.9,5.2
1030051,6.3,75.8,44.2,48.5,8.1
1030052,6.4,121.5,20.4,32.7,7.8
1030053,3.9,99.1,42.2,29.8,7.2
1030054,6.6,97.3,62.2,43.8,7.5
1030055,6.8,141.8,39.8,59.1,4.9
1030056,7.6,94.6,8.4,50.3,5.1
1030057,6.5,88.1,20.7,29.5,6.7
1030058,7.9,93.1,42.4,41.8,5.2
1030059,5.7,104.4,50.1,46.6,5.4
1030060,7.5,79.9,47.0,42.6,6.0
1030061,8.1,122.5,72.6,47.2,4.0
1030062,6.7,103.9,28.2,46.7,7.0
1030063,5.8,101.2,49.7,4.0,5.0
1030064,6.1,123.9,72.4,22.4,5.5
1030065,8.7,84.5,45.6,50.0,6.3
1030066,9.5,61.2,42.1,20.0,4.9
1030067,8.0,123.8,29.4,29.9,7.3
1030068,9.7,71.0,52.2,49.0,4.9
1030069,7.2,118.2,54.9,56.8,4.1
1030070,8.5,119.4,65.0,67.8,6.7
