ATMID,TransactionCount,DailyWithdrawal_K,HolidayIndex,NearbyEvents,CashShortageRisk
1040001,89.5,92.9,121.1,78.4,22.0
1040002,86.5,67.6,154.9,102.1,51.0
1040003,84.8,105.0,105.3,127.6,33.0
1040004,123.2,,106.6,89.6,68.0
1040005,114.1,64.0,122.0,91.9,32.0
1040006,83.8,70.7,89.0,104.9,38.0
1040007,154.3,100.5,72.6,83.9,61.0
1040008,94.9,92.4,73.2,99.4,30.0
1040009,92.1,127.4,77.4,69.9,41.0
1040010,101.7,97.5,115.3,124.2,50.0
1040011,124.9,51.2,78.5,137.1,37.0
1040012,86.7,104.8,101.9,98.9,50.0
1040013,61.7,85.0,145.1,103.7,28.0
1040014,91.5,96.4,63.1,67.6,60.0
1040015,117.8,139.1,83.8,91.3,56.0
1040016,96.6,81.8,71.9,122.9,27.0
1040017,112.6,94.1,89.0,122.6,47.0
1040018,83.8,80.2,72.0,58.1,56.0
1040019,108.9,109.0,86.9,86.0,51.0
1040020,80.0,117.5,72.1,97.2,34.0
1040021,125.2,90.8,133.8,134.2,44.0
1040022,132.2,98.1,105.5,121.7,51.0
1040023,59.6,94.6,90.8,138.2,34.0
1040024,87.8,85.5,96.7,67.8,44.0
1040025,83.8,135.7,96.0,76.7,53.0
1040026,83.8,84.0,114.5,153.3,19.0
1040027,75.9,85.8,83.8,149.3,52.0
1040028,101.4,87.8,117.7,73.2,51.0
1040029,130.8,122.3,114.3,76.8,43.0
1040030,140.5,96.7,147.2,153.9,23.0
1040031,96.1,64.5,104.4,86.3,32.0
1040032,107.6,76.5,88.4,95.8,41.0
1040033,139.2,112.9,91.5,84.5,39.0
1040034,129.2,107.2,100.4,88.8,17.0
1040035,87.1,113.4,119.3,89.7,20.0
1040036,94.5,114.0,90.5,143.1,49.0
1040037,119.3,113.5,103.9,91.0,42.0
1040038,111.1,68.4,140.1,81.4,29.0
1040039,74.3,108.4,133.6,75.8,42.0
1040040,81.5,86.8,83.7,76.3,37.0
1040041,124.1,81.5,97.3,90.6,15.0
1040042,82.0,116.7,99.9,89.8,44.0
1040043,82.2,83.8,142.9,96.1,38.0
1040044,96.9,,101.2,124.8,87.0
1040045,92.3,102.9,108.9,68.0,36.0
1040046,78.0,123.4,114.4,52.9,57.0
1040047,85.6,137.8,93.7,47.4,24.0
1040048,94.3,105.9,95.6,130.9,70.0
1040049,82.4,81.8,99.8,125.5,33.0
1040050,110.3,70.2,108.3,106.8,51.0
1040051,43.9,102.4,111.7,87.3,42.0
1040052,113.8,98.9,110.9,114.0,53.0
1040053,122.7,90.4,123.4,115.9,21.0
1040054,114.1,80.2,97.0,137.1,70.0
1040055,45.0,96.0,68.8,68.8,70.0
1040056,83.0,125.6,88.2,139.1,33.0
1040057,101.3,99.0,94.3,101.9,36.0
1040058,124.0,72.9,93.2,99.8,58.0
1040059,104.6,116.1,105.1,84.5,35.0
1040060,98.2,133.2,62.6,98.5,65.0
1040061,86.6,142.3,45.3,74.4,49.0
1040062,104.7,79.7,157.3,88.3,62.0
1040063,107.6,86.6,97.2,113.6,49.0
1040064,66.7,155.5,100.8,61.7,27.0
1040065,88.1,57.9,133.2,74.8,18.0
1040066,136.6,121.0,76.6,110.8,60.0
1040067,79.2,61.4,73.5,91.5,41.0
1040068,123.1,122.6,56.6,108.6,37.0
1040069,135.0,105.6,78.0,96.6,57.0
1040070,117.9,48.6,99.5,138.5,46.0
1040071,86.3,112.1,106.1,145.3,17.0
1040072,120.0,117.2,75.7,112.1,16.0
1040073,93.8,88.7,117.6,100.5,55.0
1040074,90.9,92.8,95.6,104.8,40.0
1040075,83.1,87.8,86.2,88.8,63.0
1040076,75.6,85.5,105.4,92.7,58.0
1040077,107.3,87.0,128.1,127.4,33.0
1040078,94.6,93.4,97.9,114.1,57.0
1040079,105.0,77.5,99.1,83.2,33.0
1040080,97.9,68.6,51.6,114.7,60.0
1040081,111.4,102.7,67.2,115.5,43.0
1040082,78.4,99.4,118.5,92.7,66.0
1040083,125.1,90.7,137.1,125.6,45.0
1040084,74.7,129.4,96.7,106.3,52.0
1040085,109.1,141.9,92.8,105.1,46.0
1040086,93.4,93.2,103.9,101.2,32.0
1040087,84.9,111.2,71.3,68.4,57.0
1040088,90.0,98.3,95.2,115.4,68.0
1040089,105.2,135.2,69.2,102.6,49.0
1040090,78.1,124.3,43.9,129.3,52.0
1040091,81.2,87.2,86.1,87.5,34.0
1040092,125.9,80.9,91.5,70.0,11.0
1040093,97.8,124.3,114.8,95.7,58.0
1040094,97.9,,126.2,91.0,58.0
1040095,60.8,118.6,78.6,142.1,33.0
1040096,76.8,108.3,52.2,106.9,36.0
1040097,105.8,107.4,126.4,68.5,22.0
1040098,83.4,101.0,107.4,147.8,43.0
1040099,121.3,127.3,50.9,112.7,58.0
1040100,103.3,130.2,124.3,99.0,48.0
1040101,61.1,133.1,81.3,92.5,40.0
1040102,114.0,121.5,115.1,97.2,43.0
1040103,95.4,82.1,94.6,157.3,23.0
1040104,42.7,80.6,61.0,121.5,47.0
1040105,120.6,96.4,68.1,93.6,30.0
1040106,134.6,84.4,92.8,92.9,57.0
1040107,121.4,104.5,139.2,97.7,51.0
1040108,113.1,65.0,104.2,113.7,51.0
1040109,91.0,95.8,114.0,89.9,67.0
1040110,116.2,144.8,75.1,79.1,10.0
1040111,106.0,67.7,136.9,113.3,35.0
1040112,130.6,74.2,94.2,117.9,59.0
1040113,112.6,108.7,114.8,37.3,53.0
1040114,105.9,112.1,130.2,82.9,31.0
1040115,110.2,100.7,143.1,158.1,43.0
1040116,92.0,94.9,144.0,81.9,74.0
1040117,100.1,135.4,107.7,71.5,46.0
1040118,183.8,98.2,145.5,50.8,44.0
1040119,110.9,83.4,42.4,101.0,39.0
1040120,52.1,75.0,113.7,131.6,44.0
1040121,66.6,60.7,86.5,53.5,49.0
1040122,124.8,120.9,71.6,76.5,24.0
1040123,94.5,130.9,52.4,45.2,39.0
1040124,94.4,104.0,89.4,148.8,37.0
1040125,89.7,65.6,80.2,132.9,46.0
1040126,80.3,81.0,136.8,128.0,29.0
1040127,67.6,88.6,62.7,86.6,66.0
1040128,138.9,117.3,91.7,105.3,50.0
1040129,120.3,103.7,115.7,133.8,39.0
1040130,87.0,95.8,125.9,111.7,23.0
1040131,133.6,99.2,96.1,41.4,38.0
1040132,135.8,128.0,101.9,136.6,45.0
1040133,73.1,87.3,108.0,66.0,43.0
1040134,55.0,87.5,118.2,103.3,35.0
1040135,84.7,119.2,104.1,125.0,20.0
1040136,101.7,85.2,80.7,115.4,41.0
1040137,137.5,68.1,124.1,86.4,55.0
1040138,122.1,78.6,123.4,128.4,10.0
1040139,107.3,108.1,118.5,88.4,55.0
1040140,120.5,73.5,100.1,106.9,35.0
1040141,126.4,101.8,138.9,135.6,57.0
1040142,82.2,53.0,100.1,98.1,46.0
1040143,84.3,147.2,138.6,124.1,34.0
1040144,104.9,105.5,68.5,122.1,31.0
1040145,76.1,87.2,88.2,146.6,72.0
1040146,80.9,107.8,101.5,105.5,48.0
1040147,109.7,79.7,130.8,73.3,46.0
1040148,128.8,111.0,96.6,85.1,31.0
1040149,102.5,82.2,86.6,149.9,43.0
1040150,78.9,81.4,115.8,123.8,52.0
1040151,100.6,71.0,87.0,74.1,27.0
1040152,116.8,115.0,90.1,91.6,68.0
1040153,60.9,85.3,115.3,97.8,54.0
1040154,89.2,94.2,98.7,116.9,41.0
1040155,149.2,130.4,98.5,133.6,10.0
1040156,79.4,98.7,117.9,126.5,21.0
1040157,84.8,112.2,99.9,134.6,50.0
1040158,45.0,102.5,118.5,117.6,10.0
1040159,66.6,126.9,105.2,46.8,38.0
1040160,140.3,112.0,95.2,117.0,40.0
1040161,83.8,86.5,87.0,100.5,56.0
1040162,73.4,88.2,115.8,104.3,67.0
1040163,78.3,87.2,75.9,106.5,60.0
1040164,54.7,73.3,102.5,96.2,38.0
1040165,111.9,91.8,115.8,78.7,52.0
1040166,80.4,108.7,102.6,50.9,30.0
1040167,72.8,96.2,65.7,120.6,34.0
1040168,64.3,54.4,118.3,94.2,39.0
1040169,83.8,60.9,76.5,74.9,46.0
1040170,78.3,128.5,97.3,93.5,41.0
1040171,126.1,65.9,92.4,62.7,59.0
1040172,114.7,119.9,78.5,99.2,54.0
1040173,111.2,115.0,61.6,113.5,24.0
1040174,119.0,147.8,91.2,116.5,32.0
1040175,114.0,121.6,135.5,122.5,37.0
1040176,102.0,116.0,46.4,75.9,60.0
1040177,117.4,86.5,96.2,102.9,41.0
1040178,98.3,109.6,99.5,121.8,39.0
1040179,136.7,125.7,100.0,84.3,53.0
1040180,123.6,112.1,57.0,138.7,48.0
1040181,104.2,87.9,90.1,150.2,22.0
1040182,53.9,88.0,98.4,127.8,68.0
1040183,75.8,145.8,75.2,99.8,31.0
1040184,103.6,136.9,68.9,110.0,65.0
1040185,65.7,100.9,109.4,68.8,54.0
1040186,99.8,112.1,105.7,93.9,42.0
1040187,120.3,108.8,129.4,105.6,54.0
1040188,78.2,92.3,92.9,80.9,44.0
1040189,65.0,112.0,96.5,107.2,16.0
1040190,121.3,139.4,103.0,105.3,20.0
1040191,95.0,98.1,89.2,65.6,3.0
1040192,108.4,118.6,89.1,132.1,19.0
1040193,79.0,131.4,77.8,144.2,44.0
1040194,143.8,79.0,57.4,94.7,38.0
1040195,130.2,134.3,93.1,79.0,25.0
1040196,97.2,98.3,70.6,124.8,32.0
1040197,142.7,73.3,55.2,95.6,27.0
1040198,97.7,133.3,133.9,98.3,40.0
1040199,123.2,144.7,120.8,46.8,35.0
1040200,116.4,83.8,87.5,150.0,45.0
1040201,59.6,,121.3,74.7,25.0
1040202,96.1,61.8,134.8,111.5,20.0
1040203,90.8,79.6,129.4,101.2,46.0
1040204,79.0,144.0,69.4,85.0,44.0
1040205,87.5,92.8,92.0,100.2,21.0
1040206,119.3,120.8,80.4,126.4,30.0
1040207,104.6,,93.2,126.7,16.0
1040208,84.2,73.3,95.7,146.3,57.0
1040209,69.7,109.0,92.3,100.5,71.0
1040210,119.6,89.9,96.0,106.7,58.0
1040211,94.8,64.5,125.7,140.7,42.0
1040212,102.8,64.4,93.0,50.1,54.0
1040213,119.8,133.2,100.1,85.3,49.0
1040214,122.0,92.2,153.3,123.4,51.0
1040215,101.3,114.5,77.1,112.3,15.0
1040216,98.1,143.4,126.3,106.7,61.0
1040217,71.3,119.3,94.4,128.7,31.0
1040218,54.8,89.1,83.7,152.1,32.0
1040219,114.4,88.3,126.2,89.9,61.0
1040220,118.2,79.9,107.3,99.1,64.0
1040221,114.5,76.6,105.2,95.0,22.0
1040222,89.8,98.0,50.3,67.8,68.0
1040223,95.6,89.9,70.6,91.1,57.0
1040224,92.0,106.5,104.3,93.8,28.0
1040225,56.6,78.5,140.3,110.9,26.0
1040226,99.1,109.8,80.6,78.4,48.0
1040227,158.3,69.5,90.3,62.7,24.0
1040228,70.3,95.7,71.6,110.9,75.0
1040229,81.6,74.6,61.5,81.9,54.0
1040230,97.0,123.0,88.7,89.8,60.0
1040231,96.7,101.7,84.9,83.8,40.0
1040232,60.8,139.9,94.7,125.2,43.0
1040233,90.1,150.6,125.3,104.3,43.0
1040234,93.6,54.8,98.1,84.5,52.0
1040235,55.1,132.2,103.5,106.7,42.0
1040236,54.9,57.0,107.6,109.5,25.0
1040237,120.1,123.5,91.7,116.4,46.0
1040238,94.1,119.7,153.9,111.0,55.0
1040239,94.5,111.6,69.2,134.3,39.0
1040240,100.8,82.3,117.3,118.1,37.0
1040241,80.9,128.7,67.6,66.3,43.0
1040242,63.7,104.8,74.5,106.5,58.0
1040243,78.5,88.7,74.1,111.1,39.0
1040244,123.4,55.2,87.7,137.7,61.0
1040245,102.1,111.1,106.4,126.4,40.0
1040246,68.9,131.3,82.4,96.1,30.0
1040247,154.7,117.7,103.0,146.1,38.0
1040248,78.9,138.6,105.3,113.8,49.0
1040249,81.6,147.2,129.3,125.7,45.0
1040250,116.7,71.1,121.5,71.5,42.0
1040251,112.7,90.2,132.1,132.5,52.0
1040252,167.1,122.3,118.3,50.6,37.0
1040253,113.2,78.3,126.2,157.1,26.0
1040254,118.0,73.6,118.6,117.1,53.0
1040255,68.3,133.2,67.9,112.3,33.0
1040256,102.6,100.8,87.7,95.7,46.0
1040257,94.0,92.5,75.2,129.5,25.0
1040258,77.4,113.1,99.0,112.6,45.0
1040259,98.9,73.9,74.8,82.4,30.0
1040260,105.2,114.8,117.2,144.2,46.0
1040261,148.9,108.5,47.7,71.2,37.0
1040262,136.5,93.1,124.5,110.7,44.0
1040263,113.4,115.6,36.3,96.7,38.0
1040264,92.9,96.9,89.7,132.4,29.0
1040265,112.2,74.3,93.2,98.1,37.0
1040266,137.7,83.9,132.0,90.4,37.0
1040267,71.7,123.6,133.0,84.6,44.0
1040268,96.7,108.7,93.6,80.6,13.0
1040269,50.7,52.4,104.7,91.3,22.0
1040270,124.6,124.3,81.0,44.1,46.0
1040271,109.1,126.6,66.4,69.0,36.0
1040272,127.4,108.6,103.4,82.4,8.0
