ItemID,StockLevel,UnitCost,LeadTime_Days,MonthlySales,TurnoverRate
1050001,51.0,431.0,470.7,275.7,361.4
1050002,173.4,190.6,467.1,142.4,491.3
1050003,431.1,185.0,417.0,211.4,472.9
1050004,61.8,214.8,158.8,179.0,177.3
1050005,272.5,426.5,227.9,428.9,370.5
1050006,41.2,28.8,227.1,241.7,285.6
1050007,155.4,161.4,239.5,268.2,149.5
1050008,11.1,350.2,406.7,281.8,238.9
1050009,231.0,83.8,439.0,461.3,103.8
1050010,443.0,385.7,347.2,352.7,47.5
1050011,292.8,303.2,409.8,266.9,77.8
1050012,132.0,10.6,90.3,416.7,218.3
1050013,177.4,281.9,28.7,10.3,141.3
1050014,44.4,344.7,488.2,205.5,182.1
1050015,273.9,151.1,363.7,79.7,443.8
1050016,267.5,34.7,376.3,322.1,251.8
1050017,411.2,252.4,42.1,342.3,79.4
1050018,346.3,415.5,37.4,299.4,323.1
1050019,319.2,243.9,56.1,229.5,152.6
1050020,191.5,78.2,256.8,352.5,15.9
1050021,272.7,300.7,426.5,414.2,443.8
1050022,94.8,151.2,344.1,146.9,166.1
1050023,91.3,102.5,81.9,140.8,246.8
1050024,64.1,391.0,10.4,91.4,153.4
1050025,169.7,442.6,39.5,367.8,216.6
1050026,449.7,10.3,359.9,299.7,79.0
1050027,278.7,117.0,397.2,158.6,198.4
1050028,128.3,166.6,354.5,332.9,244.0
1050029,170.7,138.2,144.5,338.1,109.5
1050030,298.6,71.9,388.3,173.5,22.7
1050031,399.6,225.6,318.0,393.1,145.9
1050032,245.8,348.1,488.4,100.8,141.8
1050033,292.3,387.1,106.1,90.3,457.1
1050034,299.2,114.8,154.0,147.0,202.8
1050035,401.0,241.9,499.8,95.6,68.5
1050036,391.3,125.7,224.5,387.4,449.1
1050037,336.7,177.3,321.4,195.8,159.7
1050038,260.5,424.1,331.5,83.7,96.2
1050039,272.8,262.7,481.1,114.2,263.1
1050040,94.9,35.2,475.0,206.4,219.9
1050041,341.1,204.3,12.3,491.9,69.9
1050042,455.0,242.8,227.7,310.6,172.0
1050043,272.4,389.9,36.2,153.9,469.3
1050044,100.3,244.8,42.7,313.7,223.2
1050045,54.8,91.4,413.3,398.8,229.1
1050046,289.8,242.4,349.3,88.2,169.0
1050047,414.1,433.0,188.5,246.3,20.2
1050048,87.0,204.0,453.9,159.7,24.1
1050049,332.8,173.7,214.1,273.3,180.5
1050050,55.0,499.4,408.7,48.0,473.6
1050051,,26.8,193.5,63.4,54.3
1050052,56.9,51.4,207.8,222.2,202.9
1050053,220.4,268.0,293.0,318.8,53.2
1050054,317.2,271.5,145.2,432.0,414.9
1050055,387.5,140.2,115.7,244.7,338.6
1050056,241.9,147.5,134.5,373.8,50.6
1050057,147.0,248.0,181.4,253.9,11.1
1050058,131.7,304.9,151.7,39.7,213.4
1050059,57.9,252.6,238.4,389.3,464.8
1050060,379.7,114.9,499.0,272.3,442.9
1050061,267.3,25.5,55.8,30.9,223.6
1050062,402.5,492.0,126.2,271.1,10.4
1050063,160.5,36.2,201.2,300.5,293.8
1050064,313.4,410.1,230.7,148.8,163.6
1050065,499.6,169.6,485.1,164.2,91.1
1050066,376.5,201.6,221.3,78.4,30.3
1050067,273.9,20.9,240.4,149.3,194.4
1050068,217.4,402.0,243.6,25.3,234.6
1050069,19.6,289.7,494.0,393.9,302.2
1050070,409.5,211.7,206.2,140.5,289.4
1050071,57.0,372.5,23.8,321.0,478.7
1050072,,417.2,275.1,178.9,266.5
1050073,124.0,435.7,437.8,466.9,498.6
1050074,192.7,371.0,135.9,193.8,199.2
1050075,61.4,363.9,267.0,445.2,102.4
1050076,315.1,117.2,378.6,267.8,333.6
1050077,177.4,240.6,346.8,90.2,151.9
1050078,491.2,437.7,97.5,409.1,367.6
1050079,230.1,131.4,372.8,303.0,392.9
1050080,225.2,300.3,156.8,316.7,372.6
1050081,164.7,102.6,187.1,354.0,37.2
1050082,237.8,495.5,109.2,70.2,276.6
1050083,278.9,256.1,265.3,231.8,304.1
1050084,241.8,203.8,219.0,32.1,408.8
1050085,477.4,84.7,430.0,151.2,45.3
1050086,244.3,237.3,328.3,153.6,499.1
1050087,154.5,215.1,296.1,18.8,132.4
1050088,311.8,461.3,476.0,42.7,470.6
1050089,262.7,182.6,191.3,358.9,359.0
1050090,164.0,271.4,317.3,473.4,284.8
1050091,278.3,230.1,16.5,411.6,231.9
1050092,237.5,407.2,129.5,133.2,146.5
1050093,125.4,256.4,434.0,180.5,458.5
1050094,468.3,159.4,213.1,498.5,203.5
1050095,243.6,116.4,259.6,484.0,185.5
1050096,333.9,93.3,135.9,61.5,151.4
1050097,242.6,92.1,334.2,406.0,190.8
1050098,97.3,90.8,431.9,360.3,420.7
1050099,39.7,469.2,208.2,69.3,214.9
1050100,376.4,155.9,298.1,147.6,380.3
1050101,302.1,126.1,396.6,437.8,272.9
1050102,306.1,360.9,186.5,82.8,481.0
1050103,304.3,203.5,321.0,396.9,193.0
1050104,381.4,320.4,180.0,329.6,491.9
1050105,111.7,147.4,104.9,75.8,439.9
1050106,66.7,94.3,148.4,476.6,480.7
