DayID,AQI,PM25_Density,Temperature,RespiratoryAdmissions,RiskLevel
1060001,14.2,216.5,295.2,484.6,Medium
1060002,477.6,80.1,223.9,357.8,Low
1060003,230.3,98.3,297.1,431.1,Low
1060004,309.0,286.5,124.9,173.6,High
1060005,427.5,303.4,243.7,290.1,Low
1060006,372.0,124.7,106.3,345.6,High
1060007,487.5,17.5,97.5,10.5,Low
1060008,430.2,203.1,296.6,236.9,High
1060009,429.2,215.2,236.5,279.5,Low
1060010,431.2,392.2,109.5,121.3,Low
1060011,182.6,406.8,360.5,254.5,Medium
1060012,113.9,465.1,62.6,388.1,Low
1060013,392.4,137.8,448.0,209.4,High
1060014,450.7,465.0,474.7,286.0,Low
1060015,33.4,255.6,357.2,413.7,Medium
1060016,77.3,56.4,184.2,38.9,Low
1060017,96.4,135.3,478.4,496.7,Low
1060018,28.0,342.1,18.0,144.9,Medium
1060019,260.1,342.4,186.8,213.7,Medium
1060020,385.9,165.0,102.0,69.9,Medium
1060021,247.5,189.1,418.0,105.2,Medium
1060022,112.7,383.3,64.8,161.6,Medium
1060023,215.2,431.7,290.1,455.5,High
1060024,286.4,93.2,415.3,252.4,Low
1060025,201.8,64.5,353.0,180.6,Low
1060026,261.6,209.5,190.4,479.2,High
1060027,351.1,290.9,141.5,483.9,High
1060028,498.0,233.7,212.8,139.9,Low
1060029,307.7,441.7,94.7,201.2,Medium
1060030,411.7,149.9,326.6,453.4,Low
1060031,114.3,439.7,222.2,374.7,High
1060032,149.5,352.7,288.0,374.2,Medium
1060033,226.1,293.9,258.4,215.6,Medium
1060034,191.0,458.6,404.3,143.5,Low
1060035,57.0,244.6,110.0,41.3,Medium
1060036,140.8,313.0,77.0,110.9,High
1060037,115.1,237.0,221.6,226.6,Low
1060038,408.8,455.3,231.0,167.5,High
1060039,464.6,493.0,142.9,336.9,High
1060040,239.1,392.3,386.6,458.8,Low
1060041,27.7,337.3,334.0,172.2,Low
1060042,321.0,314.7,44.1,158.1,Low
1060043,412.8,208.2,353.1,495.9,Medium
1060044,145.2,468.3,267.5,305.1,Medium
1060045,267.2,495.4,394.4,369.1,Medium
1060046,98.8,49.4,277.7,349.2,Low
1060047,189.7,429.0,352.1,307.6,Low
1060048,264.7,373.1,299.8,439.2,Medium
1060049,302.1,24.2,470.6,393.3,Medium
1060050,414.6,449.4,61.1,263.6,Low
1060051,29.3,201.0,455.5,328.8,Low
1060052,321.2,212.4,429.0,201.9,High
1060053,443.4,460.0,14.3,354.6,Medium
1060054,464.5,203.5,132.6,210.2,Medium
1060055,269.8,106.9,304.0,152.1,High
1060056,382.9,204.1,485.6,14.4,Low
1060057,452.8,34.4,157.7,414.7,Medium
1060058,38.5,231.2,320.5,389.5,High
1060059,229.0,295.6,248.3,179.9,High
1060060,273.4,441.8,311.8,361.5,Low
1060061,122.0,436.9,214.7,472.1,Medium
1060062,288.7,252.3,381.9,374.0,High
1060063,110.5,,55.7,219.5,Medium
1060064,345.3,,134.5,367.7,High
1060065,113.6,354.0,208.7,461.3,Low
1060066,221.3,151.4,41.2,107.6,Low
1060067,278.4,121.3,386.7,375.4,High
1060068,209.0,54.1,430.3,266.7,High
1060069,284.5,274.8,457.9,446.6,High
1060070,127.8,416.2,176.9,123.8,High
1060071,97.4,382.7,404.3,423.4,Low
1060072,198.9,230.7,410.5,325.2,Low
1060073,51.2,288.3,38.5,411.6,High
1060074,377.0,479.6,133.3,36.1,High
1060075,157.7,102.2,382.7,46.8,High
1060076,94.5,494.8,337.4,223.7,High
1060077,393.8,443.9,439.4,39.4,Low
1060078,347.8,455.5,66.1,162.7,Low
1060079,125.9,448.4,219.1,20.2,High
