UserID,WatchTime_Mins,BufferCount,SpeedMbps,SubscriptionType,Retained
1070001,89.7,439.1,233.5,Family,1
1070002,379.8,117.5,,Basic,1
1070003,286.1,297.1,51.3,Basic,1
1070004,120.4,398.5,78.6,Premium,1
1070005,177.2,411.4,117.0,Basic,1
1070006,84.7,132.1,338.7,Family,1
1070007,179.1,281.4,233.0,Premium,0
1070008,30.4,228.4,415.1,Family,0
1070009,131.5,58.6,97.1,Family,1
1070010,303.9,426.2,383.4,Family,0
1070011,485.8,256.5,227.0,Basic,0
1070012,354.0,69.5,185.2,Family,0
1070013,362.8,477.9,40.0,Premium,1
1070014,106.8,437.8,187.2,Premium,1
1070015,252.9,499.3,439.8,Basic,1
1070016,112.6,44.7,318.4,Family,1
1070017,396.9,269.2,100.5,Family,1
1070018,411.0,57.7,158.5,Family,1
1070019,74.9,231.7,56.0,Premium,1
1070020,463.7,126.3,234.1,Premium,1
1070021,53.8,369.3,482.4,Premium,1
1070022,279.2,203.4,396.0,Premium,0
1070023,50.0,453.1,399.9,Basic,1
1070024,235.6,206.0,,Family,0
1070025,198.7,418.0,144.6,Basic,0
1070026,249.4,242.6,391.8,Premium,1
1070027,242.2,446.5,136.0,Premium,0
1070028,136.4,401.3,68.5,Basic,0
1070029,498.0,358.3,464.2,Family,0
1070030,198.4,251.4,369.8,Premium,1
1070031,221.0,237.8,342.1,Premium,0
1070032,459.1,463.5,51.9,Family,1
1070033,467.3,391.1,182.9,Basic,0
1070034,483.0,151.4,295.7,Family,0
1070035,267.4,250.9,113.7,Family,0
1070036,450.0,38.3,200.2,Premium,1
1070037,270.0,122.2,282.8,Premium,0
1070038,305.2,259.6,64.6,Family,1
1070039,358.4,81.3,139.9,Family,0
1070040,493.6,202.5,179.8,Family,0
1070041,170.4,64.3,386.6,Family,0
1070042,346.9,349.2,478.3,Basic,0
1070043,468.5,410.1,477.3,Family,0
1070044,33.0,259.6,112.3,Premium,1
1070045,277.0,14.9,416.2,Basic,1
1070046,352.1,133.8,72.2,Premium,1
1070047,143.2,37.8,260.6,Premium,0
1070048,451.1,419.0,28.5,Basic,0
1070049,186.6,459.3,97.4,Premium,1
1070050,470.8,376.8,345.2,Family,0
1070051,313.1,476.6,494.8,Basic,0
1070052,340.6,73.9,209.1,Family,1
1070053,53.5,333.8,238.7,Family,0
1070054,361.9,273.7,357.3,Basic,0
1070055,185.0,323.3,467.4,Basic,1
1070056,64.8,68.7,225.2,Basic,1
1070057,223.7,130.7,467.3,Family,0
1070058,400.0,190.3,272.4,Premium,1
1070059,272.6,77.0,352.7,Family,1
1070060,130.6,76.1,118.6,Premium,0
1070061,188.4,103.7,65.5,Basic,1
1070062,199.2,23.0,373.2,Basic,0
1070063,88.6,338.7,399.4,Family,0
1070064,184.9,433.8,375.0,Basic,0
1070065,38.7,48.8,477.1,Premium,1
1070066,240.5,297.9,371.9,Premium,1
1070067,313.4,378.0,294.2,Basic,1
1070068,95.1,163.6,268.4,Basic,1
1070069,193.5,95.0,24.0,Premium,0
1070070,42.4,181.6,39.3,Family,0
1070071,263.9,142.7,468.7,Premium,1
1070072,402.2,113.2,224.4,Basic,0
1070073,141.0,341.6,388.3,Premium,1
1070074,484.6,476.3,315.9,Premium,0
1070075,23.6,474.8,80.4,Basic,0
1070076,347.4,426.0,318.9,Premium,1
1070077,19.9,490.8,38.5,Premium,1
1070078,160.1,150.3,106.5,Family,1
1070079,151.7,241.7,482.3,Premium,0
1070080,406.8,11.5,28.0,Premium,0
1070081,366.9,246.3,161.3,Premium,1
1070082,455.5,321.7,82.1,Premium,1
