TransactionID,ItemCount,FreshProduce_Percent,CouponUsed,PaymentMethod,TotalSpend
1090001,309.6,431.2,1,247.4,385.6
1090002,250.8,454.6,0,189.9,90.5
1090003,352.6,463.7,1,99.5,231.6
1090004,105.3,443.4,0,409.7,375.5
1090005,389.7,269.9,1,394.3,363.6
1090006,356.9,211.2,1,219.3,357.9
1090007,188.9,392.0,0,143.9,443.8
1090008,486.3,87.4,1,352.6,251.6
1090009,55.6,188.0,0,267.2,108.2
1090010,212.7,465.1,1,393.0,20.8
1090011,39.9,372.8,1,343.0,252.9
1090012,156.6,48.2,1,480.1,51.1
1090013,498.1,29.0,1,160.6,146.3
1090014,461.5,225.5,1,491.3,477.3
1090015,231.8,180.3,0,76.1,350.8
1090016,460.4,234.8,0,97.0,394.1
1090017,152.8,368.5,1,117.7,300.1
1090018,284.6,78.3,0,18.0,249.9
1090019,235.0,385.8,0,140.6,349.5
1090020,18.9,200.8,1,187.4,477.7
1090021,474.9,461.8,1,382.9,19.0
1090022,162.3,334.2,1,164.8,157.6
1090023,422.4,448.7,1,187.0,74.4
1090024,21.0,307.9,0,138.9,259.7
1090025,294.7,324.9,1,349.4,426.7
1090026,306.0,462.4,1,260.0,290.6
1090027,425.6,284.3,0,301.6,56.6
1090028,164.3,54.1,0,166.7,12.3
1090029,472.4,369.0,0,36.8,246.8
1090030,373.1,144.0,0,357.8,437.0
1090031,452.1,407.0,1,41.7,63.3
1090032,434.7,13.4,1,137.3,417.1
1090033,451.5,305.6,1,186.5,247.7
1090034,364.5,347.3,1,251.1,139.4
1090035,268.3,36.2,0,250.3,165.2
1090036,384.9,60.9,0,122.5,419.2
1090037,118.3,219.2,1,89.9,173.1
1090038,376.8,333.8,0,382.8,458.2
1090039,386.7,266.8,0,145.9,211.6
1090040,195.5,446.6,1,35.1,473.5
1090041,189.1,159.6,1,280.1,492.0
1090042,408.5,308.6,1,451.1,371.4
1090043,78.2,445.3,1,206.5,395.1
1090044,318.4,192.6,1,285.9,88.3
1090045,462.1,433.5,1,485.2,441.9
1090046,151.2,104.8,1,369.9,149.8
1090047,494.1,21.3,0,129.2,64.0
1090048,55.5,178.5,0,373.2,235.7
1090049,362.7,443.1,0,13.2,147.9
1090050,474.2,67.9,0,92.7,263.7
1090051,335.6,498.2,0,176.4,324.0
1090052,55.8,30.3,0,63.3,109.3
1090053,493.5,208.8,1,63.6,256.2
1090054,260.1,349.6,0,227.0,67.6
1090055,83.5,55.2,1,462.5,487.5
1090056,260.2,495.4,0,369.4,457.1
1090057,275.6,414.3,0,348.7,256.9
1090058,12.4,195.6,0,461.4,25.7
1090059,162.6,231.7,1,183.2,67.7
1090060,45.2,254.2,0,269.7,340.5
1090061,200.1,220.3,1,260.7,215.8
1090062,302.4,394.5,1,102.6,434.2
1090063,395.3,23.5,0,239.4,446.0
1090064,315.6,103.8,1,110.7,494.7
1090065,201.8,212.4,1,346.0,102.7
1090066,438.0,386.6,0,392.8,26.7
1090067,459.7,34.5,0,77.2,391.0
1090068,150.7,181.0,1,359.2,59.9
1090069,414.8,225.7,0,159.0,383.3
1090070,88.6,17.7,0,461.6,120.0
1090071,401.7,336.0,1,338.7,417.5
1090072,379.4,313.7,0,379.6,40.1
1090073,223.2,26.7,1,88.3,228.6
1090074,403.7,166.7,0,395.1,466.3
1090075,495.7,221.1,1,298.9,388.1
