CartID,TotalItems,ShippingCostRatio,EasyPaymentUsed,SessionDuration_Secs,CartAbandoned
1120001,136.9,30.3,133.6,41.8,0
1120002,67.1,37.0,105.4,72.4,1
1120003,114.6,38.9,75.6,68.4,1
1120004,112.1,43.1,140.0,17.7,1
1120005,108.5,12.4,125.5,26.2,0
1120006,114.8,53.7,130.6,33.4,0
1120007,82.5,47.5,146.7,35.7,0
1120008,93.2,58.2,115.9,34.7,1
1120009,87.3,58.8,141.8,51.4,1
1120010,126.2,35.2,64.2,73.1,1
1120011,131.8,72.7,104.6,47.7,0
1120012,86.4,28.8,134.7,47.8,1
1120013,102.4,37.3,132.8,13.0,0
1120014,78.7,41.3,85.4,52.4,1
1120015,87.4,64.5,94.0,31.4,1
1120016,79.7,65.9,102.8,47.6,1
1120017,97.0,59.7,96.9,31.4,0
1120018,91.8,40.8,79.2,68.9,1
1120019,117.9,45.6,117.4,54.4,0
1120020,112.5,59.5,70.5,39.5,1
1120021,77.8,46.1,101.8,28.7,1
1120022,114.9,37.3,84.0,63.9,0
1120023,99.4,40.9,103.2,38.6,1
1120024,102.7,41.1,77.6,72.8,0
1120025,140.0,50.7,106.8,20.4,1
1120026,100.5,43.1,87.9,29.3,1
1120027,128.6,27.6,66.6,64.1,0
1120028,123.7,76.2,83.0,43.7,0
1120029,117.0,31.9,111.7,60.8,1
1120030,81.5,50.0,84.3,34.0,0
1120031,104.6,51.7,116.4,44.8,0
1120032,82.6,35.6,77.2,63.3,1
1120033,62.9,57.3,102.2,51.8,1
1120034,89.6,49.8,136.0,59.9,0
1120035,155.0,36.4,110.2,30.0,1
1120036,135.1,46.4,88.6,42.8,1
1120037,70.2,56.4,117.6,14.5,0
1120038,104.1,60.5,96.5,16.7,0
1120039,79.3,47.0,76.1,62.8,1
1120040,107.0,39.5,106.3,50.6,1
1120041,99.7,32.0,66.1,33.0,0
1120042,74.5,28.3,92.9,54.3,0
1120043,105.1,11.4,70.4,30.1,1
1120044,98.7,60.9,76.2,73.5,1
1120045,92.9,64.8,86.9,57.3,0
1120046,103.4,58.4,131.5,25.5,0
1120047,92.2,55.5,88.2,38.2,1
1120048,107.4,56.3,98.4,55.4,1
1120049,127.5,59.6,108.4,20.3,0
1120050,113.7,52.2,69.2,16.0,0
1120051,98.8,32.2,81.2,44.8,1
1120052,60.4,25.5,79.8,75.6,1
1120053,92.3,49.3,125.4,21.4,0
1120054,97.7,81.6,123.0,52.9,0
1120055,86.0,48.0,79.3,25.0,1
1120056,86.5,45.4,118.0,42.4,1
1120057,67.0,31.8,105.0,59.0,1
1120058,88.1,50.7,100.9,17.1,0
1120059,62.0,53.4,89.8,63.8,1
1120060,98.0,44.2,85.5,57.8,1
1120061,100.0,52.7,86.6,44.7,0
1120062,79.9,57.5,82.5,41.6,0
1120063,103.0,50.1,63.5,41.0,1
1120064,87.1,48.1,93.8,25.8,1
1120065,91.6,55.1,136.5,46.2,0
1120066,143.3,67.6,121.6,68.9,1
1120067,95.8,23.7,118.3,61.9,1
1120068,90.1,61.4,123.1,28.4,0
1120069,77.7,66.6,88.9,26.2,0
1120070,79.5,71.6,89.1,52.0,1
1120071,84.0,42.3,103.3,15.7,0
1120072,84.8,49.7,69.2,55.4,0
1120073,76.3,51.4,94.3,52.2,1
1120074,112.4,38.5,120.5,21.4,0
1120075,149.8,44.6,81.3,55.3,1
1120076,94.0,55.4,98.4,48.6,1
1120077,88.0,47.5,100.4,37.8,0
1120078,67.1,49.2,128.1,31.1,0
1120079,85.2,55.3,89.8,50.2,1
1120080,85.4,59.8,109.6,30.3,1
1120081,132.6,61.7,90.3,36.8,1
1120082,72.2,14.5,98.3,58.4,1
1120083,96.6,52.2,102.8,47.1,1
1120084,125.8,25.0,97.9,64.4,1
1120085,113.7,31.7,98.0,47.2,1
1120086,123.7,57.5,84.2,42.1,1
1120087,84.3,43.6,123.9,55.3,1
1120088,120.0,57.8,111.9,60.2,1
1120089,71.1,53.1,123.8,36.9,1
1120090,106.1,,164.9,56.3,0
1120091,109.8,73.7,101.5,47.2,1
1120092,89.5,39.4,84.0,48.8,0
1120093,110.7,55.9,129.5,51.5,1
1120094,82.3,30.0,141.8,48.2,0
1120095,67.8,54.3,112.6,60.2,0
1120096,92.5,47.2,86.5,36.0,1
1120097,101.3,41.9,90.0,45.3,1
1120098,70.5,59.9,103.9,36.9,1
1120099,90.7,28.0,91.8,34.6,1
1120100,76.0,38.3,72.5,50.7,1
1120101,62.0,53.1,139.3,32.3,0
1120102,128.4,33.2,126.5,48.8,1
1120103,113.8,38.5,113.0,56.6,0
1120104,97.7,41.1,106.3,42.7,1
1120105,89.1,37.3,116.8,32.7,1
1120106,86.8,59.4,108.2,53.2,1
1120107,74.5,34.2,116.1,38.7,0
1120108,100.9,35.0,112.0,46.3,1
1120109,113.9,69.1,118.4,33.6,0
1120110,98.3,36.4,95.6,31.9,1
1120111,109.8,60.7,98.0,65.1,1
1120112,129.1,51.9,97.7,27.2,0
1120113,92.9,68.4,65.3,58.1,1
1120114,137.0,40.7,92.8,31.8,0
1120115,84.7,47.9,111.5,42.1,0
1120116,108.4,22.9,85.6,55.5,0
1120117,55.2,22.3,118.4,65.9,1
1120118,98.2,45.0,43.8,49.6,1
1120119,87.1,12.3,74.8,35.6,1
1120120,52.9,19.0,91.0,55.0,1
1120121,108.8,37.1,76.7,42.6,1
1120122,68.8,19.5,117.7,41.3,0
1120123,40.7,63.2,114.8,28.3,1
1120124,78.0,44.8,61.0,86.9,0
1120125,109.6,74.8,106.2,49.7,0
1120126,136.2,,132.6,56.8,1
1120127,144.1,49.0,130.5,76.3,1
1120128,125.2,43.7,91.5,44.0,0
1120129,83.1,69.3,77.4,26.8,0
1120130,97.3,34.5,84.9,49.8,1
1120131,109.8,20.7,153.6,86.1,1
1120132,105.9,37.3,118.3,40.3,1
1120133,61.2,53.4,86.9,23.1,0
1120134,113.0,58.9,118.2,58.6,0
1120135,132.0,63.4,132.3,57.0,1
1120136,47.2,51.6,79.5,48.6,1
1120137,116.0,66.9,101.6,36.3,1
1120138,76.1,31.4,112.1,65.9,1
1120139,136.8,79.6,122.6,42.5,0
1120140,115.9,56.0,89.6,38.1,0
1120141,114.6,42.1,76.0,14.4,0
1120142,93.5,42.1,103.0,56.0,1
1120143,109.6,65.5,98.0,36.6,1
1120144,103.0,64.4,81.9,34.1,0
1120145,107.5,76.1,90.9,44.0,0
1120146,117.9,23.7,124.8,38.1,0
1120147,88.9,71.4,135.2,39.0,0
1120148,63.7,79.7,64.4,50.6,0
1120149,92.9,24.9,66.4,41.0,1
1120150,144.6,42.7,97.0,15.8,0
1120151,52.5,37.7,53.6,52.9,1
1120152,98.9,26.2,114.5,18.7,0
1120153,101.2,26.2,62.5,22.6,0
1120154,80.0,55.3,61.0,59.1,1
1120155,153.6,37.2,103.5,26.4,1
1120156,112.2,31.3,67.4,53.1,0
1120157,124.0,38.7,71.9,49.6,1
1120158,84.0,64.2,122.3,33.5,1
1120159,133.8,47.0,104.9,50.6,1
1120160,77.7,54.5,102.7,62.7,1
1120161,122.1,43.0,53.5,11.0,0
1120162,164.3,33.3,109.7,53.5,0
1120163,79.0,51.6,89.7,44.9,1
1120164,88.4,60.2,59.1,42.2,0
1120165,88.2,56.9,104.3,62.6,1
1120166,77.5,22.1,90.8,49.6,1
1120167,105.2,39.9,86.8,66.6,0
1120168,144.6,31.0,58.6,56.8,0
1120169,74.5,38.9,110.2,41.9,0
1120170,106.8,29.4,102.7,41.0,1
1120171,50.0,54.9,107.5,21.7,0
1120172,91.8,59.2,87.0,39.5,0
1120173,98.0,12.8,62.8,50.2,1
1120174,111.5,45.0,144.2,64.0,0
1120175,131.9,35.6,64.3,29.8,1
1120176,74.0,44.1,132.5,42.7,0
1120177,77.8,32.6,76.6,44.3,1
1120178,104.1,66.1,99.2,55.0,0
1120179,101.5,27.4,113.4,39.1,0
1120180,89.9,21.8,76.3,56.4,1
1120181,45.0,34.4,117.5,31.1,0
1120182,102.1,40.5,93.0,25.6,1
1120183,59.0,41.1,89.4,48.0,1
1120184,102.3,45.8,65.5,59.1,0
1120185,127.4,45.4,98.7,56.5,1
1120186,74.6,39.7,118.1,37.8,0
1120187,123.0,40.8,58.5,50.0,1
1120188,130.3,27.9,45.1,56.7,0
1120189,87.3,37.6,129.0,55.3,0
1120190,127.9,23.5,128.8,55.6,1
1120191,70.7,11.9,103.4,45.8,1
1120192,84.2,79.1,65.0,33.1,0
1120193,124.9,63.4,68.5,68.1,0
1120194,105.3,44.9,38.4,12.6,0
1120195,93.9,23.9,91.4,60.0,1
1120196,129.1,55.6,75.9,50.1,1
1120197,80.4,27.5,107.0,23.6,0
1120198,150.4,87.3,106.7,64.2,1
1120199,70.1,52.7,103.2,13.6,0
1120200,98.0,51.2,135.2,50.2,0
1120201,82.7,35.4,61.3,59.8,1
1120202,70.2,40.1,93.3,28.2,0
1120203,132.0,42.0,103.1,43.8,1
1120204,104.6,67.3,115.5,25.8,0
1120205,88.2,66.4,98.3,5.6,0
1120206,118.9,63.4,92.3,62.1,0
1120207,122.8,52.8,83.6,31.8,0
1120208,116.0,66.6,40.6,41.6,0
1120209,122.2,89.8,123.1,56.3,0
1120210,86.1,25.7,121.9,48.1,0
1120211,76.1,57.8,124.2,40.2,0
1120212,125.9,69.5,140.6,40.2,1
1120213,79.8,40.3,131.7,51.7,1
1120214,127.7,63.6,63.5,75.8,1
1120215,72.7,34.2,97.5,61.0,0
1120216,137.4,36.3,101.8,46.8,1
1120217,71.4,61.9,78.2,27.2,0
1120218,79.2,18.2,48.5,37.9,1
1120219,88.9,44.8,134.8,62.2,0
1120220,86.1,51.9,58.0,33.3,0
1120221,105.2,,151.2,55.4,1
1120222,81.8,74.1,98.7,38.3,0
1120223,116.1,58.8,113.6,35.8,1
1120224,133.6,60.5,114.3,23.2,1
1120225,115.3,51.6,102.3,43.2,0
1120226,121.4,57.4,115.1,23.9,0
1120227,147.7,26.6,79.3,42.2,0
1120228,119.8,36.1,87.3,37.1,0
1120229,115.6,40.2,39.5,21.3,0
1120230,115.0,69.8,103.7,65.1,0
1120231,116.6,57.2,139.0,56.3,0
1120232,161.4,30.4,129.0,49.8,1
1120233,84.8,32.6,100.3,29.2,0
