ProjectID,TeamSize,DeployCount_Weekly,SuccessRate_Percent,RollbackTime_Mins,PerformanceScore
1140001,84.3,352.4,76.5,112.6,392.0
1140002,435.7,385.8,15.1,56.4,333.8
1140003,463.7,428.4,388.2,155.7,283.5
1140004,249.3,189.5,193.3,439.8,121.9
1140005,385.1,96.8,170.8,325.9,415.7
1140006,187.3,376.0,57.8,405.3,399.3
1140007,75.3,233.0,264.4,260.6,168.4
1140008,265.6,398.8,80.6,90.2,381.9
1140009,363.3,380.5,449.6,364.4,319.8
1140010,112.8,200.7,277.7,381.2,443.6
1140011,180.1,277.6,79.0,284.9,42.2
1140012,176.9,210.6,141.0,117.3,364.1
1140013,310.9,122.8,158.0,433.3,391.1
1140014,46.9,242.6,13.6,301.6,58.0
1140015,50.9,290.2,296.6,248.5,119.1
1140016,338.2,481.8,327.7,226.0,13.3
1140017,222.6,387.1,77.5,174.2,302.0
1140018,110.5,150.3,127.8,431.8,28.5
1140019,455.9,119.0,317.4,350.7,77.7
1140020,127.1,416.7,130.7,403.2,311.7
1140021,20.1,296.0,388.7,11.2,464.7
1140022,320.9,361.6,29.9,494.7,218.0
1140023,482.2,114.3,374.6,184.9,181.9
1140024,379.1,209.1,318.2,362.6,53.4
1140025,419.2,384.8,138.5,479.0,223.7
1140026,225.9,332.8,225.3,451.1,150.9
1140027,261.1,476.1,254.3,422.0,210.6
1140028,20.0,109.3,92.0,285.0,233.4
1140029,180.2,111.4,,247.5,57.7
1140030,494.0,203.6,163.5,301.7,94.2
1140031,420.6,382.8,122.0,222.9,242.3
1140032,208.5,136.4,214.1,249.5,196.8
1140033,213.0,352.3,65.1,89.4,75.9
1140034,170.3,144.6,228.9,312.6,363.6
1140035,235.6,103.8,201.0,234.3,451.0
1140036,359.9,208.6,48.4,492.9,416.9
1140037,399.1,269.1,99.6,29.7,53.0
1140038,370.6,249.8,50.3,147.6,276.7
1140039,486.5,362.9,277.4,95.5,492.9
1140040,366.8,20.4,278.2,228.8,338.5
1140041,111.1,32.3,109.8,465.0,476.6
1140042,16.7,466.8,416.9,350.4,293.5
1140043,55.6,160.9,367.6,116.1,349.5
1140044,116.3,355.8,371.7,125.6,223.7
1140045,194.0,492.0,240.9,474.8,195.1
1140046,424.3,158.8,67.9,176.2,116.8
1140047,155.8,203.8,224.4,122.0,142.6
1140048,326.2,192.5,111.1,121.6,396.7
1140049,394.9,153.0,273.3,173.3,135.0
1140050,143.3,95.4,84.5,193.5,298.5
1140051,382.5,210.2,160.0,187.4,121.2
1140052,172.6,430.4,349.0,369.4,110.7
1140053,257.3,66.6,442.5,422.9,487.3
1140054,411.3,331.4,321.6,440.3,119.9
1140055,256.9,469.0,182.7,112.0,64.7
1140056,184.2,489.3,418.7,229.6,138.1
1140057,455.1,320.7,439.5,378.2,417.9
1140058,463.1,360.4,200.8,67.9,417.4
1140059,260.4,69.2,23.6,228.8,160.6
1140060,339.8,48.3,225.3,205.8,39.9
1140061,235.8,13.5,442.9,114.7,298.1
1140062,277.7,41.6,367.7,80.1,373.9
