DayID,AQI,PM25_Density,Temperature,RespiratoryAdmissions,RiskLevel
1160001,193.8,317.0,197.7,292.0,High
1160002,180.9,433.4,446.9,380.2,Low
1160003,465.0,256.4,101.0,148.3,Medium
1160004,24.3,423.9,402.5,379.1,High
1160005,11.2,183.7,65.8,285.9,High
1160006,394.1,53.7,379.0,336.0,High
1160007,30.5,474.7,361.4,184.0,Low
1160008,244.2,410.7,289.9,448.4,Low
1160009,187.2,60.2,392.3,143.0,Low
1160010,496.5,,198.9,19.3,High
1160011,112.5,389.9,234.8,376.8,Low
1160012,453.6,17.6,385.5,26.9,Medium
1160013,233.9,360.4,43.8,109.5,High
1160014,390.2,451.9,336.3,104.8,Low
1160015,21.8,199.9,307.6,459.9,High
1160016,209.3,221.8,201.4,66.7,Low
1160017,39.3,94.4,284.9,316.4,Low
1160018,155.9,163.4,368.9,101.4,Medium
1160019,496.3,312.9,441.6,161.0,High
1160020,380.0,276.0,159.8,31.6,High
1160021,413.7,69.7,377.0,433.7,High
1160022,305.8,245.9,21.1,123.3,High
1160023,473.1,197.0,412.8,341.9,Medium
1160024,494.8,340.2,297.4,357.9,Low
1160025,400.2,444.2,20.8,371.8,High
1160026,99.5,290.5,60.8,68.0,Low
1160027,125.3,316.2,40.2,22.3,Low
1160028,121.1,89.9,304.1,256.5,Low
1160029,119.9,445.2,162.6,396.1,High
1160030,104.7,83.9,130.0,285.0,Medium
1160031,282.1,403.3,398.8,117.9,Medium
1160032,157.3,15.5,15.5,311.0,High
1160033,387.3,369.9,230.1,464.9,Medium
1160034,136.5,434.7,490.2,114.7,Medium
1160035,79.0,174.4,147.8,441.4,Medium
1160036,87.0,463.5,460.8,229.8,High
1160037,116.1,384.4,366.0,84.0,High
1160038,88.9,456.4,459.9,335.5,Low
1160039,77.7,132.6,406.0,192.3,Medium
1160040,465.7,305.9,468.3,381.5,High
1160041,280.9,193.6,130.0,318.4,Medium
1160042,174.4,331.7,120.1,443.4,High
