EventID,StockQty,ActiveUsers,DiscountRate_Percent,StockoutTime_Secs,HighDemandRisk
1160001,62.7,105.1,39.3,10.9,129.1
1160002,69.2,135.1,51.2,2.4,87.3
1160003,99.3,100.4,16.3,1.2,98.6
1160004,85.3,86.9,28.8,13.9,88.5
1160005,101.9,75.6,53.8,7.2,117.7
1160006,98.7,110.2,46.7,31.0,116.1
1160007,137.7,93.1,53.9,25.5,87.9
1160008,94.1,115.5,61.7,21.2,112.9
1160009,98.3,60.7,44.4,22.4,125.1
1160010,91.5,88.3,50.3,18.5,128.1
1160011,96.3,57.9,42.6,16.2,120.6
1160012,91.9,116.1,23.7,40.3,75.1
1160013,109.5,87.5,32.1,18.4,83.1
1160014,129.6,95.9,54.0,4.5,161.7
1160015,86.3,,58.8,9.4,49.4
1160016,112.8,79.6,56.7,16.8,74.5
1160017,81.2,143.2,18.8,7.3,123.9
1160018,81.8,83.0,26.6,1.0,90.2
1160019,83.7,127.0,40.9,15.1,113.8
1160020,85.3,99.2,62.6,6.2,120.1
1160021,54.7,84.0,48.8,22.1,128.4
1160022,112.6,81.7,49.7,2.6,109.6
1160023,81.1,184.5,58.5,8.3,103.0
1160024,121.1,104.4,55.1,9.6,118.0
1160025,97.1,45.0,35.6,29.9,136.3
1160026,97.0,124.5,39.4,5.6,90.2
1160027,86.5,122.4,24.1,8.5,104.9
1160028,88.7,126.8,83.7,3.3,56.5
1160029,50.9,64.8,60.3,4.4,80.4
1160030,115.8,55.3,68.0,7.5,85.9
1160031,83.5,83.0,29.8,20.8,85.5
1160032,121.3,57.5,45.4,12.4,110.0
1160033,86.7,39.3,53.2,26.1,112.6
1160034,88.3,163.5,53.3,5.0,151.1
1160035,72.6,84.7,41.4,1.0,86.9
1160036,110.9,108.3,93.5,25.8,103.5
1160037,150.3,,35.6,2.8,69.8
1160038,137.4,93.3,54.2,1.3,123.7
1160039,149.1,74.3,38.1,27.1,90.2
1160040,111.7,132.4,23.9,29.9,60.5
1160041,85.9,68.7,39.1,3.0,101.4
1160042,143.5,116.1,48.3,7.4,62.7
1160043,105.5,46.3,34.7,10.2,123.8
1160044,136.8,62.0,43.4,26.0,108.6
1160045,91.0,128.5,26.3,17.3,135.1
1160046,98.2,119.2,43.5,5.5,77.0
1160047,143.1,127.7,46.8,2.2,102.4
1160048,80.2,108.9,37.7,70.3,99.6
1160049,139.5,49.8,36.7,12.7,102.7
1160050,85.7,106.3,50.6,13.0,124.4
1160051,72.0,85.2,56.8,11.4,124.3
1160052,87.0,,20.7,21.1,41.8
1160053,74.8,126.4,46.4,7.7,87.7
1160054,131.3,116.3,36.0,14.4,88.9
1160055,74.5,92.2,35.1,1.0,165.8
1160056,114.5,102.2,47.8,6.3,71.4
1160057,121.8,113.6,46.3,52.9,120.8
1160058,100.9,109.6,34.8,37.4,106.9
1160059,146.6,136.4,59.0,2.1,45.5
1160060,74.1,132.7,23.8,43.1,148.5
1160061,91.6,117.6,43.2,3.3,137.8
1160062,95.6,86.7,31.5,48.5,64.1
1160063,141.4,88.9,35.2,4.7,102.1
1160064,154.3,62.9,74.4,2.5,118.4
1160065,108.8,111.9,40.7,4.1,106.4
1160066,60.6,106.7,45.4,48.9,124.6
1160067,86.4,103.6,52.3,2.6,145.0
1160068,112.7,154.1,40.4,53.8,79.8
1160069,117.2,99.1,60.4,1.0,98.6
1160070,131.4,88.5,49.1,5.6,125.0
1160071,116.5,117.9,17.2,34.6,150.4
1160072,137.4,116.1,50.2,7.4,71.0
1160073,79.8,132.0,24.5,6.7,87.4
1160074,72.7,106.6,53.7,26.9,104.2
1160075,106.2,74.9,36.5,15.6,72.2
1160076,115.7,84.0,24.8,11.8,159.3
1160077,106.1,90.6,66.9,15.6,101.9
1160078,113.6,148.4,54.3,26.5,132.7
1160079,78.5,124.9,56.9,13.7,83.8
1160080,101.5,93.9,53.3,1.4,127.3
1160081,122.4,106.2,47.4,7.6,96.0
1160082,93.2,126.8,44.3,7.6,110.4
1160083,129.9,105.9,59.9,13.0,81.0
1160084,120.6,88.3,49.0,25.9,117.4
1160085,33.2,120.2,55.3,32.2,80.3
1160086,78.1,127.8,64.8,21.3,110.8
1160087,138.6,91.4,33.3,2.4,87.9
1160088,72.0,32.9,66.1,4.6,144.3
1160089,108.0,128.6,53.9,61.5,106.6
1160090,110.1,36.7,51.8,18.4,58.5
1160091,133.3,158.6,34.6,1.5,115.6
1160092,77.7,45.8,60.9,13.3,114.4
1160093,87.5,90.8,29.2,18.0,53.5
1160094,85.9,124.8,38.7,34.9,77.7
1160095,112.2,49.1,52.6,1.2,96.8
1160096,115.0,113.4,41.6,2.1,100.3
1160097,90.7,90.1,43.9,4.3,49.0
1160098,125.3,72.8,54.8,12.6,74.7
1160099,116.6,82.1,45.1,7.1,132.5
1160100,60.9,139.7,62.7,9.4,144.5
1160101,74.0,120.1,47.4,3.0,76.0
1160102,112.7,108.1,25.5,1.7,76.0
1160103,61.0,135.5,24.3,6.2,101.4
1160104,135.0,78.4,34.5,16.0,106.1
1160105,80.4,140.9,50.9,7.2,118.8
1160106,106.3,96.2,33.6,2.1,117.4
1160107,84.4,103.7,46.6,34.7,117.5
1160108,89.1,91.5,41.3,10.9,125.6
1160109,103.9,93.3,45.5,9.1,80.2
1160110,103.8,109.0,25.5,2.6,73.2
1160111,97.7,63.9,34.3,19.2,78.2
1160112,131.2,101.3,65.6,17.5,122.6
1160113,106.0,73.3,44.0,15.3,57.4
1160114,81.7,100.5,23.3,1.0,54.3
1160115,114.2,148.2,80.1,3.5,108.6
