SubscriberID,FeedbackRating,BoxCustomizations,Price_K,DeliveryDelaysCount,Churned
1190001,119.7,126.3,67.5,1.3,94.9
1190002,168.2,64.4,66.2,0.4,91.5
1190003,146.0,98.8,65.0,9.2,78.8
1190004,89.5,117.4,59.2,7.5,114.9
1190005,98.4,61.6,68.8,8.4,138.7
1190006,126.4,135.2,84.3,6.1,132.3
1190007,116.2,124.2,80.2,0.3,128.6
1190008,98.5,131.5,55.8,5.4,47.5
1190009,124.4,86.5,37.1,6.3,103.8
1190010,78.3,142.0,102.4,5.1,118.6
1190011,100.2,133.6,84.6,11.8,97.8
1190012,170.8,105.1,56.2,7.4,95.7
1190013,108.4,84.5,76.2,3.1,77.0
1190014,115.6,115.3,88.6,5.7,87.6
1190015,141.6,78.0,92.1,4.9,68.3
1190016,39.1,83.1,112.1,1.7,65.0
1190017,189.8,108.4,75.8,0.6,105.7
1190018,137.0,75.5,65.1,3.5,67.3
1190019,200.6,109.4,80.8,7.5,106.9
1190020,172.3,125.5,67.7,5.6,86.2
1190021,137.1,39.2,70.9,4.8,31.8
1190022,133.5,124.4,83.5,9.2,86.2
1190023,95.0,97.1,68.0,5.6,84.3
1190024,152.3,80.0,74.3,1.7,108.5
1190025,77.6,56.0,67.4,3.2,89.1
1190026,129.2,124.7,56.5,1.7,79.2
1190027,98.2,95.0,87.6,4.0,107.2
1190028,123.6,84.8,96.3,0.9,102.3
1190029,96.4,106.0,112.7,0.3,114.7
1190030,154.7,113.2,32.9,0.9,68.1
1190031,115.5,119.6,74.7,3.2,83.6
1190032,100.5,118.1,110.0,1.3,102.2
1190033,161.5,69.4,75.1,1.8,152.8
1190034,89.8,112.7,65.9,6.9,113.9
1190035,120.0,159.8,82.7,1.3,107.2
1190036,87.0,85.7,74.9,1.4,113.2
1190037,185.3,92.1,43.7,1.8,134.0
1190038,94.7,67.6,68.2,4.0,106.6
1190039,67.7,63.1,67.9,9.3,80.8
1190040,,79.9,75.2,18.3,132.3
1190041,70.7,81.8,70.1,3.0,93.6
1190042,89.3,82.2,57.2,25.2,72.9
