PackageID,PackageWeight_Kg,DeclaredValue_USD,CustomsDelayDays,ExportCountry,InboundInspection
1200001,44.0,30331.0,5.6,Type_A,61.0
1200002,70.0,74085.0,4.9,Type_B,118.9
1200003,36.0,54820.0,0.6,Type_C,67.5
1200004,74.0,72379.0,5.1,Type_C,120.4
1200005,51.0,67485.0,3.5,Type_B,67.0
1200006,41.0,63726.0,4.2,Type_C,119.2
1200007,24.0,65056.0,1.8,Type_A,119.5
1200008,48.0,60142.0,6.9,Type_A,88.9
1200009,39.0,59807.0,2.1,Type_C,103.2
1200010,41.0,96116.0,28.8,Type_B,109.7
1200011,61.0,44504.0,11.9,Type_A,137.9
1200012,54.0,51741.0,3.9,Type_C,107.8
1200013,48.0,82586.0,0.3,Type_A,116.3
1200014,40.0,63161.0,7.5,Type_B,70.4
1200015,31.0,80811.0,2.3,Type_C,82.9
1200016,43.0,70138.0,0.0,Type_B,106.8
1200017,37.0,72623.0,2.4,Type_B,79.9
1200018,36.0,102417.0,1.1,Type_A,79.4
1200019,87.0,52065.0,6.5,Type_A,155.9
1200020,49.0,79928.0,7.1,Type_A,43.7
1200021,20.0,75756.0,0.1,Type_C,135.5
1200022,45.0,51792.0,2.9,Type_B,106.1
1200023,64.0,103658.0,0.2,Type_A,116.0
1200024,53.0,79413.0,12.1,Type_C,107.8
1200025,35.0,62027.0,9.9,Type_A,111.2
1200026,45.0,110051.0,2.2,Type_A,115.0
1200027,26.0,49787.0,9.8,Type_A,101.7
1200028,44.0,74369.0,6.9,Type_C,81.0
1200029,46.0,64461.0,7.0,Type_A,81.8
1200030,30.0,82920.0,4.2,Type_A,80.6
1200031,38.0,62026.0,3.8,Type_A,85.7
1200032,32.0,65568.0,0.5,Type_A,86.4
1200033,30.0,89907.0,5.3,Type_A,115.0
1200034,29.0,69069.0,5.7,Type_B,116.6
1200035,39.0,74170.0,5.9,Type_C,127.3
1200036,61.0,56674.0,2.4,Type_B,96.0
1200037,53.0,97090.0,1.7,Type_B,127.6
1200038,52.0,96427.0,3.7,Type_C,134.4
1200039,41.0,70481.0,5.1,Type_A,84.7
1200040,32.0,94557.0,7.7,Type_C,101.5
1200041,53.0,51974.0,0.6,Type_A,85.9
1200042,36.0,53639.0,8.5,Type_C,115.4
1200043,58.0,49479.0,1.8,Type_A,133.9
1200044,27.0,74365.0,0.8,Type_A,115.6
1200045,56.0,52411.0,8.7,Type_A,129.2
1200046,33.0,69804.0,2.5,Type_C,103.4
1200047,62.0,70868.0,1.8,Type_C,84.8
1200048,55.0,75166.0,0.3,Type_A,112.7
1200049,31.0,67002.0,,Type_C,138.0
1200050,36.0,75083.0,1.6,Type_A,79.7
1200051,26.0,65768.0,1.9,Type_A,56.8
1200052,72.0,97275.0,0.1,Type_C,104.6
1200053,31.0,62613.0,2.2,Type_C,79.7
1200054,30.0,64856.0,9.1,Type_B,75.7
1200055,48.0,61871.0,2.7,Type_B,108.0
1200056,58.0,74194.0,6.7,Type_A,124.2
1200057,32.0,88938.0,1.8,Type_B,103.5
1200058,39.0,48911.0,10.6,Type_C,86.6
1200059,51.0,78842.0,15.2,Type_A,83.1
1200060,19.0,76194.0,8.7,Type_B,106.0
1200061,51.0,65553.0,6.4,Type_C,79.2
1200062,49.0,59554.0,3.1,Type_B,76.2
1200063,28.0,57823.0,0.1,Type_A,81.1
1200064,51.0,66426.0,5.0,Type_B,120.7
1200065,43.0,84200.0,,Type_C,142.1
1200066,36.0,76780.0,3.7,Type_A,147.0
1200067,54.0,60163.0,1.9,Type_B,80.1
1200068,33.0,101762.0,0.6,Type_C,110.3
1200069,70.0,46039.0,1.1,Type_A,82.9
1200070,40.0,56419.0,11.0,Type_A,101.9
1200071,31.0,29896.0,2.9,Type_B,138.7
1200072,40.0,45721.0,0.3,Type_A,100.2
1200073,56.0,45200.0,5.4,Type_A,111.0
1200074,61.0,84786.0,0.7,Type_A,119.2
1200075,55.0,56418.0,7.7,Type_A,96.7
1200076,34.0,47701.0,7.2,Type_A,98.8
1200077,50.0,42006.0,5.3,Type_A,114.3
1200078,42.0,58673.0,2.6,Type_C,111.0
1200079,43.0,77745.0,1.8,Type_C,145.6
1200080,27.0,76055.0,1.7,Type_C,128.6
1200081,41.0,61950.0,5.2,Type_C,83.2
1200082,46.0,57742.0,0.1,Type_C,88.3
1200083,26.0,60421.0,10.5,Type_B,84.4
1200084,38.0,64701.0,2.7,Type_B,76.7
1200085,39.0,79075.0,4.0,Type_C,126.2
1200086,49.0,60657.0,1.3,Type_A,51.1
1200087,26.0,78817.0,4.0,Type_A,81.4
1200088,53.0,44895.0,15.8,Type_B,62.8
1200089,27.0,58793.0,3.0,Type_C,97.9
1200090,36.0,48307.0,16.4,Type_A,117.8
1200091,35.0,58893.0,2.9,Type_A,106.7
1200092,60.0,63417.0,0.9,Type_C,119.8
1200093,60.0,56544.0,0.0,Type_C,72.3
1200094,43.0,70135.0,0.1,Type_B,123.2
1200095,31.0,76508.0,5.4,Type_B,96.4
1200096,60.0,92649.0,0.3,Type_A,160.2
1200097,50.0,55042.0,0.3,Type_B,74.9
1200098,51.0,62335.0,14.3,Type_C,110.9
1200099,22.0,46700.0,1.3,Type_B,119.2
1200100,61.0,71605.0,0.5,Type_C,94.2
1200101,26.0,52806.0,1.2,Type_A,91.6
1200102,36.0,35890.0,2.2,Type_C,127.0
1200103,39.0,49703.0,2.7,Type_B,78.4
1200104,27.0,74822.0,1.5,Type_C,75.2
1200105,55.0,79725.0,11.8,Type_C,111.4
1200106,40.0,40791.0,5.4,Type_C,116.6
1200107,75.0,118687.0,2.1,Type_A,92.3
1200108,68.0,49238.0,8.3,Type_A,119.0
1200109,32.0,58891.0,2.9,Type_A,97.3
1200110,33.0,77127.0,9.0,Type_A,118.2
1200111,33.0,70206.0,11.5,Type_A,121.7
1200112,22.0,48794.0,5.6,Type_C,83.7
1200113,54.0,61761.0,0.7,Type_A,120.6
1200114,16.0,73161.0,7.1,Type_A,114.7
1200115,43.0,72963.0,11.4,Type_A,124.4
1200116,20.0,96606.0,0.1,Type_B,122.4
1200117,45.0,49454.0,0.3,Type_B,74.2
1200118,45.0,74293.0,18.5,Type_B,94.6
1200119,41.0,87062.0,0.0,Type_B,92.3
1200120,47.0,42255.0,3.7,Type_C,93.1
1200121,67.0,56003.0,0.6,Type_B,101.7
1200122,30.0,37524.0,3.9,Type_B,67.0
1200123,55.0,73338.0,0.6,Type_A,67.9
1200124,47.0,79777.0,0.8,Type_C,42.1
1200125,30.0,83727.0,11.3,Type_C,103.4
1200126,43.0,42818.0,13.5,Type_B,122.7
1200127,34.0,67499.0,0.4,Type_C,74.0
1200128,40.0,67396.0,0.1,Type_A,80.5
1200129,56.0,87283.0,1.1,Type_B,157.5
1200130,48.0,97221.0,0.8,Type_B,72.8
1200131,55.0,75358.0,3.7,Type_A,117.4
1200132,81.0,110301.0,0.4,Type_C,73.7
1200133,52.0,81109.0,3.1,Type_A,133.2
1200134,45.0,56479.0,1.9,Type_A,82.8
1200135,42.0,50199.0,0.7,Type_B,90.7
1200136,24.0,39507.0,3.9,Type_A,132.4
1200137,47.0,62850.0,3.2,Type_B,86.3
1200138,60.0,64895.0,2.4,Type_B,109.2
1200139,41.0,69744.0,3.2,Type_A,64.7
1200140,33.0,66705.0,3.7,Type_B,129.2
1200141,41.0,37343.0,0.9,Type_B,121.9
1200142,25.0,62345.0,0.7,Type_A,76.4
1200143,47.0,33268.0,3.0,Type_B,92.9
1200144,36.0,96504.0,6.0,Type_B,113.1
1200145,59.0,61546.0,1.1,Type_A,83.7
1200146,43.0,76345.0,2.3,Type_A,97.7
1200147,12.0,49604.0,2.3,Type_A,83.9
1200148,50.0,48543.0,2.9,Type_B,94.5
1200149,23.0,60395.0,3.0,Type_B,121.4
1200150,39.0,45278.0,1.9,Type_C,112.5
1200151,47.0,48560.0,8.1,Type_A,113.6
