ItemID,StockLevel,UnitCost,LeadTime_Days,MonthlySales,TurnoverRate
1250001,,62.3,415.7,138.9,219.8
1250002,38.2,465.3,301.4,197.3,159.2
1250003,317.5,308.9,111.2,292.6,153.5
1250004,75.0,175.2,435.3,248.2,282.4
1250005,74.2,234.6,257.2,481.8,255.6
1250006,396.4,17.9,366.2,363.7,60.3
1250007,,469.8,26.1,106.6,449.0
1250008,212.3,15.8,194.4,245.9,398.0
1250009,293.2,376.5,263.5,70.1,232.2
1250010,249.2,366.9,399.5,210.1,112.1
1250011,174.6,196.0,78.8,385.8,468.8
1250012,79.0,46.4,235.3,371.6,411.7
1250013,446.8,119.6,400.7,495.7,295.7
1250014,52.3,352.9,282.5,375.4,198.6
1250015,425.3,89.4,415.0,370.2,217.3
1250016,269.5,350.3,224.2,135.6,467.3
1250017,279.6,182.6,290.1,128.3,260.3
1250018,425.7,185.5,187.2,407.2,468.3
1250019,87.9,325.5,38.3,303.6,52.3
1250020,156.0,207.6,386.7,68.2,329.9
1250021,410.7,495.6,24.7,289.2,184.8
1250022,489.2,234.1,375.4,395.1,116.1
1250023,467.2,63.2,189.9,48.0,184.3
1250024,162.1,130.0,173.4,440.8,416.1
1250025,245.9,276.4,183.9,348.0,171.0
1250026,197.6,414.6,115.7,120.8,124.1
1250027,,269.4,244.3,262.1,414.3
1250028,188.1,101.7,452.6,387.7,396.9
1250029,198.6,213.6,433.3,23.9,260.3
1250030,27.2,306.9,24.8,199.9,315.2
1250031,321.0,195.4,165.4,350.2,481.3
1250032,14.4,37.9,341.1,481.2,24.7
1250033,106.6,80.8,46.3,35.2,244.7
1250034,441.6,73.5,400.7,28.8,315.1
1250035,11.1,418.9,242.1,431.2,449.0
1250036,63.7,264.9,349.3,322.2,172.7
1250037,315.3,377.4,318.7,145.7,202.6
1250038,499.6,495.3,318.1,134.0,343.7
1250039,287.9,313.5,438.7,93.4,244.9
1250040,249.1,316.8,440.8,450.2,384.7
1250041,61.4,298.2,285.9,72.9,51.6
1250042,267.5,26.6,287.2,195.3,389.2
1250043,149.2,435.9,371.8,99.9,84.3
1250044,332.6,298.1,324.3,237.0,345.6
1250045,494.9,299.7,112.2,340.3,130.8
1250046,325.7,341.2,33.1,72.6,466.2
1250047,158.5,41.1,463.7,313.5,169.2
1250048,79.3,321.7,251.3,240.0,91.5
1250049,249.2,240.1,89.4,378.4,316.2
1250050,92.0,377.0,262.7,22.8,195.8
1250051,145.8,137.2,370.8,148.5,123.7
1250052,58.0,70.3,34.6,469.6,393.5
1250053,465.9,479.6,313.0,173.1,78.5
1250054,248.6,456.9,92.8,178.3,464.1
1250055,363.1,251.5,75.1,53.6,242.0
1250056,104.2,400.2,117.8,85.2,149.6
1250057,112.9,113.0,281.0,290.6,257.2
1250058,129.9,204.3,225.6,415.7,472.0
1250059,95.8,212.2,325.0,148.0,38.6
1250060,189.9,450.9,303.9,10.5,143.9
1250061,491.1,100.1,157.4,287.5,275.2
1250062,150.1,242.1,60.2,264.8,408.0
1250063,490.0,41.2,128.3,230.2,187.3
1250064,462.9,119.0,441.6,275.2,106.3
1250065,319.2,363.6,398.2,486.4,396.3
1250066,68.4,366.0,199.2,205.2,167.0
