DayID,AQI,PM25_Density,Temperature,RespiratoryAdmissions,RiskLevel
1260001,61.5,114.4,11.9,148.0,High
1260002,72.8,417.6,226.9,37.2,Medium
1260003,52.8,233.1,69.1,340.9,Low
1260004,66.6,467.4,108.8,18.3,Medium
1260005,376.4,466.7,256.5,358.5,High
1260006,197.7,348.5,384.7,170.4,High
1260007,294.2,57.8,298.9,332.7,Medium
1260008,34.5,233.7,425.4,131.4,Medium
1260009,221.7,383.4,202.3,466.3,Low
1260010,255.9,404.4,339.8,484.8,High
1260011,404.9,406.5,95.8,66.9,High
1260012,408.9,192.2,148.7,378.1,Low
1260013,172.4,291.0,82.6,475.6,Low
1260014,482.8,169.1,202.7,162.1,Low
1260015,37.4,403.5,67.8,352.6,Low
1260016,67.2,419.4,126.7,53.1,Medium
1260017,210.7,302.4,129.6,19.4,Medium
1260018,288.0,213.8,13.9,348.5,Medium
1260019,252.6,424.1,56.1,296.5,Low
1260020,393.3,47.7,92.3,116.1,High
1260021,362.2,251.9,59.6,432.6,High
1260022,201.3,28.9,427.3,55.3,Low
1260023,372.0,92.8,167.2,61.2,Medium
1260024,482.9,255.2,21.9,211.7,Low
1260025,342.6,100.7,185.3,11.8,Low
1260026,380.4,145.1,383.1,26.6,Medium
1260027,294.2,371.4,498.7,315.5,Medium
1260028,88.1,148.5,112.4,127.9,Low
1260029,442.3,251.8,478.6,192.3,Low
1260030,487.8,215.9,171.1,168.5,Low
1260031,320.6,482.3,205.4,272.1,Medium
1260032,384.6,158.0,82.4,252.0,Low
1260033,252.6,18.8,314.1,145.6,Medium
1260034,106.8,32.1,80.9,409.2,Low
1260035,460.9,393.8,102.3,403.6,Medium
1260036,186.8,321.0,371.1,317.9,Medium
1260037,88.1,235.0,34.8,298.0,High
1260038,22.1,18.8,370.3,225.5,Medium
1260039,407.2,299.1,227.5,90.9,Medium
1260040,116.3,324.9,64.6,271.8,High
1260041,163.8,478.6,419.9,373.4,Low
1260042,90.0,252.4,252.0,127.9,Medium
1260043,130.0,324.4,167.7,273.4,High
1260044,384.8,440.8,206.5,356.7,High
1260045,16.7,123.3,193.3,261.4,Medium
1260046,62.0,204.1,437.9,443.6,High
1260047,218.2,340.9,328.0,335.4,Low
1260048,288.5,423.3,138.0,126.4,High
1260049,87.3,366.7,282.2,366.8,High
1260050,260.0,243.8,65.9,388.7,High
1260051,334.0,394.2,287.9,105.8,High
1260052,143.7,258.2,34.8,89.4,Low
1260053,124.3,459.8,478.2,382.9,Medium
1260054,312.5,336.8,380.1,195.0,Medium
1260055,320.1,173.5,490.3,178.7,Low
1260056,271.3,308.9,337.5,302.7,Low
1260057,240.3,87.7,174.0,497.2,High
1260058,212.2,439.1,474.5,401.3,Medium
1260059,66.5,114.3,492.4,42.5,Medium
1260060,84.6,34.1,348.2,264.2,Low
1260061,305.1,70.0,33.5,157.5,Medium
1260062,217.4,457.6,403.2,161.8,High
1260063,48.7,306.1,224.3,433.2,High
1260064,308.8,428.9,432.5,499.5,Low
1260065,456.6,229.4,447.8,387.4,Low
1260066,103.0,14.7,275.1,179.6,Medium
1260067,119.5,150.9,221.6,232.5,High
1260068,213.8,361.1,193.2,142.3,Medium
1260069,486.2,152.4,292.1,97.9,Low
1260070,251.1,49.7,318.7,460.3,Medium
1260071,350.7,84.8,423.0,102.3,Low
1260072,122.9,448.7,249.0,352.0,Medium
1260073,469.1,498.1,39.3,124.3,Low
1260074,426.5,345.4,151.7,52.4,Medium
1260075,181.3,431.3,421.6,445.8,High
1260076,341.1,384.5,426.1,411.4,Low
1260077,72.0,286.1,459.8,376.5,Low
1260078,143.2,401.2,241.3,142.1,High
1260079,264.4,364.1,406.9,246.9,Medium
1260080,327.4,26.5,82.4,233.9,Low
1260081,186.6,418.9,168.4,309.8,Medium
1260082,178.6,444.2,221.1,218.2,Medium
1260083,169.9,432.1,452.8,288.6,High
1260084,227.5,319.1,76.0,393.0,Medium
1260085,457.3,366.3,272.6,477.3,Medium
1260086,493.3,160.2,229.9,219.8,Medium
1260087,405.9,317.0,286.2,207.8,High
1260088,227.8,97.1,298.7,427.4,High
1260089,276.4,500.0,416.4,377.4,Medium
1260090,139.6,403.1,21.7,409.8,Medium
1260091,310.3,496.6,52.4,459.7,High
1260092,25.4,69.7,478.7,126.4,Medium
1260093,342.9,275.5,63.0,85.0,Low
1260094,87.1,286.6,75.4,282.4,Medium
1260095,33.2,171.9,39.2,419.1,Low
1260096,122.7,296.0,47.7,321.9,Medium
1260097,260.7,353.6,364.2,486.2,Low
1260098,96.1,202.5,120.2,352.2,Medium
1260099,425.8,81.9,62.2,261.4,Medium
1260100,181.8,39.0,37.3,240.6,Medium
1260101,155.8,39.2,51.7,96.7,Medium
1260102,219.0,118.8,424.1,22.0,Medium
1260103,79.1,36.8,416.3,271.9,Low
1260104,204.1,355.4,338.4,220.1,High
1260105,310.0,448.0,416.6,436.4,Low
1260106,366.5,265.2,446.8,83.8,Low
1260107,494.0,14.3,496.8,223.5,Low
1260108,116.5,234.1,346.0,188.0,Medium
1260109,346.3,268.2,116.8,37.2,Medium
1260110,233.7,257.4,23.9,109.3,High
1260111,178.0,243.2,24.9,424.5,Low
1260112,461.8,111.2,405.6,412.2,High
1260113,422.8,450.9,326.8,337.1,Medium
1260114,32.9,217.3,26.8,274.0,Medium
1260115,261.9,349.3,55.2,158.5,Low
1260116,242.8,309.7,257.1,284.8,Low
1260117,133.8,207.0,14.9,434.9,Low
1260118,417.1,349.5,497.5,458.8,High
1260119,37.8,104.1,261.6,384.8,High
1260120,316.9,189.3,127.1,58.3,Low
1260121,242.0,164.4,421.4,413.6,Low
1260122,23.8,256.8,64.8,91.3,High
1260123,61.6,323.2,457.5,238.0,Low
1260124,35.1,204.1,101.1,371.5,Low
1260125,118.3,142.3,440.7,365.5,Low
1260126,460.0,380.1,25.7,267.4,High
1260127,323.5,273.3,435.1,232.0,High
1260128,362.7,224.3,120.6,83.9,Medium
1260129,42.1,69.7,172.6,114.9,Low
1260130,169.3,29.4,107.5,479.2,Low
1260131,472.5,175.7,42.9,345.0,Medium
1260132,214.5,146.9,103.6,328.2,High
1260133,23.7,236.4,385.6,388.9,Low
1260134,284.2,401.6,339.1,359.2,Medium
1260135,98.6,418.9,439.2,66.4,Medium
1260136,53.3,358.7,487.5,376.4,Low
1260137,22.0,218.5,192.7,30.4,Medium
1260138,200.9,299.0,370.0,477.0,Low
1260139,16.3,178.4,266.0,167.8,Medium
1260140,274.7,450.3,304.2,170.1,Medium
1260141,352.9,493.6,82.5,293.6,Low
1260142,235.3,490.3,495.3,437.1,Medium
1260143,441.7,326.9,208.6,293.2,Low
1260144,161.6,221.1,188.9,47.2,High
1260145,151.5,240.9,412.8,157.9,Low
1260146,353.2,309.0,411.1,187.5,Medium
1260147,246.6,405.5,363.1,282.4,Medium
1260148,306.9,340.8,388.8,412.8,High
1260149,266.0,10.9,175.1,491.7,Medium
1260150,28.6,20.2,36.8,44.2,High
1260151,259.6,66.2,382.4,364.1,Low
1260152,370.4,296.8,36.1,439.5,Low
1260153,246.5,415.7,479.4,496.2,Medium
1260154,486.7,126.4,278.9,144.9,High
1260155,485.3,464.4,112.1,421.5,High
1260156,385.4,379.3,444.8,321.0,High
1260157,390.7,400.2,86.7,107.3,High
1260158,27.0,430.6,353.1,314.3,High
1260159,41.0,149.6,34.9,57.3,High
1260160,354.5,176.8,177.6,433.0,High
1260161,254.9,297.3,349.9,380.7,Low
1260162,79.6,37.0,174.9,428.5,High
1260163,48.0,243.4,438.6,412.3,High
1260164,430.6,210.4,419.0,202.4,Medium
1260165,406.6,301.0,46.1,195.5,High
1260166,407.7,45.3,368.7,152.4,Low
1260167,435.9,38.6,398.2,336.8,Medium
1260168,22.5,358.6,322.4,160.3,Medium
1260169,383.6,133.3,92.6,342.6,Medium
1260170,361.7,86.3,181.8,119.1,Medium
1260171,312.1,205.2,53.6,47.2,Low
1260172,345.1,275.5,350.3,164.8,Low
1260173,363.0,440.4,495.3,140.9,Medium
1260174,406.3,273.8,380.7,38.8,High
1260175,163.3,,101.6,494.6,Medium
1260176,91.6,360.5,224.5,415.2,Low
1260177,26.7,198.8,360.3,210.7,High
1260178,465.7,21.2,96.9,301.6,Medium
1260179,263.7,,323.7,148.0,Low
1260180,59.9,204.1,417.7,401.2,Medium
1260181,309.8,335.9,215.7,287.3,Low
1260182,99.7,259.6,469.1,198.5,High
1260183,33.8,412.8,265.8,247.3,Medium
1260184,37.2,487.2,34.6,256.7,Low
1260185,88.2,28.8,347.3,473.7,Medium
1260186,492.0,439.5,120.9,71.6,Low
1260187,395.9,215.7,340.4,408.0,High
1260188,269.0,341.6,135.5,458.1,Low
1260189,166.4,239.3,72.8,21.8,Low
1260190,33.4,419.6,177.6,368.7,Low
1260191,171.8,454.1,387.3,203.6,Low
1260192,365.9,498.5,216.8,249.1,High
1260193,222.7,114.1,176.6,498.5,Medium
1260194,33.4,104.8,443.7,434.5,High
1260195,182.4,424.6,58.9,331.1,Medium
1260196,191.0,133.1,378.7,97.0,High
1260197,262.1,128.2,215.5,105.4,Medium
1260198,194.4,257.0,176.4,30.9,Medium
1260199,183.3,262.1,331.8,318.1,High
1260200,228.8,228.2,34.5,151.2,Low
1260201,435.6,336.2,292.3,471.2,High
1260202,387.2,408.0,292.7,251.5,Low
1260203,226.3,92.6,22.7,183.7,High
1260204,272.6,467.3,326.0,287.5,High
1260205,434.9,80.0,58.6,224.5,High
1260206,364.2,239.4,333.4,310.7,High
1260207,105.4,335.4,377.9,56.3,Medium
1260208,314.1,178.8,55.7,469.5,Low
1260209,360.6,476.6,286.4,323.8,High
1260210,477.2,314.8,156.3,351.8,Medium
1260211,392.3,320.0,332.9,260.5,Medium
1260212,260.5,486.5,480.3,326.4,Low
1260213,287.9,219.5,28.6,328.6,Medium
1260214,40.6,90.4,117.8,400.5,Medium
1260215,373.9,295.4,222.9,464.4,Medium
1260216,420.0,195.3,66.7,426.4,Low
1260217,340.9,448.9,231.3,403.9,Low
1260218,143.9,15.6,386.5,19.5,Low
1260219,181.8,242.2,433.0,143.3,Medium
1260220,203.8,297.6,369.5,17.1,High
1260221,209.6,259.9,111.8,96.5,High
1260222,267.5,134.8,96.8,377.2,High
1260223,391.4,431.8,338.4,123.7,High
1260224,218.0,403.1,24.3,253.1,High
1260225,99.6,103.5,309.3,144.2,Medium
1260226,402.1,80.0,135.0,234.5,Low
1260227,409.6,360.4,230.5,322.4,Low
1260228,407.3,118.4,78.0,365.4,Low
1260229,167.5,12.4,120.2,401.0,Low
1260230,125.2,97.9,134.0,224.4,Medium
1260231,158.8,65.2,454.1,307.7,High
1260232,387.6,116.5,264.4,112.3,Medium
1260233,456.1,141.7,46.1,397.1,High
1260234,163.8,107.4,351.1,334.8,Medium
1260235,422.1,475.2,77.0,162.9,Low
1260236,25.4,16.3,112.3,396.3,High
1260237,496.7,355.3,436.8,479.1,Low
1260238,244.8,410.1,245.0,353.4,Medium
1260239,174.3,434.9,88.6,259.7,Medium
1260240,431.4,216.6,430.6,293.4,High
1260241,321.1,256.0,270.1,380.5,High
1260242,96.8,255.7,326.9,147.1,Low
1260243,63.2,98.3,64.1,111.7,Low
1260244,203.8,27.8,198.0,452.7,High
1260245,380.1,364.9,23.0,327.4,Medium
1260246,329.4,312.6,87.6,401.2,High
1260247,424.0,249.8,371.3,322.8,Medium
1260248,392.3,304.9,313.3,335.7,High
1260249,29.2,66.6,323.1,211.5,Low
1260250,389.1,333.6,39.6,56.1,Low
1260251,410.2,408.9,20.8,472.2,Low
1260252,39.6,322.2,333.3,29.8,Low
1260253,103.8,164.9,484.2,188.8,Medium
1260254,41.7,330.7,292.3,50.6,High
1260255,233.9,386.4,15.8,297.9,High
1260256,129.5,383.3,80.3,29.7,High
1260257,449.0,24.1,125.0,496.0,Medium
1260258,11.3,461.2,37.0,234.6,Medium
1260259,447.6,36.0,217.8,143.2,Medium
1260260,460.1,409.6,274.5,423.6,High
1260261,309.1,273.3,439.6,53.6,Medium
1260262,87.5,388.3,91.7,323.8,Medium
1260263,37.1,,189.9,489.5,Low
1260264,282.6,468.0,297.3,304.2,Medium
1260265,155.6,94.1,53.8,388.7,Medium
1260266,264.9,450.0,330.2,411.4,High
1260267,368.7,422.9,209.6,303.7,Low
1260268,284.7,35.4,479.0,36.1,Low
1260269,78.8,458.4,452.6,83.7,Low
1260270,462.3,453.1,100.3,305.9,Medium
1260271,292.7,338.7,274.0,92.0,Low
1260272,353.5,134.9,498.4,41.3,Low
1260273,399.8,460.0,370.7,482.7,Low
1260274,485.9,324.3,448.6,235.2,Medium
1260275,47.0,306.6,388.7,10.2,Low
1260276,263.6,228.9,450.2,49.2,High
1260277,129.8,312.6,98.3,390.4,High
1260278,413.4,170.5,199.6,283.8,Low
1260279,111.8,287.0,262.1,14.9,Low
1260280,240.2,449.3,483.0,477.0,High
1260281,210.6,477.1,266.9,101.0,Medium
1260282,287.3,73.8,432.8,350.3,Medium
1260283,238.6,52.9,486.7,32.0,Low
1260284,372.3,376.1,237.9,61.1,High
1260285,107.9,396.1,452.7,300.8,High
1260286,329.7,198.9,308.1,345.2,Low
1260287,340.1,350.4,409.3,18.9,High
1260288,68.9,352.0,64.8,442.3,High
1260289,12.8,36.8,39.1,361.8,Medium
1260290,467.9,82.2,107.7,251.0,Low
1260291,260.1,39.9,306.0,17.2,Medium
1260292,451.1,59.8,394.9,341.9,Low
1260293,208.8,237.1,396.7,103.5,Low
1260294,196.9,179.3,64.9,455.1,High
1260295,220.7,293.3,95.4,177.5,Low
1260296,323.2,205.9,378.3,19.5,Low
1260297,299.4,393.5,12.4,221.7,Medium
1260298,204.8,465.2,454.0,26.2,Low
1260299,109.4,81.7,156.8,301.7,High
1260300,27.9,88.8,61.6,325.7,Low
1260301,430.0,439.5,436.4,49.6,High
1260302,352.6,316.3,138.2,157.2,Medium
1260303,303.5,116.6,207.9,426.9,Low
1260304,385.6,371.8,182.7,51.8,Low
1260305,98.6,308.4,168.0,367.7,High
1260306,225.4,28.7,330.4,293.9,Medium
1260307,213.3,200.3,215.0,463.0,High
1260308,456.7,211.5,333.0,344.1,High
1260309,443.2,16.9,473.6,326.9,Low
1260310,263.1,353.8,495.2,95.8,Medium
1260311,233.2,42.4,187.9,27.6,Low
1260312,177.8,407.4,341.0,406.7,High
1260313,258.5,418.9,123.6,151.1,Low
1260314,89.4,149.4,444.5,416.6,Low
1260315,175.3,191.9,305.7,485.3,High
1260316,222.4,279.8,434.1,77.0,Medium
1260317,132.1,49.8,366.4,341.4,High
1260318,192.0,125.2,132.3,130.2,Low
1260319,263.9,456.5,156.4,143.5,High
1260320,54.4,413.6,495.2,340.0,Low
1260321,148.8,104.7,157.2,343.4,High
1260322,204.8,351.8,480.4,382.2,Medium
1260323,234.9,,387.6,392.1,High
1260324,41.4,250.5,240.4,289.0,High
1260325,455.2,161.0,454.5,223.1,Low
1260326,455.3,150.6,455.6,451.8,Low
1260327,177.5,316.6,93.4,427.4,High
1260328,477.4,25.0,283.3,162.4,High
1260329,455.6,258.0,240.7,383.5,High
1260330,356.4,139.3,429.7,235.9,Medium
1260331,471.1,458.6,96.7,29.2,Low
1260332,499.1,127.7,101.7,489.7,Low
1260333,202.5,126.9,356.7,329.8,High
1260334,308.5,46.7,179.6,309.4,Low
1260335,403.2,295.0,105.9,235.1,High
1260336,19.1,117.5,452.6,309.3,High
1260337,200.1,140.9,51.0,84.9,Low
1260338,14.1,262.0,341.8,414.7,Low
1260339,382.1,161.4,167.1,121.5,High
1260340,441.0,401.9,331.5,416.5,Medium
1260341,471.7,34.6,359.4,40.3,High
1260342,126.5,164.7,445.2,177.0,Low
1260343,34.0,153.1,16.8,57.2,High
1260344,48.2,33.4,197.5,383.5,High
1260345,385.0,264.7,64.1,57.6,Medium
1260346,114.4,131.1,454.1,241.7,High
1260347,325.3,161.9,244.3,296.5,High
1260348,196.2,158.8,402.9,48.8,Medium
1260349,308.9,97.8,194.9,370.4,Medium
1260350,381.6,471.0,327.2,412.8,Low
1260351,265.3,173.8,285.6,457.4,Low
1260352,171.0,123.9,186.3,236.4,High
1260353,296.8,318.5,439.4,273.0,Low
1260354,253.1,307.3,177.1,88.0,High
1260355,181.8,97.1,74.7,452.0,Medium
1260356,268.5,35.0,302.5,128.1,High
1260357,59.8,208.3,350.8,357.6,Low
1260358,83.9,270.9,330.8,68.1,High
1260359,390.8,180.0,450.7,107.0,Low
1260360,186.5,175.7,24.2,294.0,Low
1260361,91.8,245.8,100.2,129.7,Medium
1260362,253.3,56.8,18.9,239.5,High
1260363,22.7,404.9,74.2,173.0,Low
1260364,87.3,370.6,279.4,173.2,High
1260365,478.9,214.5,297.0,165.1,High
1260366,176.5,104.9,273.6,365.7,Medium
1260367,215.9,460.7,99.3,184.4,High
1260368,481.7,268.0,70.1,21.9,High
1260369,369.1,225.2,126.9,227.9,High
1260370,494.0,218.3,110.9,281.6,High
1260371,83.4,152.1,457.4,208.8,Low
1260372,184.7,216.3,200.9,189.0,High
1260373,29.5,23.7,353.9,229.1,Medium
1260374,140.9,252.1,462.8,145.3,High
1260375,182.8,31.8,254.6,225.1,Medium
1260376,487.6,458.5,250.7,497.0,Medium
1260377,43.2,128.6,126.1,275.5,Low
1260378,297.3,364.9,42.5,32.4,Medium
1260379,88.5,436.2,316.4,495.7,Medium
1260380,350.1,90.6,130.0,102.8,Medium
1260381,304.1,359.3,256.5,101.6,High
1260382,404.8,143.8,302.0,333.3,Low
1260383,187.2,463.0,120.5,122.4,Medium
1260384,446.5,172.4,313.9,197.6,High
1260385,291.1,41.9,114.4,158.5,Low
1260386,365.8,32.9,14.1,82.0,Low
1260387,165.3,458.8,228.2,268.8,Medium
1260388,39.3,483.2,81.4,131.6,Medium
1260389,34.8,428.1,18.8,284.9,Low
1260390,151.7,307.1,89.2,212.4,Medium
1260391,474.0,34.9,242.0,363.4,Medium
1260392,482.0,114.9,234.9,338.7,Low
1260393,407.2,427.1,192.4,93.6,Low
1260394,136.0,241.0,482.5,417.0,High
1260395,240.1,36.7,41.2,81.5,High
1260396,35.2,255.1,160.6,283.0,Medium
1260397,485.8,352.1,51.2,344.8,High
1260398,193.4,468.3,360.2,65.3,Medium
1260399,304.7,55.9,370.4,269.2,Medium
1260400,470.1,168.1,275.4,213.5,Medium
1260401,66.3,169.4,109.6,27.1,Low
1260402,321.0,155.1,226.7,228.3,High
1260403,333.1,337.4,24.9,190.9,Medium
1260404,375.9,457.5,347.1,445.8,High
1260405,495.7,206.5,459.3,432.7,Low
1260406,306.0,111.2,66.7,73.7,High
1260407,294.7,493.8,117.0,51.3,Low
1260408,378.6,214.4,85.0,184.5,Medium
1260409,239.4,336.7,421.4,457.9,Medium
1260410,426.7,338.8,469.2,417.3,Low
1260411,76.9,105.8,188.8,238.7,Low
1260412,33.1,99.6,489.1,126.2,High
1260413,266.1,78.6,389.3,298.1,Medium
1260414,443.1,433.2,498.7,356.0,Low
1260415,39.2,,340.1,44.7,High
1260416,338.7,410.7,321.1,166.5,Medium
1260417,327.0,127.4,164.8,158.2,Medium
1260418,412.8,212.1,132.6,64.0,Low
1260419,321.0,496.3,125.9,375.8,Low
1260420,494.1,92.6,450.7,260.3,Medium
1260421,417.5,340.4,142.0,363.2,Medium
1260422,247.7,103.5,31.7,249.9,Medium
1260423,56.9,308.2,411.7,147.2,Low
1260424,208.8,284.0,455.6,296.6,Low
1260425,452.8,356.3,53.6,350.9,High
1260426,481.3,128.7,453.0,453.2,Low
1260427,18.6,438.5,216.9,445.5,High
1260428,99.6,365.3,437.8,62.5,Medium
1260429,69.4,276.1,101.8,376.2,Medium
1260430,424.1,,367.4,395.0,High
1260431,247.9,428.4,131.3,217.2,Low
1260432,101.1,494.4,97.5,98.0,Low
1260433,295.4,212.7,306.4,282.5,High
1260434,440.9,264.7,150.5,462.0,Medium
1260435,178.0,81.3,175.5,402.4,High
1260436,238.3,320.9,79.9,162.5,High
1260437,35.0,318.9,77.2,69.7,Medium
1260438,139.1,112.5,228.9,292.7,High
1260439,449.5,250.7,256.0,325.4,Medium
1260440,247.4,310.0,316.3,136.4,Medium
1260441,330.4,125.1,391.9,246.6,High
1260442,121.4,117.9,452.8,404.8,Low
1260443,459.2,259.7,282.1,441.6,Low
1260444,475.4,164.7,270.6,341.8,High
1260445,366.4,343.2,210.7,428.4,High
1260446,30.0,414.4,434.7,164.9,Low
1260447,408.0,48.6,174.0,357.8,Low
1260448,169.9,166.8,252.0,496.7,Medium
1260449,386.9,282.6,70.5,90.9,Low
1260450,264.8,77.2,324.8,227.8,Low
1260451,47.1,363.2,156.0,226.7,Low
1260452,464.0,296.1,105.8,461.8,High
1260453,43.9,378.5,419.3,279.3,Low
1260454,381.1,254.7,495.6,29.8,High
1260455,395.8,473.4,105.7,261.5,Low
1260456,401.5,262.7,416.8,242.8,High
1260457,71.7,137.1,82.4,496.0,Medium
1260458,408.2,426.6,434.5,162.2,Low
1260459,462.9,77.8,95.2,46.1,High
1260460,425.3,459.1,87.9,169.8,High
1260461,355.8,367.1,478.5,373.1,High
1260462,47.4,96.3,339.0,389.7,High
1260463,234.1,90.8,149.1,82.0,High
1260464,245.6,30.1,162.5,230.6,Medium
1260465,370.9,305.5,141.2,156.9,High
1260466,241.0,438.9,492.4,74.7,Medium
1260467,340.3,72.1,486.0,37.6,Low
1260468,154.5,101.4,362.0,499.2,High
1260469,440.6,175.2,457.3,444.9,Medium
1260470,15.4,486.6,21.3,259.8,Low
1260471,254.3,334.2,176.8,290.0,Medium
1260472,443.6,470.4,145.2,190.3,High
1260473,229.7,174.2,161.2,34.4,High
1260474,56.5,204.9,471.0,387.9,Medium
1260475,183.6,313.5,343.0,414.1,High
1260476,215.3,,449.8,191.4,Medium
1260477,375.3,96.5,352.7,236.9,Medium
1260478,214.1,206.9,490.4,353.0,Medium
1260479,455.4,25.5,151.4,154.0,Medium
1260480,190.2,233.9,118.0,252.4,Medium
1260481,126.5,241.4,470.4,457.2,Low
1260482,293.8,336.1,453.6,390.9,Medium
1260483,188.5,103.8,21.5,31.4,Low
1260484,317.2,53.9,477.0,179.5,Medium
1260485,228.6,96.9,447.9,240.4,Medium
1260486,387.6,24.6,81.6,296.9,Medium
1260487,127.8,344.2,124.4,450.2,Low
1260488,130.5,436.4,145.8,189.8,Low
1260489,439.7,68.5,465.7,326.5,High
1260490,329.0,151.6,47.9,221.1,Medium
1260491,447.7,424.2,219.3,459.7,Medium
1260492,82.6,193.5,378.9,358.2,Medium
1260493,411.8,368.3,411.8,366.1,Medium
1260494,172.8,221.1,454.2,112.8,High
1260495,225.2,163.2,273.7,236.6,High
1260496,134.8,321.9,462.3,22.8,Low
