EmployeeID,ExpYears,Department,Gender,EducationLevel,Salary
1280001,434.7,Support,M,159.8,460.1
1280002,138.9,HR,M,210.0,
1280003,74.4,Sales,F,122.5,180.8
1280004,30.4,Sales,F,47.4,350.9
1280005,127.1,Engineering,F,409.0,421.8
1280006,326.3,HR,F,230.5,333.3
1280007,397.4,Engineering,M,443.1,269.6
1280008,304.7,Support,M,294.9,215.7
1280009,173.8,Sales,M,378.6,179.9
1280010,68.5,Engineering,M,285.9,209.3
1280011,161.5,Sales,M,71.2,475.1
1280012,63.8,Support,M,340.1,381.7
1280013,305.0,Support,F,262.0,219.0
1280014,133.1,HR,M,354.3,41.0
1280015,156.8,Support,F,32.6,431.9
1280016,263.4,HR,M,489.5,233.2
1280017,360.4,HR,F,240.6,363.1
1280018,466.4,Sales,M,156.2,436.8
1280019,60.0,Engineering,M,286.6,212.7
1280020,356.2,Support,M,201.5,204.0
1280021,493.1,Engineering,F,96.0,430.2
1280022,283.9,HR,F,437.3,287.6
1280023,300.1,Sales,M,84.9,220.1
1280024,373.5,Sales,F,171.8,184.4
1280025,412.4,Engineering,M,141.6,240.1
1280026,71.6,Support,M,378.5,66.8
1280027,454.7,Engineering,F,180.9,363.3
1280028,290.9,Support,M,101.6,72.4
1280029,368.3,HR,M,438.3,27.3
1280030,157.6,HR,F,112.6,144.0
1280031,42.6,Sales,M,290.5,308.2
1280032,89.9,HR,M,213.8,408.0
1280033,75.6,Engineering,F,443.7,206.1
1280034,331.4,HR,F,11.4,288.8
1280035,217.5,Sales,F,443.6,299.2
1280036,492.5,Support,F,323.5,281.5
1280037,207.7,Sales,M,350.9,323.7
1280038,134.9,Support,M,414.5,260.8
1280039,116.1,Sales,M,77.7,347.2
1280040,423.5,HR,M,332.7,210.9
1280041,348.5,Sales,F,192.7,310.7
1280042,109.4,Support,M,430.0,148.2
1280043,356.6,Engineering,M,369.7,491.8
1280044,420.8,Support,M,50.6,497.2
1280045,375.3,Support,F,169.4,494.6
1280046,377.2,Sales,M,31.6,182.1
1280047,120.2,HR,M,288.8,470.6
1280048,128.4,Sales,M,105.6,304.7
1280049,440.0,Engineering,M,139.3,432.7
1280050,436.4,HR,M,38.7,241.8
1280051,309.4,Support,F,187.9,79.4
1280052,111.1,Sales,M,15.5,379.4
1280053,112.0,Support,F,21.8,95.0
1280054,223.8,Sales,M,142.1,400.2
1280055,288.2,Engineering,F,289.7,313.6
1280056,380.1,Sales,F,494.8,444.1
