RouteID,DeliveryDistance_Km,TrafficCongestionIndex,StopCount,TimeWindowMinutes,OnTimeDelivery
1320001,12.1,114.3,95.3,2.8,0
1320002,3.8,127.3,95.1,18.1,0
1320003,14.1,108.0,38.2,2.9,0
1320004,12.2,94.8,66.1,23.3,1
1320005,12.9,97.6,123.1,7.9,1
1320006,3.5,104.1,85.1,17.0,1
1320007,26.2,100.4,78.6,79.7,1
1320008,3.5,95.4,107.2,12.8,1
1320009,13.7,101.3,79.7,15.3,0
1320010,18.8,77.7,115.8,19.1,0
1320011,0.3,101.2,135.8,17.7,0
1320012,0.1,69.4,61.4,18.1,0
1320013,6.5,84.5,47.3,4.9,1
1320014,0.7,58.8,115.0,7.0,0
1320015,26.7,131.3,93.2,6.0,0
1320016,4.2,58.7,68.4,3.6,0
1320017,3.2,91.4,87.6,19.9,1
1320018,5.0,125.9,103.0,6.9,0
1320019,16.4,90.1,99.7,5.3,0
1320020,3.5,51.3,92.5,60.2,0
1320021,1.9,102.8,98.5,48.7,1
1320022,1.8,80.9,101.2,17.4,1
1320023,2.2,147.9,124.1,1.9,1
1320024,1.9,94.2,47.4,25.0,1
1320025,2.3,98.8,107.5,17.6,1
1320026,3.1,126.6,101.3,49.0,0
1320027,6.2,103.6,146.3,15.2,0
1320028,0.7,124.0,122.1,10.9,1
1320029,0.3,119.1,59.1,23.7,0
1320030,9.8,98.3,99.9,27.9,1
1320031,24.7,51.1,124.6,22.3,0
1320032,7.6,95.0,85.9,8.7,1
1320033,9.3,80.3,111.3,6.5,0
1320034,2.0,98.1,80.5,18.1,1
1320035,16.8,72.1,140.0,7.6,1
1320036,1.4,56.7,82.6,1.6,0
1320037,5.7,86.4,79.5,7.7,0
1320038,1.9,74.4,134.3,23.4,1
1320039,3.6,91.0,59.2,5.9,1
1320040,0.7,115.9,148.7,42.9,1
1320041,1.0,87.5,133.9,10.7,0
1320042,42.2,137.4,111.9,21.9,0
1320043,5.8,75.2,110.3,2.3,1
1320044,9.2,78.1,71.3,3.4,1
1320045,0.9,86.4,97.3,68.4,1
1320046,8.1,104.5,96.4,19.1,1
1320047,3.8,71.5,88.3,4.8,0
1320048,0.1,99.6,89.1,28.4,1
1320049,8.3,102.6,109.3,5.9,0
1320050,0.9,123.0,77.0,1.0,0
1320051,1.4,77.6,118.5,5.2,1
1320052,9.6,105.5,132.1,3.9,0
1320053,2.7,111.1,63.2,10.6,1
1320054,14.3,110.1,136.4,23.2,1
1320055,21.9,102.5,133.2,17.3,0
1320056,1.8,51.0,117.3,2.5,0
1320057,4.5,109.6,109.9,46.1,1
1320058,14.0,93.6,102.6,7.5,1
1320059,1.8,110.1,124.5,7.3,0
1320060,13.6,98.1,141.2,1.0,0
1320061,0.7,128.3,88.1,1.0,1
1320062,4.1,146.9,106.6,8.0,1
1320063,29.1,87.1,71.4,51.5,0
1320064,17.0,105.1,92.3,15.8,1
1320065,0.3,105.7,67.6,9.5,1
1320066,3.0,90.3,68.3,22.4,0
1320067,0.1,150.2,110.0,4.8,1
1320068,0.6,92.4,60.6,2.1,1
1320069,3.2,91.4,121.0,7.4,1
1320070,0.4,97.2,64.4,12.8,0
1320071,31.1,52.9,152.0,1.0,1
1320072,6.8,88.0,81.0,25.9,1
1320073,11.2,73.4,137.6,8.1,0
1320074,17.3,96.7,65.9,28.0,0
1320075,13.5,119.5,110.4,7.9,1
1320076,2.6,64.9,64.7,13.3,0
1320077,19.0,130.2,72.8,2.8,0
1320078,3.1,87.2,106.9,4.8,0
1320079,21.6,67.2,64.8,10.8,1
1320080,4.8,59.4,115.3,7.8,0
1320081,6.8,96.0,148.0,30.0,1
