ProjectID,TeamSize,DeployCount_Weekly,SuccessRate_Percent,RollbackTime_Mins,PerformanceScore
1340001,407.6,332.2,276.7,472.5,204.6
1340002,229.4,269.1,,248.7,175.7
1340003,317.6,418.0,436.8,31.4,351.3
1340004,442.1,140.5,431.7,443.0,45.3
1340005,335.9,191.6,422.6,409.6,65.0
1340006,442.8,240.1,64.0,164.7,456.8
1340007,358.7,344.9,362.0,289.5,382.4
1340008,336.0,194.3,485.1,394.4,484.1
1340009,70.9,201.4,21.2,117.9,88.4
1340010,28.9,29.3,389.5,354.7,246.6
1340011,112.1,180.7,52.0,118.7,109.6
1340012,140.8,404.9,261.5,397.0,350.1
1340013,79.1,413.6,402.1,346.3,278.6
1340014,434.3,35.6,477.3,241.4,241.5
1340015,156.9,243.3,262.9,299.0,97.9
1340016,405.1,448.5,482.7,199.1,369.2
1340017,132.8,54.9,204.1,365.4,301.3
1340018,220.2,248.1,130.4,275.7,35.6
1340019,74.3,96.2,246.8,223.9,125.6
1340020,446.4,399.0,136.8,149.8,242.3
1340021,414.7,436.7,103.7,455.2,183.4
1340022,420.1,364.9,254.0,147.6,239.1
1340023,360.6,249.1,405.1,401.4,60.7
1340024,181.6,424.6,391.5,92.5,203.6
1340025,109.9,360.0,320.8,30.3,291.8
1340026,193.2,405.6,438.5,151.9,488.3
1340027,416.8,67.3,30.3,116.7,92.9
1340028,258.7,196.7,114.6,341.5,242.4
1340029,74.4,244.7,48.5,421.9,10.9
1340030,87.5,54.9,487.2,327.6,349.4
1340031,497.9,88.4,107.8,129.8,443.1
1340032,466.4,186.9,373.5,344.1,147.0
1340033,44.9,451.5,168.6,245.8,179.5
1340034,81.1,209.3,421.5,65.0,412.4
1340035,406.8,265.2,204.8,225.9,348.2
1340036,362.9,249.0,242.3,131.2,274.0
1340037,236.5,399.6,237.2,250.8,200.4
1340038,449.2,154.0,30.4,91.4,195.2
1340039,66.9,221.2,499.2,465.7,38.6
1340040,450.8,387.9,18.7,265.4,262.3
1340041,54.1,279.1,282.8,415.7,70.1
1340042,311.5,86.8,99.9,297.5,90.5
1340043,398.3,79.3,291.1,102.4,175.1
1340044,93.9,387.4,297.2,229.9,34.4
1340045,478.7,248.6,374.8,271.7,491.3
1340046,347.8,352.2,99.6,438.4,204.5
1340047,69.6,288.9,68.3,161.3,226.6
1340048,185.8,338.1,226.6,383.4,297.4
1340049,103.2,372.1,223.8,326.9,286.6
1340050,493.0,469.7,408.7,21.1,235.8
1340051,319.1,415.1,210.5,490.6,17.3
1340052,425.3,217.8,69.8,429.0,382.1
1340053,364.6,448.9,51.7,307.8,90.9
1340054,172.6,239.7,451.1,479.5,434.1
1340055,456.7,456.4,284.2,436.0,139.5
1340056,491.4,199.3,,446.4,337.1
1340057,116.1,161.1,146.7,113.2,46.2
1340058,192.2,69.7,439.6,429.2,24.6
1340059,100.4,451.6,480.7,241.7,410.9
1340060,246.8,238.8,104.1,335.4,212.0
1340061,238.2,430.4,170.3,457.9,377.5
1340062,179.7,308.9,318.7,238.6,346.7
1340063,72.0,70.0,404.2,366.2,473.7
