VehicleID,DailyDistance_Km,ChargerPower_kW,BatteryHealth_Percent,BrakingRegenEvents,MaintenanceUrgency
1350001,8.7,245.9,46.6,159.2,0
1350002,3.2,318.6,51.3,131.2,0
1350003,1.7,314.1,53.6,89.1,0
1350004,15.9,275.8,48.4,61.0,1
1350005,12.2,448.3,41.2,100.9,1
1350006,1.4,208.1,14.9,125.1,1
1350007,5.9,186.9,39.1,102.4,1
1350008,26.6,189.4,40.9,85.2,0
1350009,0.4,289.7,50.1,132.9,1
1350010,21.3,281.9,34.1,92.8,1
1350011,3.7,183.3,70.4,143.1,0
1350012,1.1,189.9,24.4,106.6,0
1350013,3.8,196.4,34.2,82.7,1
1350014,1.5,360.7,45.0,87.7,0
1350015,0.3,134.6,59.1,91.2,0
1350016,7.7,246.6,31.6,49.2,0
1350017,47.2,222.1,58.4,37.8,0
1350018,10.4,95.2,39.4,81.0,0
1350019,0.3,210.5,27.6,111.7,0
1350020,11.7,362.9,62.1,92.9,1
1350021,2.5,313.6,44.3,144.9,0
1350022,1.4,232.9,37.9,91.5,1
1350023,3.1,206.1,40.2,94.5,1
1350024,20.4,115.4,40.9,77.1,1
1350025,7.0,451.6,34.4,99.3,0
1350026,7.2,255.8,26.8,85.2,1
1350027,0.4,217.6,62.5,127.2,0
1350028,14.4,137.8,36.3,111.4,0
1350029,8.2,215.7,45.1,133.5,0
1350030,32.8,185.1,46.5,97.0,1
1350031,22.1,222.1,59.4,58.2,0
1350032,1.1,154.8,42.7,93.9,0
1350033,6.0,193.0,67.8,110.9,1
1350034,21.7,256.3,30.6,88.4,1
1350035,0.4,179.3,53.4,97.4,1
1350036,3.7,295.9,34.3,89.7,0
1350037,21.8,229.6,55.2,74.7,0
1350038,6.8,260.2,20.5,105.5,1
1350039,17.5,343.2,27.1,65.9,1
1350040,13.4,337.7,46.0,59.6,1
1350041,13.5,346.0,47.4,117.3,0
1350042,7.3,311.5,50.7,79.6,0
1350043,3.5,184.1,59.0,74.0,0
1350044,4.2,229.3,24.6,99.1,1
1350045,7.0,348.7,65.9,116.8,0
1350046,0.4,131.4,76.3,116.5,0
1350047,0.6,286.2,49.1,92.9,1
1350048,10.7,149.6,47.4,69.5,0
1350049,3.0,252.5,45.5,35.7,1
1350050,9.8,481.4,52.3,81.1,0
1350051,7.8,303.0,40.3,132.4,0
1350052,5.4,377.0,47.8,85.7,1
1350053,10.0,414.7,,74.5,0
1350054,16.6,313.9,,92.5,1
1350055,6.3,394.7,56.2,83.8,0
1350056,15.2,226.9,38.4,96.4,0
1350057,4.7,289.4,55.7,123.7,0
1350058,2.9,308.4,38.2,101.1,1
1350059,27.5,244.5,68.9,84.7,1
1350060,5.5,315.8,47.0,135.0,0
1350061,15.4,305.3,32.0,84.8,1
1350062,6.7,231.7,23.2,108.0,1
1350063,16.4,194.7,44.6,102.3,0
1350064,27.5,389.3,40.4,75.5,1
1350065,14.8,309.3,64.0,105.8,1
1350066,1.7,101.8,35.0,134.0,0
1350067,7.2,159.3,56.2,127.0,0
1350068,19.3,177.8,12.6,75.2,0
1350069,5.6,339.2,39.4,116.1,0
1350070,17.8,198.3,35.2,119.9,0
1350071,7.2,324.9,45.5,87.5,0
1350072,2.7,183.3,19.8,115.6,1
1350073,5.9,366.3,55.3,109.1,0
1350074,1.9,294.8,39.2,89.5,0
1350075,7.5,106.9,25.7,104.3,0
1350076,1.3,177.7,50.4,74.6,1
1350077,33.5,172.9,56.7,96.8,1
1350078,12.3,363.0,43.8,83.0,1
1350079,12.4,151.9,47.6,87.2,0
1350080,11.4,260.1,46.6,123.9,1
1350081,8.6,133.3,60.9,90.7,0
1350082,14.8,160.6,39.1,35.2,0
1350083,12.9,251.5,41.5,91.4,0
1350084,5.2,236.4,50.2,106.0,1
1350085,4.1,298.5,28.2,91.4,1
