ItemID,StockLevel,UnitCost,LeadTime_Days,MonthlySales,TurnoverRate
1350001,334.1,458.4,486.2,256.4,72.0
1350002,170.6,242.8,125.4,133.5,150.6
1350003,105.7,330.8,471.7,13.9,344.8
1350004,,443.6,190.9,317.8,118.7
1350005,393.2,244.8,102.8,265.1,198.9
1350006,87.2,303.2,271.0,168.5,377.3
1350007,265.1,336.7,33.8,33.2,97.8
1350008,482.3,19.8,255.7,408.5,163.3
1350009,35.8,129.1,177.3,380.3,392.2
1350010,465.8,123.9,382.8,122.6,145.2
1350011,192.9,393.8,284.7,93.1,208.2
1350012,72.6,427.5,227.2,74.8,238.7
1350013,194.3,135.4,255.0,291.8,42.1
1350014,95.3,122.1,206.8,424.5,413.8
1350015,26.2,377.1,472.5,467.4,477.8
1350016,313.9,195.9,242.1,45.5,471.4
1350017,498.7,250.7,251.3,38.6,190.5
1350018,366.8,109.5,472.1,196.0,449.7
1350019,30.1,163.3,154.8,263.9,265.7
1350020,386.6,238.5,360.6,34.1,374.8
1350021,140.5,490.4,395.2,356.7,11.5
1350022,89.0,89.1,376.3,250.1,190.4
1350023,166.2,387.3,78.1,84.2,384.9
1350024,461.7,208.7,485.5,295.6,147.3
1350025,295.3,201.4,124.5,72.1,411.0
1350026,300.6,454.7,227.4,478.3,324.9
1350027,31.4,492.9,338.0,202.8,155.3
1350028,419.4,29.9,164.7,181.8,218.3
1350029,323.4,148.5,462.2,284.0,304.4
1350030,491.9,220.3,373.9,144.3,176.9
1350031,468.9,256.4,217.2,67.4,486.9
1350032,72.9,305.0,91.3,331.7,298.9
1350033,267.4,116.8,483.8,492.8,116.9
1350034,467.5,215.0,402.9,92.7,208.2
1350035,31.8,79.6,13.2,278.5,144.5
1350036,192.9,162.2,201.6,145.9,175.4
1350037,467.9,94.9,406.0,160.3,338.5
1350038,289.7,208.1,302.9,193.1,133.9
1350039,445.0,278.5,344.5,190.4,154.5
1350040,408.5,40.8,498.9,449.7,358.0
1350041,409.9,404.5,268.5,262.6,491.8
1350042,303.2,23.6,165.2,312.3,139.2
1350043,183.6,356.1,428.5,488.3,109.8
1350044,211.1,99.4,226.1,380.6,409.8
1350045,296.3,362.2,314.9,127.5,429.0
1350046,34.1,40.2,310.4,450.1,389.5
1350047,47.5,51.9,221.7,144.8,267.3
1350048,371.0,117.3,224.3,124.8,32.5
1350049,163.4,343.5,179.3,283.8,173.0
1350050,355.7,349.1,211.8,16.3,453.1
1350051,316.0,420.6,10.1,309.3,339.1
1350052,250.9,62.1,259.3,202.4,144.5
1350053,360.2,334.6,489.2,120.9,153.7
1350054,438.6,379.2,493.3,82.8,120.9
1350055,277.8,474.2,259.0,185.8,58.7
1350056,426.4,390.7,40.1,159.7,329.4
