DayID,AQI,PM25_Density,Temperature,RespiratoryAdmissions,RiskLevel
1360001,85.1,302.2,234.6,301.3,Medium
1360002,82.6,29.6,197.5,384.1,Medium
1360003,114.6,384.4,459.1,182.2,High
1360004,84.7,472.8,444.7,437.6,High
1360005,128.6,209.8,439.8,386.8,Low
1360006,183.8,401.0,214.1,437.6,Medium
1360007,190.4,114.4,448.0,295.6,High
1360008,245.0,214.2,408.3,292.7,Medium
1360009,370.4,236.4,108.2,71.6,High
1360010,73.5,425.8,339.6,346.3,Low
1360011,59.6,146.5,78.6,392.2,Low
1360012,233.4,219.7,367.7,126.4,Medium
1360013,144.7,35.3,324.3,369.0,Low
1360014,397.0,54.1,380.5,487.4,Medium
1360015,269.8,277.4,263.2,75.6,High
1360016,59.0,91.2,175.8,51.3,High
1360017,328.7,96.1,213.8,374.3,High
1360018,30.3,150.5,131.0,106.8,Medium
1360019,339.8,264.2,404.8,177.2,High
1360020,87.9,195.3,45.4,107.6,Medium
1360021,262.5,191.3,220.2,465.6,High
1360022,124.1,446.0,34.1,40.6,Low
1360023,13.4,406.9,160.9,397.2,High
1360024,21.4,468.3,274.4,147.4,High
1360025,100.7,403.7,246.8,112.2,Low
1360026,443.6,411.8,230.2,490.5,Low
1360027,29.1,297.0,67.6,326.6,Low
1360028,482.7,134.1,94.8,308.4,High
1360029,84.6,296.9,405.4,37.9,Medium
1360030,471.0,91.6,489.7,233.8,High
1360031,186.3,132.8,410.9,14.3,Medium
1360032,463.8,232.7,143.2,183.6,High
1360033,337.8,119.4,191.4,124.4,High
1360034,307.0,271.2,95.0,394.1,Low
1360035,424.1,427.5,314.4,208.5,High
1360036,235.1,445.5,494.0,433.7,Medium
1360037,337.9,336.1,253.4,124.5,Medium
1360038,240.1,290.6,363.6,194.9,Low
1360039,321.4,21.5,147.9,367.9,High
1360040,486.9,493.0,146.3,471.3,Low
1360041,196.0,272.0,81.7,488.1,Medium
1360042,483.6,,180.7,247.4,Medium
1360043,161.0,346.5,69.3,461.8,Medium
1360044,269.9,251.3,191.4,383.5,Low
1360045,385.3,327.4,137.7,123.5,Medium
1360046,193.0,298.2,264.7,122.3,Low
1360047,200.0,46.7,224.0,167.5,High
1360048,153.2,333.3,165.4,314.9,High
1360049,83.1,111.4,184.4,203.3,Medium
1360050,341.7,187.0,122.9,107.3,High
1360051,187.4,33.1,55.1,161.4,High
1360052,350.3,,52.7,145.7,Medium
1360053,257.3,242.1,86.3,161.0,High
1360054,20.8,484.1,208.6,320.7,High
1360055,255.1,307.0,14.3,264.3,Low
1360056,160.2,359.6,182.8,410.5,High
1360057,252.1,100.0,244.6,485.8,Medium
1360058,54.7,19.2,264.0,14.4,High
1360059,482.5,111.6,187.2,430.7,High
1360060,381.6,225.9,10.4,258.6,Medium
1360061,34.5,454.0,461.4,496.5,High
1360062,47.2,173.3,488.5,166.1,Low
1360063,434.5,413.8,29.5,471.7,Medium
1360064,325.0,245.1,274.4,289.0,High
1360065,182.6,305.7,453.8,287.2,Low
1360066,370.9,396.8,115.3,216.6,Medium
1360067,266.6,47.5,443.5,392.1,High
1360068,283.2,290.6,35.6,454.1,High
1360069,212.3,181.9,123.7,99.7,High
1360070,201.0,45.8,393.8,383.7,High
1360071,216.2,136.8,37.7,88.3,Low
1360072,112.3,271.8,163.6,72.9,Low
1360073,42.2,64.4,69.3,20.3,Medium
1360074,10.3,313.2,330.9,322.4,Low
1360075,432.3,384.5,345.2,27.1,Low
1360076,302.6,352.4,67.5,300.1,Low
1360077,118.8,173.2,456.7,356.8,Medium
1360078,256.0,75.0,475.1,278.8,Low
1360079,237.1,394.5,347.8,129.6,Medium
1360080,280.8,116.6,102.0,221.3,Low
1360081,164.6,408.3,140.7,357.4,Low
1360082,479.0,452.2,348.0,412.0,Low
1360083,410.9,210.9,66.9,471.0,Low
1360084,477.4,401.3,415.5,416.8,Low
1360085,488.7,206.9,416.8,19.0,Medium
1360086,255.0,256.1,155.4,63.4,High
1360087,396.2,404.1,376.8,119.9,Low
1360088,490.8,126.8,129.3,263.5,Medium
1360089,13.5,17.3,313.8,381.2,Low
1360090,482.7,128.2,161.0,20.0,High
1360091,88.0,475.9,241.5,447.8,High
1360092,361.0,26.7,451.9,269.1,Medium
1360093,300.6,386.7,484.2,209.3,Low
1360094,157.8,102.1,245.4,372.6,Medium
1360095,333.0,451.4,89.9,183.3,High
1360096,380.0,208.2,222.5,492.4,Medium
1360097,83.9,173.6,22.0,278.8,Low
1360098,335.0,263.0,50.8,386.0,Low
1360099,41.6,374.3,206.7,93.8,High
1360100,330.1,99.6,297.0,273.0,Medium
1360101,266.0,327.4,431.4,89.7,High
1360102,404.8,54.0,302.9,192.0,Low
1360103,130.7,152.3,233.9,258.8,High
1360104,426.5,170.3,354.3,129.2,Low
1360105,409.4,380.0,243.0,402.2,Low
1360106,325.3,45.0,128.2,23.8,Medium
1360107,389.0,19.1,359.0,427.7,High
1360108,420.0,210.9,169.5,207.5,High
1360109,46.4,234.8,495.1,88.7,Low
1360110,148.1,239.2,230.5,92.5,High
1360111,424.1,119.0,38.7,349.1,Low
1360112,45.3,324.5,92.6,430.0,High
1360113,288.7,153.0,282.7,193.4,Medium
1360114,35.4,,477.1,187.4,High
1360115,248.1,134.3,428.8,373.4,High
1360116,385.5,189.5,65.1,467.1,High
1360117,215.3,439.0,489.5,45.8,Low
1360118,324.2,282.6,236.5,358.8,Medium
1360119,12.9,55.7,231.8,322.7,Medium
1360120,228.0,417.1,150.8,404.0,High
1360121,69.7,253.6,291.3,246.5,High
1360122,247.5,404.7,377.9,249.4,Low
1360123,269.2,396.2,297.1,32.2,Low
1360124,99.5,36.4,375.6,379.8,High
1360125,84.3,340.1,89.1,101.2,High
1360126,408.2,394.9,75.5,293.6,High
1360127,176.0,481.0,387.2,426.8,Low
1360128,343.2,492.1,66.7,479.1,Low
1360129,362.7,,408.2,338.7,High
1360130,357.9,487.8,442.1,215.5,Medium
1360131,60.2,386.9,247.5,335.2,Medium
1360132,466.8,117.1,275.1,413.9,Low
1360133,490.6,226.5,18.6,250.6,Low
1360134,418.5,142.4,271.1,80.1,High
1360135,71.4,356.8,277.3,138.5,High
1360136,316.7,427.5,218.9,20.3,Low
1360137,498.4,11.1,254.7,94.8,Low
1360138,134.1,324.0,295.3,65.8,Low
1360139,173.7,54.1,104.4,197.3,High
1360140,109.9,404.8,48.5,365.3,High
1360141,202.9,385.9,65.8,390.3,Medium
1360142,327.6,470.1,212.3,296.3,Low
1360143,297.6,136.1,185.2,448.6,Medium
1360144,320.3,356.8,310.5,497.1,Medium
1360145,268.9,68.0,293.7,12.9,High
1360146,457.3,353.9,251.8,27.7,Medium
1360147,386.5,238.5,140.6,91.7,Medium
1360148,33.8,33.1,386.9,288.4,Medium
1360149,279.0,424.5,65.5,261.2,Medium
1360150,403.7,76.9,290.7,162.4,Low
1360151,308.2,261.2,158.3,168.1,High
1360152,162.2,63.4,92.9,236.2,Low
1360153,190.2,376.9,92.2,297.4,Medium
1360154,143.0,293.3,319.7,35.4,High
1360155,351.1,453.6,387.3,432.3,Low
1360156,305.1,139.2,338.8,43.2,Low
1360157,377.3,81.3,185.5,388.9,Low
1360158,100.1,229.2,430.2,130.8,Low
1360159,213.0,176.9,400.1,100.6,High
1360160,65.5,416.4,129.7,37.9,Medium
1360161,128.4,306.5,233.3,441.5,Low
1360162,139.4,62.7,207.7,112.5,High
1360163,473.4,62.3,411.7,160.4,Medium
1360164,463.4,112.2,326.6,29.3,High
1360165,67.5,258.2,64.1,300.8,Low
1360166,144.0,440.9,493.6,389.2,High
1360167,465.4,269.9,278.4,145.2,Medium
1360168,245.5,173.4,470.2,415.0,Medium
1360169,228.3,153.0,50.0,38.6,High
1360170,130.7,98.1,103.5,478.9,Medium
1360171,306.4,97.8,68.1,235.0,Low
1360172,139.8,360.4,141.1,150.7,High
1360173,218.7,32.7,476.3,294.8,Medium
1360174,224.8,143.5,91.1,495.7,Low
1360175,122.9,45.0,26.0,438.4,Low
1360176,468.2,468.8,448.7,355.3,Low
1360177,220.5,269.3,87.0,200.8,Low
1360178,135.1,312.1,326.4,73.2,Medium
1360179,285.3,373.8,489.5,155.5,Medium
1360180,211.1,23.4,393.7,134.6,Low
1360181,407.7,326.6,204.6,103.0,Medium
1360182,346.6,431.6,68.2,61.9,Low
1360183,247.5,289.6,234.3,207.9,Low
1360184,82.6,97.3,29.0,262.6,Low
1360185,127.1,147.3,379.0,229.7,Low
1360186,207.9,61.5,110.5,254.9,Medium
1360187,313.3,365.3,125.4,471.8,Medium
1360188,180.3,265.5,273.5,100.7,Low
1360189,488.0,274.4,283.5,498.2,High
1360190,23.9,496.6,277.4,400.8,Medium
1360191,136.4,199.6,25.4,358.5,Low
1360192,373.7,116.4,473.6,399.0,Low
1360193,429.1,138.6,296.1,298.1,High
1360194,217.3,111.0,324.7,146.7,Low
1360195,428.7,213.6,314.2,122.1,Medium
1360196,15.1,169.0,423.0,433.6,Low
1360197,485.5,287.2,59.4,204.0,High
1360198,10.8,341.8,376.9,418.8,Low
1360199,49.4,47.6,30.4,348.5,Low
1360200,305.4,93.5,383.5,337.7,Low
1360201,187.9,386.3,488.9,477.2,High
1360202,247.8,254.2,322.5,448.9,Medium
1360203,174.4,373.5,405.4,307.0,Low
1360204,325.5,431.5,148.2,335.3,Medium
1360205,196.4,127.9,69.1,92.6,Medium
1360206,443.9,372.3,122.0,235.4,Medium
1360207,336.2,155.7,493.0,493.3,Medium
1360208,269.5,388.8,223.2,482.9,Low
1360209,328.1,488.5,184.3,74.9,High
1360210,474.5,471.5,450.9,200.7,High
1360211,275.3,467.2,86.5,117.1,High
1360212,313.6,456.1,41.4,378.9,Medium
1360213,121.3,455.7,114.2,133.9,Low
1360214,163.5,281.0,323.2,363.1,Medium
1360215,90.9,218.5,380.7,421.7,Low
1360216,433.8,456.4,317.2,140.7,Medium
1360217,450.3,467.9,381.6,303.5,Medium
1360218,492.5,76.9,58.3,85.1,Medium
1360219,57.9,449.1,17.8,74.4,Low
1360220,50.8,248.4,124.5,436.2,High
1360221,146.8,480.1,325.2,344.8,Low
1360222,100.6,,217.3,446.9,Low
1360223,53.5,397.2,458.7,491.1,High
1360224,421.9,100.6,53.5,443.2,Medium
1360225,368.0,232.3,44.1,187.8,Low
1360226,57.1,227.8,252.4,32.4,Low
1360227,287.3,78.4,29.2,416.1,Low
1360228,241.0,127.5,118.9,442.9,Low
1360229,45.6,359.2,425.7,302.7,High
1360230,444.3,108.3,256.5,411.3,Medium
1360231,299.9,349.9,282.4,415.0,High
1360232,316.3,128.3,20.7,135.0,Low
1360233,75.2,70.2,412.8,449.3,Low
1360234,218.6,365.2,59.7,317.3,Medium
1360235,346.0,435.3,86.1,146.1,Medium
1360236,70.5,297.5,435.3,303.2,Low
1360237,444.2,442.6,379.6,215.6,High
1360238,394.9,188.8,297.5,325.8,High
1360239,141.1,129.6,144.0,361.4,High
1360240,195.7,408.0,462.5,116.8,Low
1360241,455.9,258.5,334.9,261.7,Low
1360242,336.2,480.7,483.8,99.8,High
1360243,302.4,152.8,281.1,320.8,Medium
1360244,233.8,313.0,41.9,283.8,Low
1360245,105.0,298.5,368.7,450.8,High
1360246,210.6,185.3,149.1,146.0,Medium
1360247,149.3,31.4,148.6,304.0,High
1360248,10.1,344.2,189.4,27.8,High
1360249,209.0,228.8,309.3,476.8,Low
1360250,439.1,410.9,385.5,254.4,Low
1360251,44.8,88.1,337.0,81.7,Low
1360252,341.4,92.6,38.6,389.9,High
1360253,341.1,343.1,158.8,317.3,High
1360254,263.6,180.3,178.5,462.3,Medium
1360255,125.7,336.7,78.9,29.6,Low
1360256,457.8,334.0,371.8,161.4,Low
1360257,356.6,447.6,66.2,110.3,Low
1360258,131.3,141.4,215.4,138.5,High
1360259,462.4,325.2,498.3,156.5,Low
1360260,316.8,494.4,24.1,303.3,Low
