FreightID,WeightTon,FragileFlag,Humidity_Percent,DamageClaimAmount_K,TransitTimeDays
1380001,121.0,95.8,81.2,79.5,4.8
1380002,125.5,80.1,16.6,82.7,4.9
1380003,108.1,115.4,24.4,100.0,5.3
1380004,96.9,112.1,65.8,94.9,14.6
1380005,69.4,75.5,42.6,54.0,12.9
1380006,88.4,127.2,50.2,100.2,6.4
1380007,101.3,87.9,37.9,112.1,14.9
1380008,120.3,130.4,26.8,122.5,5.3
1380009,85.9,135.3,48.6,62.6,10.3
1380010,96.2,124.0,22.4,77.0,16.2
1380011,81.7,122.2,30.4,56.3,4.7
1380012,77.8,107.2,42.5,99.5,16.7
1380013,112.1,60.7,31.5,109.7,59.1
1380014,104.4,60.2,82.5,90.4,16.5
1380015,92.1,93.6,58.7,101.5,27.2
1380016,89.0,82.9,63.0,81.9,4.5
1380017,88.8,42.8,74.0,75.1,40.2
1380018,86.2,68.2,39.3,60.2,6.5
1380019,117.5,130.5,41.7,55.0,9.5
1380020,110.9,119.8,44.3,58.5,2.6
1380021,106.8,81.9,46.2,82.4,3.4
1380022,80.3,104.0,42.3,52.6,7.0
1380023,38.2,97.1,51.6,26.9,50.4
1380024,80.3,96.9,54.0,101.9,11.1
1380025,144.6,103.8,57.5,116.7,9.7
1380026,116.2,110.6,40.7,71.0,30.5
1380027,87.1,132.6,29.1,111.5,1.0
1380028,65.5,82.6,58.7,,25.0
1380029,97.4,124.9,57.6,40.4,7.0
1380030,158.2,104.8,19.2,79.1,17.9
1380031,87.7,42.2,57.2,45.8,6.7
1380032,81.2,127.2,34.6,45.0,24.0
1380033,108.7,59.9,62.5,77.0,15.1
1380034,89.4,102.9,37.5,79.9,7.4
1380035,53.2,111.3,47.8,57.2,8.1
1380036,84.9,107.8,49.2,66.8,8.8
1380037,134.1,52.1,66.6,56.3,6.7
1380038,74.7,78.8,41.8,73.8,5.7
1380039,123.3,105.1,21.1,38.1,13.9
1380040,105.8,145.5,39.4,57.1,17.6
1380041,107.9,80.1,28.2,95.6,1.2
1380042,105.2,77.4,23.5,52.6,8.6
1380043,100.5,137.0,43.0,53.9,1.0
1380044,151.3,97.3,26.9,75.3,25.4
1380045,120.0,94.0,53.8,53.7,8.4
1380046,116.0,92.9,22.3,100.8,9.4
1380047,56.0,112.9,52.2,67.9,2.6
1380048,66.3,93.3,45.7,60.9,5.5
1380049,122.7,69.0,31.9,44.3,6.6
1380050,66.7,89.3,26.9,74.0,49.2
1380051,124.0,128.5,38.3,73.9,3.3
1380052,78.3,72.3,44.7,,8.8
1380053,115.8,99.1,62.2,63.7,15.6
1380054,106.1,97.5,54.8,67.3,20.4
1380055,108.8,98.9,26.5,118.5,1.0
1380056,62.1,112.3,41.7,62.5,7.7
1380057,138.2,86.8,45.0,76.7,36.2
1380058,126.2,80.8,25.5,51.2,20.8
1380059,109.0,103.1,53.8,89.4,4.2
1380060,78.7,51.5,41.1,35.3,18.4
1380061,141.7,82.7,46.2,95.1,22.6
1380062,70.5,101.9,63.5,76.8,1.5
1380063,142.6,116.4,51.2,85.4,29.8
1380064,66.9,107.8,54.4,49.4,26.4
1380065,65.2,140.0,58.0,69.6,6.3
1380066,106.2,86.6,31.6,72.3,63.1
1380067,134.3,107.5,17.7,85.4,1.0
1380068,133.1,100.1,49.2,87.0,7.4
1380069,62.3,88.9,43.3,75.6,1.0
1380070,59.9,107.7,61.1,88.4,101.8
1380071,110.2,73.2,71.6,67.6,11.4
1380072,104.2,72.6,41.2,88.4,8.6
1380073,54.9,68.9,40.7,74.2,22.9
1380074,86.2,122.7,0.0,68.4,9.8
1380075,135.1,100.0,34.8,99.1,3.0
1380076,113.1,105.4,23.2,60.6,43.9
1380077,83.4,109.7,9.1,67.1,9.0
1380078,84.3,69.3,32.5,87.9,14.1
1380079,72.1,128.7,56.8,101.2,8.8
1380080,120.3,117.2,44.6,90.4,7.6
1380081,94.6,85.6,41.9,78.9,49.7
1380082,78.7,110.3,50.4,60.1,15.7
1380083,102.6,52.7,32.6,40.7,3.2
1380084,82.2,77.5,69.8,80.4,7.3
1380085,27.5,65.2,41.7,78.8,6.5
1380086,82.4,94.4,36.9,55.3,43.6
1380087,80.2,74.6,48.7,78.8,24.0
1380088,95.3,127.0,18.9,93.9,14.8
1380089,76.4,98.6,29.5,85.9,8.8
1380090,56.9,118.6,34.4,65.2,2.5
1380091,127.4,101.4,67.9,96.6,2.0
1380092,116.8,75.5,57.0,59.9,3.4
1380093,102.7,112.2,39.4,109.4,2.3
1380094,85.9,110.8,47.4,93.3,1.0
1380095,66.6,122.6,31.8,,6.5
1380096,98.0,151.7,22.9,72.0,43.5
1380097,120.2,109.2,33.6,88.4,5.7
1380098,136.3,80.1,37.0,82.0,1.9
1380099,137.0,97.6,44.8,109.3,15.3
1380100,113.8,135.0,33.6,69.9,9.7
1380101,147.3,95.3,64.8,101.9,1.5
1380102,102.9,136.9,42.6,93.8,1.4
1380103,99.4,115.4,96.9,86.4,45.6
1380104,147.7,85.5,54.8,66.2,6.7
1380105,141.8,81.9,66.5,70.7,13.0
1380106,128.6,50.7,49.1,79.4,17.9
1380107,112.9,131.7,62.3,67.5,11.0
1380108,112.7,80.9,30.7,64.3,5.5
1380109,78.5,101.9,44.8,55.0,5.2
1380110,102.3,94.1,17.9,42.3,56.1
1380111,87.5,98.6,49.0,90.8,5.1
1380112,113.9,67.9,48.9,74.0,1.0
1380113,144.0,80.9,66.7,89.3,48.8
1380114,131.5,112.8,61.1,78.8,5.3
1380115,106.4,94.7,48.6,99.0,26.3
1380116,116.4,98.5,59.3,78.7,8.8
1380117,112.7,134.4,25.8,70.5,7.7
1380118,100.8,89.2,66.8,81.0,1.0
1380119,104.1,131.0,48.2,32.3,1.0
1380120,107.4,116.6,36.8,,30.0
1380121,84.2,83.3,56.5,63.0,14.8
1380122,91.5,93.5,45.2,96.1,2.8
1380123,103.3,86.7,57.0,64.7,22.7
1380124,147.9,128.8,37.0,102.4,4.7
1380125,118.0,82.4,57.4,72.3,26.7
1380126,77.4,68.9,51.2,78.4,15.2
1380127,104.1,115.0,56.6,56.4,29.2
1380128,84.7,102.9,21.0,75.4,17.4
1380129,96.2,116.7,43.3,94.8,11.3
1380130,69.9,122.7,63.1,78.1,3.4
1380131,132.9,113.5,47.4,97.5,26.0
1380132,62.0,90.1,40.2,54.6,1.0
1380133,97.6,60.0,47.2,53.7,57.8
1380134,146.9,128.0,43.3,89.8,18.2
1380135,97.1,83.7,54.0,63.8,36.2
1380136,58.6,126.3,34.0,102.7,26.2
1380137,114.9,127.9,53.2,82.4,7.9
1380138,51.5,54.8,14.3,57.3,17.8
1380139,114.9,100.5,31.5,78.5,4.4
1380140,67.7,89.7,58.4,76.5,11.9
1380141,138.7,119.4,30.8,117.8,12.3
1380142,104.0,111.7,65.9,97.4,8.1
1380143,148.9,112.0,36.9,73.1,52.6
1380144,102.5,76.2,58.4,78.7,3.5
1380145,109.2,80.3,49.0,68.8,2.6
1380146,48.0,129.9,53.7,70.1,35.4
1380147,128.4,110.8,45.4,102.3,2.2
1380148,112.9,89.9,39.4,82.8,1.0
1380149,125.0,75.7,32.9,94.1,7.0
1380150,133.8,100.1,29.1,66.0,25.9
1380151,115.8,107.2,64.5,36.4,15.1
1380152,100.9,143.3,51.4,92.6,7.1
1380153,100.1,107.8,48.1,51.0,8.8
1380154,102.5,114.7,52.2,106.5,29.9
1380155,72.5,68.4,34.4,63.5,7.8
1380156,85.3,95.0,68.9,68.4,1.0
1380157,89.9,102.8,41.3,88.0,2.1
1380158,85.2,124.6,24.9,103.4,11.7
1380159,140.2,51.5,30.5,92.1,1.0
1380160,101.3,100.6,45.8,79.7,8.2
1380161,122.2,113.1,36.5,62.3,21.3
1380162,125.7,83.9,54.5,56.6,1.0
1380163,33.5,97.2,58.9,52.6,9.9
1380164,108.1,124.5,47.5,65.8,8.5
1380165,74.5,131.2,16.7,92.1,8.2
1380166,107.5,105.5,42.9,80.6,2.7
1380167,77.8,109.6,79.0,86.5,36.5
1380168,130.7,79.6,53.9,56.1,3.7
1380169,100.9,114.4,29.0,73.4,3.9
1380170,121.0,76.1,25.3,83.6,20.6
1380171,95.9,55.4,59.4,85.7,4.6
1380172,121.6,115.4,54.1,71.9,27.0
1380173,86.1,86.2,84.2,108.5,3.3
1380174,50.1,109.3,51.1,118.5,4.9
1380175,73.0,99.1,47.5,63.7,8.1
1380176,78.4,78.9,50.3,90.8,26.3
1380177,121.7,92.1,38.6,96.0,22.1
1380178,123.4,40.4,39.7,94.3,18.8
1380179,89.7,136.1,72.5,60.9,2.1
