FlightID,WindSpeedKmh,PayloadWeight_Kg,FlightRangeRemaining_Km,VoltageDrop_Volts,MissionAborted
1400001,9.7,81.3,7.7,17.0,80.3
1400002,13.5,100.4,17.6,52.0,136.1
1400003,12.9,141.8,20.5,53.0,102.8
1400004,7.9,112.2,4.2,23.0,99.6
1400005,11.8,138.7,1.7,43.0,88.3
1400006,17.0,70.1,0.7,20.0,89.7
1400007,9.4,88.4,6.6,49.0,110.9
1400008,10.5,74.3,7.5,57.0,62.8
1400009,8.5,102.7,4.2,19.0,77.8
1400010,18.5,75.8,40.9,43.0,66.8
1400011,20.6,126.8,5.6,48.0,99.8
1400012,12.3,132.1,9.3,63.0,105.3
1400013,10.7,69.8,4.8,37.0,67.9
1400014,13.3,62.3,4.0,41.0,91.0
1400015,16.7,100.1,8.3,44.0,82.5
1400016,12.1,107.0,5.6,35.0,105.0
1400017,8.6,89.8,27.3,42.0,110.7
1400018,9.5,129.6,10.7,51.0,91.2
1400019,3.5,122.7,1.1,59.0,67.5
1400020,8.1,112.1,2.7,25.0,108.1
1400021,8.8,84.2,0.7,52.0,102.5
1400022,14.2,84.5,1.5,15.0,76.1
1400023,23.2,90.6,3.9,54.0,84.0
1400024,15.5,110.5,4.9,34.0,45.2
1400025,10.9,54.0,1.2,43.0,139.7
1400026,27.0,98.0,4.0,40.0,92.3
1400027,12.0,103.0,7.4,51.0,112.4
1400028,9.3,136.0,2.3,15.0,77.7
1400029,16.9,156.2,2.3,34.0,82.0
1400030,6.7,106.6,0.5,56.0,97.5
1400031,18.1,152.3,12.0,53.0,100.4
1400032,12.4,85.6,9.7,26.0,63.4
1400033,13.7,97.6,1.2,35.0,102.0
1400034,12.7,133.4,3.1,45.0,106.1
1400035,12.7,86.4,1.1,28.0,152.6
1400036,8.7,96.9,9.2,53.0,50.0
1400037,11.6,103.2,5.2,50.0,86.5
1400038,6.2,106.9,6.7,61.0,69.1
1400039,20.6,130.7,6.4,29.0,101.8
1400040,14.0,137.8,0.1,45.0,131.5
1400041,16.1,104.9,34.7,45.0,106.5
1400042,8.2,124.1,6.9,19.0,88.2
1400043,11.5,97.0,2.0,40.0,138.1
1400044,18.1,100.6,4.8,31.0,119.0
1400045,8.8,99.7,3.6,50.0,48.5
1400046,8.8,107.6,2.9,51.0,78.8
1400047,17.1,129.0,13.5,18.0,91.4
1400048,15.0,105.1,19.4,53.0,103.2
1400049,10.2,77.2,8.6,52.0,113.7
1400050,14.4,100.7,10.8,64.0,32.7
1400051,12.2,71.7,2.4,30.0,122.8
1400052,1.0,120.6,1.3,58.0,120.4
1400053,9.0,119.7,3.2,11.0,129.0
1400054,14.6,119.1,4.9,53.0,126.4
1400055,6.0,165.1,24.4,54.0,105.9
1400056,6.2,71.0,13.4,46.0,48.1
1400057,16.0,82.1,5.0,44.0,113.9
1400058,3.8,101.3,2.6,52.0,94.4
1400059,19.9,95.8,1.5,45.0,22.8
1400060,7.0,139.5,0.4,47.0,111.3
1400061,5.5,84.2,7.2,31.0,77.8
1400062,12.1,89.4,20.3,59.0,75.2
1400063,9.9,75.2,1.0,44.0,96.1
1400064,19.0,106.2,0.4,26.0,65.1
1400065,23.0,110.0,0.3,23.0,174.3
1400066,17.7,119.9,5.0,73.0,96.2
1400067,7.1,117.0,24.6,35.0,100.4
1400068,9.1,86.3,0.3,48.0,126.6
1400069,18.2,137.0,3.7,3.0,67.3
1400070,6.3,102.6,4.6,43.0,39.1
1400071,12.6,89.5,11.0,28.0,91.4
1400072,9.8,110.1,5.3,43.0,108.6
1400073,7.7,86.2,11.8,63.0,75.5
1400074,15.9,128.3,5.9,28.0,115.6
1400075,20.6,123.5,1.0,57.0,80.0
1400076,16.9,92.5,5.9,49.0,105.8
1400077,16.2,109.9,6.6,33.0,117.0
1400078,9.4,113.8,1.9,44.0,139.8
1400079,8.6,91.7,4.6,41.0,101.4
1400080,14.3,118.2,4.0,50.0,106.0
1400081,17.3,133.2,10.0,22.0,142.2
1400082,16.9,64.7,3.6,5.0,104.4
1400083,9.5,142.5,1.6,28.0,113.1
1400084,3.4,103.0,6.2,26.0,60.6
1400085,21.1,108.4,4.7,20.0,75.3
1400086,16.8,116.3,8.3,43.0,107.2
1400087,16.0,133.0,3.8,41.0,80.9
1400088,19.7,101.0,8.2,69.0,126.2
1400089,16.1,106.8,2.6,43.0,103.0
1400090,9.5,101.4,7.3,37.0,135.1
1400091,9.5,105.1,18.6,29.0,109.7
1400092,4.2,95.7,3.3,64.0,89.6
1400093,7.7,99.4,9.3,50.0,141.2
1400094,12.9,141.1,4.4,42.0,72.5
1400095,9.3,103.7,14.2,61.0,78.1
1400096,14.2,113.4,0.2,46.0,86.4
1400097,9.5,133.2,3.3,42.0,94.3
1400098,17.2,112.4,5.7,26.0,100.1
1400099,1.0,94.8,21.3,29.0,69.5
1400100,9.3,110.0,22.8,14.0,96.5
1400101,6.0,151.0,3.6,71.0,71.1
1400102,5.3,130.6,11.5,54.0,55.3
1400103,8.3,68.6,0.4,65.0,127.5
1400104,8.6,82.6,6.9,47.0,107.7
1400105,11.3,121.4,1.3,23.0,70.7
1400106,12.7,84.0,8.4,19.0,124.2
1400107,19.6,31.4,,39.0,113.3
1400108,8.2,85.5,10.1,50.0,110.7
1400109,14.8,137.9,22.3,36.0,139.5
1400110,16.8,94.9,2.8,37.0,115.1
1400111,15.9,93.9,0.6,61.0,142.7
1400112,6.2,68.5,17.6,44.0,114.8
1400113,17.9,165.0,5.0,18.0,59.3
1400114,14.8,135.6,8.5,21.0,101.9
1400115,11.8,80.0,0.4,30.0,103.6
1400116,20.5,68.4,3.0,45.0,107.8
1400117,17.3,79.0,6.6,20.0,102.6
1400118,6.7,83.0,5.6,41.0,99.7
1400119,15.8,111.5,7.0,51.0,121.8
1400120,16.6,159.0,0.8,62.0,88.9
1400121,17.5,111.2,8.9,71.0,113.7
1400122,20.7,153.9,7.1,53.0,127.4
1400123,13.0,139.8,2.0,68.0,93.3
1400124,15.9,82.6,2.2,30.0,73.8
1400125,19.7,125.9,2.7,37.0,78.6
1400126,22.7,145.3,3.6,27.0,112.6
1400127,19.6,56.0,5.2,47.0,155.6
1400128,4.8,75.4,8.9,22.0,108.8
1400129,4.9,111.3,0.8,38.0,73.0
1400130,9.9,108.8,22.8,37.0,108.8
1400131,14.1,101.2,1.2,45.0,101.4
1400132,11.7,112.9,9.7,52.0,58.2
1400133,8.0,129.0,0.3,44.0,95.4
1400134,8.1,77.7,6.7,31.0,82.8
1400135,13.9,162.0,4.9,51.0,111.9
1400136,6.4,73.7,3.2,36.0,112.1
1400137,19.5,44.8,10.2,53.0,108.8
1400138,22.9,101.2,3.5,37.0,117.4
1400139,16.0,85.6,0.6,33.0,129.4
1400140,17.2,97.4,12.0,16.0,87.3
1400141,15.0,132.6,6.0,35.0,91.1
1400142,18.9,80.7,1.1,65.0,68.1
1400143,7.8,114.4,2.7,46.0,139.7
1400144,5.8,105.5,4.6,34.0,97.5
1400145,13.8,112.3,35.6,42.0,97.3
1400146,21.5,112.1,0.9,21.0,95.0
1400147,7.1,103.4,1.5,36.0,17.9
1400148,14.3,75.8,7.2,53.0,53.7
1400149,14.9,139.7,3.1,35.0,90.1
1400150,6.2,118.9,1.6,51.0,146.4
1400151,6.4,103.4,0.1,51.0,106.5
1400152,18.3,110.5,1.5,33.0,120.2
1400153,10.2,111.2,7.1,37.0,149.1
1400154,17.3,118.5,0.8,39.0,68.5
1400155,12.7,110.4,10.4,74.0,137.5
1400156,13.9,108.8,5.3,72.0,126.4
1400157,9.8,159.3,0.6,47.0,95.3
1400158,11.4,77.3,3.5,64.0,100.2
1400159,7.1,124.0,4.8,48.0,98.8
