DayID,TradingVolume,DailyRange_Percent,VIX_Index,InstitutionalBuy_Percent,PriceVolatility
1400001,376.5,344.2,394.4,239.0,16.1
1400002,63.3,330.7,126.4,192.6,437.0
1400003,10.5,404.7,206.2,28.8,425.2
1400004,155.3,313.6,457.4,17.3,465.3
1400005,11.0,415.4,16.1,262.0,296.0
1400006,167.1,109.2,282.6,414.2,363.7
1400007,55.3,119.9,42.6,227.5,87.5
1400008,299.7,66.0,63.6,212.5,428.5
1400009,104.1,301.4,110.0,65.1,456.7
1400010,456.7,216.0,91.8,195.9,119.1
1400011,445.5,234.2,386.2,191.6,466.9
1400012,248.9,107.3,15.9,132.3,437.0
1400013,144.9,109.3,397.3,250.4,395.3
1400014,60.3,103.4,305.4,82.8,60.8
1400015,55.1,56.9,496.6,120.2,498.1
1400016,429.3,338.8,116.2,91.8,496.1
1400017,379.8,76.3,200.3,298.4,292.8
1400018,186.7,492.0,445.2,305.2,413.2
1400019,29.5,55.9,494.7,61.3,64.7
1400020,442.2,363.6,340.4,76.8,332.8
1400021,258.6,101.9,64.3,448.4,262.5
1400022,371.1,41.7,64.4,301.7,243.0
1400023,419.7,219.7,346.4,410.7,213.4
1400024,84.9,355.6,264.4,461.9,83.4
1400025,259.3,73.8,380.5,92.3,377.1
1400026,451.4,418.1,389.0,354.2,169.3
1400027,133.2,230.6,356.3,209.0,61.0
1400028,90.3,90.1,306.3,10.0,356.7
1400029,302.0,254.7,62.1,115.3,291.0
1400030,495.6,258.9,128.9,379.0,138.2
1400031,212.6,44.6,266.5,12.0,339.5
1400032,162.7,432.2,163.2,128.2,266.6
1400033,373.0,466.5,86.4,496.3,43.9
1400034,80.6,347.8,91.1,493.8,403.6
1400035,273.7,410.5,381.9,141.7,141.9
1400036,314.3,339.0,29.0,413.8,324.7
1400037,280.5,345.6,305.9,306.1,331.6
1400038,253.1,408.6,364.7,167.1,427.8
1400039,26.9,448.3,331.4,301.6,282.7
1400040,259.0,71.8,224.8,167.3,436.5
1400041,148.0,70.6,202.8,284.7,265.9
1400042,353.5,376.6,175.1,149.4,434.7
1400043,265.2,24.8,12.5,470.9,240.8
1400044,424.2,399.2,310.3,210.7,103.4
1400045,338.4,119.2,296.2,254.0,207.0
1400046,476.6,288.6,219.3,469.9,218.2
1400047,41.4,462.5,37.8,63.2,177.0
1400048,300.6,336.7,338.4,490.1,311.5
1400049,80.5,279.3,462.4,261.8,84.6
1400050,243.1,16.9,393.1,331.0,157.0
1400051,281.0,256.5,,191.3,494.5
1400052,364.3,349.5,498.0,73.7,314.2
1400053,134.0,469.6,391.3,91.9,340.7
