EmployeeID,MeetingHours_Weekly,RemoteDaysCount,SelfReportedStress,TaskCompletionRate_Percent,PerformanceGrade
1410001,41.7,119.1,83.9,17.0,91.2
1410002,25.9,111.8,113.3,70.4,84.6
1410003,6.7,107.1,130.4,53.5,76.2
1410004,21.9,123.6,112.3,31.4,57.1
1410005,33.6,159.6,99.6,,94.9
1410006,11.2,73.1,98.9,25.4,77.1
1410007,7.0,102.8,95.1,52.0,116.6
1410008,32.8,47.2,100.9,49.7,147.0
1410009,40.1,102.8,169.1,41.8,86.5
1410010,11.9,103.6,143.3,26.9,62.0
1410011,5.9,122.8,81.7,66.7,114.6
1410012,28.8,97.3,82.6,71.1,51.0
1410013,36.8,98.4,110.6,47.8,91.0
1410014,13.5,107.3,113.5,56.4,86.2
1410015,24.1,95.7,111.1,53.8,115.5
1410016,19.2,71.8,91.6,16.9,156.2
1410017,30.2,106.7,106.4,31.2,95.1
1410018,24.4,131.6,116.3,86.9,99.0
1410019,31.9,48.6,118.8,56.5,85.4
1410020,16.2,97.7,73.7,45.6,107.8
1410021,6.8,76.7,13.2,35.9,80.0
1410022,40.4,85.2,133.4,42.1,112.9
1410023,8.6,78.4,90.6,47.8,77.9
1410024,35.1,90.3,99.1,45.6,124.5
1410025,35.5,74.6,117.5,33.2,127.9
1410026,27.5,112.2,71.2,34.2,77.1
1410027,12.4,136.0,73.2,48.1,79.7
1410028,7.3,68.5,117.5,51.4,119.9
1410029,31.1,70.4,88.7,36.2,99.3
1410030,43.9,110.8,149.8,54.1,98.3
1410031,32.4,91.0,89.7,48.2,66.1
1410032,43.6,111.3,76.8,47.9,133.6
1410033,38.7,52.7,164.4,32.3,126.7
1410034,13.4,151.2,93.2,29.4,79.4
1410035,10.6,102.9,134.7,56.4,90.2
1410036,18.8,97.3,107.3,,103.6
1410037,25.3,102.4,134.2,44.0,144.7
1410038,16.5,81.7,74.0,16.7,96.4
1410039,26.0,76.9,83.9,35.9,69.3
1410040,19.4,91.1,108.9,19.9,122.1
1410041,44.0,120.8,131.2,52.4,132.6
1410042,43.0,88.4,84.2,44.4,116.9
1410043,18.1,88.2,115.1,74.1,70.6
1410044,25.0,85.9,115.7,44.8,132.2
1410045,20.8,117.8,117.9,60.0,115.0
1410046,24.2,74.8,108.5,37.6,82.4
1410047,33.5,92.5,91.7,32.0,87.4
1410048,29.8,111.7,137.0,41.3,79.6
1410049,27.8,31.4,101.0,61.7,72.9
1410050,25.6,76.7,131.4,54.5,81.0
1410051,22.8,110.7,127.1,24.4,155.2
1410052,21.5,114.8,76.5,58.7,91.6
1410053,10.1,84.9,126.6,73.0,110.2
1410054,32.6,99.4,94.1,54.6,98.5
1410055,12.2,110.7,104.9,,75.1
1410056,44.4,71.5,139.7,48.3,116.0
1410057,38.0,91.0,136.4,54.6,114.7
1410058,22.8,92.2,92.7,28.5,88.1
1410059,41.3,140.1,114.2,44.2,56.8
1410060,18.3,77.0,61.5,59.4,116.6
1410061,17.1,137.8,74.5,48.7,118.4
1410062,22.2,58.5,57.2,64.0,120.8
1410063,29.6,130.9,110.9,30.3,108.7
1410064,31.6,66.5,105.0,44.2,92.2
1410065,17.6,124.6,147.1,56.6,102.0
1410066,44.7,74.5,96.8,39.0,123.6
1410067,40.1,78.3,106.7,43.9,78.6
1410068,16.1,68.1,77.5,45.6,90.6
1410069,17.1,119.5,80.6,25.8,113.2
1410070,17.8,112.4,101.4,57.6,112.7
1410071,37.4,98.3,126.1,32.3,109.6
1410072,38.4,131.2,108.3,43.8,63.3
1410073,26.9,66.5,124.8,22.5,80.2
1410074,17.2,86.8,79.8,69.7,96.3
1410075,5.2,102.7,93.0,42.5,85.5
1410076,8.7,75.2,85.4,53.3,73.7
1410077,14.7,132.1,123.8,40.0,58.9
1410078,5.3,55.0,128.9,44.9,99.3
1410079,6.7,100.8,107.7,56.1,113.9
1410080,27.5,93.0,61.6,41.9,72.6
1410081,39.6,117.5,58.9,26.4,136.5
1410082,10.9,105.3,121.9,33.5,106.0
1410083,19.8,93.7,110.4,55.3,102.9
1410084,8.3,109.4,111.9,32.4,83.0
1410085,24.7,65.2,114.3,51.2,118.8
1410086,32.8,92.9,100.7,44.3,65.7
1410087,29.7,130.6,58.3,45.6,93.7
1410088,24.0,86.1,67.0,47.2,100.3
1410089,9.5,114.0,105.5,66.6,125.4
1410090,13.9,42.8,40.1,41.3,94.8
1410091,19.5,68.3,67.9,52.9,101.5
1410092,7.8,108.5,72.7,34.7,61.0
1410093,9.2,94.0,97.7,39.1,87.8
1410094,40.5,101.8,85.0,17.5,62.9
1410095,31.7,132.6,122.2,44.4,60.1
1410096,30.3,126.5,97.0,45.4,110.3
1410097,27.9,82.4,115.0,48.6,133.5
1410098,37.0,93.2,67.3,58.4,107.9
1410099,8.3,122.2,74.0,17.5,64.8
1410100,41.7,156.0,87.3,43.8,94.6
1410101,12.3,131.6,89.3,59.0,116.3
1410102,41.0,143.1,58.6,49.2,104.0
1410103,26.6,77.2,80.1,55.0,76.8
1410104,21.5,65.0,60.0,44.1,79.4
1410105,17.6,153.9,98.2,44.3,110.8
1410106,38.5,103.2,108.6,46.4,115.2
1410107,8.7,112.1,102.4,26.1,97.1
1410108,37.9,88.3,72.3,29.0,61.8
1410109,13.6,111.7,111.5,59.8,54.7
1410110,11.5,107.0,113.3,57.1,92.5
1410111,13.5,90.5,100.4,26.0,125.7
1410112,11.8,75.2,108.6,40.8,76.9
1410113,24.7,132.1,88.6,37.4,103.3
1410114,25.2,90.3,125.3,43.4,78.7
1410115,10.8,63.7,140.2,50.8,155.8
1410116,15.5,79.0,127.2,55.2,113.5
1410117,35.4,167.2,94.9,38.5,145.8
1410118,31.3,18.9,94.2,34.2,97.3
1410119,33.6,73.7,86.4,44.5,102.3
1410120,5.2,93.2,119.5,43.1,85.1
1410121,43.8,59.1,119.0,35.8,91.3
1410122,20.7,64.9,107.6,77.9,82.1
1410123,45.0,115.5,67.1,44.3,71.7
1410124,38.2,79.1,106.6,43.5,78.4
1410125,36.2,103.3,88.8,45.7,130.3
1410126,37.9,70.7,121.4,,64.3
1410127,21.1,60.6,108.6,42.3,126.5
1410128,31.4,105.4,122.4,35.2,75.8
1410129,39.7,77.8,65.9,62.4,114.8
1410130,38.2,106.7,75.0,63.0,82.1
1410131,23.3,83.6,145.9,48.2,65.8
1410132,16.1,85.3,122.7,53.0,58.7
1410133,43.7,135.7,89.0,53.2,122.3
1410134,11.6,80.8,103.0,26.6,114.6
1410135,40.6,69.3,83.3,29.9,91.6
1410136,12.8,113.3,105.4,22.9,84.3
1410137,18.5,82.5,110.2,48.3,94.4
1410138,34.3,109.2,61.5,53.0,99.3
1410139,19.5,96.7,69.8,32.3,102.5
1410140,15.6,90.4,50.3,46.6,83.3
1410141,29.8,59.3,108.9,31.8,143.4
1410142,32.5,78.9,120.9,48.0,89.8
1410143,17.5,66.4,82.6,30.5,80.6
1410144,16.7,30.6,92.3,16.0,80.2
1410145,42.8,70.3,67.6,32.4,151.9
1410146,28.2,96.5,111.4,39.3,106.7
1410147,42.6,129.8,123.6,72.8,108.5
1410148,8.6,101.0,138.8,36.4,120.6
