CustomerID,TotalPurchases,AvgOrderValue,Tenure_Months,ChurnRisk,CustomerLifetimeValue
1410001,459.5,360.1,440.9,442.0,41.9
1410002,266.0,425.5,415.4,154.7,341.8
1410003,31.1,439.0,434.7,409.4,184.4
1410004,216.5,310.7,183.3,196.5,412.8
1410005,360.0,236.7,17.1,137.5,16.8
1410006,85.7,295.4,204.1,302.2,272.1
1410007,34.7,450.9,148.5,203.6,280.6
1410008,351.2,59.4,428.2,219.2,73.5
1410009,439.6,54.8,357.9,84.2,427.6
1410010,94.6,53.9,189.6,485.8,56.2
1410011,21.5,174.9,150.5,387.8,239.0
1410012,301.1,259.2,42.1,420.0,274.3
1410013,399.9,446.9,413.0,483.1,44.9
1410014,113.9,404.1,433.5,494.6,181.3
1410015,244.3,,344.1,101.6,294.5
1410016,183.8,452.2,440.7,210.7,389.4
1410017,318.3,489.0,87.9,458.5,31.9
1410018,248.0,203.8,490.8,163.2,397.2
1410019,339.0,456.4,161.0,462.6,194.0
1410020,146.8,472.7,336.1,275.6,201.8
1410021,32.4,80.2,103.0,150.6,35.2
1410022,443.9,228.5,190.9,124.9,381.8
1410023,54.1,413.0,99.9,335.4,385.2
1410024,379.0,288.7,287.2,102.1,149.4
1410025,383.8,251.3,358.8,117.9,145.9
1410026,286.1,170.2,38.3,42.0,440.3
1410027,100.8,17.5,29.8,87.4,316.2
1410028,38.0,58.4,253.5,336.4,56.9
1410029,329.8,158.0,57.7,331.7,168.8
1410030,486.2,102.5,421.7,234.3,414.4
1410031,345.3,174.9,62.4,52.2,65.7
1410032,483.5,76.3,485.5,343.2,318.5
1410033,423.4,332.2,199.7,177.3,173.1
1410034,113.1,93.9,84.2,366.6,421.3
1410035,78.0,190.5,46.0,439.5,350.2
1410036,178.7,328.9,304.6,280.1,358.1
1410037,258.9,311.4,55.3,12.4,148.6
1410038,150.8,100.0,23.7,489.4,228.2
1410039,267.7,430.7,358.3,105.4,309.6
