TransactionID,Amount,Distance_From_Home,Use_Chip,Online_Order,Is_Fraud
1420001,452.0,235.8,0,0,0
1420002,283.3,423.4,1,1,0
1420003,331.4,14.4,1,0,0
1420004,417.9,167.1,0,1,0
1420005,107.9,133.5,0,1,0
1420006,72.4,413.0,1,0,0
1420007,388.0,407.4,1,0,0
1420008,221.8,318.2,0,0,0
1420009,198.8,479.8,1,1,0
1420010,394.0,310.1,1,1,0
1420011,394.9,418.3,0,0,0
1420012,89.8,407.7,0,1,0
1420013,66.4,321.6,0,1,0
1420014,172.9,455.7,1,1,1
1420015,304.8,,0,1,0
1420016,440.1,235.4,0,1,0
1420017,311.3,489.9,1,1,0
1420018,217.8,282.0,1,1,1
1420019,479.3,368.4,0,1,0
1420020,428.5,229.2,1,0,0
1420021,389.3,401.3,0,0,0
1420022,439.1,468.5,0,1,0
1420023,48.4,240.2,0,0,0
1420024,25.7,281.6,1,1,1
1420025,356.1,436.4,1,1,0
1420026,281.0,443.7,1,1,1
1420027,429.1,261.2,0,0,0
1420028,477.5,379.0,0,0,1
1420029,242.7,310.6,0,1,0
1420030,278.6,461.5,1,1,0
1420031,369.9,151.1,1,1,0
1420032,273.9,381.2,0,1,0
1420033,375.1,416.8,0,0,0
1420034,293.5,383.6,1,1,0
1420035,96.3,481.7,0,0,0
1420036,381.2,326.7,0,1,0
1420037,474.6,397.2,1,1,0
1420038,440.1,359.4,0,1,1
1420039,429.2,445.2,0,0,0
1420040,157.7,380.6,1,1,0
1420041,63.7,329.0,1,1,1
1420042,454.0,66.8,0,0,0
1420043,460.8,34.6,1,0,0
1420044,214.5,393.1,1,0,0
1420045,24.4,494.4,0,1,0
1420046,11.4,263.9,1,0,0
1420047,26.0,337.4,1,0,1
1420048,66.8,150.6,0,1,0
1420049,425.4,157.9,0,0,0
1420050,196.7,349.6,0,0,0
1420051,256.2,61.1,1,1,0
1420052,236.1,318.2,0,0,0
1420053,173.0,301.9,1,0,0
1420054,219.1,467.1,0,0,0
1420055,36.8,126.6,0,0,1
1420056,497.2,474.7,0,1,0
1420057,203.8,202.9,0,0,0
1420058,127.4,362.0,1,1,0
1420059,273.5,477.6,1,0,0
1420060,445.9,28.0,0,0,0
1420061,290.7,252.7,1,1,1
1420062,132.6,406.6,0,0,0
1420063,198.9,415.5,1,0,0
1420064,388.6,418.1,1,0,0
1420065,181.7,143.3,1,0,0
1420066,227.5,169.5,1,0,0
1420067,212.9,453.4,0,0,0
1420068,274.0,245.8,1,1,0
1420069,459.9,399.0,1,0,0
1420070,139.0,365.3,1,0,0
1420071,391.3,84.5,0,1,0
1420072,303.8,173.0,1,1,0
1420073,126.6,311.3,0,0,0
1420074,273.7,192.5,0,0,0
1420075,185.3,433.5,1,1,0
1420076,212.5,83.9,0,0,0
1420077,257.6,431.2,1,0,0
1420078,27.6,,1,1,0
1420079,158.9,394.9,0,1,0
1420080,437.7,421.4,0,0,0
1420081,495.3,272.8,0,1,0
1420082,225.4,205.2,1,0,1
1420083,409.3,201.3,1,1,0
1420084,147.3,193.8,1,1,0
1420085,44.4,499.1,0,0,0
1420086,463.9,222.0,1,0,0
1420087,347.6,41.4,0,0,0
1420088,47.4,427.3,1,1,0
1420089,342.7,13.5,1,1,0
1420090,355.6,201.3,1,0,0
1420091,77.4,372.8,0,0,0
1420092,447.3,292.8,0,0,0
1420093,474.2,86.0,1,1,0
1420094,51.9,410.5,0,1,0
1420095,297.7,116.5,1,0,0
1420096,202.7,161.8,1,1,0
1420097,231.1,11.5,0,0,1
1420098,252.8,427.8,1,1,0
1420099,474.0,135.5,0,1,0
1420100,295.4,304.8,1,1,0
1420101,123.5,346.0,0,0,0
1420102,312.0,296.6,0,0,0
1420103,26.7,56.5,1,1,0
1420104,62.8,197.0,0,1,0
1420105,256.1,344.3,1,1,0
1420106,275.8,114.5,1,0,0
1420107,16.5,192.5,0,1,0
1420108,32.9,452.7,1,0,0
1420109,412.6,189.2,0,0,1
1420110,359.8,357.3,0,0,0
1420111,290.3,,0,0,0
1420112,197.5,404.9,0,0,0
1420113,272.7,,1,1,0
1420114,128.4,336.4,0,0,0
1420115,274.0,14.0,0,0,0
1420116,159.6,436.3,0,1,0
1420117,405.4,99.3,0,1,0
1420118,262.9,459.6,0,1,0
1420119,266.8,290.7,1,1,0
1420120,431.2,70.5,0,0,0
1420121,184.4,30.6,0,0,0
1420122,48.7,273.2,1,1,0
1420123,198.3,389.0,1,0,0
1420124,451.5,171.6,1,0,0
1420125,406.2,26.4,0,1,1
1420126,124.2,223.6,1,1,0
1420127,329.6,82.5,1,1,0
1420128,228.9,198.2,0,1,1
1420129,123.0,351.5,0,0,0
1420130,187.0,474.8,0,0,0
1420131,180.4,177.2,0,1,0
1420132,225.9,268.7,1,0,0
1420133,450.3,166.4,0,0,0
1420134,153.5,267.0,0,0,0
1420135,295.3,28.9,0,1,1
1420136,349.2,63.0,1,0,0
1420137,156.1,193.2,1,0,1
1420138,155.3,176.7,0,1,0
1420139,423.9,110.7,0,0,0
1420140,77.7,458.7,1,0,0
1420141,67.8,26.1,1,1,0
1420142,416.7,211.5,1,0,0
1420143,340.6,499.5,0,0,0
1420144,239.7,443.5,1,0,0
1420145,76.1,79.9,1,0,0
1420146,113.0,46.4,1,0,1
1420147,32.0,421.8,1,1,0
1420148,328.4,201.7,1,1,0
1420149,460.8,413.6,1,1,0
1420150,392.5,34.1,1,0,0
1420151,73.0,429.1,1,0,0
1420152,60.0,100.4,0,1,0
1420153,10.1,193.4,0,0,0
1420154,321.3,205.7,0,1,0
1420155,431.0,422.8,0,0,0
1420156,410.0,72.9,0,0,0
1420157,473.3,,0,0,0
1420158,16.3,371.6,0,0,0
1420159,163.5,189.6,0,1,0
1420160,414.0,15.4,0,0,0
1420161,107.9,194.4,0,1,0
1420162,49.1,341.4,1,1,0
1420163,422.5,160.8,0,1,0
1420164,476.6,435.5,0,0,0
1420165,250.5,418.4,0,0,0
1420166,385.3,112.9,1,1,0
1420167,75.0,271.6,0,0,0
1420168,234.0,342.4,1,1,0
1420169,251.6,145.5,0,0,0
1420170,407.9,226.3,0,0,0
1420171,327.9,438.4,1,0,0
1420172,351.2,415.4,0,0,0
1420173,16.0,349.6,1,0,0
1420174,115.2,218.2,0,1,0
1420175,55.5,267.6,1,0,1
1420176,357.7,178.4,1,0,0
1420177,461.1,200.7,1,0,0
1420178,384.3,193.1,1,1,0
1420179,326.7,318.0,1,0,0
1420180,251.9,15.6,1,1,1
1420181,165.6,499.5,1,1,0
1420182,92.7,478.6,0,1,0
1420183,311.4,246.7,0,1,0
1420184,314.8,473.8,0,0,0
1420185,463.8,357.4,0,1,0
1420186,171.5,486.6,1,1,0
1420187,497.2,227.6,1,0,0
1420188,272.6,201.5,0,1,0
1420189,348.7,114.1,1,0,0
1420190,209.9,35.2,1,1,0
1420191,408.7,37.5,1,1,0
1420192,251.3,327.0,1,0,0
1420193,328.8,301.9,0,1,0
1420194,12.9,310.3,1,1,0
1420195,482.9,335.1,0,1,0
1420196,478.3,273.5,1,0,0
1420197,419.1,40.0,1,1,0
1420198,192.9,416.4,1,1,0
1420199,36.1,275.0,1,0,1
1420200,421.2,38.9,0,1,0
1420201,79.7,423.5,1,0,0
1420202,50.1,17.0,0,1,0
1420203,190.7,159.1,1,1,0
1420204,240.2,354.2,0,0,0
1420205,134.0,272.7,0,0,0
1420206,339.3,392.8,0,1,0
1420207,149.9,454.4,0,1,0
1420208,305.5,258.8,0,1,0
1420209,223.7,473.5,0,1,0
1420210,160.8,50.9,1,0,0
1420211,142.1,117.7,1,1,0
1420212,179.7,260.6,0,1,1
1420213,44.9,380.8,0,0,0
1420214,201.4,157.6,1,1,1
1420215,290.7,197.0,0,0,0
1420216,246.6,288.9,0,0,0
1420217,336.7,468.4,0,0,0
1420218,379.1,246.3,1,1,0
1420219,285.9,388.8,0,1,0
1420220,470.5,208.6,0,0,0
1420221,195.3,13.5,0,1,1
1420222,406.1,484.4,1,1,0
1420223,116.5,313.1,0,0,1
1420224,15.1,454.4,1,0,0
1420225,214.5,130.8,0,0,0
1420226,280.5,334.9,1,0,0
1420227,230.4,36.2,1,0,0
1420228,372.9,394.9,0,1,0
1420229,147.8,210.1,1,1,0
1420230,335.7,186.6,1,1,0
1420231,22.3,433.2,0,1,0
1420232,380.9,389.3,1,1,0
1420233,398.4,208.7,0,1,1
1420234,335.3,26.1,1,1,1
1420235,101.6,354.1,0,0,1
1420236,496.3,321.3,0,0,0
1420237,356.5,339.6,0,1,1
1420238,303.8,305.3,1,1,0
1420239,367.1,428.3,0,1,0
1420240,216.5,478.8,0,0,0
1420241,221.5,337.7,0,0,0
1420242,264.9,49.9,1,0,0
1420243,379.2,32.8,0,0,0
1420244,121.4,342.3,1,1,0
1420245,225.2,156.8,1,1,0
1420246,39.1,408.0,1,0,1
1420247,142.6,18.7,1,1,0
1420248,138.7,487.2,1,1,1
1420249,194.0,409.5,1,1,0
1420250,60.3,334.4,0,0,1
1420251,141.3,238.8,0,0,1
1420252,259.9,32.7,1,1,0
1420253,186.0,79.0,0,0,0
1420254,410.5,164.8,0,0,0
1420255,95.3,459.5,0,0,0
1420256,126.4,149.5,1,0,0
1420257,58.1,55.0,1,1,0
1420258,46.2,68.1,1,1,0
1420259,386.9,384.5,1,1,0
1420260,493.7,221.3,1,1,0
1420261,342.7,267.0,0,0,0
1420262,196.2,187.9,1,1,0
1420263,381.1,268.4,0,0,0
1420264,172.5,65.7,1,0,0
1420265,23.9,22.8,1,1,0
1420266,95.8,359.9,1,1,0
1420267,292.5,125.0,1,1,0
1420268,183.9,323.2,1,1,0
1420269,239.4,13.5,1,1,0
1420270,373.7,93.6,1,1,0
1420271,410.3,496.6,1,1,0
1420272,113.9,232.9,1,0,0
1420273,11.4,83.7,0,1,0
1420274,295.2,408.6,1,1,0
1420275,479.4,82.0,0,1,0
1420276,23.2,180.1,0,0,0
1420277,476.7,173.0,0,0,0
1420278,470.4,377.8,0,0,0
1420279,234.7,199.6,0,1,0
1420280,105.6,231.3,1,0,0
1420281,436.1,296.0,0,1,1
1420282,278.9,197.6,1,0,0
1420283,440.3,117.2,0,1,0
1420284,406.9,62.2,0,0,0
1420285,163.1,282.9,1,1,0
1420286,238.7,262.5,1,1,0
1420287,238.4,11.6,1,0,0
1420288,225.4,386.4,1,1,0
1420289,246.8,474.5,1,0,0
1420290,482.7,379.3,0,1,0
1420291,302.2,453.8,0,1,1
1420292,480.1,416.0,0,0,1
1420293,446.8,232.0,1,0,0
1420294,407.6,228.5,0,0,0
1420295,70.6,454.8,1,1,0
1420296,130.6,44.5,1,0,0
1420297,14.4,251.6,0,1,1
1420298,80.2,387.4,1,1,0
1420299,335.3,110.5,0,0,0
1420300,151.0,105.4,1,0,0
1420301,117.9,56.5,1,0,0
1420302,226.7,289.5,0,1,1
1420303,253.4,320.6,1,0,0
1420304,272.8,397.8,1,1,0
1420305,311.7,37.2,0,0,0
1420306,260.5,108.0,1,1,0
1420307,207.8,299.0,1,0,0
1420308,157.1,374.0,0,0,0
1420309,367.9,223.6,0,1,0
1420310,290.0,92.1,0,1,0
1420311,181.4,380.3,0,0,0
1420312,253.7,97.5,0,1,0
1420313,423.2,169.5,1,1,0
1420314,152.7,181.6,0,0,0
1420315,342.7,116.4,0,0,0
1420316,121.2,14.7,1,0,0
1420317,266.1,42.9,0,0,0
1420318,308.7,200.8,1,1,0
1420319,299.6,85.5,1,1,0
1420320,174.1,102.9,0,1,1
1420321,131.4,213.6,1,0,0
1420322,303.4,312.3,0,1,0
1420323,115.1,321.5,1,0,0
1420324,438.9,96.6,1,0,0
1420325,391.8,137.2,1,0,0
1420326,157.3,60.0,0,0,0
1420327,42.6,79.3,0,0,0
1420328,254.6,297.5,0,1,0
1420329,98.1,216.5,1,1,1
1420330,294.4,398.8,1,1,0
1420331,114.5,209.4,0,0,1
1420332,122.5,34.8,1,0,0
1420333,363.6,410.6,1,0,0
1420334,398.6,426.5,1,0,0
1420335,458.6,387.6,0,0,0
1420336,460.7,446.9,0,1,0
1420337,200.5,94.5,1,0,1
1420338,331.2,339.2,0,1,0
1420339,383.3,159.0,1,0,1
1420340,499.5,204.0,1,1,0
1420341,458.8,368.6,1,0,0
1420342,257.1,355.7,1,0,0
1420343,41.6,388.1,0,0,0
1420344,40.5,260.0,1,0,0
1420345,316.8,267.2,1,0,0
1420346,456.0,162.7,0,0,0
1420347,184.8,475.4,1,0,0
1420348,89.7,347.2,1,0,0
1420349,492.7,179.6,1,0,0
1420350,408.2,171.8,0,0,0
1420351,488.3,377.5,1,0,0
1420352,148.5,20.0,1,1,0
1420353,419.2,229.1,0,1,0
1420354,79.6,71.9,1,0,0
1420355,286.5,214.1,0,0,0
1420356,228.8,114.5,0,1,0
1420357,304.3,50.4,0,0,0
1420358,331.4,121.3,0,1,0
1420359,431.5,210.0,1,0,0
1420360,96.8,222.9,1,0,0
1420361,387.8,328.6,0,0,0
1420362,359.4,347.3,0,1,1
1420363,186.3,82.8,1,1,0
1420364,217.8,253.2,0,0,0
1420365,195.3,141.9,1,0,0
1420366,358.6,439.1,0,0,1
1420367,204.1,42.3,0,1,0
1420368,60.7,200.6,0,0,0
1420369,391.9,415.2,1,1,0
1420370,347.3,260.7,0,1,0
1420371,288.0,51.8,1,0,0
1420372,310.7,346.5,1,0,0
1420373,369.4,430.2,1,0,0
1420374,266.4,326.4,1,1,0
1420375,379.1,331.9,0,0,0
1420376,224.8,391.7,1,1,0
1420377,191.3,382.1,1,0,0
1420378,405.2,90.6,1,0,0
1420379,241.6,295.6,0,1,0
1420380,471.5,32.2,1,0,0
1420381,385.6,176.9,1,0,0
1420382,255.9,137.5,1,1,0
1420383,19.6,477.0,0,1,0
1420384,57.6,443.5,0,0,0
1420385,473.2,435.4,0,1,0
1420386,54.7,194.6,1,0,0
1420387,457.9,403.5,1,1,0
1420388,453.6,97.5,0,1,0
1420389,173.9,486.1,1,0,0
1420390,372.4,80.6,1,0,0
1420391,285.9,72.7,0,0,0
1420392,309.6,156.3,1,1,0
1420393,64.2,186.2,0,0,0
1420394,170.0,40.3,0,1,0
1420395,297.0,63.5,1,1,0
1420396,236.3,423.6,1,1,0
1420397,389.1,25.0,1,0,0
1420398,462.6,491.6,1,1,0
1420399,106.1,343.3,1,1,0
1420400,293.0,119.4,0,0,0
1420401,249.6,434.8,0,1,1
1420402,319.3,60.7,1,0,0
1420403,399.5,21.7,0,0,0
1420404,195.7,29.6,0,1,1
1420405,274.5,218.6,1,0,1
1420406,354.7,71.6,0,1,0
1420407,323.2,215.6,1,0,0
1420408,453.6,400.4,1,0,0
1420409,131.7,317.6,1,1,0
1420410,422.0,205.2,0,1,0
1420411,470.3,,1,0,1
1420412,334.7,202.5,1,1,1
1420413,246.4,461.5,1,0,0
1420414,152.4,94.1,1,0,1
1420415,394.5,241.6,0,0,0
1420416,218.7,343.4,1,1,0
1420417,114.2,157.5,0,0,1
1420418,197.7,309.5,1,1,0
1420419,16.6,129.8,1,1,0
1420420,82.1,79.3,1,0,0
1420421,386.4,432.3,0,1,0
1420422,214.4,91.6,1,1,0
1420423,381.5,465.6,0,0,0
1420424,302.3,356.7,1,0,0
1420425,302.4,65.1,1,1,0
1420426,35.8,312.4,1,1,0
1420427,488.8,409.7,1,1,0
1420428,382.2,470.2,1,0,0
1420429,403.8,162.9,1,1,0
1420430,384.6,389.6,0,0,1
1420431,345.9,290.4,0,1,0
1420432,354.1,,1,0,0
1420433,136.3,273.0,0,1,1
1420434,499.5,293.0,0,1,1
1420435,179.8,319.6,1,1,0
1420436,464.9,357.8,0,1,0
1420437,412.7,131.1,0,1,0
1420438,457.6,251.8,0,0,0
1420439,398.2,445.5,1,1,0
1420440,306.0,257.9,0,0,0
1420441,191.6,56.1,1,1,0
1420442,304.2,340.6,0,0,0
1420443,285.4,398.6,0,1,0
1420444,239.4,460.8,1,0,0
1420445,137.2,334.5,0,0,0
1420446,176.2,470.2,0,1,0
1420447,408.5,,0,1,1
1420448,350.7,227.5,1,1,0
1420449,268.8,313.9,1,0,0
1420450,333.4,219.5,1,0,0
1420451,291.9,50.1,1,0,0
1420452,297.2,417.8,1,0,0
1420453,364.0,262.8,0,1,0
1420454,49.6,337.1,0,0,0
1420455,296.6,350.1,0,1,0
1420456,301.6,147.9,0,1,1
1420457,361.7,416.5,1,1,1
1420458,31.5,146.3,1,1,0
1420459,346.0,380.5,0,1,0
1420460,437.0,238.9,0,0,0
1420461,430.0,376.0,0,0,0
1420462,461.3,419.0,0,1,0
1420463,312.2,252.2,0,1,0
1420464,158.1,155.3,1,1,0
1420465,240.6,300.8,1,0,0
1420466,444.9,83.5,0,0,0
1420467,177.5,441.0,1,1,0
1420468,149.9,255.4,0,1,0
1420469,416.2,461.6,0,0,0
1420470,194.3,437.5,1,0,0
1420471,306.7,405.4,1,1,0
1420472,318.0,488.1,0,0,0
1420473,17.7,103.6,1,1,0
1420474,219.3,152.8,0,0,0
1420475,128.4,139.2,1,0,0
1420476,394.6,100.7,1,0,1
1420477,304.8,439.9,1,0,0
1420478,126.1,175.0,0,1,0
1420479,59.7,200.2,1,0,0
1420480,389.1,13.6,0,0,0
1420481,182.0,211.5,0,1,0
1420482,323.3,300.6,1,1,0
1420483,265.7,101.1,0,0,0
1420484,327.3,58.4,1,0,0
1420485,410.4,369.7,1,1,0
1420486,258.6,421.7,0,0,0
1420487,157.4,111.2,1,1,0
1420488,85.3,410.2,1,0,0
1420489,421.3,29.8,1,1,0
1420490,28.5,352.5,1,1,0
1420491,178.5,242.7,1,1,0
1420492,265.4,441.0,0,1,0
1420493,354.5,25.9,0,1,1
1420494,176.5,379.6,0,1,0
1420495,352.4,200.3,1,0,1
1420496,61.9,210.5,1,1,0
1420497,283.8,134.9,1,1,1
1420498,180.3,387.9,1,1,0
1420499,287.2,407.7,1,1,0
1420500,20.3,10.6,0,0,1
1420501,344.8,281.8,1,0,0
1420502,156.7,17.8,1,1,0
1420503,343.7,81.4,1,0,0
1420504,153.1,381.2,0,0,0
1420505,76.6,223.4,1,0,0
1420506,468.1,79.5,1,1,0
1420507,82.3,427.5,0,1,1
1420508,276.4,455.7,1,1,0
1420509,62.1,251.5,1,0,1
1420510,423.2,486.6,1,1,0
1420511,444.9,372.9,0,1,0
1420512,426.0,450.4,1,0,0
1420513,493.0,439.3,0,0,0
1420514,417.7,108.1,1,0,0
1420515,212.3,199.6,1,1,1
1420516,38.7,229.0,0,1,0
1420517,275.1,110.5,0,0,0
1420518,324.2,13.4,0,0,0
1420519,83.0,116.7,1,0,1
1420520,496.6,100.3,1,1,0
1420521,420.1,404.6,1,0,1
1420522,192.6,191.7,1,0,0
1420523,432.5,115.9,0,0,1
1420524,62.7,210.0,1,1,0
1420525,241.6,372.5,1,0,0
1420526,234.5,289.1,0,1,0
1420527,407.7,181.2,1,0,0
1420528,346.5,387.2,0,1,0
1420529,427.6,229.7,1,1,0
1420530,42.5,472.7,1,0,0
1420531,265.2,378.8,1,0,0
1420532,287.6,461.2,0,0,0
1420533,66.6,352.4,1,0,0
1420534,486.4,329.3,0,1,0
1420535,377.3,300.0,0,1,1
1420536,218.5,152.2,0,1,0
1420537,339.8,30.9,1,1,0
1420538,79.4,59.9,1,1,0
1420539,464.5,389.9,0,1,1
1420540,170.9,87.2,1,1,0
1420541,461.2,24.4,0,1,0
1420542,437.8,373.0,0,0,0
1420543,48.0,348.7,0,1,0
1420544,82.2,36.8,1,0,1
1420545,465.3,346.7,0,0,0
1420546,127.5,289.3,0,0,0
1420547,421.5,97.8,1,0,0
1420548,129.3,227.8,0,1,0
1420549,157.7,98.9,1,0,0
1420550,174.4,35.5,1,0,1
1420551,193.7,429.6,1,0,0
1420552,82.7,77.2,1,0,0
1420553,327.5,65.3,1,1,1
1420554,428.3,493.6,0,1,0
1420555,253.6,332.2,1,1,0
1420556,119.3,,1,0,0
1420557,476.3,403.8,1,0,1
1420558,39.2,482.8,0,0,0
1420559,165.0,62.2,0,0,0
1420560,476.8,479.9,1,1,1
1420561,399.5,245.4,1,0,0
1420562,360.5,63.3,0,0,0
1420563,404.8,49.5,1,0,0
1420564,393.5,250.9,1,0,0
1420565,350.6,167.8,0,1,0
1420566,86.4,367.1,1,1,0
1420567,265.6,329.2,0,0,0
1420568,93.1,490.7,0,0,0
1420569,18.6,275.9,1,0,0
1420570,399.4,315.8,1,0,0
1420571,476.9,329.5,0,0,1
1420572,323.5,24.2,1,0,0
1420573,475.1,281.7,1,0,0
1420574,394.1,199.6,0,0,1
1420575,70.6,55.2,0,0,0
1420576,390.4,377.7,0,0,0
1420577,200.2,454.4,0,0,0
1420578,108.9,169.4,1,1,0
1420579,491.3,254.9,0,0,0
1420580,456.2,486.8,0,1,0
1420581,369.7,445.9,1,0,1
1420582,272.4,79.8,1,1,0
1420583,417.6,444.5,1,1,0
1420584,138.8,468.1,1,0,0
1420585,472.2,387.9,0,0,0
1420586,415.3,390.2,1,0,1
1420587,112.8,24.3,0,1,0
1420588,72.1,476.4,1,1,0
1420589,349.1,195.5,1,1,0
1420590,385.3,349.8,0,1,0
1420591,50.1,85.1,1,0,0
1420592,357.8,107.3,0,0,1
1420593,207.8,228.7,1,1,0
1420594,195.4,158.8,1,1,0
1420595,494.8,47.9,0,0,0
1420596,342.0,283.5,1,1,0
1420597,361.7,81.6,0,1,1
1420598,219.5,481.5,0,0,0
1420599,425.0,307.2,0,1,0
1420600,320.4,253.8,0,1,0
1420601,297.2,51.3,0,0,1
1420602,364.7,58.2,1,0,0
1420603,17.4,135.8,0,0,1
1420604,366.7,479.3,0,1,0
1420605,372.0,140.3,0,0,0
1420606,167.3,110.1,0,1,0
1420607,495.1,287.9,0,1,0
1420608,232.1,267.6,0,1,1
1420609,151.5,99.2,1,0,0
1420610,135.9,189.1,0,0,1
1420611,133.9,158.9,1,1,0
1420612,153.6,485.8,1,0,0
1420613,327.3,298.0,0,1,0
1420614,330.5,87.3,1,1,0
1420615,398.1,77.9,1,1,0
1420616,67.8,85.3,1,0,0
1420617,288.5,329.6,1,1,0
1420618,141.5,64.3,0,1,0
1420619,454.2,253.9,1,0,1
1420620,399.2,286.8,0,0,0
1420621,372.2,178.6,1,1,1
1420622,366.8,427.5,0,1,0
1420623,135.1,481.4,1,1,0
1420624,263.0,147.7,0,0,0
1420625,90.1,433.9,0,1,0
1420626,258.2,265.1,0,0,1
1420627,482.2,192.4,0,0,0
1420628,351.8,395.6,0,0,1
