ProjectID,ProjectBudget_K,RequiredSkillsCount,FreelancerRating,MatchingTimeHours,CompletionOnTime
1440001,49.0,117.1,115.3,23.6,0
1440002,73.1,67.8,83.4,33.5,0
1440003,76.4,107.2,79.3,4.2,1
1440004,112.1,96.5,130.2,9.5,0
1440005,102.4,84.8,82.0,30.1,0
1440006,71.3,82.5,97.6,1.0,0
1440007,51.6,120.6,91.3,1.0,1
1440008,95.6,91.8,127.7,34.1,1
1440009,58.3,66.1,141.6,19.9,0
1440010,78.8,135.2,100.4,6.4,1
1440011,62.0,45.5,89.9,16.8,1
1440012,91.6,85.4,120.5,12.6,0
1440013,44.9,100.9,72.9,24.8,1
1440014,92.4,100.3,64.7,8.5,1
1440015,99.5,60.2,120.3,60.7,1
1440016,30.4,101.4,136.0,32.8,0
1440017,75.6,131.3,54.9,44.7,1
1440018,81.2,142.0,88.2,6.5,1
1440019,86.1,131.6,117.5,6.9,1
1440020,80.9,77.0,135.4,31.7,0
1440021,85.8,136.1,142.3,14.0,0
1440022,96.4,104.7,90.1,38.7,1
1440023,40.3,151.0,80.2,4.2,1
1440024,71.1,128.6,84.1,1.0,1
1440025,71.0,108.9,111.6,80.5,1
1440026,52.3,79.5,84.2,23.7,1
1440027,119.3,83.7,94.1,2.3,0
1440028,51.5,67.4,137.1,14.1,0
1440029,86.2,112.2,102.6,7.9,0
1440030,59.2,122.5,95.2,1.0,1
1440031,91.0,90.3,71.9,15.5,1
1440032,74.3,105.0,80.3,13.5,1
1440033,79.2,143.7,91.9,2.9,0
1440034,88.2,81.6,118.9,30.1,0
1440035,64.1,73.8,109.0,9.2,0
1440036,78.2,74.8,84.8,27.3,1
1440037,69.0,123.2,92.7,18.1,1
1440038,80.4,112.2,118.2,22.9,0
1440039,100.0,118.1,98.7,15.2,1
1440040,47.0,147.4,132.0,6.3,0
1440041,79.6,103.0,93.8,1.0,1
1440042,70.5,104.7,109.1,3.4,0
1440043,67.8,115.2,85.2,26.7,1
1440044,71.2,103.0,86.8,22.8,1
1440045,115.0,84.2,115.0,5.2,0
1440046,96.7,90.0,121.6,3.3,0
1440047,42.3,115.4,116.0,24.1,1
1440048,48.8,103.3,113.9,6.8,0
1440049,39.7,130.7,143.3,10.1,0
1440050,50.7,80.3,104.9,8.1,1
1440051,70.3,67.3,118.5,17.5,0
1440052,66.3,96.4,110.6,10.5,0
1440053,69.2,93.5,98.3,40.5,1
1440054,80.5,93.9,77.2,46.9,0
1440055,59.0,131.0,91.7,17.8,1
1440056,73.2,71.3,106.7,35.0,1
1440057,69.0,92.2,100.5,6.6,0
1440058,68.7,123.9,73.2,10.2,1
1440059,63.1,144.4,68.0,10.7,1
1440060,68.3,124.4,77.8,13.1,1
1440061,79.3,92.8,138.8,6.4,1
1440062,103.1,54.9,86.0,1.0,1
1440063,80.0,134.6,117.0,3.8,0
1440064,94.5,129.6,92.7,7.7,0
1440065,74.3,119.3,94.1,12.7,0
1440066,91.3,69.7,68.4,7.2,0
1440067,59.2,116.4,81.7,5.3,1
1440068,80.3,94.8,118.5,10.5,0
1440069,53.5,145.1,86.8,23.9,1
1440070,66.6,101.8,142.9,14.1,0
1440071,57.1,84.8,92.0,31.0,0
1440072,93.6,100.0,79.3,2.2,0
1440073,80.3,116.9,69.1,2.3,1
1440074,105.2,128.4,97.1,4.5,1
1440075,73.5,124.3,60.6,8.2,1
1440076,90.9,74.3,74.4,8.1,1
1440077,92.6,68.8,97.3,3.7,0
1440078,70.8,129.3,125.1,16.2,0
1440079,68.8,111.4,99.6,9.0,0
1440080,78.8,90.2,107.2,11.2,0
1440081,91.3,139.8,83.3,16.9,1
1440082,68.5,121.6,104.8,3.4,0
1440083,72.5,110.7,138.5,20.6,0
1440084,68.2,100.5,49.6,1.8,1
1440085,97.0,74.1,167.9,7.0,1
1440086,40.7,74.2,92.1,9.2,0
1440087,67.0,120.2,147.5,14.3,0
1440088,52.3,64.9,95.6,2.6,1
1440089,53.4,55.8,110.2,8.1,0
1440090,45.9,126.4,48.2,34.1,1
1440091,55.0,89.2,126.6,6.5,1
1440092,85.9,117.7,73.6,7.0,1
1440093,89.6,86.7,46.7,32.7,1
1440094,95.7,69.0,100.5,21.2,1
1440095,103.4,65.6,116.7,6.1,0
1440096,29.0,130.3,87.6,8.1,1
1440097,81.9,93.2,119.2,1.3,0
1440098,88.9,88.7,102.2,3.0,0
1440099,96.9,164.8,109.6,6.4,1
1440100,82.4,101.0,130.4,21.9,0
1440101,77.1,93.0,94.5,3.9,1
1440102,36.5,103.7,147.4,1.0,0
1440103,70.2,75.5,88.7,14.5,1
1440104,34.9,102.5,157.5,15.9,0
1440105,85.1,124.5,94.1,8.5,0
1440106,84.0,114.6,114.1,3.2,0
1440107,45.1,109.1,112.7,1.4,0
1440108,72.0,143.1,84.5,22.4,0
1440109,104.0,65.1,125.4,12.0,0
1440110,100.3,69.8,119.8,35.6,1
1440111,92.0,77.8,80.2,7.4,1
1440112,98.3,135.1,134.6,25.0,1
1440113,93.1,150.3,113.6,13.3,0
1440114,69.8,97.4,133.1,2.1,0
1440115,96.2,117.6,67.8,23.6,1
1440116,66.2,98.1,65.2,4.0,1
1440117,83.8,133.0,123.1,6.6,0
1440118,96.7,100.2,96.4,,1
1440119,61.9,103.9,148.3,1.6,0
1440120,78.1,142.6,122.8,2.0,0
1440121,54.5,149.7,94.1,1.0,0
1440122,72.1,92.7,79.8,16.6,1
1440123,96.0,68.4,75.6,2.3,1
1440124,60.2,90.7,80.9,14.2,1
1440125,63.7,146.7,86.8,13.2,1
1440126,93.4,106.8,87.5,2.8,0
1440127,73.5,79.5,90.9,25.2,1
1440128,76.1,88.5,98.1,1.0,0
1440129,69.7,139.1,98.2,7.8,1
1440130,68.9,129.0,57.0,1.0,1
1440131,71.7,48.5,74.1,10.7,1
1440132,90.8,81.4,100.1,9.9,1
1440133,80.4,103.4,125.2,9.9,0
1440134,81.7,98.4,92.2,14.2,1
1440135,119.9,124.9,85.1,28.3,1
1440136,72.6,121.1,127.4,21.4,0
1440137,55.6,116.5,103.8,4.9,0
1440138,20.0,86.4,84.0,10.4,0
1440139,86.5,91.1,101.1,1.0,0
1440140,75.8,106.4,72.4,2.3,1
1440141,83.4,89.0,132.1,14.9,0
1440142,116.6,93.5,65.9,3.1,1
1440143,39.7,100.1,130.8,16.9,0
1440144,81.7,36.3,150.1,21.6,0
1440145,58.7,80.3,124.9,4.5,0
1440146,64.7,138.1,102.6,45.7,1
1440147,57.1,149.8,96.6,13.4,1
1440148,74.1,81.0,128.9,4.4,0
1440149,75.7,135.3,65.1,2.7,1
1440150,101.7,110.9,91.3,18.6,1
1440151,58.6,87.0,78.7,18.7,1
1440152,105.5,66.6,97.6,30.3,1
1440153,60.1,113.3,91.5,8.7,1
1440154,102.2,48.5,107.2,3.4,0
1440155,90.6,78.1,84.8,1.2,0
1440156,82.1,74.2,102.3,1.6,0
1440157,77.5,108.6,101.6,5.2,0
1440158,68.5,106.9,84.6,35.5,0
1440159,109.8,105.8,115.3,5.9,0
1440160,73.8,101.8,90.6,4.0,1
1440161,60.6,79.4,124.9,7.0,0
1440162,75.4,108.9,58.7,12.4,1
1440163,104.5,66.3,149.2,9.5,0
1440164,67.3,88.3,105.8,19.4,1
1440165,65.5,117.6,93.8,27.1,1
1440166,64.5,76.1,80.4,8.9,1
1440167,85.3,62.4,134.0,8.6,0
1440168,84.7,113.8,77.5,1.0,1
1440169,57.7,98.0,66.6,15.9,1
1440170,49.6,81.7,131.3,15.7,0
1440171,90.1,104.2,108.4,6.3,1
1440172,108.3,157.6,98.8,1.0,0
1440173,61.4,67.6,95.7,52.8,1
1440174,67.0,82.0,90.9,3.4,1
1440175,72.1,169.0,67.2,9.5,1
1440176,63.8,102.2,139.6,12.4,0
1440177,74.5,92.1,102.5,1.0,1
1440178,41.6,107.6,122.9,1.1,1
1440179,84.9,119.4,108.0,3.2,0
1440180,52.1,103.2,79.3,11.0,1
1440181,86.7,69.3,139.4,13.4,0
1440182,119.0,68.2,85.8,3.1,0
1440183,91.2,79.6,97.0,2.3,0
1440184,74.8,76.3,111.8,11.7,0
1440185,81.4,99.6,110.9,,1
1440186,75.2,110.6,120.9,36.2,1
1440187,53.3,124.1,93.7,13.1,1
1440188,90.5,97.6,114.4,18.5,1
1440189,60.8,138.2,90.4,1.8,1
1440190,68.7,75.8,98.2,18.1,1
1440191,37.0,81.1,128.5,18.5,0
1440192,77.4,95.0,128.1,44.6,0
1440193,132.3,80.7,112.8,29.6,1
1440194,73.3,104.6,108.7,1.7,0
1440195,83.9,63.2,104.1,20.7,0
1440196,86.1,147.2,132.9,9.5,1
1440197,73.2,87.9,95.7,56.8,1
1440198,65.2,85.6,102.7,5.8,0
1440199,47.9,134.6,103.4,3.5,1
1440200,84.2,110.9,115.7,3.6,0
1440201,61.8,102.4,104.0,1.4,0
1440202,79.1,112.1,120.4,50.2,1
1440203,69.7,95.5,85.5,5.6,1
1440204,67.7,75.8,72.0,6.6,1
1440205,98.6,119.2,106.3,3.4,0
1440206,70.0,116.6,100.5,22.6,1
1440207,71.4,88.6,90.7,5.4,0
1440208,69.2,138.2,50.6,,1
1440209,66.8,89.2,98.6,1.0,0
1440210,67.8,71.1,79.5,25.3,1
1440211,72.3,85.4,95.1,1.4,0
1440212,78.3,57.6,104.1,104.5,1
1440213,78.3,76.3,106.3,1.2,0
1440214,99.3,118.1,70.3,23.6,1
1440215,58.2,53.7,119.7,4.8,1
1440216,87.6,85.4,61.6,,1
1440217,71.0,107.5,81.7,2.2,1
1440218,57.5,71.3,70.9,18.6,1
1440219,79.0,80.5,72.0,30.6,1
1440220,45.9,123.0,100.7,12.4,1
1440221,73.5,87.3,50.4,2.2,1
1440222,66.5,137.2,114.2,3.3,0
