DayID,TradingVolume,DailyRange_Percent,VIX_Index,InstitutionalBuy_Percent,PriceVolatility
1500001,455.2,88.4,161.4,347.8,402.4
1500002,136.4,196.7,119.8,466.0,127.1
1500003,440.1,339.7,207.7,124.4,116.5
1500004,372.1,397.4,130.2,309.6,64.9
1500005,352.1,83.4,482.8,447.4,176.3
1500006,263.4,417.5,129.7,61.8,499.2
1500007,476.5,84.2,323.6,64.3,75.2
1500008,457.7,26.2,68.8,487.0,291.1
1500009,48.3,175.0,35.0,59.5,472.0
1500010,393.3,41.9,258.3,468.3,227.7
1500011,65.7,498.6,184.6,190.6,443.3
1500012,324.0,416.2,408.6,247.8,206.1
1500013,49.1,416.7,76.4,320.4,463.8
1500014,123.7,122.2,,335.5,117.5
1500015,199.1,101.3,85.5,242.1,345.3
1500016,126.0,477.0,252.4,92.8,138.5
1500017,499.2,25.3,137.4,205.3,139.1
1500018,200.8,48.0,299.5,235.1,226.6
1500019,364.7,169.8,142.6,392.6,316.9
1500020,231.4,464.5,341.2,20.0,410.9
1500021,243.7,315.1,108.5,418.6,490.4
1500022,277.2,195.4,310.4,40.0,238.7
1500023,222.1,207.1,19.5,282.3,382.9
1500024,299.0,471.6,19.7,367.8,50.5
1500025,61.4,299.0,286.2,464.1,174.7
1500026,431.9,173.8,498.2,12.6,297.7
1500027,160.9,203.7,97.5,109.8,72.0
1500028,248.5,17.7,126.8,54.5,129.0
1500029,112.9,79.4,34.7,329.3,276.5
1500030,313.8,498.9,418.9,439.8,341.3
1500031,177.3,185.0,481.3,86.0,348.2
1500032,252.3,182.7,174.5,195.3,222.5
1500033,160.6,457.9,200.1,234.4,172.1
1500034,214.6,401.4,211.4,407.2,59.4
1500035,382.5,402.4,90.2,117.8,373.9
1500036,30.1,401.5,346.9,131.7,426.6
1500037,254.9,263.2,99.7,471.8,131.4
1500038,408.2,423.6,354.9,213.9,40.1
1500039,265.0,263.3,284.0,443.4,240.9
1500040,221.4,185.4,495.0,484.5,360.4
1500041,372.0,226.6,409.4,406.4,102.3
1500042,374.0,445.3,145.7,269.2,430.5
1500043,441.6,56.0,473.2,436.4,496.4
1500044,491.4,303.4,49.4,431.3,240.4
1500045,117.8,146.9,404.1,397.8,321.5
1500046,55.7,240.0,208.3,343.5,40.6
1500047,81.4,344.8,211.4,180.9,353.4
1500048,211.3,279.9,432.8,363.1,231.7
1500049,185.5,396.5,465.6,88.1,450.4
1500050,486.2,344.4,331.1,131.8,189.1
1500051,332.0,78.9,217.6,71.8,157.5
1500052,339.1,89.7,174.8,125.5,448.4
1500053,372.6,234.2,382.3,117.4,331.1
1500054,322.2,380.6,425.2,88.1,369.4
1500055,449.7,443.2,38.1,343.1,355.2
1500056,166.4,135.4,361.1,195.3,275.4
1500057,67.9,306.9,83.4,371.7,436.6
1500058,122.6,173.2,454.3,25.9,324.0
1500059,60.4,463.6,267.7,441.3,374.7
1500060,486.0,362.7,457.5,457.1,167.6
1500061,237.0,136.0,303.3,223.1,175.2
1500062,114.7,26.8,486.6,335.2,97.4
1500063,232.5,291.5,128.3,198.8,13.4
1500064,499.7,388.2,215.3,85.0,495.5
1500065,58.5,495.8,243.6,129.4,440.3
1500066,126.3,368.6,181.2,383.5,376.7
1500067,75.8,222.3,361.5,102.1,74.1
1500068,365.1,327.9,439.1,183.2,148.6
1500069,178.1,325.8,89.7,386.7,477.0
1500070,53.2,498.8,187.5,410.8,301.4
1500071,419.6,492.4,364.8,245.5,453.2
1500072,68.4,45.1,115.1,398.1,48.1
1500073,27.2,169.4,215.1,452.2,418.7
1500074,99.0,302.7,182.4,91.0,278.5
1500075,486.6,465.2,121.7,279.1,122.3
1500076,114.4,98.8,52.4,88.2,446.8
1500077,255.2,349.8,145.6,36.9,168.2
1500078,422.1,466.7,80.8,395.8,239.6
1500079,235.2,287.0,374.6,36.6,138.1
1500080,395.9,288.6,234.9,386.7,415.8
1500081,104.4,311.2,477.8,169.7,405.2
1500082,110.8,141.5,61.3,213.9,245.7
1500083,451.7,345.0,184.4,310.4,154.5
1500084,317.8,29.1,61.2,54.6,283.4
1500085,179.7,385.2,75.1,162.1,108.0
1500086,236.1,434.6,65.5,136.6,411.8
1500087,306.9,448.5,,74.9,420.4
1500088,88.9,372.5,389.2,271.1,427.6
1500089,365.7,231.7,57.1,196.6,426.9
1500090,88.3,407.7,466.6,321.6,400.3
1500091,224.2,348.3,176.7,268.5,203.5
1500092,172.9,66.6,273.9,174.2,14.0
1500093,191.6,496.4,24.9,459.6,63.5
1500094,280.9,95.7,77.6,238.6,182.7
1500095,100.6,294.2,334.9,412.8,263.5
1500096,160.9,305.8,79.8,105.5,291.2
1500097,55.0,83.4,54.9,271.7,158.0
1500098,390.4,50.8,344.4,75.3,443.3
1500099,336.4,390.8,282.6,293.5,468.5
1500100,205.7,35.8,,332.9,388.0
1500101,137.4,54.1,104.6,259.5,431.3
1500102,317.4,156.2,310.5,374.2,379.4
1500103,429.5,160.5,180.4,18.4,445.8
1500104,237.2,315.4,495.7,238.9,129.0
1500105,156.0,356.8,137.5,150.6,482.0
1500106,86.4,289.0,309.9,254.7,129.6
1500107,240.4,212.7,134.3,20.3,106.3
1500108,129.6,306.6,36.0,203.6,197.3
1500109,183.9,325.3,38.0,306.0,259.3
1500110,247.3,79.4,80.4,95.7,349.9
1500111,449.2,130.5,71.1,296.8,491.9
1500112,102.6,128.5,219.3,490.8,400.6
1500113,66.9,208.8,106.1,223.0,319.9
1500114,142.9,356.6,296.9,310.4,52.2
1500115,82.0,58.6,493.2,407.3,279.5
1500116,311.4,415.6,246.3,175.4,283.9
1500117,475.9,482.7,436.0,265.6,404.4
1500118,495.0,163.7,72.1,296.4,262.8
1500119,177.9,234.0,495.6,465.6,193.2
1500120,380.7,193.6,165.2,206.4,391.0
1500121,128.7,378.1,78.6,110.6,97.3
1500122,327.4,469.4,160.3,144.0,384.0
1500123,132.0,443.7,341.7,426.7,216.3
1500124,240.2,194.4,356.2,83.1,51.5
1500125,312.2,474.3,178.0,301.6,40.3
1500126,380.2,337.5,451.4,277.9,361.7
1500127,99.8,359.3,133.7,210.0,96.6
1500128,144.2,304.5,168.7,51.5,256.5
1500129,199.3,398.4,449.3,37.4,333.4
1500130,353.9,118.4,461.4,158.4,471.8
1500131,490.4,132.1,462.9,196.0,68.6
1500132,158.6,469.9,324.8,353.8,300.9
1500133,419.5,325.9,335.4,63.0,421.8
1500134,399.7,441.9,221.0,336.6,63.8
1500135,215.0,13.0,342.7,86.1,70.7
1500136,39.2,92.3,209.6,204.8,459.6
1500137,193.9,323.8,286.7,219.3,163.9
1500138,393.3,195.6,79.5,52.6,416.0
1500139,322.8,440.8,393.1,453.1,113.1
1500140,211.4,278.2,144.5,47.6,162.6
1500141,43.5,136.4,183.8,407.6,393.2
1500142,324.4,149.3,82.9,273.3,241.3
1500143,457.9,76.1,87.4,45.0,320.5
1500144,95.7,243.4,103.0,496.5,110.9
1500145,425.0,307.4,491.3,170.2,306.4
1500146,241.3,451.8,397.8,44.3,34.8
1500147,309.7,167.7,482.5,71.7,354.1
1500148,218.1,150.8,471.0,329.8,302.3
1500149,355.9,320.7,242.1,303.1,157.8
1500150,206.5,477.2,72.4,68.8,425.5
1500151,360.9,101.4,326.3,383.0,179.4
1500152,46.9,110.0,427.2,179.4,46.2
1500153,153.6,162.9,290.5,203.7,373.0
1500154,428.5,98.5,161.8,255.7,150.8
1500155,184.4,59.1,,322.3,425.5
1500156,256.7,81.4,495.8,113.3,27.1
1500157,285.1,331.3,310.1,91.2,120.3
1500158,282.2,363.1,404.9,67.1,436.7
1500159,307.2,110.3,427.7,245.2,416.2
1500160,137.4,43.4,275.2,251.8,36.2
1500161,73.4,443.2,184.8,420.1,441.6
1500162,258.9,288.1,265.4,336.7,319.2
1500163,232.8,86.1,187.6,209.4,427.2
1500164,221.9,278.3,91.0,105.7,233.2
1500165,294.5,157.0,452.1,427.9,56.8
1500166,347.2,131.8,149.8,193.4,151.3
1500167,143.4,430.7,372.6,317.0,345.5
1500168,262.9,10.4,424.2,305.3,364.0
1500169,499.7,328.8,223.6,210.9,333.9
1500170,457.3,128.4,461.2,231.4,172.4
1500171,218.5,313.7,65.7,276.4,462.6
1500172,178.4,206.5,208.1,297.1,466.3
1500173,176.1,450.0,218.5,84.5,243.7
1500174,122.0,61.3,253.9,293.0,296.7
1500175,485.4,370.8,48.1,352.9,456.1
1500176,306.5,310.3,399.4,489.5,363.6
1500177,261.7,127.2,,72.4,203.0
1500178,97.8,228.8,67.0,339.7,414.9
1500179,416.9,410.3,416.5,396.8,474.9
1500180,72.3,396.7,304.9,64.8,271.3
1500181,483.5,416.8,191.5,54.9,268.3
1500182,121.0,497.2,488.2,475.4,324.3
1500183,364.6,330.1,414.5,143.5,395.7
1500184,217.2,357.1,31.7,405.7,445.1
1500185,363.0,369.1,285.1,143.6,36.1
1500186,396.0,73.1,,167.1,82.3
