CustomerID,TotalPurchases,AvgOrderValue,Tenure_Months,ChurnRisk,CustomerLifetimeValue
1510001,387.2,192.4,89.3,145.9,249.6
1510002,96.6,464.8,435.8,266.3,158.0
1510003,162.2,255.9,426.9,168.9,103.4
1510004,402.2,194.7,170.1,295.3,446.5
1510005,291.5,257.0,86.7,306.2,95.7
1510006,387.3,405.2,293.9,80.8,178.0
1510007,475.9,374.8,198.6,355.2,69.9
1510008,378.9,254.3,35.8,288.3,431.3
1510009,228.9,447.4,150.3,37.3,125.2
1510010,268.0,413.6,298.4,398.8,424.0
1510011,307.1,25.1,131.4,490.5,72.7
1510012,292.7,181.8,432.0,270.5,396.6
1510013,477.4,333.1,340.2,308.5,478.2
1510014,216.4,12.3,377.8,206.7,208.0
1510015,122.9,397.3,397.9,57.3,479.5
1510016,477.5,242.3,180.7,195.0,177.0
1510017,57.6,322.6,381.3,245.9,473.7
1510018,451.5,274.7,452.8,453.2,202.0
1510019,458.9,369.9,61.8,274.4,50.4
1510020,299.5,175.2,431.1,455.4,348.0
1510021,452.2,194.7,221.2,464.8,314.3
1510022,30.6,86.7,271.4,299.5,466.8
1510023,241.2,325.9,332.2,98.5,313.0
1510024,457.4,67.6,460.7,392.6,96.1
1510025,27.0,125.3,248.8,339.2,459.9
1510026,394.2,184.0,361.4,115.4,118.1
1510027,423.7,377.7,486.9,189.0,52.6
1510028,486.5,51.9,281.6,310.2,191.2
1510029,307.8,154.6,82.6,65.3,176.6
1510030,45.4,343.0,163.2,487.9,344.3
1510031,311.9,460.8,253.7,268.7,222.0
1510032,115.8,281.4,59.7,86.0,427.0
1510033,464.5,37.3,209.2,465.9,39.0
1510034,294.9,183.9,300.1,185.5,332.1
1510035,491.4,277.6,349.3,75.6,50.0
1510036,266.9,110.1,269.3,217.1,407.5
1510037,312.3,62.5,166.0,149.3,60.0
1510038,202.1,74.7,216.4,224.7,256.3
1510039,329.4,458.7,276.7,352.0,292.7
1510040,14.5,73.0,351.1,205.7,406.5
1510041,486.1,400.2,369.3,408.9,117.4
1510042,212.7,487.0,70.7,367.9,28.4
1510043,315.1,29.7,25.4,150.3,117.9
1510044,439.7,314.2,454.2,139.4,134.5
1510045,24.2,99.9,467.6,413.0,197.9
1510046,287.3,386.0,261.2,233.0,445.4
1510047,465.8,311.6,276.5,403.2,375.2
1510048,325.1,255.5,233.5,178.3,16.4
1510049,481.2,362.5,108.4,59.6,157.6
1510050,321.3,268.7,48.4,302.3,372.9
1510051,44.4,166.5,49.4,320.5,214.1
1510052,136.8,144.0,427.0,392.4,218.8
1510053,82.9,306.9,181.0,387.5,111.4
1510054,86.8,305.2,26.6,452.9,222.2
1510055,23.5,434.4,25.7,492.6,99.6
1510056,142.6,227.6,412.6,54.5,273.5
1510057,223.0,314.2,179.7,45.5,371.8
1510058,81.8,498.1,377.0,112.6,306.7
1510059,410.5,92.8,163.6,484.9,274.0
1510060,417.9,,160.7,435.5,51.5
1510061,496.2,399.6,348.2,239.7,260.6
1510062,146.6,13.0,296.9,98.7,495.5
1510063,158.2,329.2,412.2,488.7,358.3
1510064,324.0,296.9,349.4,64.7,361.7
1510065,111.0,114.8,319.8,200.4,454.6
1510066,328.1,,304.8,48.5,49.0
1510067,127.2,83.2,83.6,200.5,216.0
1510068,468.6,88.5,460.3,334.4,413.1
1510069,496.7,222.0,345.1,115.0,74.0
1510070,220.8,,110.7,411.2,341.6
1510071,218.4,445.0,498.1,473.1,52.0
1510072,69.8,405.3,129.0,308.7,21.8
1510073,303.2,188.2,391.9,298.7,270.6
1510074,189.7,276.8,494.1,362.3,369.1
1510075,62.0,119.2,432.0,50.9,422.6
1510076,34.3,473.4,449.1,434.9,82.7
1510077,437.9,142.7,239.7,70.5,276.6
1510078,86.1,329.6,360.5,83.6,100.6
1510079,367.6,377.3,97.8,377.0,354.3
1510080,394.7,74.9,162.2,427.0,340.7
1510081,451.1,114.3,251.2,360.2,87.3
1510082,303.3,389.6,417.0,203.4,73.6
1510083,224.9,61.6,483.1,146.3,268.3
1510084,423.2,377.7,321.0,438.9,219.5
1510085,420.9,41.4,10.5,460.4,90.7
1510086,97.8,290.4,323.3,321.1,14.2
1510087,400.4,67.5,210.9,338.3,13.6
1510088,427.4,130.8,180.5,20.8,58.7
1510089,277.7,143.5,26.7,33.6,255.5
1510090,271.8,147.2,201.6,330.8,172.0
1510091,64.4,493.1,465.5,33.2,248.2
1510092,245.0,250.4,209.6,484.4,395.6
1510093,321.0,27.8,306.6,435.4,450.5
1510094,418.0,417.1,454.8,257.7,97.1
1510095,283.5,71.1,85.6,255.1,26.1
1510096,146.5,184.8,17.0,330.1,160.6
1510097,495.8,311.4,201.8,355.8,132.9
1510098,71.6,441.3,377.6,361.0,190.2
1510099,243.8,,122.6,34.2,246.1
1510100,459.9,93.7,138.4,304.2,297.2
1510101,333.0,103.1,196.0,21.3,476.4
1510102,395.9,244.9,214.4,495.5,189.9
1510103,37.0,114.7,68.2,218.0,463.4
1510104,112.2,389.2,137.3,265.4,148.1
1510105,351.5,438.1,117.1,239.1,21.6
1510106,284.0,291.5,306.0,260.1,37.6
1510107,275.4,417.4,280.0,356.6,124.7
1510108,94.0,355.3,340.2,38.9,409.8
1510109,15.0,23.3,447.9,297.8,275.0
1510110,200.3,95.9,322.9,260.5,171.1
1510111,109.1,86.1,312.6,285.9,392.5
1510112,117.3,392.8,349.0,326.0,109.3
1510113,196.0,212.8,400.3,147.0,415.4
1510114,480.8,249.5,250.5,62.8,223.7
1510115,489.8,451.2,298.0,133.2,201.2
1510116,183.0,179.6,119.7,290.2,50.0
1510117,434.2,36.7,341.1,468.9,354.9
1510118,132.5,485.0,48.3,328.8,59.4
1510119,61.5,274.8,334.1,171.8,141.8
1510120,448.0,351.1,80.9,484.7,149.3
1510121,136.6,221.3,339.3,93.1,392.4
1510122,68.9,178.8,494.7,58.7,366.9
1510123,191.1,235.1,18.4,236.9,476.2
1510124,198.7,23.4,406.0,469.1,108.1
1510125,43.3,10.3,351.4,263.8,413.5
1510126,422.1,489.1,140.6,343.8,425.1
1510127,416.0,243.5,191.4,264.4,446.8
1510128,232.0,372.6,384.9,315.7,78.3
1510129,439.4,367.5,173.4,428.5,272.9
1510130,361.0,168.0,449.1,196.8,76.9
1510131,114.8,193.7,323.7,169.6,314.8
1510132,179.4,331.9,89.7,345.1,54.5
1510133,374.0,443.1,462.0,445.1,208.2
1510134,45.5,411.4,65.3,349.3,166.4
1510135,135.5,274.5,144.6,40.3,349.8
1510136,114.5,445.0,483.9,435.5,41.2
1510137,255.2,38.9,53.2,107.8,92.5
1510138,375.1,309.4,14.9,65.7,341.4
1510139,489.9,436.3,73.9,115.5,20.7
1510140,27.7,,304.9,244.7,237.7
1510141,333.5,245.8,337.0,92.7,110.7
1510142,141.8,,314.0,134.2,38.3
1510143,29.3,274.0,12.2,127.0,314.0
1510144,184.0,24.2,388.7,364.4,43.1
1510145,286.8,428.1,178.1,303.8,187.0
1510146,250.8,156.9,79.7,265.9,295.3
1510147,293.6,202.0,155.0,421.0,285.0
1510148,235.4,297.9,146.1,257.4,123.1
1510149,76.2,101.4,183.0,260.5,475.0
1510150,309.2,289.3,394.5,246.1,147.0
1510151,149.0,43.8,61.4,447.0,232.0
1510152,316.6,346.3,449.3,449.2,119.9
1510153,58.7,69.8,430.9,32.5,299.3
1510154,375.8,137.4,377.7,301.0,321.2
1510155,255.0,115.7,390.7,444.6,75.0
1510156,191.7,121.8,149.6,60.9,368.9
1510157,14.6,278.6,377.7,466.0,268.1
1510158,469.3,323.7,173.5,472.1,338.7
1510159,389.4,396.0,61.8,478.5,142.5
1510160,423.6,108.0,147.5,461.5,168.8
1510161,328.0,268.3,204.4,495.7,339.7
1510162,479.9,72.7,109.0,369.9,446.9
1510163,460.6,412.7,487.8,316.2,470.4
1510164,224.0,344.5,36.6,311.1,180.4
1510165,273.6,458.7,57.6,494.0,246.7
1510166,470.1,262.3,111.5,48.7,389.2
1510167,313.1,63.7,300.7,265.7,243.6
1510168,142.5,134.3,230.2,490.1,163.4
1510169,322.9,218.6,434.6,202.4,52.6
1510170,374.2,358.6,187.2,12.6,381.4
1510171,307.0,375.6,161.3,84.3,268.6
1510172,383.3,211.6,396.3,49.7,86.3
1510173,54.1,491.5,448.1,131.5,19.9
1510174,141.6,486.3,369.2,169.2,90.4
1510175,86.3,388.9,40.3,491.7,59.5
