ProjectID,TeamSize,DeployCount_Weekly,SuccessRate_Percent,RollbackTime_Mins,PerformanceScore
1540001,258.8,189.4,226.4,432.9,222.5
1540002,319.0,435.8,246.8,341.0,197.0
1540003,345.9,221.5,350.9,490.5,448.1
1540004,492.9,210.3,381.9,446.2,118.5
1540005,434.6,409.2,256.2,21.1,211.9
1540006,415.9,48.3,349.5,114.5,461.9
1540007,361.2,184.8,305.0,100.7,490.2
1540008,302.8,366.9,363.7,53.8,298.4
1540009,427.2,218.7,455.4,119.9,13.9
1540010,305.1,177.0,470.2,243.0,470.7
1540011,78.7,58.9,280.6,113.5,288.0
1540012,414.9,489.9,40.6,199.9,484.5
1540013,214.6,390.5,320.1,275.7,49.6
1540014,271.1,156.7,36.4,141.3,425.5
1540015,347.1,185.5,273.1,156.8,196.3
1540016,440.2,468.5,374.9,134.4,253.1
1540017,402.6,55.9,129.1,245.0,343.5
1540018,137.4,58.2,460.8,41.7,243.9
1540019,78.3,395.2,181.1,393.1,64.3
1540020,495.0,481.7,435.8,380.9,19.8
1540021,374.5,402.0,355.1,177.1,228.9
1540022,341.6,145.6,276.9,494.7,77.3
1540023,348.1,341.1,346.7,296.3,302.4
1540024,77.4,179.6,84.7,489.6,342.9
1540025,449.6,365.7,291.3,49.1,233.5
1540026,71.5,47.1,18.5,274.0,306.8
1540027,291.9,96.0,55.5,334.2,296.6
1540028,51.6,25.7,284.6,463.8,361.3
1540029,446.6,252.0,476.8,29.9,290.5
1540030,140.5,85.2,427.3,87.5,412.0
1540031,182.9,487.5,92.7,273.2,210.8
1540032,27.8,319.6,442.0,269.2,51.0
1540033,327.0,25.4,268.2,224.6,445.3
1540034,376.4,405.0,382.2,252.8,433.8
1540035,366.9,362.6,370.4,129.4,445.3
1540036,404.5,234.2,288.3,44.4,453.9
1540037,120.3,276.2,253.5,173.5,447.7
1540038,285.9,261.0,245.8,329.7,345.8
1540039,365.4,137.7,226.6,402.7,465.4
1540040,49.9,447.4,51.5,457.8,127.6
1540041,343.7,87.7,66.5,423.8,260.9
1540042,289.0,215.1,72.1,348.2,63.6
1540043,139.1,170.2,428.9,392.3,44.3
1540044,360.8,202.1,313.9,243.9,210.6
1540045,368.5,267.7,44.2,429.2,35.9
1540046,244.7,282.7,451.8,64.9,147.3
1540047,137.0,48.9,307.4,375.4,50.9
1540048,76.1,236.7,194.4,472.2,92.0
1540049,432.5,495.4,36.8,202.4,190.2
1540050,416.2,33.4,61.6,376.8,449.8
1540051,233.3,426.7,465.9,353.1,320.2
1540052,310.0,147.3,438.6,89.5,133.4
1540053,184.5,146.0,390.5,114.2,163.3
1540054,158.5,427.8,312.2,276.4,21.2
1540055,132.9,383.1,85.4,80.8,268.0
1540056,126.6,203.7,452.1,217.5,103.2
1540057,411.4,75.3,294.7,54.9,375.8
1540058,157.0,110.6,94.9,253.3,264.4
1540059,366.9,426.3,106.5,245.4,114.8
1540060,218.2,67.6,219.2,80.7,198.6
1540061,142.4,417.1,305.8,302.3,241.8
1540062,342.6,133.5,65.3,163.5,133.0
1540063,325.5,413.6,496.3,325.7,447.5
1540064,145.1,11.6,188.2,255.5,94.9
1540065,452.2,26.6,184.4,247.5,54.9
1540066,384.8,169.5,81.4,75.0,64.6
1540067,25.9,493.8,264.2,324.5,425.9
1540068,77.7,334.1,175.2,361.7,255.4
1540069,28.0,88.1,16.5,84.1,136.0
1540070,159.6,84.5,356.6,377.9,250.3
1540071,420.0,498.8,109.5,290.2,61.2
1540072,425.7,163.9,220.3,39.4,296.0
1540073,54.2,114.9,453.7,296.9,212.3
1540074,397.2,399.6,357.5,233.4,122.1
1540075,316.2,461.9,194.4,449.0,385.8
1540076,125.1,439.2,54.0,485.3,321.7
1540077,108.2,315.5,350.2,454.3,247.8
1540078,13.1,479.3,405.7,16.5,198.1
1540079,88.5,191.9,419.7,314.5,122.4
1540080,261.0,223.6,494.7,118.8,50.0
1540081,86.9,350.3,258.1,229.9,456.9
1540082,114.0,54.1,12.2,400.7,324.6
1540083,94.4,437.9,461.3,330.9,152.0
1540084,209.5,351.7,248.6,347.0,103.7
1540085,486.9,431.1,97.6,38.0,471.2
1540086,285.7,107.0,478.1,245.9,381.3
1540087,167.1,251.0,139.6,265.9,242.5
1540088,264.8,329.9,103.0,473.4,477.0
1540089,83.2,466.7,268.9,464.5,33.2
1540090,13.0,404.3,399.8,81.8,374.2
1540091,261.1,372.8,203.8,337.5,300.4
1540092,409.7,405.7,271.7,104.6,439.4
1540093,259.6,360.9,44.5,74.5,443.3
1540094,213.6,40.8,157.3,345.7,478.5
1540095,256.2,26.8,407.1,197.7,147.3
1540096,265.9,486.8,30.9,155.5,429.6
1540097,74.6,44.2,430.4,466.6,78.3
1540098,122.9,289.8,283.9,321.8,463.5
1540099,419.7,254.7,451.0,326.5,158.8
1540100,165.2,281.7,321.4,215.6,162.5
1540101,388.9,430.0,86.2,277.6,230.2
1540102,174.8,139.3,12.5,294.0,398.1
1540103,120.3,403.6,147.6,329.7,273.8
1540104,242.7,415.8,266.3,11.8,391.1
1540105,330.1,425.8,27.6,221.4,153.7
1540106,480.0,371.0,407.8,155.0,381.2
1540107,63.5,150.6,491.2,86.4,280.8
1540108,51.9,56.4,55.5,11.1,413.8
1540109,301.2,284.7,122.1,272.0,61.8
1540110,447.5,126.9,354.7,387.4,38.1
1540111,182.3,430.8,331.5,432.9,184.2
1540112,466.2,405.4,22.8,39.0,63.4
1540113,210.5,417.5,443.4,344.2,447.8
1540114,111.7,240.0,172.9,96.1,399.7
1540115,232.1,273.7,91.4,355.6,351.3
1540116,308.8,383.5,373.1,274.9,94.8
1540117,468.9,470.5,56.4,186.9,467.1
1540118,70.3,462.7,231.1,491.5,189.5
1540119,498.0,308.0,302.3,316.8,449.9
1540120,435.8,307.1,118.1,353.6,216.4
1540121,409.6,399.5,78.1,441.3,171.0
1540122,181.6,302.1,170.1,249.4,473.8
1540123,488.8,488.0,61.6,72.9,189.6
1540124,403.7,473.1,362.1,273.0,261.1
