HouseholdID,DailyConsumption_L,MidnightFlowRate_Lh,PressureDropCount,LeakScore,ConfirmedLeak
1540001,157.8,43.8,1.54,6.5,0
1540002,103.4,41.3,1.0,9.5,0
1540003,104.2,20.5,1.74,6.9,1
1540004,104.7,58.7,2.08,7.5,1
1540005,117.7,36.5,1.23,5.5,0
1540006,139.3,42.4,1.55,7.6,1
1540007,107.8,80.8,1.5,6.7,0
1540008,126.8,37.5,1.0,6.3,0
1540009,105.7,61.4,1.73,6.6,1
1540010,93.7,42.6,1.35,5.5,0
1540011,124.3,28.3,1.54,5.3,0
1540012,38.9,52.4,1.76,7.5,0
1540013,118.4,28.0,1.84,8.6,1
1540014,109.2,49.1,1.51,9.8,1
1540015,84.1,68.3,1.36,6.5,1
1540016,120.0,50.5,1.46,8.5,0
1540017,120.9,45.0,1.86,5.5,1
1540018,128.8,47.2,1.49,9.4,0
1540019,80.2,43.3,1.08,7.7,0
1540020,110.4,20.4,0.96,6.9,1
1540021,79.7,34.4,1.02,6.3,0
1540022,103.7,42.4,2.14,4.3,1
1540023,92.2,46.9,1.58,8.3,0
1540024,113.1,49.5,0.88,8.4,1
1540025,92.1,62.1,2.03,8.2,1
1540026,97.5,34.5,1.07,6.9,1
1540027,131.9,,1.33,7.6,0
1540028,118.9,,0.88,6.3,1
1540029,120.9,55.7,1.7,10.0,0
1540030,115.6,31.9,1.12,7.5,0
1540031,108.5,53.0,1.98,6.7,1
1540032,63.1,26.6,2.1,7.3,0
1540033,90.1,33.3,1.53,7.1,1
1540034,105.3,34.1,1.41,7.6,0
1540035,117.4,67.7,0.9,7.1,0
1540036,145.5,58.8,1.49,9.2,0
1540037,122.5,43.3,0.59,9.2,0
1540038,75.4,51.0,1.76,6.8,1
1540039,96.0,33.8,0.64,8.2,0
1540040,143.6,22.8,1.28,8.4,1
1540041,84.7,36.7,1.16,8.6,1
1540042,89.9,40.2,2.33,9.7,0
1540043,104.9,40.9,2.03,5.4,0
1540044,105.4,,0.84,8.2,0
1540045,155.5,41.8,1.09,7.2,0
1540046,78.2,41.7,1.05,5.9,0
1540047,65.8,22.3,1.53,7.2,1
1540048,75.0,38.1,1.47,6.3,1
1540049,79.4,48.6,1.07,7.9,0
1540050,80.4,50.6,0.84,7.6,1
1540051,85.9,58.8,1.48,3.8,0
1540052,122.5,57.6,1.6,8.6,1
1540053,86.6,33.7,1.22,8.5,1
1540054,140.6,57.2,1.64,7.5,1
1540055,122.6,31.8,1.91,7.3,1
1540056,71.0,24.8,1.73,5.1,0
1540057,66.6,72.0,0.81,3.9,0
1540058,121.4,50.1,1.01,5.4,0
1540059,105.3,57.5,1.6,6.8,0
1540060,108.0,66.2,1.23,6.5,1
1540061,106.4,43.2,1.06,8.1,0
1540062,106.2,50.8,1.52,8.5,0
1540063,66.9,50.0,1.76,8.8,0
1540064,115.6,46.8,1.12,6.5,0
1540065,101.1,40.6,1.12,6.9,0
1540066,69.0,55.5,1.71,8.1,0
1540067,89.3,49.2,1.21,8.4,1
1540068,87.3,30.5,1.64,6.0,1
1540069,91.6,47.6,1.6,4.9,0
1540070,70.2,46.6,1.7,6.2,1
1540071,101.4,38.2,1.57,8.0,0
1540072,110.7,58.3,1.78,6.4,0
1540073,105.6,51.4,2.36,4.5,1
1540074,49.8,31.1,1.48,6.5,1
1540075,133.9,41.1,2.31,6.6,1
1540076,101.3,45.1,1.81,5.5,0
1540077,33.9,48.5,2.21,6.6,1
1540078,107.3,26.9,1.48,8.4,1
1540079,187.6,56.5,1.47,10.0,0
1540080,109.8,41.3,1.12,6.4,0
1540081,91.1,61.3,1.09,8.9,0
1540082,87.8,19.9,1.74,4.2,1
1540083,87.6,41.1,2.55,9.8,1
1540084,122.7,36.4,1.15,7.3,1
1540085,82.7,43.8,1.93,7.9,0
1540086,128.8,50.0,1.07,8.5,0
1540087,96.5,63.5,0.82,4.8,1
1540088,61.6,62.8,1.27,8.7,0
1540089,108.5,61.6,1.78,7.4,0
1540090,102.9,32.5,1.83,10.0,1
1540091,122.5,25.5,1.87,4.2,0
1540092,105.4,29.8,1.36,5.5,1
1540093,114.4,43.5,1.83,6.9,1
1540094,95.1,34.7,1.4,7.7,0
1540095,66.6,45.0,1.14,8.3,1
1540096,89.6,29.6,1.17,7.0,1
1540097,155.1,38.8,1.02,7.3,1
1540098,76.6,59.9,1.75,7.7,1
1540099,87.2,43.4,1.34,7.9,0
1540100,127.0,60.3,1.72,7.3,0
1540101,79.3,42.5,1.28,7.1,0
1540102,96.5,51.5,1.19,3.6,0
1540103,83.6,34.1,0.8,6.8,1
1540104,132.2,39.5,1.51,10.0,1
1540105,111.3,68.8,2.22,5.5,0
1540106,99.6,63.5,1.38,7.0,0
1540107,57.6,20.0,1.29,9.7,1
1540108,142.0,48.8,1.98,8.5,0
1540109,116.7,65.0,1.02,10.0,1
1540110,67.4,47.6,1.85,5.8,0
1540111,91.3,53.7,1.92,9.6,0
1540112,128.1,60.8,1.39,8.2,0
1540113,81.0,19.4,1.99,9.1,0
