MatchID,MMR_Difference,Latency_ms,MatchDurationMinutes,QuitRate,FairnessScore
1610001,95.7,134.6,48.6,46.3,5.1
1610002,112.7,137.2,45.0,52.0,9.5
1610003,80.1,135.7,36.4,53.4,7.4
1610004,94.3,95.4,54.9,36.3,7.0
1610005,114.1,109.1,65.7,65.4,5.8
1610006,66.8,108.5,42.7,31.3,6.2
1610007,77.1,116.5,81.2,57.8,4.9
1610008,117.0,74.3,51.6,53.8,7.7
1610009,63.9,90.0,32.6,34.8,6.3
1610010,104.4,77.2,32.3,32.9,8.8
1610011,119.3,110.5,64.5,50.4,7.5
1610012,135.7,97.9,47.5,69.5,8.0
1610013,124.4,116.5,20.3,45.9,7.7
1610014,108.9,61.6,48.0,43.3,4.8
1610015,136.8,103.2,52.8,50.3,8.2
1610016,92.1,93.5,40.2,46.8,4.7
1610017,65.2,54.6,52.3,18.2,7.8
1610018,105.2,75.3,26.3,67.9,6.3
1610019,71.0,36.8,30.7,36.8,6.2
1610020,105.9,90.6,59.6,44.6,7.3
1610021,139.6,110.4,26.6,43.7,8.4
1610022,76.7,108.3,45.0,51.3,6.1
1610023,93.7,75.8,60.8,48.3,9.2
1610024,111.0,107.3,37.0,41.2,6.7
1610025,140.1,85.2,29.4,35.1,7.6
1610026,89.6,99.1,39.0,25.4,5.8
1610027,79.0,57.6,58.5,34.0,6.8
1610028,124.4,78.1,48.9,54.4,7.0
1610029,118.1,66.8,20.7,48.8,5.8
1610030,131.1,45.7,42.7,39.4,7.3
1610031,116.4,65.3,38.0,49.0,8.9
1610032,159.5,89.1,56.0,53.0,6.7
1610033,77.1,111.5,45.9,21.3,6.1
1610034,102.8,121.2,31.1,29.8,6.6
1610035,,97.8,34.4,48.3,5.3
1610036,68.1,113.7,49.0,59.8,6.8
1610037,65.0,99.3,41.1,66.2,7.6
1610038,111.1,63.6,52.9,20.8,6.9
1610039,102.9,82.3,40.0,43.9,6.6
1610040,111.3,66.3,56.4,43.8,8.2
1610041,83.4,72.2,44.3,53.4,6.5
1610042,120.8,108.4,32.6,72.6,8.6
1610043,97.0,90.1,84.3,52.2,6.9
1610044,111.3,97.3,53.1,62.1,4.4
1610045,88.5,76.5,60.4,35.7,6.6
1610046,122.1,93.8,73.9,49.5,6.4
1610047,23.6,78.7,42.1,38.7,7.3
1610048,126.2,100.5,53.8,48.8,7.8
1610049,103.7,144.1,51.3,33.7,8.6
1610050,82.0,104.9,12.5,61.6,6.7
1610051,106.6,90.7,41.5,52.5,6.0
1610052,94.3,87.8,37.3,34.1,7.1
1610053,107.4,100.3,53.5,39.4,7.6
1610054,97.1,121.0,50.2,51.5,5.3
